target_gene	umap1	umap2
CENPJ	-0.5569492	14.243753
MRPS28	1.6009582	13.964472
SLC7A5	3.878753	13.641893
RPS27	1.4120927	7.2409134
SUPT6H	5.8044066	7.870324
U2SURP	2.0515387	13.59821
GFER	8.520235	16.297247
FAM136A	5.499523	8.638497
KDM8	10.706716	15.910341
C1QBP	10.136062	13.8022785
DNLZ	6.8344045	14.678112
ZMAT2	3.4282033	14.324708
RSL24D1	-0.3353762	14.340909
PMPCB	1.940485	12.600135
UPF3A	8.776364	14.273095
RPS13	0.7677686	7.3696184
SUGP1	7.2367034	15.538885
BTF3	3.401627	13.075993
PGD	6.886682	12.899264
SNRNP200	2.5770128	13.420124
BCAS2	2.0766976	12.960601
CACNB3	7.2505493	15.655235
RAD51	13.613693	13.226928
SLC39A9	7.376911	14.591816
SLC1A5	6.8842483	14.516307
NUDC	3.633972	11.44813
URB1	4.9481006	12.985863
FXN	9.864706	16.253746
PCF11	5.3181763	10.0928955
SAE1	10.252575	15.240851
SERBP1	11.584858	14.978364
ABCB7	10.569236	15.021863
PSMA3	4.2496967	10.64549
TFIP11	6.260503	14.615671
RPS26	0.8323453	7.318038
MAK16	-0.26119524	14.371977
ACOT12	8.302662	14.690752
TIMM23B	1.2395725	11.722614
GRPEL1	2.0446613	11.967441
COX7B	10.259599	16.206745
SACM1L	6.9150014	14.451107
EIF3A	-1.1791505	14.134154
METAP2	4.5765486	12.468903
ZCCHC9	1.6520894	7.3054504
VPS37A	6.342193	14.248103
LAMTOR4	6.4580336	12.706724
RPL37	0.12973772	14.297804
RSL1D1	0.47777984	14.222888
ACTL6A	11.444319	15.489163
PHF5A	2.4576325	13.283585
ZNHIT6	3.3314352	7.837934
NUF2	6.660327	13.199592
NIP7	-0.07897769	14.3361435
BUB3	4.1006384	13.793032
CDK9	9.184934	14.195936
SAMM50	2.3329585	13.21419
SRBD1	12.64155	14.043078
CBLN1	7.222236	14.280971
MFAP1	2.2472796	12.233498
ALG2	8.352976	15.005577
PSMC2	3.8437953	10.357236
CSE1L	6.7280207	15.902991
FOLR3	9.474045	15.77719
USF2	8.650855	15.451337
ACTR2	6.3540835	14.721521
RNF14	8.279237	15.049908
RPS24	0.8103502	7.3063545
RPS19	0.8834167	7.254535
ARGLU1	3.3962095	13.902472
GTF2H4	3.697013	11.323059
NPEPPS	6.811811	14.666972
GTF2E2	5.463785	9.982533
TRNT1	6.8593154	15.4562235
NUMA1	5.6558185	10.7303095
PDCD6IP	8.746455	16.173176
TARDBP	9.614873	15.71998
CPNE7	5.433362	15.132806
DYNLRB1	9.196227	13.969856
KRR1	2.343497	7.2442904
THOC6	8.708773	14.292448
INTS8	2.8392065	10.945652
DYNC1I2	9.865194	14.367841
HSPA5	1.9928367	11.294656
PSME2	7.9989767	14.999637
MCM4	7.182456	13.468975
UBE2D3	5.9566154	15.4737
PSMD11	3.8393648	10.407139
SRP72	6.069924	13.7162695
MRPL55	11.858325	11.441089
AHCY	9.013424	14.672222
OLFML3	7.2895246	14.388845
CRNKL1	3.9330893	13.658188
NELFCD	7.466593	13.370768
HCRTR1	11.39181	15.390913
PSMB7	4.2941027	10.706787
SRSF11	5.8640895	15.208384
TSR2	0.8089591	7.305077
DNMT1	7.8249936	14.864845
PDCD11	1.369508	7.1554675
PSMD8	8.224979	13.418541
NCBP2	5.33073	8.899494
C7orf26	3.6565287	11.358325
ZNF131	8.162443	15.678957
CDC20	10.287668	14.71057
BUD13	3.8357003	13.150581
DYNLL1	11.171789	14.348163
CLASRP	3.232544	13.223572
RRP15	8.273384	11.335142
SNRPD3	3.083282	12.545453
COG2	6.3207493	14.074223
PC	5.266374	14.347771
SFPQ	2.6532977	11.43312
SDE2	3.3484302	13.852982
MRPL18	11.66607	11.400102
CDK11A	7.9349275	15.979742
VHL	7.5022554	15.068874
RPL34	-1.4600116	14.088102
TRAPPC3	8.70162	15.253859
SLC16A5	5.6276717	12.336844
RPS3	0.81941646	7.2937455
NAA15	5.6060734	11.629807
TTC1	4.0507917	14.151281
DONSON	12.069753	13.896607
KANSL3	3.6269639	13.918629
KRT10	6.692942	15.326785
DNM1L	8.172075	16.470293
PTPN23	8.1555195	15.112907
ARPC3	7.297116	15.38823
WDR33	3.8120027	11.424234
ANAPC4	4.665511	13.421931
SPCS2	5.4763446	14.813876
ATP6V1H	4.3640327	12.103339
COG1	10.1986065	15.058
NANOG	9.020748	16.444227
DSN1	6.365064	12.582692
PSMB4	4.9190288	12.168158
EGLN2	10.533348	15.924375
PPWD1	2.9649491	12.1307535
RPLP2	0.059170637	14.340032
GTF3C5	4.5329595	13.583789
RARS2	10.455966	14.5970745
COPS3	4.141794	13.259634
PPIE	2.5062687	12.938749
UQCRQ	11.232133	14.49703
RPF1	0.18498322	14.325281
GEMIN7	7.468205	15.609996
LSM5	7.350527	16.600306
ZBTB17	3.3542292	11.873165
PPP1R12A	7.6231413	15.916614
DPH2	5.8715706	15.382616
POLR2G	5.522435	9.012177
RPS29	1.695629	7.3247085
TCOF1	3.5003533	8.377774
DDX19A	8.961531	14.81378
LSM12	3.9655173	13.952281
C19orf53	7.2020254	15.806395
TUBA1B	7.88588	13.227141
USP39	2.2175746	12.887503
TAF10	5.032316	8.896594
HUS1	10.527169	15.65677
GARS	4.3163357	12.462465
CNOT1	11.185229	13.885956
CHD4	10.525495	14.319576
TUBGCP6	9.546811	14.902081
ZNF506	5.859786	14.795404
KIAA1143	7.0968814	15.010235
XPO1	4.4413404	11.137694
SART1	2.3692737	12.483084
SLC4A5	8.564259	15.2635975
VCP	6.915975	13.241797
RPS10	2.0123122	7.195174
MRPS23	1.601149	13.912521
SGPP1	9.132668	15.350786
NUP54	5.6667843	12.764543
POLR2B	5.429315	8.919367
ANAPC2	9.761622	15.800747
SMARCE1	8.588489	15.909834
ERCC2	5.4842067	9.896095
TOMM22	1.1647286	11.752401
PRIM2	13.557382	13.028291
PPP2CA	4.686044	13.2225485
CEP85	7.6696053	15.697249
NISCH	8.863802	16.15027
SSRP1	5.2964187	10.143254
PRIM1	13.374685	13.148155
CWF19L2	2.3585565	12.992507
SOD1	4.683903	13.68934
MRPS9	1.6178911	13.950912
NDUFB4	9.738168	14.710955
YPEL1	7.8404994	15.283573
SON	5.7903647	12.68314
SEH1L	2.2853434	11.304909
BGLAP	6.7448964	13.040021
RNF123	7.839314	15.128247
TCERG1	5.993933	14.930932
PSMD7	3.9075265	10.400115
ELP2	5.505412	15.045223
UTP15	1.2630122	7.7849336
MCM2	13.115484	13.567498
DDX23	3.0175114	13.795441
SUGT1	10.883202	15.365198
PAXBP1	2.9672186	13.117613
METTL1	8.766392	15.702585
BDP1	1.545271	7.6564603
CENPE	10.635874	14.308805
MZT1	10.713545	14.566278
LSM7	3.3732488	14.677293
NRDE2	4.438334	14.165858
ABHD11	7.0227704	14.230038
GUCD1	5.6061463	13.91253
PYROXD1	7.2514157	16.183641
NFRKB	3.4931295	11.745283
COPA	6.128148	13.284455
SRPRB	3.8745728	11.944167
RPS14	1.8743144	7.182861
RPL17	-1.666534	13.950887
FIP1L1	5.347822	9.733626
SETD2	10.731823	16.009216
RFT1	7.796772	14.490297
LSM6	3.2111294	14.523446
SLC25A10	3.5482686	13.635554
RTCB	3.5275667	14.020157
CS	7.6151433	15.765962
WDR25	6.67167	14.385845
RPS11	1.1818081	7.2567005
RPL21	-1.2121062	14.176009
BTF3L4	8.1259365	16.089312
PHAX	5.7132826	14.030408
UQCC2	8.991543	13.735896
LSM2	2.546701	13.392082
ATP6V1A	10.8944025	14.930529
NXF1	6.74318	14.688141
SNRPG	5.8235345	13.890213
EXOC1	8.318794	15.556312
RPS28	1.9717491	7.1829386
NUP214	8.673987	16.264505
PRPF6	3.2428918	14.090304
NCOA4	5.313154	14.721425
CNN2	9.850995	15.733517
DPH1	9.629615	14.980841
BPTF	6.0863204	14.021831
MZF1	7.1693697	14.787954
TMEM240	6.8741384	14.661969
STAT5A	10.7059765	15.193843
FOXL2	10.167384	14.587404
MKRN1	6.9985075	13.789224
MRPL38	11.569744	11.452815
UBE2N	9.371707	14.908227
AAAS	7.1364355	14.461934
HIST1H2AB	8.839975	15.615057
ZNHIT2	4.569234	13.62194
STARD7	1.8316972	12.510265
NBPF12	8.767468	16.334345
IARS2	1.5549761	12.004949
MED7	5.7464566	7.946073
TUBGCP5	9.627743	15.008631
UBE2H	6.4560995	14.378721
LRRC37A3	8.441289	16.165205
CDK1	13.258834	13.377538
ZNF763	8.644963	15.114448
DNAJC9	9.303697	15.42994
GTF2H1	5.520128	9.691777
GAB2	2.9242163	11.317651
MAGOH	3.5538595	14.051156
CHEK1	3.4199684	13.364044
RTTN	7.1302924	14.938858
KRTAP4-7	3.8294022	12.808533
NSRP1	2.9465208	12.080732
DNTTIP2	1.3556597	7.1636443
RPP40	2.7406342	7.32334
RAB6A	4.297622	12.486925
OR4F4	6.9457884	16.401823
COX5B	9.435134	14.584399
EIF2B2	2.0649095	11.341374
COPS4	3.4195924	12.331029
GCOM1	11.405586	15.077406
INTS9	3.0898185	12.533693
BCR	2.9332979	11.358146
NOL11	1.3489845	7.762372
EIF3H	8.618515	11.768375
U2AF1	2.450648	12.874499
DDX11	7.1699553	14.49888
MYCBP	9.196108	15.713205
NOL6	1.3136207	7.188727
PRPF4	2.7882805	13.447893
SF3A2	3.1617684	13.8109665
TXN	13.511829	13.041994
CSNK1A1	3.361147	11.99721
COPG1	6.7345734	14.895743
PPP2R1A	3.8896644	12.412572
DDX6	6.5193543	12.546791
DDX47	0.8639296	7.292546
MRPL10	11.979664	11.414703
ORC5	7.5968657	14.452116
CLP1	8.769203	13.964505
CDIPT	6.1888504	14.933185
FBL	0.8515473	7.2832685
ZNF468	6.913265	14.750731
CDC27	8.705834	15.681268
HNRNPR	6.9290867	14.638275
DHFR	8.2261305	15.310479
MCM7	11.486446	14.21746
DDX49	3.3842223	7.8047147
KRTAP4-2	6.4650087	14.556098
HIST1H2BM	6.993508	14.164446
SMN2	3.0408645	12.587412
MOG	4.637764	13.672875
ACTR1B	9.439061	16.496685
CCND1	7.712128	15.142705
WDR61	5.0023236	12.285482
MRPL1	11.231531	11.836837
ANKRD11	12.446683	14.282971
UQCRC1	9.79122	14.846087
CENPN	7.120786	14.679452
RAD17	10.738747	15.498388
YPEL5	4.3540587	12.814794
DHODH	8.38337	13.777344
CCDC86	-0.1540439	14.363856
LIMS1	9.044636	16.466095
NACA	2.9131575	11.24267
SRP9	8.258037	15.891298
TSEN34	8.890082	15.707007
RPS21	3.0896788	7.541613
PSMC6	3.9731932	10.459062
MRPL51	11.300978	11.367487
CAMLG	6.3589945	13.800301
ICE1	5.650363	13.981692
POLE	13.115883	13.272956
NKAP	3.463955	13.64666
RPA3	12.063431	13.975277
MAD2L1	6.309495	13.905855
RBM14	12.448046	14.145883
NHLRC2	10.208752	14.654425
OR7A10	8.96361	14.755167
EXOSC9	5.1134105	8.727697
ENO1	10.300086	13.984083
TSG101	8.450054	13.075477
THAP1	4.095834	10.556387
TRMT10C	1.8694307	12.804333
EIF2B5	2.121217	11.391821
GET1	4.1776605	12.509167
LTV1	1.6323268	7.180764
RHPN1	6.7202654	15.5154085
YRDC	5.9340825	14.866809
JMJD6	6.535198	15.242735
DDN	7.828601	15.597435
CENPT	8.201413	15.400374
VPS29	3.1765122	11.649839
CDK2	10.642244	14.464946
BCL2L1	6.6839976	14.465519
TACC3	8.001969	14.130805
PKMYT1	7.497323	14.157966
KPNB1	6.842943	13.455909
SDAD1	-0.25760728	14.3202305
DDX55	8.4606285	11.536751
RPL7	-1.412823	14.0740185
SARS2	3.7331047	12.680934
FNTA	3.8824146	13.812806
SF3A1	4.844422	13.470569
CWC15	3.371503	14.668011
TKT	4.9463887	14.081292
RAB4A	7.1024666	15.293155
TBCA	5.208571	14.637952
NFATC2IP	7.995737	16.047876
UFL1	10.705167	16.001114
CENPA	8.582285	15.506459
ABCE1	1.5325867	7.169258
PRC1	11.208137	15.534805
CHMP6	8.446177	13.164292
PPP1R8	2.0307558	12.392667
MRPL16	12.044658	11.512264
RBX1	11.408418	14.3068
SARNP	6.8476915	16.054655
BRIX1	3.023037	11.551105
MRPL39	11.590477	11.348377
POLR1B	1.23732	7.7780166
SRSF2	5.2709355	12.717938
MPHOSPH10	2.1837301	7.22756
ALDOA	6.5136685	12.638536
HIST1H2AE	7.1382303	13.785091
MED19	5.7297387	7.981466
DHDDS	2.4615915	11.428022
EARS2	7.146363	14.412044
NAA35	10.151143	14.818092
SMG6	4.058119	13.806089
C1QTNF4	8.067546	15.168232
TRAIP	11.1912155	15.498613
MED6	5.525141	8.584431
MAX	2.8869002	11.10463
DIS3	4.583	8.612956
PTCD1	11.079641	11.4960985
TREX2	8.851973	13.938345
TEAD3	9.140344	15.501397
HIRA	11.040505	15.303135
CSH2	6.7211175	14.112664
CHMP7	9.71682	16.492401
POP4	3.2561595	7.6993947
SDHC	7.9277353	14.093301
SSU72	3.7284532	11.961904
DDX19B	7.4197702	14.780773
HARS	1.990226	11.271334
RPL24	-1.2761474	14.108608
COPB2	6.193	13.125083
CCDC144A	7.270217	15.460961
DR1	11.245457	15.3869295
COX11	10.307904	15.22806
NBPF3	5.192462	13.505789
POLD3	13.369005	13.124543
POLR2D	5.4123034	10.180312
SRSF1	10.370205	13.838347
C16orf86	7.001262	15.054421
DYNC1H1	8.875377	14.115897
ZNF284	6.711556	15.219024
GET3	10.061524	14.556523
CENPI	7.0860386	14.167866
EIF4G2	8.897404	16.291773
ARCN1	4.07948	12.800241
NOS1AP	11.41449	15.551849
NASP	7.1703024	13.852831
ZBTB11	5.7847147	15.136684
FBLIM1	7.072515	14.114221
SDHAF2	6.17657	15.201052
XRCC2	9.549672	15.817047
POLR3B	3.0354943	11.705066
MYBL2	13.816491	13.077111
ZNF574	7.5634007	16.53356
RARS	2.2346294	11.372438
EIF2S2	6.5830593	13.264712
RABGGTB	8.426006	15.36381
FAM72D	5.406907	13.262216
TAMM41	3.4866118	13.177464
ZNF674	4.889114	13.479122
CCT6A	9.996997	12.64764
TARS	2.211457	11.609125
PARN	6.611402	13.234238
SETD1A	2.115195	11.2331
THOC2	6.6567373	12.757382
ZNF133	5.103649	13.492372
HNRNPC	11.380303	11.634394
DRAP1	9.3620205	15.3852005
YEATS4	6.921089	16.61181
DCTN3	9.981142	14.978957
RRP9	3.3687735	7.7995596
EXOSC8	4.5959888	8.628501
METTL17	1.9139316	13.938745
SLC39A10	5.584726	13.039832
TBCB	6.1757116	11.409133
MRPL53	12.02665	11.480563
COX15	6.1785316	12.656877
DNAJC19	1.297314	11.740019
WAC	9.990407	14.318667
LARS2	9.741116	13.646365
RPS7	0.7888278	7.3221908
SPATA5	7.528967	15.9086275
CYP4F11	10.6174345	15.950981
DNAJC8	4.0855055	13.728216
PMF1	5.18118	12.158312
QARS	2.0673907	11.302049
MED17	5.75572	7.918376
GAR1	6.851117	13.042877
NAGLU	5.930146	14.96286
KCMF1	6.121348	14.817293
KRT8	6.583381	15.148511
WBP11	2.7385538	13.523429
MCM10	13.365836	13.129708
CTDP1	5.566988	9.860518
PSMD1	6.8099604	13.879367
PLRG1	2.378176	11.824417
ACIN1	9.915	15.356107
GBF1	6.1494217	13.12393
MED20	5.513803	8.646641
GNPNAT1	6.8235445	14.997033
LST1	5.3496976	14.4650955
CHAF1B	11.64384	14.031249
DERL2	4.6213264	12.325747
OR4N2	9.067629	16.303043
KLHL11	7.5315676	16.559345
HAUS3	9.9085245	14.755626
PTCD3	1.6415665	13.871316
RAD9A	11.878477	14.344057
C9orf78	8.921386	16.135286
RPL19	-1.610725	13.977675
VPS54	9.077364	15.232104
WDR12	-0.29285166	14.3377905
HMGN2	5.526871	13.223047
NOP2	-1.4554589	13.97477
NCBP1	5.365569	8.741387
NAT10	2.815745	7.3318305
DMRTA2	9.368235	16.392042
MED21	5.7284913	7.972209
HSF1	10.852591	11.582905
DDX51	3.8291478	12.628883
LRR1	9.444497	14.972326
OXA1L	2.06172	12.752603
PPP1R2	10.207496	14.719077
CCDC59	3.4540982	7.8735585
COG3	12.54167	13.812284
NIFK	-0.739772	14.203525
METTL3	8.254777	14.1533985
PSMB5	4.0367775	10.493589
BANF1	5.2316885	13.39042
CD8B	10.557832	16.011164
PELO	6.186417	13.213035
HAUS4	10.307221	14.483415
FRG2	8.102705	16.017801
SART3	3.3959246	13.128576
MVK	8.895817	15.390643
GLI4	7.318954	15.8222885
EXOSC7	8.467583	14.050395
ING3	7.4153695	16.622028
BCAR1	8.942511	16.414785
WDR54	7.2992363	14.190427
CUL2	8.295389	11.357737
RPL32	-0.78843874	14.248698
PRELID3B	1.2645446	11.805951
NCAPG	8.031596	15.774341
RUVBL1	5.4862165	9.8395405
KIF14	12.675273	13.958078
TEX10	0.14238353	14.377416
GTF2E1	5.5147886	10.226011
CHTF18	10.614479	15.870816
RPL30	-1.2236997	14.169094
RCL1	2.1744802	7.239057
RBBP8	12.781062	13.749135
MAT2A	2.3064559	12.692067
SPTSSA	11.204304	15.526003
YKT6	10.186666	14.135521
LRPPRC	1.0107962	11.642139
DDX54	0.5038927	14.273281
CASP8AP2	13.353053	13.158022
KIF4A	7.95669	16.3266
TIMELESS	12.796906	13.798919
E4F1	3.615737	12.395503
DCTN2	10.129607	14.710795
MRPL35	11.953406	11.436204
ZNF24	11.507374	15.337857
USP9X	5.1410494	13.68275
RPS17	1.6355672	7.1901445
VPS25	5.0380626	14.342148
PSAT1	4.681566	13.28374
RPL26L1	11.239077	15.630191
CENPW	8.275886	15.722211
RPL36	-1.6413745	13.959557
GTF3C6	7.984303	15.12356
SF3B5	2.7412362	11.978711
RBMX2	2.86538	12.812859
EIF3D	8.300378	12.321796
CCT4	10.01535	12.632789
EIF3I	-0.34559467	14.318157
RNPS1	3.7954416	12.368829
PPIL2	7.044951	16.35102
CDC16	9.770288	15.676851
PHB2	1.2255185	11.656209
CPAMD8	8.3254175	15.457188
OVCA2	4.6005144	13.649289
DCTN6	8.29225	14.258863
PDRG1	5.6750317	10.486107
GINS3	12.463351	14.154003
RIOK1	2.8526042	7.3615384
XAB2	4.028577	12.571393
EBNA1BP2	-0.21120153	14.324321
DHX8	3.4728904	12.430586
TBCD	9.44675	16.373241
ETF1	2.0128484	11.655984
RPL4	-1.3781568	14.086141
HS6ST1	9.127595	16.624193
ORC1	11.725948	14.251729
EIF5A	6.4720893	16.09279
SF3B2	3.1081588	12.50728
TRMT112	3.2495775	7.656015
RTEL1	6.0208507	15.085153
UNC45A	9.327103	15.9410925
PLEKHN1	10.02669	15.182205
INTS1	4.8040977	14.60923
ZFP69B	6.9419994	14.032319
MED18	5.4990377	8.877799
MRPS22	1.6408209	13.871803
NMD3	8.218306	11.429461
GINS2	13.106208	13.394818
ZNF317	5.6003227	12.046672
AARS2	10.805307	11.652187
MOB4	5.814369	15.047573
UXT	5.7676854	10.370901
TTC4	4.4283104	12.545073
USP37	13.000701	13.654516
ACTR8	3.5527463	11.600033
EXOSC2	4.6863112	8.712076
EDC4	7.709673	16.214851
PSMG1	8.5716505	14.350223
MRPS2	1.6203965	13.899325
ESPL1	13.6296	13.280263
CCDC78	4.7911797	12.071426
MRPL33	12.01312	11.452676
CCDC144NL	11.621112	14.860097
ZNF100	7.9565153	15.324958
MIPEP	10.932209	11.580612
MRPS10	1.6104864	13.907148
HAUS7	9.1904335	15.395921
TARS2	12.070896	11.496062
ALG1L	10.42925	14.396137
POTEI	9.697618	16.509102
ALG13	6.467361	13.6251955
CPSF3	7.7587113	13.146142
PCID2	9.1255245	14.7206955
PGS1	4.174089	14.114401
DDX10	3.0238814	7.527882
AATF	2.1506124	7.2167625
UROD	4.7375407	13.379056
ERCC3	5.8602076	11.424434
CCNK	9.312505	13.776655
RBM42	2.4739394	12.672083
CWC25	9.258773	15.606461
CDC40	4.6259365	12.660752
POLR1A	1.3699871	7.7259836
HECTD1	8.932559	15.785314
SRF	8.104293	16.427755
UBAP1	8.119529	13.106768
TOP1	3.4658225	11.399515
SPRTN	8.098528	14.863421
RPL23A	-1.6831999	13.942366
PPP1R11	8.257876	16.350233
POLR2I	5.464781	8.7722225
NFYB	11.393947	15.436469
RPF2	-0.28867957	14.236541
RPS15A	1.3623687	7.1994734
SF3B3	3.2000735	12.417877
SMC2	13.836086	13.091693
MYC	4.737878	12.053979
SEC16A	6.3930254	14.720429
SEC61G	2.634079	11.310546
NLE1	-0.37181285	14.348274
DHX36	10.875952	13.851062
MIS12	6.2614594	13.433155
HIST1H2BN	6.5176835	14.770627
YTHDC1	5.599781	11.769268
MARS2	11.530213	11.628505
PLA2G10	8.238755	16.466242
TRAPPC4	5.7312517	14.4909525
SNW1	3.9813874	13.662991
NUP85	5.974103	15.05088
MRPL54	10.845838	11.566712
WDHD1	10.627225	15.6183195
PAF1	2.730862	10.940656
MBTPS1	4.1753225	14.370691
SPTLC1	12.8717985	13.38542
GEMIN8	7.3272133	14.516237
USP7	7.818981	16.300425
PSMD12	3.9435205	10.417994
PTPMT1	7.0277047	16.199526
POLRMT	1.005918	11.630027
DCUN1D5	5.3872585	13.89417
PSMD6	3.9466643	10.411442
AURKA	13.322428	13.225861
NDUFB8	8.19535	14.648683
PFDN1	5.3246765	13.130927
DHX16	3.2668343	12.326362
LETM1	1.8662701	12.366568
LRRC37B	7.941436	14.781454
NDUFB3	8.39926	15.814755
PSMB3	4.081197	10.532729
RANGAP1	10.775318	15.923632
URB2	8.350454	11.551879
UBE2M	7.438213	14.906641
MMS22L	13.686496	13.086565
BOP1	6.164935	15.5458355
CLTC	9.371462	14.6873865
SMAGP	9.1535425	15.858264
DDX56	-1.1123155	14.171879
MRPL45	10.758789	11.603622
NOL8	8.336561	11.363338
FCF1	1.8209922	7.1393023
VARS2	9.326028	14.857713
LSM4	3.3098972	14.629455
NAA10	5.5003414	11.656609
TBC1D28	11.07265	15.690246
IGBP1	7.275681	12.9035225
SNRNP27	2.1471548	12.026422
SRP54	6.12338	13.319147
CRCP	7.9263706	15.413791
ESPN	6.655442	14.818408
SMU1	2.1435025	12.449995
TUBE1	8.26041	16.371199
TBCE	8.866854	16.143854
TUT1	7.276514	16.57756
GFM1	11.946436	11.467323
ACTR1A	9.255615	15.613721
SPDYE2	8.772812	16.625957
MANF	7.418481	15.296351
DNAJA3	1.1277989	11.765886
ACTB	10.156212	14.859171
SNRNP25	8.661094	14.132134
HMGCR	10.4424305	14.3597975
NSL1	8.484503	15.360067
TMX2	5.401246	9.102748
NDUFS3	8.326837	14.555127
TLN1	6.6786165	14.6465
POLR2E	5.801695	11.768324
CDC42	11.422012	11.397824
PCBP2	8.78825	15.318788
EIF5	7.6032166	13.141177
OR1E2	6.523213	16.247227
OR2A1	7.107408	15.5678425
CCT3	10.035246	12.660114
TAF7	5.2729497	9.147101
MRPL24	11.409277	11.43061
SNRPD1	3.0469792	12.551643
PHB	1.2360562	11.655279
INTS5	2.8866143	11.067948
AURKAIP1	4.096561	13.713174
KCTD10	7.951764	14.486041
TRAPPC11	8.4851055	14.782132
URM1	10.767183	16.055511
C17orf58	4.355729	13.739261
EXOC2	6.628244	15.406615
MRPL43	12.876717	13.016688
SBNO1	6.962857	14.532048
PDCD6	8.035233	15.956305
PRMT1	11.15132	15.815722
CHCHD2	5.318871	14.816482
JAZF1	8.634923	16.056507
CAP1	11.259124	15.535929
DRG1	6.9474425	15.703528
HYPK	3.5938528	11.505281
MRPL14	11.600828	11.453241
ATP6V1E1	9.9512205	14.788583
SLC35G6	5.961741	14.739323
MCL1	10.996397	15.64061
CIAPIN1	9.709925	14.514835
SOD2	10.422061	15.887465
ALYREF	7.8598194	15.886644
PEX1	4.8930526	13.453983
YJEFN3	8.5835085	16.386673
MED22	5.725334	7.940832
ANKRD49	7.6959968	16.006924
HMGB1	6.860533	14.457814
RFC3	13.581345	13.172256
CDC7	11.35497	14.483891
ATF5	-0.96801335	14.105638
DICER1	6.941176	12.860805
CHMP2A	9.54582	14.306128
MRPS26	1.6104034	13.919969
RCC1	5.8343396	14.8662615
CDCA5	9.871449	15.156229
HMGA1	10.695811	15.897653
PFN1	9.016097	16.277445
NEDD1	12.63365	13.938979
HIST1H2BL	5.263263	13.7558
COPS6	3.3060555	12.184098
SEPHS2	6.866513	14.288287
DCTN4	6.7181916	13.647331
COX7C	9.542731	14.576063
DDX5	3.4216335	13.988708
THG1L	2.4241571	11.574559
TIMM13	1.9735019	12.256358
CYC1	10.759121	14.461867
WDR92	9.888354	14.794076
PSMG3	6.3759913	13.918918
RRS1	-0.109573886	14.35638
PSMG2	7.564934	15.382511
TERF2	2.6118119	13.483841
