run_id	context	model	role	training_seed	feature_seed	evaluation_setting	inference_family	reported_runtime_json	seed_semantics	endpoint_inference_seed	inference_overrides	inference_seed_record	registration_record	checkpoint_archive
m4|HCC1143|gears_hcc_formal_v1	HCC1143	gears_hcc_formal_v1	formal	not_applicable_or_not_recorded	not_applicable_or_not_recorded	all targets enter train/validation conditions; no held-out test target set	m4	"{""batch_size"": 32, ""device"": ""auto"", ""epochs"": 30, ""lr"": 0.001, ""max_cells_per_train_condition"": 64, ""max_control_cells"": 2048, ""perturbation_graph_k"": 8, ""prediction_num_samples"": 64, ""train_val_fraction"": 0.8, ""training_seed"": 123, ""weight_decay"": 1e-06}"	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20270803	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	reports/revision/finalization_v2/m4/model_training_evaluation_registry.tsv	not_in_this_training_archive
m4|HCC1143|geneformer_hcc_formal_v1	HCC1143	geneformer_hcc_formal_v1	formal	not_applicable_or_not_recorded	not_applicable_or_not_recorded	leave-one-target-out adapter/kernel prediction	m4	"{""batch_size"": 16, ""device"": ""auto"", ""inner_val_fraction"": 0.2, ""learning_rate"": 0.0001, ""max_epochs"": 30, ""top_k"": 4, ""training_seed"": 101, ""validation_fraction"": 0.2, ""weight_decay"": 0.0001}"	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20720456	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	reports/revision/finalization_v2/m4/model_training_evaluation_registry.tsv	not_in_this_training_archive
m4|HCC1143|lm_g_geneformer_ridge_hcc_formal_v1	HCC1143	lm_g_geneformer_ridge_hcc_formal_v1	formal	not_applicable_or_not_recorded	not_applicable_or_not_recorded	leave-one-target-out closed-form control	m4	"{""n_components"": 32, ""ridge_lambda"": 0.1}"	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20889924	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	reports/revision/finalization_v2/m4/model_training_evaluation_registry.tsv	not_in_this_training_archive
m4|HCC1143|lm_g_scgpt_ridge_hcc_formal_v1	HCC1143	lm_g_scgpt_ridge_hcc_formal_v1	formal	not_applicable_or_not_recorded	not_applicable_or_not_recorded	leave-one-target-out closed-form control	m4	"{""n_components"": 32, ""ridge_lambda"": 0.1}"	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20391472	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	reports/revision/finalization_v2/m4/model_training_evaluation_registry.tsv	not_in_this_training_archive
m4|HCC1143|lm_train_lowrank_hcc_formal_v1	HCC1143	lm_train_lowrank_hcc_formal_v1	formal	not_applicable_or_not_recorded	not_applicable_or_not_recorded	leave-one-target-out closed-form control	m4	"{""n_components"": 32, ""ridge_lambda"": 0.1}"	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20986790	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	reports/revision/finalization_v2/m4/model_training_evaluation_registry.tsv	not_in_this_training_archive
m4|HCC1143|null_model	HCC1143	null_model	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m4	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20467089	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m4|HCC1143|scgen_hcc_formal_v1	HCC1143	scgen_hcc_formal_v1	formal	not_applicable_or_not_recorded	not_applicable_or_not_recorded	same-context fit and latent target delta use each scored target's observed cells	m4	"{""batch_size"": 128, ""early_stopping_patience"": 10, ""max_epochs"": 100, ""seed"": 1}"	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20469856	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	reports/revision/finalization_v2/m4/model_training_evaluation_registry.tsv	not_in_this_training_archive
m4|HCC1143|scgpt_hcc_formal_v1	HCC1143	scgpt_hcc_formal_v1	formal	not_applicable_or_not_recorded	not_applicable_or_not_recorded	leave-one-target-out adapter/kernel prediction	m4	"{""batch_size"": 16, ""device"": ""auto"", ""inner_val_fraction"": 0.2, ""learning_rate"": 0.0001, ""max_epochs"": 30, ""top_k"": 4, ""training_seed"": 101, ""validation_fraction"": 0.2, ""weight_decay"": 0.0001}"	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	21233792	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	reports/revision/finalization_v2/m4/model_training_evaluation_registry.tsv	not_in_this_training_archive
m4|HCC1143|shared_mean_baseline	HCC1143	shared_mean_baseline	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m4	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20456800	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m4|HCC38|cellot_hcc_seed123_retrain_v1	HCC38	cellot_hcc_seed123_retrain_v1	formal	123	not_applicable_or_not_recorded	same-context fit includes scored-target cells; A010 formal seed-123 retraining	m4	"{""n_iters"": 1000, ""n_inner_iters"": 10, ""learning_rate"": 0.0001, ""batch_size"": 256, ""datasplit_random_state"": 0, ""checkpoint_selection"": ""沿用原训练程序的固定步数MMD最优model.pt，不用endpoint分数选checkpoint"", ""seed"": 123, ""runtime"": {""environment"": ""cellot"", ""device"": ""cpu"", ""torch_threads"": 1, ""torch_interop_threads"": 1, ""deterministic_algorithms"": true, ""max_workers"": 4, ""python_hash_seed"": 123, ""blas_threads"": 1}}"	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	21225699	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	reports/revision/finalization_v2/m4/model_training_evaluation_registry.tsv	WTShiftBench_v1.2.1_cellot_training_20260912.zip
m4|HCC38|cpa_v0.8.8	HCC38	cpa_v0.8.8	formal	not_applicable_or_not_recorded	not_applicable_or_not_recorded	same-context CPA fit includes all scored perturbation labels	m4	"{""batch_size"": 256, ""device"": ""cuda:0"", ""early_stopping_patience"": 15, ""max_epochs"": 400, ""n_latent"": 64, ""seed"": 1}"	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	21153634	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	reports/revision/finalization_v2/m4/model_training_evaluation_registry.tsv	not_in_this_training_archive
m4|HCC38|gears_hcc_formal_v1	HCC38	gears_hcc_formal_v1	formal	not_applicable_or_not_recorded	not_applicable_or_not_recorded	all targets enter train/validation conditions; no held-out test target set	m4	"{""batch_size"": 32, ""device"": ""auto"", ""epochs"": 30, ""lr"": 0.001, ""max_cells_per_train_condition"": 64, ""max_control_cells"": 2048, ""perturbation_graph_k"": 8, ""prediction_num_samples"": 64, ""train_val_fraction"": 0.8, ""training_seed"": 123, ""weight_decay"": 1e-06}"	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20286404	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	reports/revision/finalization_v2/m4/model_training_evaluation_registry.tsv	not_in_this_training_archive
m4|HCC38|geneformer_hcc_formal_v1	HCC38	geneformer_hcc_formal_v1	formal	not_applicable_or_not_recorded	not_applicable_or_not_recorded	leave-one-target-out adapter/kernel prediction	m4	"{""batch_size"": 16, ""device"": ""auto"", ""inner_val_fraction"": 0.2, ""learning_rate"": 0.0001, ""max_epochs"": 30, ""top_k"": 4, ""training_seed"": 101, ""validation_fraction"": 0.2, ""weight_decay"": 0.0001}"	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20995840	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	reports/revision/finalization_v2/m4/model_training_evaluation_registry.tsv	not_in_this_training_archive
m4|HCC38|lm_g_geneformer_ridge_hcc_formal_v1	HCC38	lm_g_geneformer_ridge_hcc_formal_v1	formal	not_applicable_or_not_recorded	not_applicable_or_not_recorded	leave-one-target-out closed-form control	m4	"{""n_components"": 32, ""ridge_lambda"": 0.1}"	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	21246951	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	reports/revision/finalization_v2/m4/model_training_evaluation_registry.tsv	not_in_this_training_archive
m4|HCC38|lm_g_scgpt_ridge_hcc_formal_v1	HCC38	lm_g_scgpt_ridge_hcc_formal_v1	formal	not_applicable_or_not_recorded	not_applicable_or_not_recorded	leave-one-target-out closed-form control	m4	"{""n_components"": 32, ""ridge_lambda"": 0.1}"	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20939060	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	reports/revision/finalization_v2/m4/model_training_evaluation_registry.tsv	not_in_this_training_archive
m4|HCC38|lm_train_lowrank_hcc_formal_v1	HCC38	lm_train_lowrank_hcc_formal_v1	formal	not_applicable_or_not_recorded	not_applicable_or_not_recorded	leave-one-target-out closed-form control	m4	"{""n_components"": 32, ""ridge_lambda"": 0.1}"	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20839302	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	reports/revision/finalization_v2/m4/model_training_evaluation_registry.tsv	not_in_this_training_archive
m4|HCC38|null_model	HCC38	null_model	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m4	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20595604	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m4|HCC38|scgen_hcc_formal_v1	HCC38	scgen_hcc_formal_v1	formal	not_applicable_or_not_recorded	not_applicable_or_not_recorded	same-context fit and latent target delta use each scored target's observed cells	m4	"{""batch_size"": 128, ""early_stopping_patience"": 10, ""max_epochs"": 100, ""seed"": 1}"	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20352964	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	reports/revision/finalization_v2/m4/model_training_evaluation_registry.tsv	not_in_this_training_archive
m4|HCC38|scgpt_hcc_formal_v1	HCC38	scgpt_hcc_formal_v1	formal	not_applicable_or_not_recorded	not_applicable_or_not_recorded	leave-one-target-out adapter/kernel prediction	m4	"{""batch_size"": 16, ""device"": ""auto"", ""inner_val_fraction"": 0.2, ""learning_rate"": 0.0001, ""max_epochs"": 30, ""top_k"": 4, ""training_seed"": 101, ""validation_fraction"": 0.2, ""weight_decay"": 0.0001}"	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	21246203	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	reports/revision/finalization_v2/m4/model_training_evaluation_registry.tsv	not_in_this_training_archive
m4|HCC38|shared_mean_baseline	HCC38	shared_mean_baseline	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m4	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20524132	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m5|Replogle K562 essential day 6|geneformer_embedding_kernel_loo	Replogle K562 essential day 6	geneformer_embedding_kernel_loo	formal	not_applicable_or_not_recorded	not_applicable_or_not_recorded	target-response-held-out LOO	m5	"{""model_id"": ""geneformer_embedding_kernel_loo"", ""display_name"": ""Geneformer kernel LOO"", ""model_family"": ""Geneformer"", ""method"": ""cosine_kernel_loo"", ""top_k"": 4, ""temperature"": 1.0}"	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	21048339	"{""bootstrap_replicates"": 5000, ""bootstrap_seed"": 20261101, ""target_identity_permutations"": 999, ""target_identity_seed"": 20261103}"	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/revision_m5_full_audit_v1.json	not_in_this_training_archive
m5|Replogle K562 essential day 6|geneformer_embedding_ridge_loo	Replogle K562 essential day 6	geneformer_embedding_ridge_loo	formal	not_applicable_or_not_recorded	42	target-response-held-out LOO	m5	"{""model_id"": ""geneformer_embedding_ridge_loo"", ""display_name"": ""Geneformer ridge LOO"", ""model_family"": ""linear_embedding"", ""method"": ""ridge_press_loo"", ""feature_source"": ""geneformer_embedding_pca"", ""n_components"": 32, ""ridge_lambda"": 0.1, ""feature_seed"": 42}"	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20494170	"{""bootstrap_replicates"": 5000, ""bootstrap_seed"": 20261101, ""target_identity_permutations"": 999, ""target_identity_seed"": 20261103}"	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/revision_m5_full_audit_v1.json	not_in_this_training_archive
m5|Replogle K562 essential day 6|chargram_lowrank_ridge_loo	Replogle K562 essential day 6	chargram_lowrank_ridge_loo	formal	not_applicable_or_not_recorded	42	target-response-held-out LOO	m5	"{""model_id"": ""chargram_lowrank_ridge_loo"", ""display_name"": ""Chargram ridge LOO"", ""model_family"": ""linear_symbolic"", ""method"": ""ridge_press_loo"", ""feature_source"": ""symbol_chargram_truncated_svd"", ""ngram_min"": 2, ""ngram_max"": 4, ""n_components"": 32, ""ridge_lambda"": 0.1, ""feature_seed"": 42}"	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	21119378	"{""bootstrap_replicates"": 5000, ""bootstrap_seed"": 20261101, ""target_identity_permutations"": 999, ""target_identity_seed"": 20261103}"	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/revision_m5_full_audit_v1.json	not_in_this_training_archive
m5|Replogle K562 essential day 6|observed_shift_oracle	Replogle K562 essential day 6	observed_shift_oracle	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m5	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	"{""bootstrap_replicates"": 5000, ""bootstrap_seed"": 20261101, ""target_identity_permutations"": 999, ""target_identity_seed"": 20261103}"	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
