output_id	context	model	role	n_targets	n_genes	target_axis	gene_axis	observed_file	observed_sha256	predicted_file	predicted_sha256	reference_seed	dtype	matrix_type	normalization	control_definition	archive
m3|HCC1143|observed_magnitude_random_direction_seed20260927	HCC1143	observed_magnitude_random_direction_seed20260927	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC1143.tsv.gz	453eb845e3ee1514b74d9453ba8f1903a0288832d4ec6d018ca572f7dd7361d9	generated:observed_magnitude_random_direction	generated_at_scoring	20260927	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m3|HCC1143|observed_magnitude_random_direction_seed20260928	HCC1143	observed_magnitude_random_direction_seed20260928	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC1143.tsv.gz	453eb845e3ee1514b74d9453ba8f1903a0288832d4ec6d018ca572f7dd7361d9	generated:observed_magnitude_random_direction	generated_at_scoring	20260928	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m3|HCC1143|observed_magnitude_random_direction_seed20260929	HCC1143	observed_magnitude_random_direction_seed20260929	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC1143.tsv.gz	453eb845e3ee1514b74d9453ba8f1903a0288832d4ec6d018ca572f7dd7361d9	generated:observed_magnitude_random_direction	generated_at_scoring	20260929	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m3|HCC38|observed_shift_oracle	HCC38	observed_shift_oracle	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC38.tsv.gz	3f142d64401398f5841d59f8a9137b274668b57cb16bb1723df2588663aa69f4	generated:observed_shift_oracle	generated_at_scoring		float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m3|HCC38|negated_oracle	HCC38	negated_oracle	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC38.tsv.gz	3f142d64401398f5841d59f8a9137b274668b57cb16bb1723df2588663aa69f4	generated:negated_oracle	generated_at_scoring		float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m3|HCC38|shared_mean_baseline	HCC38	shared_mean_baseline	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC38.tsv.gz	3f142d64401398f5841d59f8a9137b274668b57cb16bb1723df2588663aa69f4	data/predictions/hcc_scorer_ready/shared_mean_baseline/HCC38/predicted_shift.tsv.gz	041d4e995635f10a9abb138fd01a952b343a4b7f67e03c10adfcf51476a995a1		float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m3|HCC38|observed_magnitude_random_direction_seed20260920	HCC38	observed_magnitude_random_direction_seed20260920	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC38.tsv.gz	3f142d64401398f5841d59f8a9137b274668b57cb16bb1723df2588663aa69f4	generated:observed_magnitude_random_direction	generated_at_scoring	20260920	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m3|HCC38|observed_magnitude_random_direction_seed20260921	HCC38	observed_magnitude_random_direction_seed20260921	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC38.tsv.gz	3f142d64401398f5841d59f8a9137b274668b57cb16bb1723df2588663aa69f4	generated:observed_magnitude_random_direction	generated_at_scoring	20260921	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m3|HCC38|observed_magnitude_random_direction_seed20260922	HCC38	observed_magnitude_random_direction_seed20260922	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC38.tsv.gz	3f142d64401398f5841d59f8a9137b274668b57cb16bb1723df2588663aa69f4	generated:observed_magnitude_random_direction	generated_at_scoring	20260922	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m3|HCC38|observed_magnitude_random_direction_seed20260923	HCC38	observed_magnitude_random_direction_seed20260923	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC38.tsv.gz	3f142d64401398f5841d59f8a9137b274668b57cb16bb1723df2588663aa69f4	generated:observed_magnitude_random_direction	generated_at_scoring	20260923	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m3|HCC38|observed_magnitude_random_direction_seed20260924	HCC38	observed_magnitude_random_direction_seed20260924	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC38.tsv.gz	3f142d64401398f5841d59f8a9137b274668b57cb16bb1723df2588663aa69f4	generated:observed_magnitude_random_direction	generated_at_scoring	20260924	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m3|HCC38|observed_magnitude_random_direction_seed20260925	HCC38	observed_magnitude_random_direction_seed20260925	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC38.tsv.gz	3f142d64401398f5841d59f8a9137b274668b57cb16bb1723df2588663aa69f4	generated:observed_magnitude_random_direction	generated_at_scoring	20260925	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m3|HCC38|observed_magnitude_random_direction_seed20260926	HCC38	observed_magnitude_random_direction_seed20260926	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC38.tsv.gz	3f142d64401398f5841d59f8a9137b274668b57cb16bb1723df2588663aa69f4	generated:observed_magnitude_random_direction	generated_at_scoring	20260926	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m3|HCC38|observed_magnitude_random_direction_seed20260927	HCC38	observed_magnitude_random_direction_seed20260927	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC38.tsv.gz	3f142d64401398f5841d59f8a9137b274668b57cb16bb1723df2588663aa69f4	generated:observed_magnitude_random_direction	generated_at_scoring	20260927	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m3|HCC38|observed_magnitude_random_direction_seed20260928	HCC38	observed_magnitude_random_direction_seed20260928	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC38.tsv.gz	3f142d64401398f5841d59f8a9137b274668b57cb16bb1723df2588663aa69f4	generated:observed_magnitude_random_direction	generated_at_scoring	20260928	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m3|HCC38|observed_magnitude_random_direction_seed20260929	HCC38	observed_magnitude_random_direction_seed20260929	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC38.tsv.gz	3f142d64401398f5841d59f8a9137b274668b57cb16bb1723df2588663aa69f4	generated:observed_magnitude_random_direction	generated_at_scoring	20260929	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m4|HCC1143|cellot_hcc_seed123_retrain_v1	HCC1143	cellot_hcc_seed123_retrain_v1	formal	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC1143.tsv.gz	453eb845e3ee1514b74d9453ba8f1903a0288832d4ec6d018ca572f7dd7361d9	matrices/cellot_seed123/HCC1143.tsv.gz	c41f2a75439a9c5fbdb8937d69a8f13090eff92d54dbb5328e18e62489416243	not_applicable	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m4|HCC1143|cpa_v0.8.8	HCC1143	cpa_v0.8.8	formal	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC1143.tsv.gz	453eb845e3ee1514b74d9453ba8f1903a0288832d4ec6d018ca572f7dd7361d9	data/predictions/hcc_scorer_ready/cpa_v0.8.8/HCC1143/predicted_shift.tsv.gz	f8695b57bc78832647c12cba9f3b255b2f4c102fd63037b63ce7c6e19749178d	not_applicable	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m4|HCC1143|gears_hcc_formal_v1	HCC1143	gears_hcc_formal_v1	formal	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC1143.tsv.gz	453eb845e3ee1514b74d9453ba8f1903a0288832d4ec6d018ca572f7dd7361d9	data/predictions/hcc_scorer_ready/gears_hcc_formal_v1/HCC1143/predicted_shift.tsv.gz	ce1aecc47262a3afef2bc86e72b050bae72478ee92b5c1b7f81d63a317c3e5ab	not_applicable	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m4|HCC1143|geneformer_hcc_formal_v1	HCC1143	geneformer_hcc_formal_v1	formal	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC1143.tsv.gz	453eb845e3ee1514b74d9453ba8f1903a0288832d4ec6d018ca572f7dd7361d9	data/predictions/hcc_scorer_ready/geneformer_hcc_formal_v1/HCC1143/predicted_shift.tsv.gz	2abd50a0a5843c83ca60cfb679242cf05e798f4fca877a3e34f58d638c026d5d	not_applicable	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m4|HCC1143|lm_g_geneformer_ridge_hcc_formal_v1	HCC1143	lm_g_geneformer_ridge_hcc_formal_v1	formal	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC1143.tsv.gz	453eb845e3ee1514b74d9453ba8f1903a0288832d4ec6d018ca572f7dd7361d9	data/predictions/hcc_scorer_ready/lm_g_geneformer_ridge_hcc_formal_v1/HCC1143/predicted_shift.tsv.gz	f96020dcacc734dddd5bcc5e583ed1a430c370967a786b6bdb6ae3be39095c4f	not_applicable	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m4|HCC1143|lm_g_scgpt_ridge_hcc_formal_v1	HCC1143	lm_g_scgpt_ridge_hcc_formal_v1	formal	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC1143.tsv.gz	453eb845e3ee1514b74d9453ba8f1903a0288832d4ec6d018ca572f7dd7361d9	data/predictions/hcc_scorer_ready/lm_g_scgpt_ridge_hcc_formal_v1/HCC1143/predicted_shift.tsv.gz	7335bcbd4a60a26f4363e58471855c17273c3a69cca46d0c06984cd56a59232d	not_applicable	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m4|HCC1143|lm_train_lowrank_hcc_formal_v1	HCC1143	lm_train_lowrank_hcc_formal_v1	formal	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC1143.tsv.gz	453eb845e3ee1514b74d9453ba8f1903a0288832d4ec6d018ca572f7dd7361d9	data/predictions/hcc_scorer_ready/lm_train_lowrank_hcc_formal_v1/HCC1143/predicted_shift.tsv.gz	5145a3ba8f3da1e3fe70810486c04685fb69792102bf11aacbbde052548d9b5d	not_applicable	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m4|HCC1143|null_model	HCC1143	null_model	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC1143.tsv.gz	453eb845e3ee1514b74d9453ba8f1903a0288832d4ec6d018ca572f7dd7361d9	data/predictions/hcc_scorer_ready/null_model/HCC1143/predicted_shift.tsv.gz	7b30fce1958afffa972936f0550b5ed33031adb035a40537085238c4bb3c4689	not_applicable	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m4|HCC1143|scgen_hcc_formal_v1	HCC1143	scgen_hcc_formal_v1	formal	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC1143.tsv.gz	453eb845e3ee1514b74d9453ba8f1903a0288832d4ec6d018ca572f7dd7361d9	data/predictions/hcc_scorer_ready/scgen_hcc_formal_v1/HCC1143/predicted_shift.tsv.gz	c00cc60f93f4bc45ddb71efe7975d652dcd6ecd4e2104b844e3c15e7d9493aba	not_applicable	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m4|HCC1143|scgpt_hcc_formal_v1	HCC1143	scgpt_hcc_formal_v1	formal	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC1143.tsv.gz	453eb845e3ee1514b74d9453ba8f1903a0288832d4ec6d018ca572f7dd7361d9	data/predictions/hcc_scorer_ready/scgpt_hcc_formal_v1/HCC1143/predicted_shift.tsv.gz	ba7c5159a50701924cd127d470f31520e0825cfb7fd4065ea30d6bb813b53fc1	not_applicable	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m4|HCC1143|shared_mean_baseline	HCC1143	shared_mean_baseline	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC1143.tsv.gz	453eb845e3ee1514b74d9453ba8f1903a0288832d4ec6d018ca572f7dd7361d9	data/predictions/hcc_scorer_ready/shared_mean_baseline/HCC1143/predicted_shift.tsv.gz	a367bf5953e29a2096b1ad3785520ca1fb096b741a565539d0edbe87629b3f61	not_applicable	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m4|HCC38|cellot_hcc_seed123_retrain_v1	HCC38	cellot_hcc_seed123_retrain_v1	formal	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC38.tsv.gz	3f142d64401398f5841d59f8a9137b274668b57cb16bb1723df2588663aa69f4	matrices/cellot_seed123/HCC38.tsv.gz	e3f46f0237892717d340ded1d0c870898fc211650d7c866a13aef95f9569a1f1	not_applicable	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m4|HCC38|cpa_v0.8.8	HCC38	cpa_v0.8.8	formal	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC38.tsv.gz	3f142d64401398f5841d59f8a9137b274668b57cb16bb1723df2588663aa69f4	data/predictions/hcc_scorer_ready/cpa_v0.8.8/HCC38/predicted_shift.tsv.gz	b3feec83b9318e297583b6ee3c39b7c13e06c0eaaf71c9769a116c2ee3423699	not_applicable	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m4|HCC38|gears_hcc_formal_v1	HCC38	gears_hcc_formal_v1	formal	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC38.tsv.gz	3f142d64401398f5841d59f8a9137b274668b57cb16bb1723df2588663aa69f4	data/predictions/hcc_scorer_ready/gears_hcc_formal_v1/HCC38/predicted_shift.tsv.gz	f6e24e099edb022244ac52c3c782fe2bff03d495787e6ffbb849c0403f47a2df	not_applicable	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m4|HCC38|geneformer_hcc_formal_v1	HCC38	geneformer_hcc_formal_v1	formal	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC38.tsv.gz	3f142d64401398f5841d59f8a9137b274668b57cb16bb1723df2588663aa69f4	data/predictions/hcc_scorer_ready/geneformer_hcc_formal_v1/HCC38/predicted_shift.tsv.gz	b083f38585ef88be27bb978159a519919cb6f859e85338ad53053303fa36c09e	not_applicable	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m4|HCC38|lm_g_geneformer_ridge_hcc_formal_v1	HCC38	lm_g_geneformer_ridge_hcc_formal_v1	formal	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC38.tsv.gz	3f142d64401398f5841d59f8a9137b274668b57cb16bb1723df2588663aa69f4	data/predictions/hcc_scorer_ready/lm_g_geneformer_ridge_hcc_formal_v1/HCC38/predicted_shift.tsv.gz	7c737fe16da8648358238dc72bada9983206c5d9d3e2c88f0f5d55554d99fe46	not_applicable	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m4|HCC38|lm_g_scgpt_ridge_hcc_formal_v1	HCC38	lm_g_scgpt_ridge_hcc_formal_v1	formal	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC38.tsv.gz	3f142d64401398f5841d59f8a9137b274668b57cb16bb1723df2588663aa69f4	data/predictions/hcc_scorer_ready/lm_g_scgpt_ridge_hcc_formal_v1/HCC38/predicted_shift.tsv.gz	9e22aefc51a9e60b66ff083da4e42368efd635c6af35b62bfdb5499f9b056023	not_applicable	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m4|HCC38|lm_train_lowrank_hcc_formal_v1	HCC38	lm_train_lowrank_hcc_formal_v1	formal	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC38.tsv.gz	3f142d64401398f5841d59f8a9137b274668b57cb16bb1723df2588663aa69f4	data/predictions/hcc_scorer_ready/lm_train_lowrank_hcc_formal_v1/HCC38/predicted_shift.tsv.gz	76595c8d8d3ad45feffad91b9039168cb26d86c0769dc21c43c371f065e30bf3	not_applicable	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
