context	profile	umap1	umap2	is_control
HCC38	YBX1	0.015103436075150967	2.557588815689087	False
HCC38	ZBTB17	1.70743727684021	3.0639545917510986	False
HCC38	ZBTB20	-0.40055161714553833	5.7533979415893555	False
HCC38	ZBTB5	0.6255407929420471	5.1982011795043945	False
HCC38	ZNF131	0.23494814336299896	6.12861967086792	False
HCC38	ZNF24	-0.6282921433448792	4.147018909454346	False
HCC38	ZNF566	1.2197508811950684	5.643124103546143	False
HCC1143	control	5.943431377410889	3.564429998397827	True
HCC1143	ARID1A	5.326613903045654	2.5981884002685547	False
HCC1143	BMPR1A	5.735822677612305	4.945460796356201	False
HCC1143	CDKN2A	6.407556533813477	3.793292760848999	False
HCC1143	COMMD6	4.27923059463501	2.8458757400512695	False
HCC1143	ENY2	4.412012100219727	3.759512424468994	False
HCC1143	ERC1	3.767275094985962	2.966454267501831	False
HCC1143	ETV3	6.529021263122559	4.608123779296875	False
HCC1143	GON4L	7.626965522766113	4.45113468170166	False
HCC1143	HDGF	6.860710144042969	4.253717422485352	False
HCC1143	HLX	7.776236057281494	3.7328927516937256	False
HCC1143	KLF3	6.088342189788818	3.9087870121002197	False
HCC1143	LAMTOR5	3.7114453315734863	2.585392713546753	False
HCC1143	MAML3	3.93117618560791	4.361451625823975	False
HCC1143	MIER1	3.1981565952301025	4.747197151184082	False
HCC1143	MTDH	5.116885185241699	4.738487720489502	False
HCC1143	MYBL1	5.56870174407959	4.487830638885498	False
HCC1143	NCOA1	6.636699676513672	2.92720627784729	False
HCC1143	NPM1	6.460617542266846	5.114940166473389	False
HCC1143	PA2G4	5.310665607452393	3.3915464878082275	False
HCC1143	PARK7	3.3795230388641357	3.481804132461548	False
HCC1143	PCBD1	4.849058151245117	4.172760486602783	False
HCC1143	PEX14	5.807249069213867	2.6974825859069824	False
HCC1143	PFDN5	6.124223232269287	5.542069435119629	False
HCC1143	PMF1	4.9953227043151855	6.160761833190918	False
HCC1143	PRDX2	4.605700492858887	5.96426248550415	False
HCC1143	PRPF6	8.101171493530273	4.256793022155762	False
HCC1143	RORC	7.216287136077881	4.720755100250244	False
HCC1143	RPS3	5.756421089172363	3.887739896774292	False
HCC1143	RUVBL2	3.219010829925537	5.389406204223633	False
HCC1143	SMAD1	3.83758544921875	3.657460927963257	False
HCC1143	STAT3	4.959218978881836	3.1120808124542236	False
HCC1143	TAB3	4.03501558303833	2.186943292617798	False
HCC1143	TADA3	7.195237159729004	3.5311670303344727	False
HCC1143	THAP8	7.539765357971191	5.657246112823486	False
HCC1143	THRA	6.179967880249023	3.0742897987365723	False
HCC1143	TMF1	4.089914798736572	4.208193302154541	False
HCC1143	TMSB4X	6.806154251098633	3.6219735145568848	False
HCC1143	UBP1	3.6951382160186768	5.256480693817139	False
HCC1143	VEZF1	7.258550643920898	4.126148223876953	False
HCC1143	XBP1	4.622771739959717	4.876387596130371	False
HCC1143	YBX1	3.1567931175231934	4.224655628204346	False
HCC1143	ZBTB17	3.6861982345581055	5.885105133056641	False
HCC1143	ZBTB20	5.048190593719482	3.6833035945892334	False
HCC1143	ZBTB5	4.911611080169678	2.4669365882873535	False
HCC1143	ZNF131	7.4896559715271	3.228759527206421	False
HCC1143	ZNF24	4.5583696365356445	2.1585867404937744	False
HCC1143	ZNF566	7.288137912750244	6.05203914642334	False
K562 7d	control	38.527374267578125	15.182329177856445	True
K562 7d	CREB1	38.833126068115234	15.968850135803223	False
K562 7d	E2F4	38.062461853027344	17.720003128051758	False
K562 7d	EGR1	40.55795669555664	15.972433090209961	False
K562 7d	ELF1	39.38759994506836	17.952911376953125	False
K562 7d	ELK1	39.79161071777344	16.590059280395508	False
K562 7d	ETS1	40.64326095581055	17.16521644592285	False
K562 7d	GABPA	39.102691650390625	17.17169761657715	False
K562 7d	IRF1	39.652374267578125	15.167753219604492	False
K562 7d	NR2C2	37.69041061401367	15.874521255493164	False
K562 7d	YY1	37.74470138549805	16.68938636779785	False
K562 13d	control	5.131092071533203	-7.357706069946289	True
K562 13d	CREB1	5.460148811340332	-9.010440826416016	False
K562 13d	E2F4	4.987846374511719	-8.189717292785645	False
K562 13d	EGR1	5.831075191497803	-8.090229988098145	False
K562 13d	ELF1	4.10812520980835	-8.549774169921875	False
K562 13d	ELK1	6.656441688537598	-7.623875141143799	False
K562 13d	ETS1	5.2062087059021	-6.346015453338623	False
K562 13d	GABPA	5.984195232391357	-6.919660568237305	False
K562 13d	IRF1	6.431313514709473	-8.710470199584961	False
K562 13d	NR2C2	3.9432199001312256	-7.594933032989502	False
K562 13d	YY1	4.431514263153076	-6.725462436676025	False
