target_gene	n_cell_lines	q1_anchor_count	q2_count	q3_count	q4_count	shift_quantile_mean	depmap_quantile_mean	shift_value_mean	depmap_strength_mean	shared_anchor_call
TMSB4X	2	0	0	0	1	0.13785460992907803	0.43439716312056736	0.0042415240666061	0.11322710220242856	not_shared_canonical_anchor
NCOA1	2	0	0	0	0	0.09552304964539007	0.44259751773049644	0.0041280308638726	0.0354239036373806	not_shared_canonical_anchor
ZNF24	2	0	0	0	1	0.07335992907801418	0.32779255319148937	0.0041663264656091	0.0247788636321067	not_shared_canonical_anchor
MAML3	2	0	0	0	2	0.05230496453900709	0.1163563829787234	0.00409706284417655	0.00728443701388705	not_shared_canonical_anchor
PRPF6	2	2	0	0	0	0.9895833333333333	0.9524601063829787	0.01494553190008385	0.9986398078273973	shared_canonical_anchor
PMF1	2	2	0	0	0	0.9153368794326242	0.9162234042553192	0.0109882755714093	0.9744461229672754	shared_canonical_anchor
ZNF131	2	2	0	0	0	0.905363475177305	0.8526152482269503	0.0101988361608718	0.8043337303914575	shared_canonical_anchor
RUVBL2	2	2	0	0	0	0.8623670212765957	0.9418218085106382	0.010091443881897949	0.9890147241437666	shared_canonical_anchor
ZBTB17	2	2	0	0	0	0.8413120567375887	0.799645390070922	0.0092668674039283	0.5106421521353213	shared_canonical_anchor
RPS3	2	2	0	0	0	0.8322251773049645	0.9790558510638299	0.008776067465386301	1.0	shared_canonical_anchor
PFDN5	2	2	0	0	0	0.8315602836879432	0.8840868794326242	0.0096754645617479	0.8948474981425748	shared_canonical_anchor
