pathway	ES	NES	pval	padj	log2err	size	n_genes_in_set	direction	leading_edge	context	contrast_id	positive_category	negative_category	collection	ranking_method	claim_boundary	padj_within_context_contrast	display_label	q_value	minus_log10_FDR	term_order
Mitotic Prometaphase R-HSA-68877	-0.755629079174107	-1.69519267463754	2.4513588070664e-07	0.0001742916111824	0.674962860011025	183	186	down	HSP90AA1;SPDL1;CENPF;SMC4;TUBB;SMC1A;BIRC5;PMEPA1;CCNB2;SDCCAG8;RANGAP1;CDC20;TUBB4B;SKA2;NUDC;CCNB1;ZWINT;NDC80;PRKCA;CENPU;ITGB3BP;CENPE;XPO1;SSNA1;MZT2B;AHCTF1;YWHAE;KANSL1;NCAPG;SPC25;DYNC1H1;MZT2A;CLASP1;ALMS1;KIF18A;PLK1;CEP135;KNL1;PPP2R5E;NUP107;HAUS8;BUB1;CCP110;KIF2A;DCTN1;PPP2R5A;TUBGCP5;CEP70;CEP290;SEC13;TUBG1;KIF2C;CEP192;KNTC1;RCC2;CENPM;NCAPD2;EML4;CKAP5;CEP57;RANBP2;CEP250;HDAC8;PPP2R5C;CETN2;CENPN;NINL;SEH1L;BUB1B;ZWILCH;STAG2;NUP160;HAUS4;PDS5B;DSN1;AURKB;CENPK;PCNT;PDS5A;NUP37;HAUS1;ERCC6L;CDK5RAP2;CLASP2;NUP98;SMC3;CSNK2A2;NEK2;CEP152;NCAPH;PCM1;YWHAG;TUBA4A;PLK4;NUP43;CEP131;NEK6;ODF2;DYNC1LI2;SPC24;TUBGCP6;CEP78;CENPO;INCENP;CENPP;HAUS5;CEP72;RAD21;B9D2;SFI1;NEK7	HCC1143	endpoint_anchor_vs_middle	endpoint_anchor	middle	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.0001742916111824	"Mitotic
prometaphase"	0.0001742916111824	3.7587235153849448	5
Mitotic Prometaphase R-HSA-68877	-0.544798043120137	-1.28664652347918	0.0349867648751295	0.26604908905045	0.0815460312657354	183	186	down	TUBB;RAD21;SMC3;SMC1A;YWHAE;HSP90AA1;NUP160;PRKCA;DYNC1I2;MZT2A;CEP78;SMC4;BIRC5;DCTN1;HAUS1;STAG2;RANGAP1;BUB3;RANBP2;SSNA1;RPS27;ZWINT;DYNC1H1;DYNC1LI1;NEK6;HAUS5;AKAP9;HAUS8;NUDC;NDC80;YWHAG;PLK1;XPO1;HAUS2;CSNK2A2;CEP192;CEP290;PLK4;PCNT;CDK5RAP2;KIF18A;TUBGCP3;CEP135;KNTC1;CLIP1;PCM1;CENPE;CENPI;NCAPG;KANSL1;NME7;SFI1;BUB1;CEP57;NINL;HDAC8;NUMA1;DSN1;DYNC1I1;NEDD1;TAOK1;CENPA;CENPF;CENPL;NCAPD2;MZT1;KNL1;NUP98;NUP133;INCENP;SEC13;PPP2R1A;RCC2;TUBGCP2;SPC25;WAPL;CLASP1;KIF2A;CENPM;TUBB4B;CENPN;PPP2CB;PPP1CC;ODF2;PPP2CA;MIS12;CEP72;CENPU;ACTR1A	HCC38	endpoint_anchor_vs_middle	endpoint_anchor	middle	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.26604908905045	"Mitotic
prometaphase"	0.26604908905045	0.5750382237568876	5
Cell Cycle Checkpoints R-HSA-69620	-0.689934694411358	-1.58530495090008	5.4958570883535e-06	0.0015630217559277	0.610526878385931	251	271	down	SPDL1;CENPF;CLSPN;PSMA1;PSMD2;NSD2;MCM4;BIRC5;PSMB1;PSME1;CCNB2;PSMC5;RANGAP1;CDC20;SKA2;MDM2;MCM5;NUDC;CCNB1;ZWINT;NDC80;CENPU;ITGB3BP;RFC3;CENPE;XPO1;MCM7;PSMC1;PSME4;MCM10;AHCTF1;YWHAE;KANSL1;ORC3;HERC2;SPC25;DYNC1H1;PSMA4;CLASP1;PSMD11;RPA3;MCM6;PSMA5;KIF18A;MCM3;CDC45;PLK1;PSMD12;CCNA2;PSMB7;GTSE1;KNL1;PPP2R5E;TOP3A;NUP107;DBF4;PSMB9;PSMB4;PSMB3;BLM;RNF168;BUB1;KIF2A;BRCA1;PSMB5;YWHAZ;PPP2R5A;PSMC3;SEC13;CCNE2;KIF2C;PSMA3;KNTC1;PSMA2;PSME2;MCM8;RCC2;CENPM;BRIP1;PSMD3;PSMD14;CKAP5;RFC5;RANBP2;PSMD4;PPP2R5C;CHEK2;CENPN;BARD1;WRN;SEH1L;YWHAH;BUB1B;ZWILCH;NUP160;DSN1;AURKB;CENPK;ANAPC7;CDK2;TOPBP1;RMI1;NUP37;PHF20;CDC7;ERCC6L;CLASP2;NUP98;BRCC3;SEM1;CDC16;YWHAB;BABAM2;RMI2;ARTN;YWHAG;CCNE1;RBBP8;ANAPC10;NUP43;RAD17;RAD9A;ANAPC1;PSMC4;DYNC1LI2;SPC24;PSMB8;PSMB2;PSMD10;CDC6;ORC4;CENPO;ABRAXAS1;INCENP;PSMD9;CENPP;MRE11;MDC1;B9D2;ATM;PSMB6;ANAPC16;CLIP1;RFC2;SLC25A15;DYNLL2;PSMB10;NUP85;TP53;TP53BP1;CDCA8	HCC1143	endpoint_anchor_vs_middle	endpoint_anchor	middle	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.0015630217559277	"Cell-cycle
checkpoints"	0.0015630217559277	2.806034976930531	6
Cell Cycle Checkpoints R-HSA-69620	-0.593015768033406	-1.42776511627254	0.0008908304842564	0.0324810499644276	0.477270815362862	251	271	down	PSMA1;YWHAZ;PSMC6;PSMB1;YWHAE;PSMD4;PSMA2;PSMD2;PSMA3;PSMD3;NUP160;PSMC5;DYNC1I2;PSMC3;PSMD14;YWHAB;PSMD13;REXO2;MCM4;YWHAH;PSMB6;PSMC1;BARD1;POLR1B;MCM10;MCM5;BIRC5;RBBP8;RANGAP1;PSME4;PSMD12;BUB3;RANBP2;RPS27;ZWINT;PSMB7;RFC5;DYNC1H1;DYNC1LI1;UIMC1;HERC2;CCNA2;RPS27A;NUDC;NDC80;CDC45;ATM;YWHAG;ANAPC1;CDC6;PLK1;XPO1;CDC16;PSMD6;CDC26;CDC23;DNA2;KIF18A;KNTC1;CLIP1;ANAPC11;CENPE;CENPI;BRCC3;MDM4;ANAPC10;SEM1;EXO1;CDK2;KANSL1;PSME3;MDM2;PSMB2;BUB1;DBF4;RMI2;TOP3A;DSN1;PSMD11;DYNC1I1;NSD2;BRCA1;TAOK1;MDC1;ANAPC5;PSMA7;PSMB10;CCNE1;BRIP1;CENPA;CENPF;GTSE1;PKMYT1;CENPL;MCM6;RPA3;CLSPN;KNL1;NUP98;NUP133;INCENP;ATRIP;SEC13;WRN;RFC3;PPP2R1A;ANAPC4;ORC4;CDKN1B;PIAS4;RCC2;ANAPC15;SPC25;CLASP1;KIF2A;CENPM;CENPN;HUS1;MCM3;PPP2CB;PPP1CC;CDC25C;PSMB3;PPP2CA;ORC3;MIS12;PHF20;CENPU;PSMB5;CDC7	HCC38	endpoint_anchor_vs_middle	endpoint_anchor	middle	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.0324810499644256	"Cell-cycle
checkpoints"	0.0324810499644256	1.488369940441144	6
Resolution Of Sister Chromatid Cohesion R-HSA-2500257	-0.773100083420925	-1.64765970887865	3.34827130328949e-05	0.005951552241597	0.557332238758646	104	106	down	SPDL1;CENPF;SMC1A;BIRC5;PMEPA1;CCNB2;RANGAP1;CDC20;SKA2;NUDC;CCNB1;ZWINT;NDC80;CENPU;ITGB3BP;CENPE;XPO1;AHCTF1;KANSL1;SPC25;DYNC1H1;CLASP1;KIF18A;PLK1;KNL1;PPP2R5E;NUP107;BUB1;KIF2A;PPP2R5A;SEC13;KIF2C;KNTC1;RCC2;CENPM;CKAP5;RANBP2;HDAC8;PPP2R5C;CENPN;SEH1L;BUB1B;ZWILCH;STAG2;NUP160;PDS5B;DSN1;AURKB;CENPK;PDS5A;NUP37;ERCC6L;CLASP2;NUP98;SMC3	HCC1143	endpoint_anchor_vs_middle	endpoint_anchor	middle	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.005951552241597	"Sister chromatid
cohesion"	0.005951552241597	2.225369749894708	7
Resolution Of Sister Chromatid Cohesion R-HSA-2500257	-0.517893149836345	-1.16613772416904	0.185442802136381	0.591328301256162	0.0344445284087729	104	106	down	RAD21;SMC3;SMC1A;NUP160;DYNC1I2;BIRC5;STAG2;RANGAP1;BUB3;RANBP2;RPS27;ZWINT;DYNC1H1;DYNC1LI1;NUDC;NDC80;PLK1;XPO1;KIF18A;KNTC1;CLIP1;CENPE;CENPI;KANSL1;BUB1;HDAC8;DSN1;DYNC1I1;TAOK1;CENPA;CENPF;CENPL;KNL1;NUP98;NUP133;INCENP;SEC13;PPP2R1A;RCC2;SPC25;WAPL;CLASP1;KIF2A;CENPM;CENPN;PPP2CB;PPP1CC;PPP2CA;MIS12;CENPU;NDEL1	HCC38	endpoint_anchor_vs_middle	endpoint_anchor	middle	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.5913283012561632	"Sister chromatid
cohesion"	0.5913283012561632	0.2281713349612369	7
RHO GTPase Cycle R-HSA-9012999	-0.639623586565301	-1.51595154495933	1.91121233568499e-06	0.000679435985336	0.627256739718528	438	441	down	HSP90AA1;ARHGAP29;TRIO;CAV1;SRGAP1;TUBA1B;HSP90AB1;ITGB1;ACTG1;RASAL2;LMNB1;VCP;HSPE1;VIM;TPM4;CCT6A;TMPO;SPTBN1;ANLN;AKAP13;CLTC;HNRNPC;ARHGDIA;DOCK5;NUDC;PKN2;TPM3;IQGAP1;BASP1;UACA;CKB;DST;PCDH7;C1QBP;DDX39B;ACTN1;DIAPH1;ECT2;PKP4;CCDC88A;JAG1;ARHGAP21;CKAP4;TAOK3;HINT2;NIPSNAP2;TIAM2;MYO6;SLC4A7;ERBIN;NCOA3;FMNL2;ITSN1;STIP1;KTN1;CUL3;NDUFA5;MYO9A;RBMX;FAF2;ARHGAP8;ROCK2;STARD13;SRGAP2;TFRC;DOCK1;TWF1;SCRIB;CCP110;ARHGAP12;ARHGEF3;CAVIN1;FAM13B;CDC42BPA;CCT2;ARHGEF28;KIF14;ARHGAP42;ABR;BCAP31;VAV2;GPS1;DAAM1;RALGAPA1;RHPN2;ARL13B;SAMM50;ARHGAP32;MSI2;SPATA13;TIAM1;SOS2;RACGAP1;MYO9B;FARP1;FARP2;LBR;SWAP70;NHS;DIAPH3;ARHGAP39;DOCK9;RAPGEF1;ARHGEF4;CDC42;WWP2;KCTD3;OBSCN;FAM13A;FNBP1;SYDE1;AKAP12;ABI2;ARHGAP11B;OPHN1;ANKRD26;GOLGA3;CDC42BPB;ARHGEF10;CYFIP1;RNF20;BAIAP2L1;NSFL1C;SLK;NCK2;PHIP;SRRM1;ARHGEF18;LRRC1;TRIP10;SOS1;ADD3;RHPN1;ANKFY1;NCKAP1;DOCK10;EFHD2;MACO1;ARHGEF39;ARHGAP10;LETM1;PGRMC2;ABCD3;MTR;ARHGAP27;SCFD1;AAAS;SH3BP1;ARFGAP3;DEPDC1B;PAK4;DIAPH2;ARHGEF9;DLC1;ALDH3A2;ANKLE2;ROCK1;PRKCSH;VAV3;FGD4;RTKN;ARHGAP26;MCAM;SHMT2;STK10;ARHGAP11A;HOMER2;ARHGAP18;BAIAP2;PLEKHG3;ARAP2;PTPN13;PLEKHG5;RAB7A;PDE5A;SH3RF1;STAM2;OCRL;PLEKHG1;MTMR1;ARFGAP2;GIT1;DLG5;FAM83B;NGEF;REPS1;ARHGAP28;NCK1;KIDINS220;PICALM;ZNF512B;IQGAP3;DNMBP;PEAK1;PLEKHG6;PKN1;ARHGEF17;GRB2;GIT2;WASF1;ARHGAP24;SH3PXD2A	HCC1143	endpoint_anchor_vs_middle	endpoint_anchor	middle	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.000679435985336	"RHO GTPase
cycle"	0.000679435985336	3.1678514550830297	8
RHO GTPase Cycle R-HSA-9012999	-0.57789352026053	-1.42816493654218	7.94244318391761e-05	0.0035294231898533	0.538434096309916	438	441	down	VIM;CAV1;ACTG1;DOCK10;ITGB1;CAVIN1;NSFL1C;PRAG1;VCP;FMNL2;ARHGAP29;HSP90AB1;TAOK3;DSG2;TMPO;RASAL2;TPM3;DIAPH1;SRGAP1;DOCK5;IQGAP1;C1QBP;SH3RF1;HSP90AA1;TPM4;KTN1;SCFD1;DIAPH3;DIAPH2;CCT6A;ROCK1;UACA;SLC1A5;TMOD3;RHOG;NDUFA5;HSPE1;MYO9B;ANLN;LMNB1;ARHGEF7;SPTBN1;LMAN1;CDC37;RNF20;MYO6;TUBA1B;SLC4A7;FLOT2;COPS4;ARHGAP11A;DEPDC1B;FARP2;ARHGDIA;FGD4;CCT2;FERMT2;TJP2;ARHGAP1;STK10;EFHD2;NCKAP1;CLTC;ARHGEF3;TWF1;DST;CDC42;DBN1;DBT;PAK4;ERBIN;RBBP6;AKAP13;NUDC;CKAP4;OPHN1;ARHGAP27;RRAS2;RHPN2;OSBPL11;SH3PXD2A;USP9X;PHIP;NHS;CSK;TRA2B;CPSF7;JUP;AMIGO2;HGS;FARP1;ROCK2;TFRC;PGRMC2;PLEKHG4B;ARHGAP8;MCAM;GIT2;ARHGEF16;TXNL1;WDR91;MACO1;RAB7A;RHOQ;SOS1;LBR;RASGRF2;ARHGEF28;EMD;LRRC1;SH3BP1;CAPZB;ARHGEF2;ARHGAP45;DNMBP;MOSPD2;RAPGEF1;ABI1;PRPF38B;ARHGEF9;CPNE8;PRKCSH;ESYT1;OBSCN;ATP6AP1;RHOD;ACTN1;WASF2;PLXNA1;ARHGAP10;FNBP1L;ITSN1;ARHGAP18;GMIP;PTPN13;RBMX;RHOF;FAM13B;TRIP10;VAPB;LEMD3;AKAP12;CEP97;PCDH7;ABI2;PLEKHG5;ARHGAP32;ARL13B;PTK2B;ARHGAP17;LETM1;SLK;STAM;PKN1;FAF2;CYFIP1;DOCK7;ARHGEF5;CDC42EP1;CUL3;DOCK1;SPATA13;ARHGEF10L;STIP1;SRGAP2;SOWAHC;ALS2;VAMP3;YKT6;SPTAN1;ARHGEF11;EPSTI1;DEF6;SYDE1;ARHGAP22;KCTD3;RHOBTB2;DOCK4;BAIAP2L1;REPS1;SEMA4F	HCC38	endpoint_anchor_vs_middle	endpoint_anchor	middle	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.0035294231898533	"RHO GTPase
cycle"	0.0035294231898533	2.452296265131337	8
Extracellular Matrix Organization R-HSA-1474244	-0.631471531938125	-1.46603375072632	0.0005771702344099	0.0410368036665483	0.477270815362862	291	291	down	ITGB1;CTSD;ITGB4;PPIB;PTPRS;ITGA3;LAMB1;COL18A1;THBS1;EFEMP1;PRKCA;CAPNS1;DST;LMNB2;ITGA6;ACTN1;PLOD2;CTSB;PLEC;CTSV;COL6A2;ADAM9;COL12A1;P4HB;CD44;COL6A1;PXDN;PLOD1;ADAM12;ITGAV;SERPINH1;CAPN1;HSPG2;P3H2;NTN4;DAG1;ADAM10;ITGB5;ADAM19;ITGA4;PCOLCE2;CXXC1;BSG;CAPN2;LOXL2;COL5A1;FBLN1;COLGALT1;LAMC1;NCAM1;COL4A1;TGFB2;LAMA4;AGRN;CAPN15;COL8A1;ADAM15;ITGB8;VCAN;DDR1;COL4A2;SDC1;P3H3;LTBP1;LTBP3;ITGAE;PDGFB;PCOLCE;PLOD3;LAMC3;COL4A5;CAPN7;SERPINE1;CASK;FBLN2;FBN2;CD151	HCC1143	endpoint_anchor_vs_middle	endpoint_anchor	middle	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.0410368036665438	"Extracellular matrix
organization"	0.0410368036665438	1.3868264735307931	9
Extracellular Matrix Organization R-HSA-1474244	-0.555299340457348	-1.34810620112365	0.0042483660130719	0.0990356798457088	0.232056818075608	291	291	down	PLOD2;ITGB1;CTSB;PLEC;KLK7;CD44;ITGA4;CAPN2;PRKCA;PLOD1;LOXL2;P4HB;TGFB2;CRTAP;DDR2;TIMP2;TRAPPC4;COL6A2;TIMP1;MMP7;COLGALT1;ITGA3;LAMC2;ADAM10;COL24A1;CAPN7;DST;PPIB;CASK;COL18A1;COL4A1;CTSD;LAMA4;SH3PXD2A;COL6A1;PXDN;PCOLCE2;ITGA5;CTSL;ITGB5;LAMC1;LAMB1;ITGAE;PDGFA;PSEN1;CAPN1;FURIN;P4HA1;P3H2;HAPLN1;ACTN1;CAPN15;P4HA2;MFAP3;COL6A3;HSPG2;CD151;DAG1;LAMB3;SDC4	HCC38	endpoint_anchor_vs_middle	endpoint_anchor	middle	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.0990356798457089	"Extracellular matrix
organization"	0.0990356798457089	1.0042083127917623	9
