axis_id	database	term	NES_or_effect	FDR	leading_edge_size	overlap_gene_count	term_gene_count_in_universe	axis_gene_count	overlap_genes
JAK-STAT signaling	Reactome	Cellular Responses To Stress R-HSA-2262752	1.0	0.1872340425531915	1	1	8	1	STAT3
JAK-STAT signaling	Reactome	Disease R-HSA-1643685	1.0	0.1872340425531915	1	1	7	1	STAT3
JAK-STAT signaling	Reactome	Signal Transduction R-HSA-162582	1.0	0.1872340425531915	1	1	8	1	STAT3
JAK-STAT signaling	Reactome	Metabolism Of Proteins R-HSA-392499	1.0	0.2765957446808511	1	1	13	1	STAT3
NF-κB / MAPK signaling	Reactome	Cytokine Signaling In Immune System R-HSA-1280215	1.0	0.1276595744680851	1	1	3	1	TAB3
NF-κB / MAPK signaling	Reactome	Immune System R-HSA-168256	1.0	0.1276595744680851	1	1	4	1	TAB3
NF-κB / MAPK signaling	Reactome	Infectious Disease R-HSA-5663205	1.0	0.1276595744680851	1	1	3	1	TAB3
NF-κB / MAPK signaling	Reactome	Signaling By Interleukins R-HSA-449147	1.0	0.1276595744680851	1	1	3	1	TAB3
NF-κB / MAPK signaling	Reactome	Disease R-HSA-1643685	1.0	0.1702127659574468	1	1	7	1	TAB3
NF-κB / MAPK signaling	Reactome	Signal Transduction R-HSA-162582	1.0	0.1702127659574468	1	1	8	1	TAB3
NF-κB / copper signaling	Reactome	Metabolism Of Proteins R-HSA-392499	1.0	0.2765957446808511	1	1	13	1	COMMD6
NF-κB / copper signaling	Reactome	Post-translational Protein Modification R-HSA-597592	1.0	0.2765957446808511	1	1	10	1	COMMD6
RNA processing / spliceosome	Reactome	Metabolism Of RNA R-HSA-8953854	1.0	0.0638297872340425	1	1	3	1	PRPF6
RNA processing / transcription	Reactome	Metabolism Of RNA R-HSA-8953854	1.0	0.1914893617021277	1	1	3	1	YBX1
RNA processing / transcription	Reactome	Signaling By TGFB Family Members R-HSA-9006936	1.0	0.1914893617021277	1	1	3	1	YBX1
RNA processing / transcription	Reactome	Gene Expression (Transcription) R-HSA-74160	1.0	0.2553191489361702	1	1	12	1	YBX1
RNA processing / transcription	Reactome	Generic Transcription Pathway R-HSA-212436	1.0	0.2553191489361702	1	1	11	1	YBX1
RNA processing / transcription	Reactome	RNA Polymerase II Transcription R-HSA-73857	1.0	0.2553191489361702	1	1	11	1	YBX1
RNA processing / transcription	Reactome	Signal Transduction R-HSA-162582	1.0	0.2553191489361702	1	1	8	1	YBX1
TGF-beta / BMP signaling	Reactome	Signaling By TGFB Family Members R-HSA-9006936	1.0	0.0194264569842738	2	2	3	2	BMPR1A; SMAD1
TGF-beta / BMP signaling	Reactome	Signal Transduction R-HSA-162582	1.0	0.0906567992599445	2	2	8	2	BMPR1A; SMAD1
TGF-beta / BMP signaling	Reactome	Gene Expression (Transcription) R-HSA-74160	0.5	0.4810360777058279	1	1	12	2	SMAD1
TGF-beta / BMP signaling	Reactome	Generic Transcription Pathway R-HSA-212436	0.5	0.4810360777058279	1	1	11	2	SMAD1
TGF-beta / BMP signaling	Reactome	Metabolism Of Proteins R-HSA-392499	0.5	0.4810360777058279	1	1	13	2	SMAD1
TGF-beta / BMP signaling	Reactome	Post-translational Protein Modification R-HSA-597592	0.5	0.4810360777058279	1	1	10	2	SMAD1
TGF-beta / BMP signaling	Reactome	RNA Polymerase II Transcription R-HSA-73857	0.5	0.4810360777058279	1	1	11	2	SMAD1
cell cycle / replication	Reactome	Cell Cycle R-HSA-1640170	1.0	0.264775413711584	1	1	3	1	CDKN2A
cell cycle / replication	Reactome	Cellular Response To Chemical Stress R-HSA-9711123	1.0	0.264775413711584	1	1	4	1	CDKN2A
cell cycle / replication	Reactome	Cellular Responses To Stimuli R-HSA-8953897	1.0	0.264775413711584	1	1	8	1	CDKN2A
cell cycle / replication	Reactome	Cellular Responses To Stress R-HSA-2262752	1.0	0.264775413711584	1	1	8	1	CDKN2A
cell cycle / replication	Reactome	Disease R-HSA-1643685	1.0	0.264775413711584	1	1	7	1	CDKN2A
cell cycle / replication	Reactome	SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232	1.0	0.264775413711584	1	1	6	1	CDKN2A
cell cycle / replication	Reactome	SUMOylation R-HSA-2990846	1.0	0.264775413711584	1	1	6	1	CDKN2A
cell cycle / replication	Reactome	Transcriptional Regulation By RUNX3 R-HSA-8878159	1.0	0.264775413711584	1	1	3	1	CDKN2A
cell cycle / replication	Reactome	Transcriptional Regulation By TP53 R-HSA-3700989	1.0	0.264775413711584	1	1	4	1	CDKN2A
cell cycle / replication	Reactome	Generic Transcription Pathway R-HSA-212436	1.0	0.2730496453900709	1	1	11	1	CDKN2A
cell cycle / replication	Reactome	Post-translational Protein Modification R-HSA-597592	1.0	0.2730496453900709	1	1	10	1	CDKN2A
cell cycle / replication	Reactome	RNA Polymerase II Transcription R-HSA-73857	1.0	0.2730496453900709	1	1	11	1	CDKN2A
cell cycle / replication	Reactome	Gene Expression (Transcription) R-HSA-74160	1.0	0.2749590834697217	1	1	12	1	CDKN2A
cell cycle / replication	Reactome	Metabolism Of Proteins R-HSA-392499	1.0	0.2765957446808511	1	1	13	1	CDKN2A
chromatin remodeling	Reactome	Chromatin Modifying Enzymes R-HSA-3247509	1.0	0.0555041628122109	2	2	5	2	ARID1A; RUVBL2
chromatin remodeling	Reactome	Cell Cycle R-HSA-1640170	0.5	0.3293246993524515	1	1	3	2	RUVBL2
chromatin remodeling	Reactome	HATs Acetylate Histones R-HSA-3214847	0.5	0.3293246993524515	1	1	4	2	RUVBL2
chromatin remodeling	Reactome	Gene Expression (Transcription) R-HSA-74160	0.5	0.4495837187789084	1	1	12	2	ARID1A
chromatin remodeling	Reactome	Generic Transcription Pathway R-HSA-212436	0.5	0.4495837187789084	1	1	11	2	ARID1A
chromatin remodeling	Reactome	RNA Polymerase II Transcription R-HSA-73857	0.5	0.4495837187789084	1	1	11	2	ARID1A
growth / proliferation	Reactome	Immune System R-HSA-168256	1.0	0.0851063829787234	1	1	4	1	PA2G4
growth factor / proliferation	Reactome	Cellular Responses To Stimuli R-HSA-8953897	1.0	0.1702127659574468	1	1	8	1	HDGF
growth factor / proliferation	Reactome	Cellular Responses To Stress R-HSA-2262752	1.0	0.1702127659574468	1	1	8	1	HDGF
mTOR / lysosome / signaling	Reactome	Cellular Responses To Stimuli R-HSA-8953897	1.0	0.2553191489361702	1	1	8	1	LAMTOR5
mTOR / lysosome / signaling	Reactome	Cellular Responses To Stress R-HSA-2262752	1.0	0.2553191489361702	1	1	8	1	LAMTOR5
mTOR / lysosome / signaling	Reactome	Gene Expression (Transcription) R-HSA-74160	1.0	0.2553191489361702	1	1	12	1	LAMTOR5
mTOR / lysosome / signaling	Reactome	Generic Transcription Pathway R-HSA-212436	1.0	0.2553191489361702	1	1	11	1	LAMTOR5
mTOR / lysosome / signaling	Reactome	RNA Polymerase II Transcription R-HSA-73857	1.0	0.2553191489361702	1	1	11	1	LAMTOR5
mTOR / lysosome / signaling	Reactome	Signal Transduction R-HSA-162582	1.0	0.2553191489361702	1	1	8	1	LAMTOR5
mTOR / lysosome / signaling	Reactome	Transcriptional Regulation By TP53 R-HSA-3700989	1.0	0.2553191489361702	1	1	4	1	LAMTOR5
metabolism / transcription	Reactome	Metabolism R-HSA-1430728	1.0	0.0638297872340425	1	1	3	1	PCBD1
nuclear receptor / co-activator	Reactome	Cellular Response To Chemical Stress R-HSA-9711123	1.0	0.2011605415860735	1	1	4	1	NCOA1
nuclear receptor / co-activator	Reactome	Cellular Responses To Stimuli R-HSA-8953897	1.0	0.2011605415860735	1	1	8	1	NCOA1
nuclear receptor / co-activator	Reactome	Cellular Responses To Stress R-HSA-2262752	1.0	0.2011605415860735	1	1	8	1	NCOA1
nuclear receptor / co-activator	Reactome	Chromatin Modifying Enzymes R-HSA-3247509	1.0	0.2011605415860735	1	1	5	1	NCOA1
nuclear receptor / co-activator	Reactome	Developmental Biology R-HSA-1266738	1.0	0.2011605415860735	1	1	4	1	NCOA1
nuclear receptor / co-activator	Reactome	HATs Acetylate Histones R-HSA-3214847	1.0	0.2011605415860735	1	1	4	1	NCOA1
nuclear receptor / co-activator	Reactome	Metabolism R-HSA-1430728	1.0	0.2011605415860735	1	1	3	1	NCOA1
nuclear receptor / co-activator	Reactome	SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232	1.0	0.2011605415860735	1	1	6	1	NCOA1
nuclear receptor / co-activator	Reactome	SUMOylation Of Transcription Cofactors R-HSA-3899300	1.0	0.2011605415860735	1	1	4	1	NCOA1
nuclear receptor / co-activator	Reactome	SUMOylation R-HSA-2990846	1.0	0.2011605415860735	1	1	6	1	NCOA1
nuclear receptor / co-activator	Reactome	Signal Transduction R-HSA-162582	1.0	0.2011605415860735	1	1	8	1	NCOA1
nuclear receptor / co-activator	Reactome	Post-translational Protein Modification R-HSA-597592	1.0	0.2304964539007092	1	1	10	1	NCOA1
nuclear receptor / co-activator	Reactome	Metabolism Of Proteins R-HSA-392499	1.0	0.2765957446808511	1	1	13	1	NCOA1
nuclear receptor / metabolism	Reactome	Gene Expression (Transcription) R-HSA-74160	1.0	0.2238667900092506	2	2	12	2	RORC; THRA
nuclear receptor / metabolism	Reactome	Generic Transcription Pathway R-HSA-212436	1.0	0.2238667900092506	2	2	11	2	RORC; THRA
nuclear receptor / metabolism	Reactome	RNA Polymerase II Transcription R-HSA-73857	1.0	0.2238667900092506	2	2	11	2	RORC; THRA
nuclear receptor / metabolism	Reactome	Cytokine Signaling In Immune System R-HSA-1280215	0.5	0.22895467160037	1	1	3	2	RORC
nuclear receptor / metabolism	Reactome	Signaling By Interleukins R-HSA-449147	0.5	0.22895467160037	1	1	3	2	RORC
nuclear receptor / metabolism	Reactome	Transcriptional Regulation By RUNX3 R-HSA-8878159	0.5	0.22895467160037	1	1	3	2	RORC
nuclear receptor / metabolism	Reactome	Immune System R-HSA-168256	0.5	0.2587551209197833	1	1	4	2	RORC
nuclear receptor / metabolism	Reactome	SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232	0.5	0.2950971322849214	1	1	6	2	THRA
nuclear receptor / metabolism	Reactome	SUMOylation R-HSA-2990846	0.5	0.2950971322849214	1	1	6	2	THRA
nuclear receptor / metabolism	Reactome	Post-translational Protein Modification R-HSA-597592	0.5	0.4222941720629047	1	1	10	2	THRA
nuclear receptor / metabolism	Reactome	Metabolism Of Proteins R-HSA-392499	0.5	0.4810360777058279	1	1	13	2	THRA
oxidative stress / antioxidant	Reactome	Cellular Response To Chemical Stress R-HSA-9711123	1.0	0.2553191489361702	1	1	4	1	PRDX2
oxidative stress / antioxidant	Reactome	Cellular Responses To Stimuli R-HSA-8953897	1.0	0.2553191489361702	1	1	8	1	PRDX2
oxidative stress / antioxidant	Reactome	Cellular Responses To Stress R-HSA-2262752	1.0	0.2553191489361702	1	1	8	1	PRDX2
oxidative stress / antioxidant	Reactome	Disease R-HSA-1643685	1.0	0.2553191489361702	1	1	7	1	PRDX2
oxidative stress / antioxidant	Reactome	Gene Expression (Transcription) R-HSA-74160	1.0	0.2553191489361702	1	1	12	1	PRDX2
oxidative stress / antioxidant	Reactome	Generic Transcription Pathway R-HSA-212436	1.0	0.2553191489361702	1	1	11	1	PRDX2
oxidative stress / antioxidant	Reactome	RNA Polymerase II Transcription R-HSA-73857	1.0	0.2553191489361702	1	1	11	1	PRDX2
oxidative stress / antioxidant	Reactome	Transcriptional Regulation By TP53 R-HSA-3700989	1.0	0.2553191489361702	1	1	4	1	PRDX2
oxidative stress / mitochondrial	Reactome	SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232	1.0	0.2127659574468085	1	1	6	1	PARK7
oxidative stress / mitochondrial	Reactome	SUMOylation Of Transcription Cofactors R-HSA-3899300	1.0	0.2127659574468085	1	1	4	1	PARK7
oxidative stress / mitochondrial	Reactome	SUMOylation R-HSA-2990846	1.0	0.2127659574468085	1	1	6	1	PARK7
oxidative stress / mitochondrial	Reactome	Post-translational Protein Modification R-HSA-597592	1.0	0.2659574468085107	1	1	10	1	PARK7
oxidative stress / mitochondrial	Reactome	Metabolism Of Proteins R-HSA-392499	1.0	0.2765957446808511	1	1	13	1	PARK7
peroxisome / metabolism	Reactome	Metabolism Of Proteins R-HSA-392499	1.0	0.2765957446808511	1	1	13	1	PEX14
peroxisome / metabolism	Reactome	Post-translational Protein Modification R-HSA-597592	1.0	0.2765957446808511	1	1	10	1	PEX14
proteostasis / chaperone	Reactome	Metabolism Of Proteins R-HSA-392499	1.0	0.2765957446808511	1	1	13	1	PFDN5
ribosomal / translation	Reactome	Developmental Biology R-HSA-1266738	1.0	0.1702127659574468	1	1	4	1	RPS3
ribosomal / translation	Reactome	Infectious Disease R-HSA-5663205	1.0	0.1702127659574468	1	1	3	1	RPS3
ribosomal / translation	Reactome	Metabolism Of RNA R-HSA-8953854	1.0	0.1702127659574468	1	1	3	1	RPS3
ribosomal / translation	Reactome	Metabolism R-HSA-1430728	1.0	0.1702127659574468	1	1	3	1	RPS3
ribosomal / translation	Reactome	Cellular Responses To Stimuli R-HSA-8953897	1.0	0.1945288753799392	1	1	8	1	RPS3
ribosomal / translation	Reactome	Cellular Responses To Stress R-HSA-2262752	1.0	0.1945288753799392	1	1	8	1	RPS3
ribosomal / translation	Reactome	Disease R-HSA-1643685	1.0	0.1945288753799392	1	1	7	1	RPS3
ribosomal / translation	Reactome	Metabolism Of Proteins R-HSA-392499	1.0	0.2765957446808511	1	1	13	1	RPS3
ribosome biogenesis / nucleolar	Reactome	Cell Cycle R-HSA-1640170	1.0	0.2212765957446809	1	1	3	1	NPM1
ribosome biogenesis / nucleolar	Reactome	Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202	1.0	0.2212765957446809	1	1	3	1	NPM1
ribosome biogenesis / nucleolar	Reactome	Infectious Disease R-HSA-5663205	1.0	0.2212765957446809	1	1	3	1	NPM1
ribosome biogenesis / nucleolar	Reactome	SUMOylation Of Transcription Cofactors R-HSA-3899300	1.0	0.2212765957446809	1	1	4	1	NPM1
ribosome biogenesis / nucleolar	Reactome	Transcriptional Regulation By TP53 R-HSA-3700989	1.0	0.2212765957446809	1	1	4	1	NPM1
ribosome biogenesis / nucleolar	Reactome	SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232	1.0	0.2370820668693009	1	1	6	1	NPM1
ribosome biogenesis / nucleolar	Reactome	SUMOylation R-HSA-2990846	1.0	0.2370820668693009	1	1	6	1	NPM1
ribosome biogenesis / nucleolar	Reactome	Disease R-HSA-1643685	1.0	0.2420212765957447	1	1	7	1	NPM1
ribosome biogenesis / nucleolar	Reactome	Gene Expression (Transcription) R-HSA-74160	1.0	0.276595744680851	1	1	12	1	NPM1
ribosome biogenesis / nucleolar	Reactome	Generic Transcription Pathway R-HSA-212436	1.0	0.276595744680851	1	1	11	1	NPM1
ribosome biogenesis / nucleolar	Reactome	Post-translational Protein Modification R-HSA-597592	1.0	0.276595744680851	1	1	10	1	NPM1
ribosome biogenesis / nucleolar	Reactome	RNA Polymerase II Transcription R-HSA-73857	1.0	0.276595744680851	1	1	11	1	NPM1
ribosome biogenesis / nucleolar	Reactome	Metabolism Of Proteins R-HSA-392499	1.0	0.2765957446808511	1	1	13	1	NPM1
transcription / chromatin	Reactome	Chromatin Modifying Enzymes R-HSA-3247509	1.0	0.0185013876040703	2	2	5	2	ENY2; TADA3
transcription / chromatin	Reactome	HATs Acetylate Histones R-HSA-3214847	1.0	0.0185013876040703	2	2	4	2	ENY2; TADA3
transcription / chromatin	Reactome	Metabolism Of Proteins R-HSA-392499	0.5	0.4810360777058279	1	1	13	2	TADA3
transcription / chromatin	Reactome	Post-translational Protein Modification R-HSA-597592	0.5	0.4810360777058279	1	1	10	2	TADA3
transcription regulation	Reactome	Cellular Responses To Stimuli R-HSA-8953897	0.1	0.9746762360731104	1	1	8	10	ZBTB17
transcription regulation	Reactome	Cellular Responses To Stress R-HSA-2262752	0.1	0.9746762360731104	1	1	8	10	ZBTB17
transcription regulation	Reactome	Gene Expression (Transcription) R-HSA-74160	0.1	0.9746762360731104	1	1	12	10	MYBL1
transcription regulation	Reactome	Metabolism Of Proteins R-HSA-392499	0.1	0.9746762360731104	1	1	13	10	ZNF131
transcription regulation	Reactome	Post-translational Protein Modification R-HSA-597592	0.1	0.9746762360731104	1	1	10	10	ZNF131
transcription regulation	Reactome	SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232	0.1	0.9746762360731104	1	1	6	10	ZNF131
transcription regulation	Reactome	SUMOylation Of Transcription Cofactors R-HSA-3899300	0.1	0.9746762360731104	1	1	4	10	ZNF131
transcription regulation	Reactome	SUMOylation R-HSA-2990846	0.1	0.9746762360731104	1	1	6	10	ZNF131
ER stress / UPR	GO_BP	+ Reg of Phosphatidylinositol 3-Kinase/Prot Kinase B Signal Transduction (GO:0051897)	1.0	0.1574468085106383	1	1	3	1	XBP1
ER stress / UPR	GO_BP	Cellular Response to Chemical Stress (GO:0062197)	1.0	0.1574468085106383	1	1	3	1	XBP1
ER stress / UPR	GO_BP	Cellular Response to Cytokine Stimulus (GO:0071345)	1.0	0.1574468085106383	1	1	3	1	XBP1
ER stress / UPR	GO_BP	Cellular Response to Hormone Stimulus (GO:0032870)	1.0	0.1574468085106383	1	1	3	1	XBP1
ER stress / UPR	GO_BP	Cellular Response to Lipid (GO:0071396)	1.0	0.1574468085106383	1	1	3	1	XBP1
ER stress / UPR	GO_BP	DNA-templated Transcription (GO:0006351)	1.0	0.1574468085106383	1	1	3	1	XBP1
ER stress / UPR	GO_BP	Negative Regulation of Intracellular Signal Transduction (GO:1902532)	1.0	0.1574468085106383	1	1	3	1	XBP1
ER stress / UPR	GO_BP	Positive Regulation of Angiogenesis (GO:0045766)	1.0	0.1574468085106383	1	1	3	1	XBP1
ER stress / UPR	GO_BP	Positive Regulation of Apoptotic Process (GO:0043065)	1.0	0.1574468085106383	1	1	3	1	XBP1
ER stress / UPR	GO_BP	Positive Regulation of Autophagy (GO:0010508)	1.0	0.1574468085106383	1	1	3	1	XBP1
ER stress / UPR	GO_BP	Positive Regulation of Cell Population Proliferation (GO:0008284)	1.0	0.1574468085106383	1	1	3	1	XBP1
ER stress / UPR	GO_BP	Regulation of Cell Migration (GO:0030334)	1.0	0.1574468085106383	1	1	3	1	XBP1
ER stress / UPR	GO_BP	Regulation of Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction (GO:0051896)	1.0	0.1574468085106383	1	1	3	1	XBP1
ER stress / UPR	GO_BP	Regulation of Protein Phosphorylation (GO:0001932)	1.0	0.1574468085106383	1	1	3	1	XBP1
ER stress / UPR	GO_BP	Transcription by RNA Polymerase II (GO:0006366)	1.0	0.1574468085106383	1	1	3	1	XBP1
ER stress / UPR	GO_BP	Cellular Response to Oxidative Stress (GO:0034599)	1.0	0.1640070921985815	1	1	5	1	XBP1
ER stress / UPR	GO_BP	Cellular Response to Oxygen-Containing Compound (GO:1901701)	1.0	0.1640070921985815	1	1	5	1	XBP1
ER stress / UPR	GO_BP	Intracellular Signaling Cassette (GO:0141124)	1.0	0.1640070921985815	1	1	4	1	XBP1
ER stress / UPR	GO_BP	Positive Regulation of Cell Differentiation (GO:0045597)	1.0	0.1640070921985815	1	1	4	1	XBP1
ER stress / UPR	GO_BP	Positive Regulation of Cellular Process (GO:0048522)	1.0	0.1640070921985815	1	1	5	1	XBP1
ER stress / UPR	GO_BP	Positive Regulation of Cytokine Production (GO:0001819)	1.0	0.1640070921985815	1	1	5	1	XBP1
ER stress / UPR	GO_BP	Positive Regulation of Multicellular Organismal Process (GO:0051240)	1.0	0.1640070921985815	1	1	5	1	XBP1
ER stress / UPR	GO_BP	Positive Regulation of Protein Localization to Nucleus (GO:1900182)	1.0	0.1640070921985815	1	1	4	1	XBP1
ER stress / UPR	GO_BP	Regulation of Autophagy (GO:0010506)	1.0	0.1640070921985815	1	1	4	1	XBP1
ER stress / UPR	GO_BP	Negative Regulation of Programmed Cell Death (GO:0043069)	1.0	0.1749408983451537	1	1	6	1	XBP1
ER stress / UPR	GO_BP	Positive Regulation of Developmental Process (GO:0051094)	1.0	0.1749408983451537	1	1	6	1	XBP1
ER stress / UPR	GO_BP	Regulation of Cell Population Proliferation (GO:0042127)	1.0	0.1749408983451537	1	1	6	1	XBP1
ER stress / UPR	GO_BP	Negative Regulation of Apoptotic Process (GO:0043066)	1.0	0.1968085106382979	1	1	7	1	XBP1
ER stress / UPR	GO_BP	Positive Regulation of Macromolecule Biosynthetic Process (GO:0010557)	1.0	0.2171680117388115	1	1	8	1	XBP1
ER stress / UPR	GO_BP	Regulation of Apoptotic Process (GO:0042981)	1.0	0.2624113475177305	1	1	10	1	XBP1
ER stress / UPR	GO_BP	Positive Regulation of Intracellular Signal Transduction (GO:1902533)	1.0	0.2793411118737131	1	1	11	1	XBP1
ER stress / UPR	GO_BP	Negative Regulation of Transcription by RNA Polymerase II (GO:0000122)	1.0	0.319813829787234	1	1	13	1	XBP1
ER stress / UPR	GO_BP	Negative Regulation of DNA-templated Transcription (GO:0045892)	1.0	0.4055448098001288	1	1	17	1	XBP1
ER stress / UPR	GO_BP	Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)	1.0	0.4399249061326658	1	1	19	1	XBP1
ER stress / UPR	GO_BP	Positive Regulation of DNA-templated Transcription (GO:0045893)	1.0	0.517325227963526	1	1	23	1	XBP1
ER stress / UPR	GO_BP	Regulation of DNA-templated Transcription (GO:0006355)	1.0	0.6122931442080377	1	1	28	1	XBP1
ER stress / UPR	GO_BP	Regulation of Transcription by RNA Polymerase II (GO:0006357)	1.0	0.6808510638297873	1	1	32	1	XBP1
JAK-STAT signaling	GO_BP	Cellular Response to Cytokine Stimulus (GO:0071345)	1.0	0.1620294599018003	1	1	3	1	STAT3
JAK-STAT signaling	GO_BP	Cellular Response to Hormone Stimulus (GO:0032870)	1.0	0.1620294599018003	1	1	3	1	STAT3
JAK-STAT signaling	GO_BP	Cellular Response to Transforming Growth Factor Beta Stimulus (GO:0071560)	1.0	0.1620294599018003	1	1	3	1	STAT3
JAK-STAT signaling	GO_BP	Negative Regulation of Catabolic Process (GO:0009895)	1.0	0.1620294599018003	1	1	3	1	STAT3
JAK-STAT signaling	GO_BP	Negative Regulation of Intracellular Signal Transduction (GO:1902532)	1.0	0.1620294599018003	1	1	3	1	STAT3
JAK-STAT signaling	GO_BP	Negative Regulation of Macromolecule Biosynthetic Process (GO:0010558)	1.0	0.1620294599018003	1	1	3	1	STAT3
JAK-STAT signaling	GO_BP	Positive Regulation of Interleukin-8 Production (GO:0032757)	1.0	0.1620294599018003	1	1	3	1	STAT3
JAK-STAT signaling	GO_BP	Protein Localization to Nucleus (GO:0034504)	1.0	0.1620294599018003	1	1	3	1	STAT3
JAK-STAT signaling	GO_BP	Regulation of Cell Migration (GO:0030334)	1.0	0.1620294599018003	1	1	3	1	STAT3
JAK-STAT signaling	GO_BP	Regulation of Inflammatory Response (GO:0050727)	1.0	0.1620294599018003	1	1	3	1	STAT3
JAK-STAT signaling	GO_BP	Regulation of Interleukin-8 Production (GO:0032677)	1.0	0.1620294599018003	1	1	3	1	STAT3
JAK-STAT signaling	GO_BP	Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179)	1.0	0.1620294599018003	1	1	3	1	STAT3
JAK-STAT signaling	GO_BP	Transforming Growth Factor Beta Receptor Superfamily Signaling Pathway (GO:0141091)	1.0	0.1620294599018003	1	1	3	1	STAT3
JAK-STAT signaling	GO_BP	Intracellular Signaling Cassette (GO:0141124)	1.0	0.1847704367301232	1	1	4	1	STAT3
JAK-STAT signaling	GO_BP	Negative Regulation of Gene Expression (GO:0010629)	1.0	0.1847704367301232	1	1	5	1	STAT3
JAK-STAT signaling	GO_BP	Positive Regulation of Canonical NF-kappaB Signal Transduction (GO:0043123)	1.0	0.1847704367301232	1	1	5	1	STAT3
JAK-STAT signaling	GO_BP	Positive Regulation of Cytokine Production (GO:0001819)	1.0	0.1847704367301232	1	1	5	1	STAT3
JAK-STAT signaling	GO_BP	Regulation of Autophagy (GO:0010506)	1.0	0.1847704367301232	1	1	4	1	STAT3
JAK-STAT signaling	GO_BP	Regulation of Cell Cycle (GO:0051726)	1.0	0.1847704367301232	1	1	5	1	STAT3
JAK-STAT signaling	GO_BP	Regulation of Canonical NF-kappaB Signal Transduction (GO:0043122)	1.0	0.2006079027355623	1	1	6	1	STAT3
JAK-STAT signaling	GO_BP	Regulation of Cell Population Proliferation (GO:0042127)	1.0	0.2006079027355623	1	1	6	1	STAT3
JAK-STAT signaling	GO_BP	Positive Regulation of Gene Expression (GO:0010628)	1.0	0.2340425531914894	1	1	8	1	STAT3
JAK-STAT signaling	GO_BP	Positive Regulation of Macromolecule Biosynthetic Process (GO:0010557)	1.0	0.2340425531914894	1	1	8	1	STAT3
JAK-STAT signaling	GO_BP	Regulation of RNA Biosynthetic Process (GO:2001141)	1.0	0.2340425531914894	1	1	8	1	STAT3
JAK-STAT signaling	GO_BP	Positive Regulation of RNA Biosynthetic Process (GO:1902680)	1.0	0.2808510638297873	1	1	10	1	STAT3
JAK-STAT signaling	GO_BP	Positive Regulation of Intracellular Signal Transduction (GO:1902533)	1.0	0.2970540098199672	1	1	11	1	STAT3
JAK-STAT signaling	GO_BP	Negative Regulation of Transcription by RNA Polymerase II (GO:0000122)	1.0	0.3380614657210402	1	1	13	1	STAT3
