pathway	ES	NES	pval	direction	n_genes_in_set	n_genes_after_intersection	padj	log2err	leading_edge	context	target	n_perturbed	n_control	n_genes_ranked	ranking_method	gene_filter	msigdb_collection	display_group	display_name	exact_gs_name	context_target	row_order	selection_tier	selection_reason	pathway_order	partner_context	spearman_rho	sign_agree_fraction	n_pathways
HALLMARK_MYC_TARGETS_V1	-0.647587122096785	-1.67213974905262	4.01870812890452e-05	down	200	197	0.0010046770322261	0.557332238758646	RPLP0;NAP1L1;PTGES3;RPL6;G3BP1;HSP90AB1;SRSF7;SLC25A3;RPS2;SNRPD3;HSPD1;HSPE1;RPL34;SNRPD2;RANBP1;PRDX3;LDHA;TYMS;SNRPA1;HNRNPC;SRSF3;HNRNPA1;PA2G4;SRM;EIF3J;EEF1B2;PSMA4;RPL14;CDK4;CDC20;CDC45;HNRNPU;SERBP1;RRM1;ILF2;HNRNPD;HNRNPA2B1;MCM5;C1QBP;NOLC1;SET;VBP1;SRSF1;POLD2;PSMD14;CCT2;TFDP1;DUT;SNRPD1;TARDBP;TRIM28;RPS10;SRPK1;XRCC6;HNRNPA3;EIF4G2;SRSF2;PSMC4;PSMB3;DDX21;PSMD1;IMPDH2;NME1;ORC2;CYC1;RPL22;YWHAE;NPM1;SMARCC1;PPIA;LSM7;PWP1;HDGF;HPRT1;MRPL23;APEX1;HNRNPR;GOT2;SNRPA;VDAC3;NOP16;SF3A1;EIF1AX;H2AFZ;CANX;FAM120A;CCT3;KPNA2;PPM1G;PHB2;RAN;PSMA1;NOP56;HDAC2;RPS5;RAD23B;FBL;PABPC4;MCM4;CLNS1A;UBA2;MAD2L1	HCC1143	PFDN5	57	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Proliferation / cell cycle	Myc Targets V1	HALLMARK_MYC_TARGETS_V1	HCC1143 / PFDN5	0	Tier 1	benchmark-relevant anchor	10	HCC38	-0.016950780312124852	0.32	50
HALLMARK_HYPOXIA	0.434567044928082	1.07568132112675	0.275376240794108	up	200	191	0.414263437728972	0.0316594945330265	KLF6;ISG20;IRS2;SDC4;PLAUR;PPP1R15A;NR3C1;BTG1;PRDX5;DDIT3;WSB1;CDKN1A;STC2;PNRC1;JUN;P4HA2;B3GALT6;ATF3;VEGFA;CITED2;ZNF292;PLIN2;PIM1;TPD52;KLHL24;NFIL3;DUSP1;RBPJ;IL6;TPST2;PDGFB;UGP2;NDRG1;CDKN1C;KDELR3;NAGK;HMOX1;SDC2;CDKN1B;SIAH2;FOXO3;SELENBP1;HS3ST1;FAM162A;SLC2A1;JMJD6;TGM2;TNFAIP3;STBD1;GRHPR;IDS;NEDD4L;MAFF;TMEM45A;KLF7;HEXA;DTNA;PKP1	HCC1143	PFDN5	57	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Proteostasis / stress	Hypoxia	HALLMARK_HYPOXIA	HCC1143 / PFDN5	0	Tier 1	benchmark-relevant anchor	11	HCC38	-0.016950780312124852	0.32	50
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.587283087055848	1.21181959082006	0.164674397859054	up	49	46	0.294061424748312	0.0452559369048511	SOD2;FTL;NDUFA6;ATOX1;PRNP;HMOX2;NDUFS2;GLRX2;MGST1;NDUFB4;OXSR1;SOD1;MBP;CDKN2D;PRDX4;PRDX6;MSRA	HCC1143	PFDN5	57	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Proteostasis / stress	Reactive Oxigen Species Pathway	HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	HCC1143 / PFDN5	0	Tier 1	benchmark-relevant anchor	12	HCC38	-0.016950780312124852	0.32	50
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.502151661131111	1.17331382402367	0.158553076402975	up	113	109	0.293616808153657	0.0448553253356751	TUBB2A;IFIT1;ATF4;PSAT1;KIF5B;STC2;PAIP1;YIF1A;ATF3;XBP1;EIF4A2;SRPRB;VEGFA;CEBPB;LSM4;HERPUD1;HSPA9;EXOSC4;CEBPG;EIF4EBP1;DNAJB9;NFYB;ZBTB17;EXOSC5;SLC1A4;TARS;SERP1;KDELR3;GOSR2;CHAC1;DNAJA4;SPCS1;EXOSC10;EXOSC2;EIF4G1;ARFGAP1;RRP9;XPOT;TSPYL2	HCC1143	PFDN5	57	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Proteostasis / stress	Unfolded Protein Response	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HCC1143 / PFDN5	0	Tier 1	benchmark-relevant anchor	13	HCC38	-0.016950780312124852	0.32	50
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.570449008525454	1.41313062800037	0.0055946291560102	up	200	195	0.0399616368286445	0.245188063659135	IL32;MYL9;PDLIM4;AREG;GADD45A;TIMP1;CAPG;EMP3;SDC4;PLAUR;ECM1;ITGA2;LAMC2;JUN;LAMA3;CD44;VEGFA;TPM2;LGALS1;TNFRSF12A;TAGLN;LAMC1;SAT1;FLNA;VIM;CXCL1;TPM4;NT5E;PLOD3;TNFRSF11B;CDH2;IL6;TNC;FSTL3;SNAI2;THBS1;SDC1;FERMT2;PMP22;PTHLH;TGM2;PTX3;TNFAIP3;MATN2;COPA;MYLK;GEM;GLIPR1;ITGAV;ITGB5;PFN2;DAB2;FN1;BMP1;CALD1;NOTCH2;BASP1;TGFB1	HCC1143	PFDN5	57	1325	36601	mean_log_expr_perturbed_minus_control	False	H	State remodeling	Epithelial Mesenchymal Transition	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HCC1143 / PFDN5	0	Tier 1	benchmark-relevant anchor	14	HCC38	-0.016950780312124852	0.32	50
HALLMARK_APOPTOSIS	0.429383117749793	1.17953981484741	0.0665054413542926	up	161	158	0.221684804514309	0.194887297433682	GADD45A;VDAC2;SQSTM1;ATF3;LGALS3;ISG20;DDIT3;WEE1;PEA15;MCL1;IFITM3;H1F0;CDKN1B;GSN;GPX4;BCL2L1;PMAIP1;BTG3;GADD45B;CASP7;SOD2;CCND1;PDCD4;IFNGR1;ROCK1;TIMP2;CYLD;IRF1;CASP8;DNAJA1;HMGB2;TXNIP;BNIP3L;CASP3;PPP3R1;CASP4;IL6;FAS;TSPO;CD14;HMOX1	HCC1143	PMF1	40	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Cell death / stress	Apoptosis	HALLMARK_APOPTOSIS	HCC1143 / PMF1	1	Tier 1	benchmark-relevant anchor	0	HCC38	-0.08024009603841536	0.82	50
HALLMARK_P53_PATHWAY	0.408216388954763	1.14503512686344	0.0742496050552923	up	200	196	0.232030015797788	0.211070537868325	KRT17;GADD45A;PPP1R15A;BTG1;UPP1;ATF3;SLC3A2;RPS27L;NUPR1;DDIT3;RPL18;DDIT4;S100A10;TM4SF1;HBEGF;INHBB;HRAS;TSC22D1;RPS12;RPL36;RAP2B;H2AFJ;BLCAP;FBXW7;TRIB3;HIST3H2A;PERP;NDRG1;TRAF4;AK1;NINJ1;STOM;IRAK1;CDKN2B;TXNIP;NUDT15;TGFB1;ZMAT3;HINT1;FAS;HMOX1;TSPYL2;CSRNP2;JUN;MDM2;SLC7A11;EPHX1;SPHK1;CDKN2AIP;RRP8;VAMP8;ISCU;BAK1;DEF6;SLC35D1;APP;ZNF365;CCND3;TGFA;RAD9A;POLH;PLK3;IP6K2;ABHD4;MKNK2;FOS;PTPRE	HCC1143	PMF1	40	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Cell death / stress	P53 Pathway	HALLMARK_P53_PATHWAY	HCC1143 / PMF1	1	Tier 1	benchmark-relevant anchor	1	HCC38	-0.08024009603841536	0.82	50
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.450104283193066	1.26430665639921	0.0176236126788239	up	200	197	0.120519664451465	0.352487857583619	GADD45A;INHBA;SQSTM1;PPP1R15A;PNRC1;BTG1;ATF3;EDN1;NFE2L2;MCL1;HBEGF;PLAUR;IRS2;BTG3;TSC22D1;GADD45B;VEGFA;KDM6B;SOD2;IER2;IFIH1;CCND1;BHLHE40;TANK;NR4A1;MAFF;LAMB3;SDC4;PHLDA2;SGK1;NINJ1;TNIP1;NFIL3;YRDC;ZBTB10;IRF1;SERPINB8;EIF1;DUSP1;DUSP4;CEBPB;KLF10;EFNA1;IL6;BCL3;JUN;PTGER4;IL7R;SPHK1;HES1;NAMPT;MSC;TNF;JUNB;EHD1;F2RL1;MAP3K8;PANX1;CXCL10;DUSP5;LITAF;CFLAR;FOS;KLF2;PTPRE;KLF9;TRIB1;TNFAIP8;LIF;RIPK2;PER1;NR4A3;NFKBIA	HCC1143	PMF1	40	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Cell death / stress	Tnfa Signaling Via Nfkb	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HCC1143 / PMF1	1	Tier 1	benchmark-relevant anchor	2	HCC38	-0.08024009603841536	0.82	50
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.453309200035903	-0.958144688381221	0.567702295386042	down	97	93	0.709627869232553	0.0147290973975986	USP18;MX1;IFITM2;LGALS3BP;UBE2L6;EIF2AK2;NMI;ISG15;IFI30;PSMA3;PNPT1;LY6E;OASL;IRF9;IFI44L;HERC6;SP110;PSME2;DDX60;IFIT3;TRIM25;ADAR;OGFR;MOV10;PROCR;WARS;OAS1;TRAFD1;IFIT2;SAMD9;BST2	HCC1143	PMF1	40	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Inflammatory / interferon	Interferon Alpha Response	HALLMARK_INTERFERON_ALPHA_RESPONSE	HCC1143 / PMF1	1	Tier 1	benchmark-relevant anchor	3	HCC38	-0.08024009603841536	0.82	50
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.447533101968703	-0.99876360923619	0.493756003842459	down	200	198	0.671957563453165	0.0155515460998865	MT2A;USP18;PTPN2;MX1;RNF213;HIF1A;IFITM2;LGALS3BP;UBE2L6;EIF2AK2;IFIT1;NMI;ISG15;RAPGEF6;MTHFD2;HLA-B;APOL6;NUP93;IFI30;PSMA3;PNPT1;STAT3;LY6E;NCOA3;PFKP;LYSMD2;OASL;OAS3;PML;NFKB1;SSPN;IRF9;IFI44L;NOD1;HERC6;SP110;STAT1;PSME2;MVP;DDX60;IFIT3;ST3GAL5;TRIM25;ADAR;OGFR;HLA-DRB1;WARS;TNFAIP2;TRAFD1;IFIT2;IL15RA;SAMHD1;BST2;CFB;ISOC1;TNFAIP3;RNF31;PSMA2;PSMB9;SRI	HCC1143	PMF1	40	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Inflammatory / interferon	Interferon Gamma Response	HALLMARK_INTERFERON_GAMMA_RESPONSE	HCC1143 / PMF1	1	Tier 1	benchmark-relevant anchor	4	HCC38	-0.08024009603841536	0.82	50
HALLMARK_GLYCOLYSIS	-0.607949429438734	-1.35676615586253	0.0067243035542747	down	200	198	0.0560358629522895	0.181914998907505	EXT1;IGFBP3;IER3;HMMR;STMN1;EGFR;FUT8;ENO1;LDHA;KIF2A;NT5E;HDLBP;NASP;AURKA;MIF;SRD5A3;FKBP4;MDH1;HS2ST1;TGFBI;ME1;ALDH7A1;PPIA;ALG1;PLOD1;SOD1;DEPDC1;CYB5A;PGK1;RARS;SDHC;CD44;PYGL;CLN6;ADORA2B;PYGB;SLC16A3;TPST1;PGLS;ME2;HSPA5;MET;QSOX1;KDELR3;G6PD;GOT2;MPI;PAM;GPC1;POLR3K;PFKP;B4GALT7;AGRN;KIF20A;COL5A1;GUSB;VCAN;TXN;GALE;DLD;NSDHL;AK4;SLC25A10;EXT2;AKR1A1;IDH1;STC1;IL13RA1;SLC25A13;PRPS1;TALDO1;AGL;GMPPA;CASP6;B3GNT3;COPB2;HAX1;PMM2;ARTN;P4HA2;LHPP;HK2;NANP;PKP2;PC	HCC1143	PMF1	40	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Metabolic state	Glycolysis	HALLMARK_GLYCOLYSIS	HCC1143 / PMF1	1	Tier 1	benchmark-relevant anchor	5	HCC38	-0.08024009603841536	0.82	50
HALLMARK_MTORC1_SIGNALING	-0.565065724408078	-1.26075432598156	0.0413064361191162	down	200	196	0.147522986139701	0.0719516678892624	HSPE1;MCM4;EPRS;ENO1;LDHA;PRDX1;IMMT;SDF2L1;HPRT1;CTSC;AURKA;SLC9A3R1;CCT6A;FADS1;PSMA4;RPA1;PSMB5;ME1;HSP90B1;SERPINH1;PPIA;DHFR;PLK1;SLC7A5;PGK1;ELOVL5;ATP2A2;GAPDH;ACSL3;USO1;PITPNB;PSMD14;MTHFD2;HSPA9;LGMN;HMBS;IFI30;DHCR24;PSMA3;EBP;ETF1;TFRC;HSPA5;G6PD;ADIPOR2;BUB1;RDH11;M6PR;CALR;TOMM40;RPN1;NMT1;ATP6V1D;EEF1E1;GMPS;CANX;SSR1;TUBG1;PSMC6;SORD;HSPA4;CYP51A1;CACYBP;YKT6;ACLY;TMEM97;PPA1;UCHL5;AK4;DHCR7;FDXR;NUFIP1;PDAP1;PSMD12;HSPD1;ITGB2;PSME3;IDH1;MCM2;STIP1;STC1;LDLR;MTHFD2L;LTA4H;TBK1;WARS;RIT1;UNG;ACACA;SRD5A1;ARPC5L;ELOVL6;MAP2K3;HK2;GPI;ACTR2;SEC11A;ABCF2;FADS2;POLR3G	HCC1143	PMF1	40	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Metabolic state	Mtorc1 Signaling	HALLMARK_MTORC1_SIGNALING	HCC1143 / PMF1	1	Tier 1	benchmark-relevant anchor	6	HCC38	-0.08024009603841536	0.82	50
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.509285969481713	-1.13099355353612	0.196539866752633	down	200	183	0.491349666881582	0.0304986328560575	IDH2;UQCRQ;LDHA;SLC25A3;IMMT;VDAC3;UQCRC2;LDHB;NDUFS4;SDHA;COX5A;MDH1;IDH3B;SLC25A5;TOMM22;CYB5A;MRPS22;BAX;NDUFB3;SDHC;FH;UQCRC1;NDUFV2;NDUFAB1;ATP6V1E1;CS;AIFM1;MRPL11;ACO2;ATP6AP1;NDUFA6;NDUFS2;PHYH;HSPA9;FXN;MRPS12;FDX1;GOT2;COX7B;NDUFA3;MRPL34;NQO2;MTX2;CYC1;NDUFA8;SUCLG1;IDH3A;ATP6V1D;RHOT1;AFG3L2;ACAT1;COX15;LRPPRC;ATP6V1C1;TIMM10;POR;PHB2;NDUFS8;HADHB;BDH2;ACADM;SLC25A11;NDUFV1;DLD;COX7C;PRDX3;ATP1B1;MRPS30;DECR1;OGDH;MGST3;UQCR10;SLC25A4;COX10;DLST;IDH1	HCC1143	PMF1	40	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Metabolic state	Oxidative Phosphorylation	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HCC1143 / PMF1	1	Tier 1	benchmark-relevant anchor	7	HCC38	-0.08024009603841536	0.82	50
