gene	HCC38_BREAST_6.1	HCC38_BREAST_6.2	HCC38_BREAST_6.3	HCC38_BREAST_6.4	HCC38_BREAST_6.5	HCC38_BREAST_6.6	HCC38_BREAST_7.1	HCC38_BREAST_7.2	HCC38_BREAST_7.3	HCC38_BREAST_7.4	HCC38_BREAST_7.5	HCC38_BREAST_7.6	HCC38_BREAST_7.7	HCC38_BREAST_8.1	HCC38_BREAST_8.2	HCC38_BREAST_8.3	HCC38_BREAST_8.4	HCC38_BREAST_8.5	HCC38_BREAST_8.6	HCC38_BREAST_8.7	HCC38_BREAST_8.8	HCC38_BREAST_9.1	HCC38_BREAST_9.2	HCC38_BREAST_9.3	HCC38_BREAST_9.4	HCC38_BREAST_9.5	HCC38_BREAST_9.6	HCC38_BREAST_9.7	HCC38_BREAST_9.8	HCC38_BREAST_9.9
GON4L	0.025932	0.030208	0.034842	0.017087	0.021532	0.020634	0.002165	0.022252	0.033377	0.021829	0.016087	0.030437	0.031423	0.02383	0.032433	0.012281	0.035071	0.030694	0.023665	0.003007	0.015065	0.031669	0.014965	0.022987	0.030288	0.002071	0.034182	0.016829	0.013556	0.02464
MIER1	0.060328	0.009146	0.020859	0.036569	0.017887	0.006892	0.05201	0.0	0.026908	0.011642	0.037255	0.040198	0.034087	0.038062	0.034158	0.0	0.026021	0.009227	0.011435	0.051479	0.042282	0.035507	0.042528	0.010682	0.008462	0.051503	0.026422	0.014897	0.0	0.036943
PA2G4	0.02229	0.002403	0.001599	0.031838	0.001707	0.015231	0.019203	2.6e-05	0.003608	0.014997	0.033121	0.018614	0.0	0.020994	0.0	0.008372	0.002317	0.00134	0.013541	0.018975	0.031262	0.0	0.030189	0.018585	0.001416	0.019082	0.001075	0.005876	0.008868	0.020439
MTDH	0.003241	0.005504	0.000692	0.003029	0.00136	0.026374	0.004662	0.004135	0.00044	0.026679	0.002427	0.004911	0.003787	0.006018	0.003647	0.000691	0.000221	0.006454	0.026945	0.004576	0.002815	0.002881	0.001242	0.030132	0.004958	0.004756	0.0	0.012019	0.00182	0.002248
PARK7	0.035384	0.005938	0.011729	0.02249	0.0	0.0	0.006363	0.0	0.014704	0.0	0.022524	0.033005	0.002726	0.029782	0.004004	0.0	0.014828	0.006893	0.0	0.006107	0.025116	0.003418	0.024783	0.004027	0.008206	0.0061	0.014657	0.0	0.0	0.031193
STAT3	0.034615	0.050711	0.01624	0.006734	0.041672	0.00352	0.012869	0.04438	0.014757	0.004894	0.006739	0.030031	0.057507	0.018477	0.060451	0.0124	0.017237	0.054068	0.008585	0.013004	0.011214	0.059664	0.01142	0.011983	0.053389	0.012857	0.016493	0.009251	0.012885	0.019153
THAP8	0.0	0.023617	0.019737	0.013199	0.016205	0.026456	0.0	0.041816	0.017881	0.020896	0.01295	0.0	0.0	0.0	0.0	0.036053	0.016999	0.018201	0.023992	0.0	0.011828	0.0	0.013174	0.0	0.016678	0.0	0.018729	0.038766	0.032516	0.0
UBP1	0.004638	0.016234	0.028274	0.015756	0.013029	0.054075	0.0	0.014045	0.02765	0.053774	0.012885	0.007726	0.033137	0.011976	0.032771	0.007623	0.027334	0.014982	0.053587	0.0	0.013472	0.032756	0.011527	0.053664	0.014129	0.0	0.025187	0.032442	0.007578	0.005578
HDGF	0.012348	0.018491	0.013619	0.001431	0.011153	0.020177	0.000754	0.022289	0.01254	0.017788	0.002126	0.016625	0.001668	0.01648	0.002001	0.015497	0.013833	0.020068	0.016725	0.000656	0.000806	0.001678	0.0	0.029809	0.018401	0.001026	0.011042	0.002969	0.017382	0.012763
XBP1	0.037134	0.024298	0.046294	0.004052	0.016846	0.013397	0.049981	0.028479	0.047837	0.014755	0.00571	0.022138	0.004614	0.023676	0.004422	0.020756	0.049678	0.01992	0.014861	0.050277	0.004626	0.003646	0.004215	0.010572	0.016607	0.04993	0.050097	0.017004	0.024003	0.024109
PCBD1	0.013987	0.019615	0.005497	0.01149	0.019205	0.025514	0.007206	0.025558	0.004818	0.023409	0.012438	0.017294	0.006853	0.016137	0.006407	0.022703	0.005694	0.019749	0.023521	0.00771	0.009692	0.00655	0.008667	0.019362	0.019193	0.007572	0.005034	0.01889	0.023505	0.015381
PRDX2	0.052719	0.012868	0.008621	0.016642	0.001131	0.003563	0.011345	0.000258	0.012996	0.001508	0.016967	0.054193	0.006951	0.053685	0.006544	0.0	0.013679	0.009988	0.0	0.011322	0.018189	0.006637	0.016922	0.0	0.009262	0.011178	0.014729	0.008627	0.0	0.054563
ZNF24	0.028354	0.010799	0.047399	0.015457	0.016147	0.038253	0.00081	0.006782	0.047371	0.040842	0.015534	0.029729	0.025749	0.027397	0.026574	0.002392	0.048274	0.015984	0.040848	0.000342	0.017997	0.025062	0.01796	0.026243	0.014775	5.4e-05	0.050251	0.03941	0.0	0.02527
COMMD6	0.023864	0.03412	0.023258	0.019145	0.022359	0.016156	0.001581	0.037562	0.021736	0.014441	0.0181	0.026848	0.015705	0.021223	0.017178	0.025727	0.022319	0.028999	0.016993	0.001898	0.02052	0.016131	0.018273	0.021978	0.027159	0.001534	0.020071	0.009022	0.029782	0.023806
TMSB4X	0.0	0.02665	0.004531	0.0	0.031833	0.017887	0.001176	0.051048	0.001635	0.01398	0.000372	0.0	0.0	0.000948	0.0	0.044625	0.001814	0.021485	0.014423	0.001439	0.0	0.0	0.0	0.0	0.019804	0.001345	0.0025	0.025535	0.042361	0.001953
RPS3	0.011101	0.005778	0.000189	0.001934	0.0	0.011779	0.0	0.001544	0.001002	0.011161	0.001581	0.014755	0.0	0.01452	0.0	0.0	0.001389	0.004974	0.010813	0.0	0.002091	0.0	0.00147	0.005592	0.005208	0.0	0.001627	0.010808	0.0	0.01439
RUVBL2	0.035632	0.013683	0.014496	0.034187	0.006145	0.014119	0.0	0.007336	0.015985	0.013166	0.035243	0.039783	0.004454	0.038229	0.004232	0.011471	0.015879	0.014047	0.010932	0.0	0.034838	0.002985	0.032768	0.021458	0.013039	0.0	0.013487	0.00145	0.015613	0.039418
YBX1	0.0	0.0	0.0	0.009805	0.003949	0.013162	0.0	0.0	0.0	0.014132	0.010879	0.0	0.002299	0.00119	0.001541	0.005411	0.0	0.0	0.013152	0.0	0.008845	0.001372	0.008745	0.008668	0.0	0.0	0.0	0.010757	0.005541	8.8e-05
