context	cell_line	target_gene	shift_percentile	dependency_percentile	endpoint_category	evidence_role	category_interpretation
HepG2 day 7	HepG2	ATP6AP1	0.922		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	ATP6AP2	0.802		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	ATP6V0B	0.82		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	ATP6V0C	0.86		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	BRIX1	0.818		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	CCT2	0.887		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	CCT4	0.77		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	CDC6	0.831		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	CHAF1B	0.807		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	CPSF4	0.783		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	CSE1L	0.886		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	DDX10	0.839		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	DDX18	0.934		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	DDX47	0.895		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	DDX56	0.794		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	DHX8	0.947		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	EIF2B2	0.898		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	EIF2B4	0.931		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	EIF2S1	0.999		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	EIF2S2	0.797		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	EIF2S3	0.995		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	EIF3A	0.899		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	EIF3B	0.967		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	EIF3I	0.979		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	EIF4A3	0.771		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	EIF4E	0.834		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	ETF1	0.801		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	FAU	0.915		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	GPN1	0.821		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	GSPT1	0.863		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	HMGCS1	0.789		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	HNRNPK	0.872		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	HSPA9	0.991		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	IGBP1	0.835		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	KPNB1	0.765		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	LSM4	0.901		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	LSM7	0.784		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	MED22	0.946		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	MED4	0.924		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	MPHOSPH10	0.8		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	MTBP	0.753		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	MYC	0.847		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	NIFK	0.885		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	NOP58	0.845		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	NPLOC4	0.903		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	PAM16	0.862		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	PCNA	0.852		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	PELP1	0.851		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	PHB2	0.939		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	POLR2B	0.888		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	POLR2C	0.944		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	POLR2D	0.803		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	POLR2E	0.894		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	POLR2F	0.788		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	POLR2I	0.96		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	PRELID1	0.891		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	PRELID3B	0.877		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	PRPF31	0.897		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	PSMA3	0.997		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	PSMA4	0.99		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	PSMB1	0.904		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	PSMB2	0.996		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	PSMB3	0.993		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	PSMB5	1.0		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	PSMB6	0.787		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	PSMD14	0.98		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	PWP2	0.861		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	RABGGTA	0.893		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	RABGGTB	0.769		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	RPA2	0.97		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	RPA3	0.775		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	RPAP1	0.981		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	RPL10	0.954		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	RPL10A	0.963		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	RPL12	0.785		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	RPL13	0.933		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	RPL14	0.986		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	RPL17	0.985		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	RPL18	0.978		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	RPL18A	0.906		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	RPL23	0.969		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	RPL24	0.972		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
HepG2 day 7	HepG2	RPL26	0.908		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
