axis_id	axis_family	architecture_role	consistency_class	axis_annotation_confidence	n_targets	targets	fraction_q1_mean	fraction_q2_mean	fraction_q3_mean	shift_lift_mean	depmap_lift_mean	shift_r2_mean	depmap_r2_mean	sharedness_delta	explanatory_call	formal_call_eligible	call_tier	panel	bootstrap_replicates_completed	bootstrap_shift_r2_mean	bootstrap_shift_r2_p10	bootstrap_shift_r2_p90	bootstrap_dep_r2_mean	bootstrap_dep_r2_p10	bootstrap_dep_r2_p90	bootstrap_dominant_call	bootstrap_dominant_call_fraction	bootstrap_stability_call	database	term	NES_or_effect	FDR	leading_edge_size	overlap_gene_count	term_gene_count_in_universe	axis_gene_count	overlap_genes	object	level	structural_stability	cutoff_stability	bootstrap_status	covariate_status	evidence_tier	allowed_wording	disallowed_wording
ER stress / UPR	stress response	context_deviation	shared_middle	high	1.0	XBP1	0.0	0.0	0.0	-0.0021507217668037	-0.2147350852924363	0.0162456435268426	0.0088982986407474	0.0073473448860951	preliminary_mixed_or_low_signal_axis	False	preliminary	a																												
NF-κB / copper signaling	signaling / growth control	context_deviation	shared_middle	medium	1.0	COMMD6	0.0	0.0	0.0	-0.0020818976725851	-0.1526975169517808	0.0149622440874706	0.0054930875937286	0.0094691564937419	preliminary_mixed_or_low_signal_axis	False	preliminary	a																												
metabolism / transcription	metabolism	context_deviation	shared_middle	low	1.0	PCBD1	0.0	0.0	0.0	-0.002037054320283	-0.2085428277762812	0.0145285688694307	0.0083828909256136	0.006145677943817	preliminary_mixed_or_low_signal_axis	False	preliminary	a																												
peroxisome / metabolism	metabolism	context_deviation	shared_middle	medium	1.0	PEX14	0.0	0.0	0.0	-0.0020386300052073	-0.2108108697539006	0.0141771840514517	0.0086335804762432	0.0055436035752085	preliminary_mixed_or_low_signal_axis	False	preliminary	a																												
cell cycle / replication	cell-state regulation	context_deviation	line_skewed	high	1.0	CDKN2A	0.0	0.0	0.0	-0.0019054441595306	-0.2229463895689933	0.0135146831560443	0.0095905792774376	0.0039241038786066	preliminary_mixed_or_low_signal_axis	False	preliminary	a																												
synaptic / signaling	signaling / growth control	context_deviation	shared_middle	low	1.0	ERC1	0.0	0.0	0.0	-0.0019340547235664	-0.2067764839409114	0.0133845565928478	0.0083371926086237	0.005047363984224	preliminary_mixed_or_low_signal_axis	False	preliminary	a																												
growth factor / proliferation	signaling / growth control	context_deviation	shared_middle	medium	1.0	HDGF	0.0	0.0	0.0	-0.0017670730865107	-0.2005208589981218	0.0119657754361656	0.0077512113361277	0.0042145641000379	preliminary_mixed_or_low_signal_axis	False	preliminary	a																												
JAK-STAT signaling	signaling / growth control	context_deviation	shared_middle	high	1.0	STAT3	0.0	0.0	0.0	-0.001698488454784	-0.2110357326023516	0.0098463022917731	0.0085784413687654	0.0012678609230077	preliminary_mixed_or_low_signal_axis	False	preliminary	a																												
signaling / oncogene	signaling / growth control	context_deviation	shared_middle	high	1.0	MTDH	0.0	0.0	0.0	-0.0012767150700943	-0.2014033418734466	0.006162566499227	0.0078132025657203	-0.0016506360664933	preliminary_mixed_or_low_signal_axis	False	preliminary	a																												
oxidative stress / antioxidant	stress response	context_deviation	shared_middle	high	1.0	PRDX2	0.0	0.0	0.0	-0.001266259957604	-0.0630570765564325	0.0058663755681859	0.0007878525818761	0.0050785229863098	preliminary_mixed_or_low_signal_axis	False	preliminary	a																												
oxidative stress / mitochondrial	stress response	context_deviation	shared_middle	medium	1.0	PARK7	0.0	0.0	0.0	-0.0008571189101983	-0.147987504551865	0.0034392429600541	0.0050062526099397	-0.0015670096498856	preliminary_mixed_or_low_signal_axis	False	preliminary	a																												
NF-κB / MAPK signaling	signaling / growth control	context_deviation	line_skewed	medium	1.0	TAB3	0.0	0.0	0.0	-0.0007674664312851	-0.2068808715460154	0.0023197200472579	0.0082441423603604	-0.0059244223131025	preliminary_mixed_or_low_signal_axis	False	preliminary	a																												
growth / proliferation	signaling / growth control	context_deviation	line_skewed	medium	1.0	PA2G4	0.0	0.0	0.0	9.172232708838006e-05	0.0066460381580744	0.0019107990652549	0.0038350710616956	-0.0019242719964406	preliminary_mixed_or_low_signal_axis	False	preliminary	a																												
RNA processing / spliceosome	RNA processing	canonical_backbone	shared_shift_excess	high	1.0	PRPF6	1.0	0.0	0.0	0.0084863742060175	0.7739565322106198	0.2456341088499313	0.1154327916242644	0.1302013172256668	preliminary_shared_signal_axis	False	preliminary	a																												
mTOR / lysosome / signaling	signaling / growth control	shift_excess	shared_shift_excess	high	1.0	LAMTOR5	0.0	0.0	0.0	0.0035515052974019	-0.1188144571752522	0.0471206748830778	0.0028366077924279	0.0442840670906499	preliminary_transcriptomic_heavy_axis	False	preliminary	a																												
transcription / chromatin	gene expression machinery	canonical_backbone	shared_shift_excess	high	2.0	ENY2; TADA3	0.5	0.0	0.0	0.0036330167096096	0.0062684778379303	0.0918059091099973	0.0003096163305515	0.0914962927794458	transcriptomic_heavy_axis	True	formal	a																												
ribosomal / translation																		b	126.0	0.0458421347817157	0.0101543540099529	0.0813097675266462	0.1725311671619864	0.0962533796597226	0.2782461957775696	preliminary_dependency_heavy_axis	0.6746031746031746	moderately_stable_axis_call																		
proteostasis / chaperone																		b	127.0	0.0569181755946385	0.0246817362503415	0.0926116010197582	0.1341231561074251	0.0637813567892498	0.1963954375452971	preliminary_shared_signal_axis	0.5275590551181102	moderately_stable_axis_call																		
ribosome biogenesis / nucleolar																		b	137.0	0.0887045228656395	0.0024984293934236	0.175697680011688	0.0741474112028329	0.000729392206743	0.1578303764483779	preliminary_shared_signal_axis	0.5255474452554745	moderately_stable_axis_call																		
ER stress / UPR																		b	133.0	0.0257182133208219	0.0127397945755661	0.0440615649643023	0.0144988084867351	0.0077497256543345	0.0240512810351236	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call																		
JAK-STAT signaling																		b	130.0	0.0170930887700935	0.0085350448674011	0.0310718826348331	0.0138138725586434	0.0074006748778291	0.0241305875944823	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call																		
NF-κB / MAPK signaling																		b	126.0	0.0040751811597616	0.0004808851056228	0.0079310345210808	0.0127831615120673	0.0065798126442534	0.0186685433675851	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call																		
NF-κB / copper signaling																		b	126.0	0.0250846564978131	0.0124889685171088	0.0378592626171542	0.0096751701168294	0.0012031910105726	0.0197570463581505	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call																		
RNA processing / spliceosome																		b	131.0	0.337743728927481	0.2314343044767035	0.4597594699065702	0.1783148425361179	0.0947577464265564	0.2646804436956161	preliminary_shared_signal_axis	1.0	stable_axis_call																		
RNA processing / transcription																		b	128.0	0.0099148848341742	0.0021289383676607	0.0198813446937111	0.1677411919881641	0.083160917124183	0.2807613407641842	preliminary_dependency_heavy_axis	1.0	stable_axis_call																		
TGF-beta / BMP signaling																		b	147.0	0.0130707755796418	0.002729979004288	0.0243315790357231	0.007447181728311	0.0005217214640519	0.0142065109998283	mixed_or_low_signal_axis	1.0	stable_axis_call																		
cell cycle / replication																		b	131.0	0.0230068202311546	0.0093082753826376	0.0426589607930441	0.0156698499503412	0.0085029580895883	0.0266085641759174	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call																		
cytoskeleton / cell motility																		b	135.0	0.0270521709569127	0.0134557863017158	0.0453128747048112	0.0065933849213692	9.650386256919418e-05	0.0145164648855217	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call																		
growth / proliferation																		b	133.0	0.0040019749602703	0.0005999092771172	0.0082783808162027	0.0071960735422209	0.0017758440202973	0.0136930460377822	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call																		
growth factor / proliferation																		b	127.0	0.0191824616328592	0.0036120900799641	0.0397117382638859	0.0127732076808689	0.0068662818556382	0.021699803731645	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call																		
metabolism / transcription																		b	127.0	0.0235984987645911	0.0116617160197356	0.0362966022487791	0.0137663044175143	0.0071634627467122	0.0222238140916421	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call																		
nuclear receptor / co-activator																		b	133.0	0.0305240416488002	0.0145247926811551	0.0524179866133866	0.0110226953249427	0.0053762753735904	0.0183798926827366	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call																		
nuclear receptor / metabolism																		b	149.0	0.015423417613045	0.0048901515475552	0.0244358803457856	0.0090631569028696	0.0028313234830302	0.0175508935993427	mixed_or_low_signal_axis	1.0	stable_axis_call																		
oxidative stress / antioxidant																		b	130.0	0.0100624208888525	0.0041826063131036	0.0187658776857755	0.0017811002026119	0.0003296323418202	0.0037212171604143	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call																		
oxidative stress / mitochondrial																		b	128.0	0.0065823249455541	0.0009317434191362	0.0125049862197601	0.0088515010802539	0.0018517643546273	0.0171619765288963	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call																		
peroxisome / metabolism																		b	133.0	0.0244161903617133	0.0126986963834352	0.0381623694130374	0.0145281769126691	0.007346733871585	0.0241351469858204	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call																		
signaling / oncogene																		b	123.0	0.0086396637564412	0.0014872591426851	0.0155718252942576	0.0111151672064266	0.0061521693082921	0.018600094603035	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call																		
synaptic / signaling																		b	129.0	0.0211283757919922	0.0107588993766298	0.0364451338110462	0.0125215638339283	0.0061973270296348	0.01942651888156	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call																		
transcription regulation																		b	150.0	0.0278887626613017	0.0050050181871597	0.0563570295273862	0.0306582625867716	0.0059721654243593	0.0633665475574978	mixed_or_low_signal_axis	0.9933333333333332	stable_axis_call																		
transcription / chromatin																		b	150.0	0.107909326978854	0.0511441893428736	0.1826168710136366	0.0071687887661913	0.0004175817831841	0.0162113392013242	transcriptomic_heavy_axis	0.9733333333333334	stable_axis_call																		
mTOR / lysosome / signaling																		b	130.0	0.0819524460745063	0.0318659153021376	0.1630367770253985	0.0048330743293632	0.0011949611444957	0.0090843430650639	preliminary_transcriptomic_heavy_axis	0.8769230769230769	stable_axis_call																		
chromatin remodeling																		b	149.0	0.0666781447528545	0.0107278732347667	0.1495344189664291	0.090374460077951	0.0035440425796464	0.1893006862153463	shared_backbone_axis	0.4496644295302013	unstable_axis_call																		
ER stress / UPR																		c											MSigDB_Hallmark	Unfolded Protein Response	1.0	0.0638297872340425	1.0	1.0	3.0	1.0	XBP1									
chromatin remodeling																		c											MSigDB_Hallmark	Myc Targets V1	0.5	0.2035152636447733	1.0	1.0	5.0	2.0	RUVBL2									
growth / proliferation																		c											MSigDB_Hallmark	Myc Targets V1	1.0	0.1063829787234042	1.0	1.0	5.0	1.0	PA2G4									
growth factor / proliferation																		c											MSigDB_Hallmark	Myc Targets V1	1.0	0.1063829787234042	1.0	1.0	5.0	1.0	HDGF									
growth factor / proliferation																		c											MSigDB_Hallmark	heme Metabolism	1.0	0.1063829787234042	1.0	1.0	4.0	1.0	HDGF									
oxidative stress / antioxidant																		c											MSigDB_Hallmark	heme Metabolism	1.0	0.0851063829787234	1.0	1.0	4.0	1.0	PRDX2									
ribosomal / translation																		c											MSigDB_Hallmark	Myc Targets V1	1.0	0.1063829787234042	1.0	1.0	5.0	1.0	RPS3									
ribosome biogenesis / nucleolar																		c											MSigDB_Hallmark	Myc Targets V1	1.0	0.1063829787234042	1.0	1.0	5.0	1.0	NPM1									
ribosome biogenesis / nucleolar																		c											MSigDB_Hallmark	Unfolded Protein Response	1.0	0.1063829787234042	1.0	1.0	3.0	1.0	NPM1									
transcription regulation																		c											MSigDB_Hallmark	heme Metabolism	0.2	0.3881927508199478	2.0	2.0	4.0	10.0	KLF3; VEZF1									
transcription regulation																		c											MSigDB_Hallmark	Unfolded Protein Response	0.1	0.5208140610545791	1.0	1.0	3.0	10.0	ZBTB17									
JAK-STAT signaling																		c											Reactome	Cellular Response To Chemical Stress R-HSA-9711123	1.0	0.1560283687943262	1.0	1.0	4.0	1.0	STAT3									
JAK-STAT signaling																		c											Reactome	Cytokine Signaling In Immune System R-HSA-1280215	1.0	0.1560283687943262	1.0	1.0	3.0	1.0	STAT3									
JAK-STAT signaling																		c											Reactome	Developmental Biology R-HSA-1266738	1.0	0.1560283687943262	1.0	1.0	4.0	1.0	STAT3									
JAK-STAT signaling																		c											Reactome	Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202	1.0	0.1560283687943262	1.0	1.0	3.0	1.0	STAT3									
JAK-STAT signaling																		c											Reactome	Immune System R-HSA-168256	1.0	0.1560283687943262	1.0	1.0	4.0	1.0	STAT3									
JAK-STAT signaling																		c											Reactome	Signaling By Interleukins R-HSA-449147	1.0	0.1560283687943262	1.0	1.0	3.0	1.0	STAT3									
JAK-STAT signaling																		c											Reactome	Cellular Responses To Stimuli R-HSA-8953897	1.0	0.1872340425531915	1.0	1.0	8.0	1.0	STAT3									
JAK-STAT signaling																		c											Reactome	Cellular Responses To Stress R-HSA-2262752	1.0	0.1872340425531915	1.0	1.0	8.0	1.0	STAT3									
JAK-STAT signaling																		c											Reactome	Disease R-HSA-1643685	1.0	0.1872340425531915	1.0	1.0	7.0	1.0	STAT3									
JAK-STAT signaling																		c											Reactome	Signal Transduction R-HSA-162582	1.0	0.1872340425531915	1.0	1.0	8.0	1.0	STAT3									
JAK-STAT signaling																		c											Reactome	Metabolism Of Proteins R-HSA-392499	1.0	0.2765957446808511	1.0	1.0	13.0	1.0	STAT3									
NF-κB / MAPK signaling																		c											Reactome	Cytokine Signaling In Immune System R-HSA-1280215	1.0	0.1276595744680851	1.0	1.0	3.0	1.0	TAB3									
NF-κB / MAPK signaling																		c											Reactome	Immune System R-HSA-168256	1.0	0.1276595744680851	1.0	1.0	4.0	1.0	TAB3									
NF-κB / MAPK signaling																		c											Reactome	Infectious Disease R-HSA-5663205	1.0	0.1276595744680851	1.0	1.0	3.0	1.0	TAB3									
NF-κB / MAPK signaling																		c											Reactome	Signaling By Interleukins R-HSA-449147	1.0	0.1276595744680851	1.0	1.0	3.0	1.0	TAB3									
NF-κB / MAPK signaling																		c											Reactome	Disease R-HSA-1643685	1.0	0.1702127659574468	1.0	1.0	7.0	1.0	TAB3									
NF-κB / MAPK signaling																		c											Reactome	Signal Transduction R-HSA-162582	1.0	0.1702127659574468	1.0	1.0	8.0	1.0	TAB3									
NF-κB / copper signaling																		c											Reactome	Metabolism Of Proteins R-HSA-392499	1.0	0.2765957446808511	1.0	1.0	13.0	1.0	COMMD6									
NF-κB / copper signaling																		c											Reactome	Post-translational Protein Modification R-HSA-597592	1.0	0.2765957446808511	1.0	1.0	10.0	1.0	COMMD6									
RNA processing / spliceosome																		c											Reactome	Metabolism Of RNA R-HSA-8953854	1.0	0.0638297872340425	1.0	1.0	3.0	1.0	PRPF6									
RNA processing / transcription																		c											Reactome	Metabolism Of RNA R-HSA-8953854	1.0	0.1914893617021277	1.0	1.0	3.0	1.0	YBX1									
RNA processing / transcription																		c											Reactome	Signaling By TGFB Family Members R-HSA-9006936	1.0	0.1914893617021277	1.0	1.0	3.0	1.0	YBX1									
RNA processing / transcription																		c											Reactome	Gene Expression (Transcription) R-HSA-74160	1.0	0.2553191489361702	1.0	1.0	12.0	1.0	YBX1									
RNA processing / transcription																		c											Reactome	Generic Transcription Pathway R-HSA-212436	1.0	0.2553191489361702	1.0	1.0	11.0	1.0	YBX1									
RNA processing / transcription																		c											Reactome	RNA Polymerase II Transcription R-HSA-73857	1.0	0.2553191489361702	1.0	1.0	11.0	1.0	YBX1									
RNA processing / transcription																		c											Reactome	Signal Transduction R-HSA-162582	1.0	0.2553191489361702	1.0	1.0	8.0	1.0	YBX1									
TGF-beta / BMP signaling																		c											Reactome	Signaling By TGFB Family Members R-HSA-9006936	1.0	0.0194264569842738	2.0	2.0	3.0	2.0	BMPR1A; SMAD1									
TGF-beta / BMP signaling																		c											Reactome	Signal Transduction R-HSA-162582	1.0	0.0906567992599445	2.0	2.0	8.0	2.0	BMPR1A; SMAD1									
TGF-beta / BMP signaling																		c											Reactome	Gene Expression (Transcription) R-HSA-74160	0.5	0.4810360777058279	1.0	1.0	12.0	2.0	SMAD1									
TGF-beta / BMP signaling																		c											Reactome	Generic Transcription Pathway R-HSA-212436	0.5	0.4810360777058279	1.0	1.0	11.0	2.0	SMAD1									
TGF-beta / BMP signaling																		c											Reactome	Metabolism Of Proteins R-HSA-392499	0.5	0.4810360777058279	1.0	1.0	13.0	2.0	SMAD1									
TGF-beta / BMP signaling																		c											Reactome	Post-translational Protein Modification R-HSA-597592	0.5	0.4810360777058279	1.0	1.0	10.0	2.0	SMAD1									
TGF-beta / BMP signaling																		c											Reactome	RNA Polymerase II Transcription R-HSA-73857	0.5	0.4810360777058279	1.0	1.0	11.0	2.0	SMAD1									
cell cycle / replication																		c											Reactome	Cell Cycle R-HSA-1640170	1.0	0.264775413711584	1.0	1.0	3.0	1.0	CDKN2A									
cell cycle / replication																		c											Reactome	Cellular Response To Chemical Stress R-HSA-9711123	1.0	0.264775413711584	1.0	1.0	4.0	1.0	CDKN2A									
cell cycle / replication																		c											Reactome	Cellular Responses To Stimuli R-HSA-8953897	1.0	0.264775413711584	1.0	1.0	8.0	1.0	CDKN2A									
cell cycle / replication																		c											Reactome	Cellular Responses To Stress R-HSA-2262752	1.0	0.264775413711584	1.0	1.0	8.0	1.0	CDKN2A									
cell cycle / replication																		c											Reactome	Disease R-HSA-1643685	1.0	0.264775413711584	1.0	1.0	7.0	1.0	CDKN2A									
cell cycle / replication																		c											Reactome	SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232	1.0	0.264775413711584	1.0	1.0	6.0	1.0	CDKN2A									
cell cycle / replication																		c											Reactome	SUMOylation R-HSA-2990846	1.0	0.264775413711584	1.0	1.0	6.0	1.0	CDKN2A									
cell cycle / replication																		c											Reactome	Transcriptional Regulation By RUNX3 R-HSA-8878159	1.0	0.264775413711584	1.0	1.0	3.0	1.0	CDKN2A									
cell cycle / replication																		c											Reactome	Transcriptional Regulation By TP53 R-HSA-3700989	1.0	0.264775413711584	1.0	1.0	4.0	1.0	CDKN2A									
cell cycle / replication																		c											Reactome	Generic Transcription Pathway R-HSA-212436	1.0	0.2730496453900709	1.0	1.0	11.0	1.0	CDKN2A									
cell cycle / replication																		c											Reactome	Post-translational Protein Modification R-HSA-597592	1.0	0.2730496453900709	1.0	1.0	10.0	1.0	CDKN2A									
cell cycle / replication																		c											Reactome	RNA Polymerase II Transcription R-HSA-73857	1.0	0.2730496453900709	1.0	1.0	11.0	1.0	CDKN2A									
cell cycle / replication																		c											Reactome	Gene Expression (Transcription) R-HSA-74160	1.0	0.2749590834697217	1.0	1.0	12.0	1.0	CDKN2A									
cell cycle / replication																		c											Reactome	Metabolism Of Proteins R-HSA-392499	1.0	0.2765957446808511	1.0	1.0	13.0	1.0	CDKN2A									
chromatin remodeling																		c											Reactome	Chromatin Modifying Enzymes R-HSA-3247509	1.0	0.0555041628122109	2.0	2.0	5.0	2.0	ARID1A; RUVBL2									
chromatin remodeling																		c											Reactome	Cell Cycle R-HSA-1640170	0.5	0.3293246993524515	1.0	1.0	3.0	2.0	RUVBL2									
chromatin remodeling																		c											Reactome	HATs Acetylate Histones R-HSA-3214847	0.5	0.3293246993524515	1.0	1.0	4.0	2.0	RUVBL2									
chromatin remodeling																		c											Reactome	Gene Expression (Transcription) R-HSA-74160	0.5	0.4495837187789084	1.0	1.0	12.0	2.0	ARID1A									
chromatin remodeling																		c											Reactome	Generic Transcription Pathway R-HSA-212436	0.5	0.4495837187789084	1.0	1.0	11.0	2.0	ARID1A									
chromatin remodeling																		c											Reactome	RNA Polymerase II Transcription R-HSA-73857	0.5	0.4495837187789084	1.0	1.0	11.0	2.0	ARID1A									
growth / proliferation																		c											Reactome	Immune System R-HSA-168256	1.0	0.0851063829787234	1.0	1.0	4.0	1.0	PA2G4									
growth factor / proliferation																		c											Reactome	Cellular Responses To Stimuli R-HSA-8953897	1.0	0.1702127659574468	1.0	1.0	8.0	1.0	HDGF									
growth factor / proliferation																		c											Reactome	Cellular Responses To Stress R-HSA-2262752	1.0	0.1702127659574468	1.0	1.0	8.0	1.0	HDGF									
mTOR / lysosome / signaling																		c											Reactome	Cellular Responses To Stimuli R-HSA-8953897	1.0	0.2553191489361702	1.0	1.0	8.0	1.0	LAMTOR5									
mTOR / lysosome / signaling																		c											Reactome	Cellular Responses To Stress R-HSA-2262752	1.0	0.2553191489361702	1.0	1.0	8.0	1.0	LAMTOR5									
mTOR / lysosome / signaling																		c											Reactome	Gene Expression (Transcription) R-HSA-74160	1.0	0.2553191489361702	1.0	1.0	12.0	1.0	LAMTOR5									
mTOR / lysosome / signaling																		c											Reactome	Generic Transcription Pathway R-HSA-212436	1.0	0.2553191489361702	1.0	1.0	11.0	1.0	LAMTOR5									
mTOR / lysosome / signaling																		c											Reactome	RNA Polymerase II Transcription R-HSA-73857	1.0	0.2553191489361702	1.0	1.0	11.0	1.0	LAMTOR5									
mTOR / lysosome / signaling																		c											Reactome	Signal Transduction R-HSA-162582	1.0	0.2553191489361702	1.0	1.0	8.0	1.0	LAMTOR5									
mTOR / lysosome / signaling																		c											Reactome	Transcriptional Regulation By TP53 R-HSA-3700989	1.0	0.2553191489361702	1.0	1.0	4.0	1.0	LAMTOR5									
metabolism / transcription																		c											Reactome	Metabolism R-HSA-1430728	1.0	0.0638297872340425	1.0	1.0	3.0	1.0	PCBD1									
nuclear receptor / co-activator																		c											Reactome	Cellular Response To Chemical Stress R-HSA-9711123	1.0	0.2011605415860735	1.0	1.0	4.0	1.0	NCOA1									
nuclear receptor / co-activator																		c											Reactome	Cellular Responses To Stimuli R-HSA-8953897	1.0	0.2011605415860735	1.0	1.0	8.0	1.0	NCOA1									
nuclear receptor / co-activator																		c											Reactome	Cellular Responses To Stress R-HSA-2262752	1.0	0.2011605415860735	1.0	1.0	8.0	1.0	NCOA1									
nuclear receptor / co-activator																		c											Reactome	Chromatin Modifying Enzymes R-HSA-3247509	1.0	0.2011605415860735	1.0	1.0	5.0	1.0	NCOA1									
nuclear receptor / co-activator																		c											Reactome	Developmental Biology R-HSA-1266738	1.0	0.2011605415860735	1.0	1.0	4.0	1.0	NCOA1									
nuclear receptor / co-activator																		c											Reactome	HATs Acetylate Histones R-HSA-3214847	1.0	0.2011605415860735	1.0	1.0	4.0	1.0	NCOA1									
nuclear receptor / co-activator																		c											Reactome	Metabolism R-HSA-1430728	1.0	0.2011605415860735	1.0	1.0	3.0	1.0	NCOA1									
nuclear receptor / co-activator																		c											Reactome	SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232	1.0	0.2011605415860735	1.0	1.0	6.0	1.0	NCOA1									
nuclear receptor / co-activator																		c											Reactome	SUMOylation Of Transcription Cofactors R-HSA-3899300	1.0	0.2011605415860735	1.0	1.0	4.0	1.0	NCOA1									
nuclear receptor / co-activator																		c											Reactome	SUMOylation R-HSA-2990846	1.0	0.2011605415860735	1.0	1.0	6.0	1.0	NCOA1									
nuclear receptor / co-activator																		c											Reactome	Signal Transduction R-HSA-162582	1.0	0.2011605415860735	1.0	1.0	8.0	1.0	NCOA1									
nuclear receptor / co-activator																		c											Reactome	Post-translational Protein Modification R-HSA-597592	1.0	0.2304964539007092	1.0	1.0	10.0	1.0	NCOA1									
nuclear receptor / co-activator																		c											Reactome	Metabolism Of Proteins R-HSA-392499	1.0	0.2765957446808511	1.0	1.0	13.0	1.0	NCOA1									
nuclear receptor / metabolism																		c											Reactome	Gene Expression (Transcription) R-HSA-74160	1.0	0.2238667900092506	2.0	2.0	12.0	2.0	RORC; THRA									
nuclear receptor / metabolism																		c											Reactome	Generic Transcription Pathway R-HSA-212436	1.0	0.2238667900092506	2.0	2.0	11.0	2.0	RORC; THRA									
nuclear receptor / metabolism																		c											Reactome	RNA Polymerase II Transcription R-HSA-73857	1.0	0.2238667900092506	2.0	2.0	11.0	2.0	RORC; THRA									
nuclear receptor / metabolism																		c											Reactome	Cytokine Signaling In Immune System R-HSA-1280215	0.5	0.22895467160037	1.0	1.0	3.0	2.0	RORC									
