analysis_id,cell_line,n_targets,spearman_rho,bootstrap_ci_low,bootstrap_ci_high,permutation_pvalue_two_sided,bootstrap_replicates_completed,permutations_completed,statistic,permutation_method,permutation_qvalue_bh_within_analysis,context,outcome,adjusted,evidence_role,reused_m1,q_bh_this_test
noise_corrected_shift_partial_log_n,Replogle K562 essential day 6,1882,0.4535124286568075,0.41485095321656607,0.4901861061807728,9.999000099990002e-05,5000,10000,partial_spearman,freedman_lane_rank_residual,NA,Replogle K562 essential day 6,noise_corrected_shift,True,Exploratory supplement in this execution,False,0.00029997000299970003
raw_shift_unadjusted,HepG2 day 7,1000,0.49286293538832276,0.4429749728056618,0.5398423821695955,9.999000099990002e-05,5000,10000,spearman,endpoint_label,NA,HepG2 day 7,raw_shift,False,Exploratory supplement in this execution,False,0.00014998500149985002
raw_shift_partial_log_n,HepG2 day 7,1000,0.5286990144018894,0.48186985842271324,0.5728624441048354,9.999000099990002e-05,5000,10000,partial_spearman,freedman_lane_rank_residual,NA,HepG2 day 7,raw_shift,True,Exploratory supplement in this execution,False,0.00014998500149985002
raw_shift_unadjusted,Jurkat day 7,1687,0.31097786434046,0.26581709930604935,0.3548013048830536,9.999000099990002e-05,5000,10000,spearman,endpoint_label,NA,Jurkat day 7,raw_shift,False,Exploratory supplement in this execution,False,0.00014998500149985002
raw_shift_partial_log_n,Jurkat day 7,1687,0.32800895097891325,0.28473174464665885,0.3686993612807069,9.999000099990002e-05,5000,10000,partial_spearman,freedman_lane_rank_residual,NA,Jurkat day 7,raw_shift,True,Exploratory supplement in this execution,False,0.00014998500149985002
raw_shift_unadjusted,Replogle K562 genome-wide day 8,9261,0.2516792653082492,0.23047533872942666,0.27212087772918686,9.999000099990002e-05,5000,10000,spearman,endpoint_label,NA,Replogle K562 genome-wide day 8,raw_shift,False,Exploratory supplement in this execution,False,0.00014998500149985002
raw_shift_partial_log_n,Replogle K562 genome-wide day 8,9261,0.41553642797942986,0.3995184884008176,0.43109036330723044,9.999000099990002e-05,5000,10000,partial_spearman,freedman_lane_rank_residual,NA,Replogle K562 genome-wide day 8,raw_shift,True,Exploratory supplement in this execution,False,0.00014998500149985002
raw_shift_unadjusted,K562 TF day 7,10,0.7333333333333332,0.2,0.9610452450775029,0.021897810218978103,5000,10000,spearman,endpoint_label,NA,K562 TF day 7,raw_shift,False,Exploratory supplement in this execution,False,0.026277372262773723
raw_shift_partial_log_n,K562 TF day 7,10,0.8357950974604417,0.3667813037389273,0.9862642301759119,0.0038996100389961006,4755,10000,partial_spearman,freedman_lane_rank_residual,NA,K562 TF day 7,raw_shift,True,Exploratory supplement in this execution,False,0.00467953204679532
raw_shift_unadjusted,K562 TF day 13,10,0.5151515151515151,-0.20754716981132076,0.8692810457516338,0.1367863213678632,5000,10000,spearman,endpoint_label,NA,K562 TF day 13,raw_shift,False,Exploratory supplement in this execution,False,0.1367863213678632
raw_shift_partial_log_n,K562 TF day 13,10,0.24966648240093803,-0.40649612154036247,0.8341160930752306,0.519048095190481,3343,10000,partial_spearman,freedman_lane_rank_residual,NA,K562 TF day 13,raw_shift,True,Exploratory supplement in this execution,False,0.519048095190481
