scope,cell_line,entrant_id,display_name,low_quantile,high_quantile,full_endpoint_anchor_n,full_low_information_n,scored_anchor_n,scored_low_information_n,anchor_auc,estimable
primary_hcc,HCC38,lm_g_scgpt_ridge_hcc_formal_v1,scGPT ridge,0.25,0.75,7,6,7,6,0.5,True
primary_hcc,HCC38,lm_train_lowrank_hcc_formal_v1,Linear low-rank,0.25,0.75,7,6,7,6,0.14285714285714285,True
primary_hcc,HCC38,scgen_hcc_formal_v1,scGen,0.25,0.75,7,6,7,6,1.0,True
primary_hcc,HCC38,scgpt_hcc_formal_v1,scGPT kernel,0.25,0.75,7,6,7,6,0.7857142857142857,True
primary_hcc,HCC38,cellot_hcc_seed123_retrain_v1,CellOT,0.3,0.7,8,8,8,8,1.0,True
primary_hcc,HCC38,cpa_v0.8.8,CPA,0.3,0.7,8,8,8,8,0.40625,True
primary_hcc,HCC38,gears_hcc_formal_v1,GEARS,0.3,0.7,8,8,8,8,0.671875,True
primary_hcc,HCC38,geneformer_hcc_formal_v1,Geneformer kernel,0.3,0.7,8,8,8,8,0.421875,True
primary_hcc,HCC38,lm_g_geneformer_ridge_hcc_formal_v1,Geneformer ridge,0.3,0.7,8,8,8,8,0.5625,True
primary_hcc,HCC38,lm_g_scgpt_ridge_hcc_formal_v1,scGPT ridge,0.3,0.7,8,8,8,8,0.609375,True
primary_hcc,HCC38,lm_train_lowrank_hcc_formal_v1,Linear low-rank,0.3,0.7,8,8,8,8,0.21875,True
primary_hcc,HCC38,scgen_hcc_formal_v1,scGen,0.3,0.7,8,8,8,8,0.984375,True
primary_hcc,HCC38,scgpt_hcc_formal_v1,scGPT kernel,0.3,0.7,8,8,8,8,0.796875,True
independent_sensitivity,Replogle K562 essential day 6,chargram_lowrank_ridge_loo,Chargram ridge LOO,0.1,0.9,55,43,55,43,0.8046511627906977,True
independent_sensitivity,Replogle K562 essential day 6,geneformer_embedding_kernel_loo,Geneformer kernel LOO,0.1,0.9,55,43,55,43,0.5674418604651162,True
independent_sensitivity,Replogle K562 essential day 6,geneformer_embedding_ridge_loo,Geneformer ridge LOO,0.1,0.9,55,43,55,43,0.8993657505285412,True
independent_sensitivity,Replogle K562 essential day 6,chargram_lowrank_ridge_loo,Chargram ridge LOO,0.15,0.85,99,97,99,97,0.8073518692075393,True
independent_sensitivity,Replogle K562 essential day 6,geneformer_embedding_kernel_loo,Geneformer kernel LOO,0.15,0.85,99,97,99,97,0.5218160991356867,True
independent_sensitivity,Replogle K562 essential day 6,geneformer_embedding_ridge_loo,Geneformer ridge LOO,0.15,0.85,99,97,99,97,0.8815995001562011,True
independent_sensitivity,Replogle K562 essential day 6,chargram_lowrank_ridge_loo,Chargram ridge LOO,0.2,0.8,153,149,153,149,0.7752774487871211,True
independent_sensitivity,Replogle K562 essential day 6,geneformer_embedding_kernel_loo,Geneformer kernel LOO,0.2,0.8,153,149,153,149,0.5202000263192526,True
independent_sensitivity,Replogle K562 essential day 6,geneformer_embedding_ridge_loo,Geneformer ridge LOO,0.2,0.8,153,149,153,149,0.8059393779883318,True
independent_sensitivity,Replogle K562 essential day 6,chargram_lowrank_ridge_loo,Chargram ridge LOO,0.25,0.75,210,226,210,226,0.7571428571428571,True
independent_sensitivity,Replogle K562 essential day 6,geneformer_embedding_kernel_loo,Geneformer kernel LOO,0.25,0.75,210,226,210,226,0.5372734934681838,True
independent_sensitivity,Replogle K562 essential day 6,geneformer_embedding_ridge_loo,Geneformer ridge LOO,0.25,0.75,210,226,210,226,0.7822798145806995,True
independent_sensitivity,Replogle K562 essential day 6,chargram_lowrank_ridge_loo,Chargram ridge LOO,0.3,0.7,282,299,282,299,0.7274366090277283,True
independent_sensitivity,Replogle K562 essential day 6,geneformer_embedding_kernel_loo,Geneformer kernel LOO,0.3,0.7,282,299,282,299,0.5408928105505348,True
independent_sensitivity,Replogle K562 essential day 6,geneformer_embedding_ridge_loo,Geneformer ridge LOO,0.3,0.7,282,299,282,299,0.7809838943048933,True
