model_id	object_role	cell_line	endpoint_recovery_score	output_homogenization_score	output_homogenization_quadrant	predicted_target_similarity_mean	leading_singular_energy_share	normalized_inverse_effective_rank
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	entrant	HCC1143	2.3582125365801176	0.7250068482621066	high_recovery/low_common	0.4643565027679992	0.5133538721443638	0.9294884212579563
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	entrant	HCC38	-0.7845583327850103	0.8417234517197068	low_recovery/high_common	0.7119459604433227	0.7115207492760683	0.9576766256613898
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	entrant	HCC1143	2.2791359336767334	0.6702421895230705	high_recovery/low_common	0.3295028559342169	0.46106492976717983	0.8849102108349237
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	entrant	HCC38	0.5515069192220439	0.6763041725864604	low_recovery/low_common	0.44434150551832724	0.4269164295157685	0.879825335484449
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	entrant	HCC1143	1.052322922395134	0.7885870151855325	low_recovery/high_common	0.6022141880314819	0.6308574470624011	0.933796504478454
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	entrant	HCC38	2.4986219888024865	0.7420291519792286	high_recovery/low_common	0.46629835175852447	0.5730046902178406	0.9199335898405826
geneformer_hcc_formal_v1	entrant	HCC1143	-0.6676807621388461	0.7365979459227929	low_recovery/low_common	0.47775656436213904	0.5612693666614963	0.9096461889258124
geneformer_hcc_formal_v1	entrant	HCC38	0.8334044589629348	0.7127256954564528	low_recovery/low_common	0.5146872998631231	0.49587293014632267	0.8849605062914734
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC1143	0.11454746949300575	0.5359799213699922	low_recovery/low_common	0.03679552381098565	0.270315989435718	0.8192260127687655
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC38	0.8937700130476851	0.5952411338998299	low_recovery/low_common	0.024028847005775764	0.4315427665344917	0.8421662116621106
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC1143	0.30149300142030444	0.5223205724307328	low_recovery/low_common	0.027258706686751538	0.25862042377921274	0.7947119401696103
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC38	-0.4068367327050943	0.5167671931989619	low_recovery/low_common	0.007217605997872834	0.2601626665350631	0.7865301100628858
lm_train_lowrank_hcc_formal_v1	entrant	HCC1143	1.1051155768887224	0.5154694246154573	low_recovery/low_common	0.03258744153242526	0.23085057418933652	0.7992639788908227
lm_train_lowrank_hcc_formal_v1	entrant	HCC38	0.007697412226936864	0.5128922314417601	low_recovery/low_common	0.01750769172146458	0.24016957523917284	0.7897532732253745
null_model	null	HCC1143			not_estimable			
null_model	null	HCC38			not_estimable			
scgen_hcc_formal_v1	entrant	HCC1143	3.002532171079509	0.8303271966859089	high_recovery/high_common	0.7789692471597667	0.6724040385366731	0.9290929279411712
scgen_hcc_formal_v1	entrant	HCC38	3.06877157975614	0.8434841927323642	high_recovery/high_common	0.7937453571091759	0.6996044653052507	0.9339754343372549
scgen_hcc_sens_e100_seed2	entrant	HCC1143	3.1161351336670404	0.754262118658399	high_recovery/high_common	0.6773168488531627	0.5393955917328336	0.8847323398157829
scgen_hcc_sens_e100_seed2	entrant	HCC38	2.985661759948729	0.7940924390338814	high_recovery/high_common	0.7288560248793455	0.6130541523275546	0.9047951523344159
scgen_hcc_sens_e60_seed1	entrant	HCC1143	3.1842781258347577	0.8485341193592706	high_recovery/high_common	0.8113767458162815	0.7018211430896761	0.9380928420799948
scgen_hcc_sens_e60_seed1	entrant	HCC38	3.0502866862050264	0.8491344341330573	high_recovery/high_common	0.801864516641156	0.709609682452323	0.9368613616262719
scgpt_hcc_formal_v1	entrant	HCC1143	1.3067722996389457	0.6862404057760579	high_recovery/low_common	0.2535636536365697	0.5347064052009594	0.8972329853089304
scgpt_hcc_formal_v1	entrant	HCC38	1.3725971908137384	0.6100505792384392	high_recovery/low_common	0.20218836196486695	0.3873448601279407	0.8417126966049429
shared_mean_baseline	baseline	HCC1143	-0.07007178555480234	1.0	low_recovery/high_common	1.0	1.0	1.0
shared_mean_baseline	baseline	HCC38	1.9270462501207504	1.0	high_recovery/high_common	1.0000000000000002	1.0	1.0
