model_id	object_role	cell_line	total_shift_depmap_pvalue	total_shift_depmap_qvalue	response_aligned_depmap_pvalue	response_aligned_depmap_qvalue	response_aligned_endpoint_permutation_pvalue	response_aligned_endpoint_permutation_qvalue
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC1143	0.12123336006214708	0.28831913137971704	0.3101813717668174	0.4549326785913322	0.8491508491508492	0.8491508491508492
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC38	0.42341941990938137	0.6351291298640721	0.7173130232605262	0.7514707862729322	0.3786213786213786	0.4627594627594628
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC1143	0.7040674447966342	0.8697303729840775	0.13678851501993305	0.31511845922094633	0.06693306693306693	0.1636141636141636
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC38	0.3933445199855087	0.6351291298640721	0.16465181356650294	0.3739549408407946	0.07992007992007992	0.1758241758241758
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	entrant	HCC1143	0.00043423217782291216	0.002279718933570289	0.015109082188987356	0.07725217151108738	0.008991008991008992	0.049450549450549455
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	entrant	HCC38	0.356340108919035	0.6351291298640721	0.4599377184812413	0.6324143629117068	0.7922077922077922	0.7922077922077922
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	entrant	HCC1143	0.12356534201987872	0.28831913137971704	0.020280990099989953	0.07725217151108738	0.016983016983016984	0.07221350078492936
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	entrant	HCC38	0.08858836220416513	0.37207112125749353	0.5885990624579864	0.7514707862729322	0.28771228771228774	0.39560439560439564
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	entrant	HCC1143	0.26295586402502963	0.4217477078063519	0.29725991198939977	0.4549326785913322	0.14585414585414586	0.22919937205651492
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	entrant	HCC38	0.6025651179900802	0.8405214792073776	0.008981442976787102	0.03437712374250644	0.005994005994005994	0.02197802197802198
geneformer_hcc_formal_v1	entrant	HCC1143	0.3280879043060074	0.4306153744016348	0.5145021374860006	0.6658262955701184	0.7562437562437563	0.7922553636839351
geneformer_hcc_formal_v1	entrant	HCC38	0.4077804191672295	0.6351291298640721	0.42161513432342557	0.6183688636743575	0.1968031968031968	0.2915750915750916
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC1143	0.971078286353992	0.971078286353992	0.8470453745561374	0.88738086858262	0.45454545454545453	0.5263157894736842
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC38	0.926243491979	0.926243491979	0.3868829277015138	0.6183688636743575	0.1848151848151848	0.2915750915750916
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC1143	0.7966052710861344	0.880458457516254	0.7598834202561251	0.8358717622817377	0.3786213786213786	0.5067155067155067
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC38	0.8440238618371709	0.8862250549290295	0.6903379021531417	0.7514707862729322	0.6683316683316683	0.7001569858712716
lm_train_lowrank_hcc_formal_v1	entrant	HCC1143	0.18724299635222158	0.3932102923396653	0.26599119455101294	0.4549326785913322	0.12287712287712288	0.20794590025359258
lm_train_lowrank_hcc_formal_v1	entrant	HCC38	0.7335492754755175	0.8405214792073776	0.9667730478729228	0.9667730478729228	0.5034965034965035	0.5829959514170041
null_model	null	HCC1143						
null_model	null	HCC38						
scgen_hcc_formal_v1	entrant	HCC1143	0.00017880374373144977	0.0012516262061201486	0.0018642301956369727	0.013671021434671133	0.000999000999000999	0.007326007326007325
scgen_hcc_formal_v1	entrant	HCC38	0.0005205873441632901	0.008326871572421285	0.0017255355125606019	0.01265392709211108	0.000999000999000999	0.010989010989010988
scgen_hcc_sens_e100_seed2	entrant	HCC1143	0.0001558303729650035	0.0012516262061201486	0.0014940936989413667	0.013671021434671133	0.000999000999000999	0.007326007326007325
scgen_hcc_sens_e100_seed2	entrant	HCC38	0.00175251749777182	0.009200716863302054	0.002334497680490542	0.01283973724269798	0.001998001998001998	0.010989010989010988
scgen_hcc_sens_e60_seed1	entrant	HCC1143	5.85680312525668e-05	0.0012299286563039026	0.0011641469921785952	0.013671021434671133	0.000999000999000999	0.007326007326007325
scgen_hcc_sens_e60_seed1	entrant	HCC38	0.0016263378524549409	0.009200716863302054	0.0015712542502910843	0.01265392709211108	0.001998001998001998	0.010989010989010988
scgpt_hcc_formal_v1	entrant	HCC1143	0.0768179229531643	0.26886273033607505	0.20536689266296232	0.4107337853259247	0.1028971028971029	0.1978021978021978
scgpt_hcc_formal_v1	entrant	HCC38	0.0007930353878496463	0.008326871572421285	0.17153407005340277	0.3739549408407946	0.07892107892107893	0.1758241758241758
shared_mean_baseline	baseline	HCC1143			0.9464915433713946	0.9464915433713945	0.5134865134865135	0.5648351648351648
shared_mean_baseline	baseline	HCC38			0.05720313566100819	0.15730862306777252	0.029970029970029972	0.08241758241758242
