target_gene	residual_HCC38	shift_HCC38	effect_HCC38	residual_HCC1143	shift_HCC1143	effect_HCC1143	residual_sign_HCC38	residual_sign_HCC1143	residual_sign_agree
PEX14	-0.0004929743696039076	0.004391741095693	0.232031509113923	-0.0010456548514921693	0.0044493142820248	-0.0066559675281558	-1.0	-1.0	True
PFDN5	0.0011803139937399346	0.0091179791241103	-0.8870801927678431	-0.00020130305260043432	0.0102329499993855	-1.230578156287104	1.0	-1.0	False
PMF1	-0.000659896181756681	0.0092008578860405	-1.5920218294593655	0.0027909517788656055	0.0127756932567781	-1.119192133800067	-1.0	1.0	False
PRDX2	-0.0014127767134366103	0.0048643958897732	-0.278397829186231	-0.0009644941944828202	0.0055213995831513	-0.252200600989717	-1.0	-1.0	True
PRPF6	0.004667816050796735	0.0144798741040019	-1.5741714599009082	0.0024286466081761323	0.0154111896961658	-1.862027728723321	1.0	1.0	True
RORC	-0.001787978643083033	0.0047603589109585	-0.377798049598536	-0.0012374039499269606	0.0045634026869297	-0.0824404967576715	-1.0	-1.0	True
RPS3	-0.0012210037608086297	0.0096911866022176	-1.977444057423196	-0.004995731233292007	0.007860948328555	-1.8308395717061807	-1.0	-1.0	True
RUVBL2	-0.0008816110228610334	0.0082501146934477	-1.3247838305863433	-0.005962642419383372	0.0119327730703482	-3.079405316707214	-1.0	-1.0	True
SMAD1	-0.0006996780493545695	0.0045644798021591	0.092940314960579	-0.0010620174224982475	0.0045476060135123	-0.0350665523770763	-1.0	-1.0	True
STAT3	-0.0005740609596133657	0.0049421595924907	0.0005423560077098	-0.00014943906800506373	0.0045791788860737	0.1832408329754175	-1.0	-1.0	True
TAB3	-0.00021546926731644007	0.005355838101385	-0.0196506729762948	0.0009534907483750091	0.0060275444241772	0.0976441247104035	-1.0	1.0	False
TADA3	0.003465369534057062	0.0091400872937874	-0.0575575471120086	0.0036171542109612	0.0103750807743799	-0.3196085427253	1.0	1.0	True
THAP8	-0.0005092095367631279	0.0050563694115236	-0.0175508210223816	-0.00026535247531342485	0.0050716034302432	0.0324986749282021	-1.0	-1.0	True
THRA	-1.5302507314757935e-05	0.0058419151883759	-0.1244560670130739	-0.00046982116021501274	0.0053431820384494	-0.0854627248517602	-1.0	-1.0	True
TMF1	0.0003103866486258355	0.00630257681098	-0.1739325679207107	-0.00048590541245566686	0.0058951763799742	-0.2262288778701592	1.0	-1.0	False
TMSB4X	-0.0019273474517844573	0.0045126915949235	-0.3380993515689319	-0.0011300563587083945	0.0039703565382887	0.091112482425534	-1.0	-1.0	True
UBP1	-0.0010572724019838548	0.004398069047543	0.0228586479772922	-0.0005247683260854712	0.0046551429363536	0.0714133084074786	-1.0	-1.0	True
VEZF1	0.001442670712725378	0.0073740581188237	-0.151644262020672	0.00044900577539688184	0.0060274132373266	-0.0273314385525012	1.0	1.0	True
XBP1	-0.0011947122161723263	0.0040282961697656	0.1080243659617565	-0.00048793268562335405	0.0045885756847594	0.097035867478511	-1.0	-1.0	True
YBX1	-0.004621279221852443	0.0076494599161971	-2.475443696624305	-0.00327609035118493	0.0077493948528648	-1.377081609330736	-1.0	-1.0	True
ZBTB17	0.0013977461767984258	0.0079465191255336	-0.3779576510823618	0.002548450684041196	0.010587215682323	-0.636991913780868	1.0	1.0	True
ZBTB20	0.00025319851702025435	0.0048062658192207	0.3536029010287363	-0.0006628572937179555	0.0043814448697306	0.1050163545153338	1.0	-1.0	False
ZBTB5	-0.0006804148872734872	0.0046384099549855	0.0729011804312269	-0.0007249561399313206	0.0053368219337521	-0.1471075087045335	-1.0	-1.0	True
ZNF131	0.002436273820851268	0.0098454685363047	-0.6933601874242165	0.0007206062048738873	0.0105522037854389	-1.08124407956173	1.0	1.0	True
ZNF24	-0.001751648268054934	0.0039710221358838	-0.0751354213507236	-0.000750445765601326	0.0043616307953344	0.0882223029314296	-1.0	-1.0	True
ZNF566	-0.0014768800060284285	0.0045411647163488	-0.1834100057572494	-0.0006091565306257547	0.0044548810181222	0.1001260553605671	-1.0	-1.0	True
