sheet	path	sha256	canonical_source	canonical_source_sha256
D14	presentation/Results/14_combined_robustness_summary.csv	cc174d0de67ee9ab7f7a9fd48b1c46514ceab096be6a154e9be6619d623a14cb	reports/revision/m1_bridge_confounding/combined_robustness_summary.tsv	bf7d69087ccf3d229b1e20daf5c4d954cbe1ddecad2caa82c597dff916c387b4
D15	presentation/Results/15_truth_recalculation_validation.csv	703c794f78a0b5e6fee5a95a868c44fc578737f187e1306884aa2649cac07537	reports/revision/m1_bridge_confounding/truth_recalculation_validation.tsv	f7f7e7ec4e7087e95a0e14c39446dfe8d31d3f8a9d71053d8f30877869178d56
D16	presentation/Results/16_association_inference.csv	455809d33417daeab0cd714793b7b74b768016ef7d1fb261f0efa7b2fbc7478c	docs/revision_external_cell_count/association_inference.tsv	8a8c5dd250df03c26c97fb4be5db71ea46fec7f04ee57a573c0762b5ba3254fa
D17	presentation/Results/17_count_shift_dependency_summary.csv	c973ac3b4ca5c2600fcdc79ad6650a0117bd62fa872672f81203319c33b18751	docs/revision_external_cell_count/count_shift_dependency_summary.tsv	60cc7a46138ed569371e06f9f5933d7b1002ec8948d639e37b165b0c3374a47e
D18	presentation/Results/18_attrition_flow.csv	b31f905479ead8115c382eaada23a0b574bcd1aa833e22955ff3d2ec6f65a882	reports/revision/m2_attrition_audit/attrition_flow.tsv	da6690f099c2717ed82e970ec60fac4e7d14f0411669183a6e1a83db8f93f1b6
D19	presentation/Results/19_identifier_audit.csv	ab6a021e816b93bc25c9a54a4890344eaf83518c3ee63f772de4c08e52e7fe0d	reports/revision/m2_attrition_audit/identifier_audit.tsv	a55625f828753e08490396494fb08754ef78db4aad3b14885cae5a569f96a803
D20	presentation/Results/20_preprocessing_registry.csv	466182940e2677312893d397c5b2e8981f19b211d4fba982701453101cff8e00	reports/revision/m2_attrition_audit/preprocessing_registry.tsv	ccabffd3d672179325933327e424300ea594b5c23a07bdaf124e952e437dc8c1
D21	presentation/Results/21_minimum_cell_filter_on_off_bridge.csv	07e9476a740dd8cd177758afa4499d7be15ebe61133087b3e397d573dee18965	reports/revision/m2_attrition_audit/minimum_cell_filter_on_off_bridge.tsv	cd2958bf050cd38ae71ccbe54e9628867ab9517c624db5df5c8d1fe49cbfce14
D22	presentation/Results/22_target_eligibility_detail.csv	782768c28e7a9800630ecb64424b6c68524299162e8d0e02b924c70443afad73	reports/revision/m2_attrition_audit/target_eligibility_detail.tsv	619def8bfe2d806afa1ee4542a2026a16535baf525c746b5089b79949d3bdd06
D23	presentation/Results/23_endpoint_category_summary.csv	f5483286ecd2aee289968bf70ac1dcaebd56e7c2a69998edad701e645f4ed7c1	reports/revision/m2_endpoint_object/endpoint_category_summary.tsv	025dbb4e0f995b44a5d611fd61fdf726fa740f804c1c7f60f1243562bbcda6f3
D24	presentation/Results/24_endpoint_statistic_candidate_summary.csv	12ed044b622b604be588f45c8de436e80c738dcc86674e75122f31fb45c639bd	reports/revision/m2_endpoint_object/endpoint_statistic_candidate_summary.tsv	e5a03ea30dcfef9be656fdcf388961e9a6c46ab3a144d6926b007545462ddcb6
D25	presentation/Results/25_group_comparison.csv	83de0de375cc34a9681c0d1adb0a46bc36b62bad0b9f3f4cb21316f19cb7f698	docs/revision_equal_n_attrition/group_comparison.tsv	33dbb9c3b0384491081cbf13c2af64d7f3b6907d9bc6d8a54726f281812b4b3e
D26	presentation/Results/26_cohort_sources.csv	1938cc0dbe3f1b3506ae53225be5895e1118f8ebd76f116b2e932b312d24fab8	docs/revision_external_cell_count/cohort_sources.tsv	58807613857f2dc998c5e26b4af26a6bbddcc118b72c8a2ef4808c9666660743
D27	presentation/Results/27_sampling_aware_endpoint_object.csv	baf6b6cafc2cee3b5712609dc9b9d2d5d5d5cbb32dbdf8cad23a25fcafd2b0b5	reports/revision/m2_endpoint_object/sampling_aware_endpoint_object.tsv	ca3b7bc97bbe19bd956a472fb25b97d65dcf21a586eb5770ef10eb5ab3c7fa71
D28	presentation/Results/28_target_level_covariates_and_corrected_shift.csv	7ba89a65a0222764af177deb9a2d4723ca19c011d60034c062723b34efc24d9f	reports/revision/m1_bridge_confounding/target_level_covariates_and_corrected_shift.tsv	858a8ff2dd9ed708a8adfa369118ff89d9e38407771a4a25b3387bdbf210d6fb
D29	presentation/Results/29_context_qualification_summary.csv	aaf1beb544bcd04a99e313dbbb22697334936bb4153c138bb1f4f4247b830799	reports/revision/m2_attrition_audit/context_qualification_summary.tsv	49a2a04dd4509d1d7872fb135881eee6c7cb1b1a19af6bd3ae9dea0894008118
D30	presentation/Results/30_candidate_qualification_summary.csv	733af055d524e51f1bd6ab83a0e2e8e0008cb86c84fadab5156a3e46f1a0b57a	reports/revision/m5_candidate_qualification/candidate_qualification_summary.tsv	c677bb872741d6f4dd93f917aff22a70f4d2888b3f7639c1ba3775047f2db20c
D31	presentation/Results/31_closed_form_null_validation.csv	1136128a84b6cc3ad040c6ef05816d8f664fb63080b65628040b300d8be3c5cc	reports/revision/m5_candidate_qualification/closed_form_null_validation.tsv	518a43e69b4bec20b3e31434aaae403cf9f229afe867d9c5bcac7bae409eddee
D32	presentation/Results/32_model_training_evaluation_registry.csv	ad0a1fd92a0998619e4bbc6996251da951b48849e153863c8e04f796236ea2c2	reports/revision/finalization_v2/m4/model_training_evaluation_registry.tsv	fbfd7c889d74ec6ba24c8688f4f5556e57afef145225175d4c8a7aa851c33af4
D33	presentation/Results/33_revised_model_context_completion.csv	fb7973c9b3a9ed87e35329f329d001f7b8e35b85927e9889b6bc4dc0225e3eb1	reports/revision/finalization_v2/m4/revised_model_context_completion.tsv	904084e1ad4b4c23ecd53a454d4f39b57f47cb8276c1d883586dedecf1ee9ec0
D34	presentation/Results/34_metric_correlation_summary.csv	d022c7c62073c1231d36184c6bbf98a29141d1bc1048c930759f7523260a1a21	reports/revision/finalization_v2/m4/metric_correlation_summary.tsv	3ddaae8428e972b45ec89da2e3427a575b2a9ff19673d59f05e093df7bf6db3a
D35	presentation/Results/35_sensitivity_completion_and_point_estimates.csv	15cf0d7982551ac3a8c91f54e419a27f972b095e79b79c514e9800a0099fe56a	reports/revision/m4_hcc_full_audit/sensitivity_completion_and_point_estimates.tsv	32669cacdafaf8eb0e305821473768f7860532c6c3e6e08cc4fbf2ab755f4238
D36	presentation/Results/36_model_training_evaluation_registry.csv	ab9aabdcb21d630f84aee5180056e3ee0b805cbfe0e20d76377eec18966c40b9	reports/revision/m5_independent_full_audit/model_training_evaluation_registry.tsv	75e72b85d4508951d7d8bc2887587d67b12e6b7211b46f66e6a5a6e7c395e20f
D37	presentation/Results/37_model_completion.csv	6720302d0a20f47711341ef7fb5e160308b6caf562cde1865c9020d3155fadb1	reports/revision/m5_independent_full_audit/model_completion.tsv	d72726260b714777c6d81f7948b4f3338ad24a1f1fe22eeb0ae7ab9f28ea0970
D38	presentation/Results/38_new_context_metrics.csv	04c16290300033967cf7eb4a74b5e86366be1ed6c15f4363e40d94c9e60f27a0	reports/revision/finalization_v2/cellot_five_seeds/all_seed_context_metrics.tsv	93cbd6d2300041e923701493ee4f49c02e2008d438bcd32df44869522dc298f4
D39	presentation/Results/39_old_new_comparison.csv	143ec461b09471f6f4341ee3e6ddf4f636a8bfef0e67bd96abb38b637aa17c64	docs/revision_cellot_seed123/old_new_comparison.tsv	8641b6d22c2b0556e9134e35c6a92cf3557128af727c04467d5c9df13e0c8940
D40	presentation/Results/D40_historical_annotation.tsv	42e06ad73cfca20f82b074b6525dae2dee2cee8812269869c338afec39194472	figures/Extended_Data_Figure_6/Extended_Data_Figure_6_source_data.tsv	42e06ad73cfca20f82b074b6525dae2dee2cee8812269869c338afec39194472
D41	presentation/Results/D41_gene_effect_sensitivity.csv	66fbb85e3d03b8490069a0d44abdf26ffa748c0d839b1807fdacafb6ec3ded5f	reports/revision/finalization_v2/depmap/gene_effect_sensitivity.tsv	b37bdce3545ca2e26d7f3b255d9d6f142f12fc0886dad28b2ee63c2b00e3830c
D42	presentation/Results/D42_candidate_comparison.csv	e93e6910d6fdca018b21e1dd77a630d099c5257d7ab6934a2db0e7284d4f7668	reports/revision/finalization_v2/depmap/candidate_comparison.tsv	c73d23532f1450c66b108616487eedc34f7ad4ab49e1e17c2bfeba3b286ebec4
D43	presentation/Results/D43_homogenization_intervals.csv	a243ec6a6a4420a55256748a35531fb59572f2ccdc8dc37bcc64ad7579dc9fec	reports/revision/finalization_v2/uncertainty/homogenization_intervals.tsv	2cc7fa86829f7c6abf56eb31261178d4d97162aac3c825c0df89fa78cadcf746
D44	presentation/Results/D44_additional_homogenization_intervals.csv	dd9544bab7c90f0f42855bcc9bd90b13d4bd73536212332d8256ddf587748e38	reports/revision/finalization_v2/cellot_five_seeds/additional_homogenization_intervals.tsv	6eeb1389be1e5bb0079f09e89a0c5cbeea94d6ae6d18f5b9bb9e6ce459e7595f
D45	presentation/Results/D45_context_metrics.csv	8a67b93d6673cb8b383e647a95cc7691c94ec91b465361056fd0d8c0e3b44b32	reports/revision/finalization_v2/replogle_feature_seeds/context_metrics.tsv	1875f5c8cd66d5ce252d31640454809f9ef686139fae068baa5a9a23b47365a0
D46	presentation/Results/D46_context_metrics.csv	bf3cc514b37b809ef36da32096923e937a2912c582be9f2bf697d4c163a70d12	reports/revision/finalization_v2/other_training_seeds/context_metrics.tsv	142506d24c62294644ba86c8600affbb263ea9a30228f7d73cc61fc7e37e0c7e
