analysis_id	cell_line	n_targets	spearman_rho	bootstrap_ci_low	bootstrap_ci_high	permutation_pvalue_two_sided	bootstrap_replicates_completed	permutations_completed	statistic	permutation_method	permutation_qvalue_bh_within_analysis
cell_count_trim_q05_q95	HCC38	41	0.6998257839721256	0.4752645260544998	0.840280113143709	9.999000099990002e-05	5000	10000	spearman	endpoint_label	9.999000099990002e-05
endpoint_plane_trim_q05_q95	HCC38	35	0.6030812324929972	0.30279984239372226	0.8052550231839258	0.00029997000299970003	5000	10000	spearman	endpoint_label	0.00029997000299970003
alternative_real_shift_L2	HCC38	47	0.7019745023314382	0.5203313531719492	0.8199205265079686	9.999000099990002e-05	5000	10000	spearman	endpoint_label	9.999000099990002e-05
alternative_real_shift_top20_mean	HCC38	47	0.6333439336577362	0.4232707011039382	0.7817462580836079	9.999000099990002e-05	5000	10000	spearman	endpoint_label	9.999000099990002e-05
alternative_real_shift_top50_mean	HCC38	47	0.6273886273617031	0.41849472084233036	0.7753891770582597	9.999000099990002e-05	5000	10000	spearman	endpoint_label	9.999000099990002e-05
alternative_real_shift_top100_mean	HCC38	47	0.6400508805542395	0.4383332166667537	0.7824149811982153	9.999000099990002e-05	5000	10000	spearman	endpoint_label	9.999000099990002e-05
alternative_real_DEG_burden	HCC38	47	0.5510637306326212	0.3072230003939364	0.746613479311831	9.999000099990002e-05	5000	10000	spearman	endpoint_label	9.999000099990002e-05
equal_n_expected_shift_depth_20	HCC1143	48	0.530593428529544	0.2735302767950046	0.7321767158249787	0.00019998000199980003	5000	10000	spearman	endpoint_label	0.00039996000399960006
equal_n_expected_shift_depth_25	HCC1143	47	0.5596160555520957	0.3066060695109466	0.7415486808764423	0.00019998000199980003	5000	10000	spearman	endpoint_label	0.00039996000399960006
equal_n_expected_shift_depth_50	HCC1143	44	0.5004404668528522	0.23498336987933613	0.6972828919553845	0.0012998700129987	5000	10000	spearman	endpoint_label	0.0012998700129987
equal_n_expected_shift_depth_100	HCC1143	39	0.5174089068825911	0.2393966104175947	0.7127195486640165	0.0008999100089991	5000	10000	spearman	endpoint_label	0.0017998200179982
raw_observed_shift	HCC1143	48	0.7792497165337711	0.6241579278848234	0.8815112842415379	9.999000099990002e-05	5000	10000	spearman	endpoint_label	9.999000099990002e-05
noise_corrected_shift	HCC1143	48	0.543623452355093	0.2979033652156504	0.7188067546593158	0.00019998000199980003	5000	10000	spearman	endpoint_label	0.00039996000399960006
partial_model_a_log_n	HCC1143	48	0.3636249319340776	0.03218498912762759	0.6077923592546437	0.0131986801319868	5000	10000	partial_spearman	freedman_lane_rank_residual	0.0263973602639736
partial_model_b_log_n_library	HCC1143	48	0.34876398732628694	-0.010754953462457145	0.6004453843316105	0.0184981501849815	5000	10000	partial_spearman	freedman_lane_rank_residual	0.036996300369963
partial_model_c_log_n_expression_efficiency	HCC1143	48	0.32789827530457516	-0.037084679699194545	0.5827835234888742	0.026597340265973404	5000	10000	partial_spearman	freedman_lane_rank_residual	0.05319468053194681
partial_model_d_log_n_deg_breadth	HCC1143	48	0.14722531589401205	-0.19382717390170115	0.4814158869689989	0.34026597340265974	5000	10000	partial_spearman	freedman_lane_rank_residual	0.6559344065593441
coverage_exclude_below_q10	HCC1143	43	0.7022047719722138	0.4988560110223103	0.8316597884559784	9.999000099990002e-05	5000	10000	spearman	endpoint_label	9.999000099990002e-05
cell_count_trim_q05_q95	HCC1143	42	0.7251732107568948	0.5322810489126454	0.843678138460799	9.999000099990002e-05	5000	10000	spearman	endpoint_label	9.999000099990002e-05
endpoint_plane_trim_q05_q95	HCC1143	39	0.7403208673887223	0.5140355743454283	0.8686492885179518	9.999000099990002e-05	5000	10000	spearman	endpoint_label	0.00019998000199980003
alternative_real_shift_L2	HCC1143	48	0.7612248502417618	0.5950625772752184	0.8626936443510284	9.999000099990002e-05	5000	10000	spearman	endpoint_label	9.999000099990002e-05
alternative_real_shift_top20_mean	HCC1143	48	0.7044899548346837	0.5223266333095454	0.818937375705432	9.999000099990002e-05	5000	10000	spearman	endpoint_label	9.999000099990002e-05
alternative_real_shift_top50_mean	HCC1143	48	0.7276725388909729	0.5596723116849398	0.8350557041548535	9.999000099990002e-05	5000	10000	spearman	endpoint_label	9.999000099990002e-05
alternative_real_shift_top100_mean	HCC1143	48	0.7324502142936743	0.5615122415742879	0.8395836926109942	9.999000099990002e-05	5000	10000	spearman	endpoint_label	9.999000099990002e-05
alternative_real_DEG_burden	HCC1143	48	0.7135785375072098	0.5380464917763861	0.8294508240281689	9.999000099990002e-05	5000	10000	spearman	endpoint_label	9.999000099990002e-05
