target_gene	priority_tier	candidate_type	functional_category	functional_description	combined_residual_label	combined_depmap_label	both_lines_shift_excess	grid_HCC38	grid_HCC1143	shift_HCC38	shift_HCC1143	shift_mean	liability_HCC38	liability_HCC1143	liability_mean	residual_HCC38	residual_HCC1143	residual_mean	L2_HCC38	L2_HCC1143	effect_HCC38	effect_HCC1143	dep_HCC38	dep_HCC1143	residual_sign_HCC38	residual_sign_HCC1143	residual_sign_agree	shift_sign_HCC38	shift_sign_HCC1143	shift_sign_agree
PMF1	3	C: line_specific_shift_excess			top_residual_in_one	weak_viability_liability	False	Q1: high_liability_high_shift	Q1: high_liability_high_shift	0.009201	0.012776	0.010988	1.592022	1.119192	1.355607	-0.00066	0.002791	0.001066	3.907663	5.460196	-1.592022	-1.119192	-1.592022	-1.119192	-1.0	1.0	False	1.0	1.0	True
CDKN2A	3	C: line_specific_shift_excess			top_residual_in_one	strong_viability_liability	False	Q3: low_liability_low_shift	middle	0.004055	0.005052	0.004554	-0.281619	-0.53805	-0.409835	-0.000694	0.001756	0.000531	1.61538	2.084158	0.281619	0.53805	0.281619	0.53805	-1.0	1.0	False	1.0	1.0	True
PFDN5	3	C: line_specific_shift_excess			top_residual_in_one	weak_viability_liability	False	Q1: high_liability_high_shift	Q1: high_liability_high_shift	0.009118	0.010233	0.009675	0.88708	1.230578	1.058829	0.00118	-0.000201	0.00049	3.763957	4.766008	-0.88708	-1.230578	-0.88708	-1.230578	1.0	-1.0	False	1.0	1.0	True
TAB3	3	C: line_specific_shift_excess			top_residual_in_one	strong_viability_liability	False	middle	middle	0.005356	0.006028	0.005692	0.019651	-0.097644	-0.038997	-0.000215	0.000953	0.000369	2.217455	2.656228	-0.019651	0.097644	-0.019651	0.097644	-1.0	1.0	False	1.0	1.0	True
GON4L	3	C: line_specific_shift_excess			top_residual_in_one	weak_viability_liability	False	middle	middle	0.006014	0.007688	0.006851	0.417807	0.236258	0.327033	-0.000643	0.001266	0.000312	2.43839	3.332337	-0.417807	-0.236258	-0.417807	-0.236258	-1.0	1.0	False	1.0	1.0	True
MIER1	3	C: line_specific_shift_excess			top_residual_in_one	strong_viability_liability	False	middle	middle	0.004994	0.005783	0.005389	-0.18449	-0.074215	-0.129353	-2.1e-05	0.000615	0.000297	2.045208	2.626166	0.18449	0.074215	0.18449	0.074215	-1.0	1.0	False	1.0	1.0	True
PA2G4	3	C: line_specific_shift_excess			top_residual_in_one	intermediate_viability_liability	False	middle	middle	0.00717	0.005932	0.006551	0.466364	0.160898	0.313631	0.00038	-0.000186	9.7e-05	3.347056	2.723109	-0.466364	-0.160898	-0.466364	-0.160898	1.0	-1.0	False	1.0	1.0	True
HLX	3	C: line_specific_shift_excess			top_residual_in_one	strong_viability_liability	False	middle	middle	0.005299	0.005021	0.00516	-0.196979	0.01055	-0.093214	0.000319	-0.000489	-8.5e-05	2.283746	2.152542	0.196979	-0.01055	0.196979	-0.01055	1.0	-1.0	False	1.0	1.0	True
TMF1	3	C: line_specific_shift_excess			top_residual_in_one	intermediate_viability_liability	False	middle	middle	0.006303	0.005895	0.006099	0.173933	0.226229	0.200081	0.00031	-0.000486	-8.8e-05	2.670954	2.502338	-0.173933	-0.226229	-0.173933	-0.226229	1.0	-1.0	False	1.0	1.0	True
ZBTB20	3	C: line_specific_shift_excess			top_residual_in_one	strong_viability_liability	False	middle	Q3: low_liability_low_shift	0.004806	0.004381	0.004594	-0.353603	-0.105016	-0.22931	0.000253	-0.000663	-0.000205	2.159002	1.889601	0.353603	0.105016	0.353603	0.105016	1.0	-1.0	False	1.0	1.0	True
BMPR1A	3	C: line_specific_shift_excess			top_residual_in_one	weak_viability_liability	False	middle	middle	0.00562	0.007028	0.006324	0.35197	0.358563	0.355266	-0.000858	0.000113	-0.000373	2.411209	3.162989	-0.35197	-0.358563	-0.35197	-0.358563	-1.0	1.0	False	1.0	1.0	True
THRA	4	D: depmap_excess			shift_deficient	intermediate_viability_liability	False	middle	middle	0.005842	0.005343	0.005593	0.124456	0.085463	0.104959	-1.5e-05	-0.00047	-0.000243	2.574879	2.37244	-0.124456	-0.085463	-0.124456	-0.085463	-1.0	-1.0	True	1.0	1.0	True
MTDH	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	middle	middle	0.005631	0.004734	0.005182	0.052183	-0.058137	-0.002977	-2.9e-05	-0.0005	-0.000264	2.564566	2.296175	-0.052183	0.058137	-0.052183	0.058137	-1.0	-1.0	True	1.0	1.0	True
PARK7	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	middle	middle	0.005056	0.006148	0.005602	-0.01345	0.218224	0.102387	-0.000425	-0.000201	-0.000313	2.227877	2.928387	0.01345	-0.218224	0.01345	-0.218224	-1.0	-1.0	True	1.0	1.0	True
STAT3	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	middle	Q3: low_liability_low_shift	0.004942	0.004579	0.004761	-0.000542	-0.183241	-0.091892	-0.000574	-0.000149	-0.000362	2.169052	2.025626	0.000542	0.183241	0.000542	0.183241	-1.0	-1.0	True	1.0	1.0	True
THAP8	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	middle	middle	0.005056	0.005072	0.005064	0.017551	-0.032499	-0.007474	-0.000509	-0.000265	-0.000387	2.12059	2.448728	-0.017551	0.032499	-0.017551	0.032499	-1.0	-1.0	True	1.0	1.0	True
KLF3	4	D: depmap_excess			shift_deficient	intermediate_viability_liability	False	middle	middle	0.005468	0.005392	0.00543	0.283247	0.059671	0.171459	-0.000823	-0.000317	-0.00057	2.319837	2.476164	-0.283247	-0.059671	-0.283247	-0.059671	-1.0	-1.0	True	1.0	1.0	True
ZBTB5	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	middle	middle	0.004638	0.005337	0.004988	-0.072901	0.147108	0.037103	-0.00068	-0.000725	-0.000703	1.897499	2.288843	0.072901	-0.147108	0.072901	-0.147108	-1.0	-1.0	True	1.0	1.0	True
ERC1	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	Q3: low_liability_low_shift	middle	0.004172	0.004878	0.004525	-0.218853	0.037912	-0.09047	-0.000749	-0.000743	-0.000746	1.706863	2.171774	0.218853	-0.037912	0.218853	-0.037912	-1.0	-1.0	True	1.0	1.0	True
PEX14	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	Q3: low_liability_low_shift	middle	0.004392	0.004449	0.004421	-0.232032	0.006656	-0.112688	-0.000493	-0.001046	-0.000769	1.852132	1.926891	0.232032	-0.006656	0.232032	-0.006656	-1.0	-1.0	True	1.0	1.0	True
UBP1	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	middle	middle	0.004398	0.004655	0.004527	-0.022859	-0.071413	-0.047136	-0.001057	-0.000525	-0.000791	1.819347	1.968325	0.022859	0.071413	0.022859	0.071413	-1.0	-1.0	True	1.0	1.0	True
HDGF	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	middle	middle	0.005394	0.00399	0.004692	0.027513	-0.009319	0.009097	-0.000199	-0.00144	-0.00082	2.310398	1.703064	-0.027513	0.009319	-0.027513	0.009319	-1.0	-1.0	True	1.0	1.0	True
XBP1	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	Q3: low_liability_low_shift	middle	0.004028	0.004589	0.004308	-0.108024	-0.097036	-0.10253	-0.001195	-0.000488	-0.000841	1.63878	2.055447	0.108024	0.097036	0.108024	0.097036	-1.0	-1.0	True	1.0	1.0	True
SMAD1	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	middle	middle	0.004564	0.004548	0.004556	-0.09294	0.035067	-0.028937	-0.0007	-0.001062	-0.000881	1.925365	1.91465	0.09294	-0.035067	0.09294	-0.035067	-1.0	-1.0	True	1.0	1.0	True
MAML3	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	Q3: low_liability_low_shift	Q3: low_liability_low_shift	0.003901	0.004293	0.004097	-0.134836	-0.152124	-0.14348	-0.001249	-0.000561	-0.000905	1.538448	1.799612	0.134836	0.152124	0.134836	0.152124	-1.0	-1.0	True	1.0	1.0	True
PCBD1	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	middle	middle	0.004169	0.004675	0.004422	-0.016466	-0.068354	-0.04241	-0.001304	-0.000517	-0.00091	1.739289	1.966038	0.016466	0.068354	0.016466	0.068354	-1.0	-1.0	True	1.0	1.0	True
ETV3	4	D: depmap_excess			shift_deficient	intermediate_viability_liability	False	middle	middle	0.00513	0.005387	0.005258	0.173595	0.231476	0.202535	-0.000861	-0.001015	-0.000938	2.13125	2.391418	-0.173595	-0.231476	-0.173595	-0.231476	-1.0	-1.0	True	1.0	1.0	True
ZNF566	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	middle	Q3: low_liability_low_shift	0.004541	0.004455	0.004498	0.18341	-0.100126	0.041642	-0.001477	-0.000609	-0.001043	1.923927	2.020865	-0.18341	0.100126	-0.18341	0.100126	-1.0	-1.0	True	1.0	1.0	True
PRDX2	4	D: depmap_excess			shift_deficient	intermediate_viability_liability	False	middle	middle	0.004864	0.005521	0.005193	0.278398	0.252201	0.265299	-0.001413	-0.000964	-0.001189	2.130358	2.422398	-0.278398	-0.252201	-0.278398	-0.252201	-1.0	-1.0	True	1.0	1.0	True
ZNF24	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	middle	Q3: low_liability_low_shift	0.003971	0.004362	0.004166	0.075135	-0.088222	-0.006543	-0.001752	-0.00075	-0.001251	1.621212	1.878847	-0.075135	0.088222	-0.075135	0.088222	-1.0	-1.0	True	1.0	1.0	True
COMMD6	4	D: depmap_excess	signaling / copper metabolism	Copper metabolism / NF-κB regulation	shift_deficient	strong_viability_liability	False	Q3: low_liability_low_shift	middle	0.00422	0.004534	0.004377	-0.147382	0.221822	0.03722	-0.000895	-0.001829	-0.001362	1.715292	1.962963	0.147382	-0.221822	0.147382	-0.221822	-1.0	-1.0	True	1.0	1.0	True
RORC	4	D: depmap_excess			shift_deficient	intermediate_viability_liability	False	middle	middle	0.00476	0.004563	0.004662	0.377798	0.08244	0.230119	-0.001788	-0.001237	-0.001513	1.944086	1.921562	-0.377798	-0.08244	-0.377798	-0.08244	-1.0	-1.0	True	1.0	1.0	True
NCOA1	4	D: depmap_excess	transcription regulation	Nuclear receptor co-activator	shift_deficient	intermediate_viability_liability	False	middle	middle	0.004349	0.003907	0.004128	0.093368	0.016166	0.054767	-0.001424	-0.001626	-0.001525	1.803676	1.631294	-0.093368	-0.016166	-0.093368	-0.016166	-1.0	-1.0	True	1.0	1.0	True
TMSB4X	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	middle	Q3: low_liability_low_shift	0.004513	0.00397	0.004242	0.338099	-0.091112	0.123493	-0.001927	-0.00113	-0.001529	1.993718	1.862499	-0.338099	0.091112	-0.338099	0.091112	-1.0	-1.0	True	1.0	1.0	True
RPS3	4	D: depmap_excess	ribosomal / translation	Ribosomal protein / translation	shift_deficient	weak_viability_liability	False	Q1: high_liability_high_shift	Q1: high_liability_high_shift	0.009691	0.007861	0.008776	1.977444	1.83084	1.904142	-0.001221	-0.004996	-0.003108	4.165465	3.498775	-1.977444	-1.83084	-1.977444	-1.83084	-1.0	-1.0	True	1.0	1.0	True
RUVBL2	4	D: depmap_excess	chromatin remodeling	Chromatin remodeling / INO80 complex	shift_deficient	weak_viability_liability	False	Q1: high_liability_high_shift	Q1: high_liability_high_shift	0.00825	0.011933	0.010091	1.324784	3.079405	2.202095	-0.000882	-0.005963	-0.003422	3.330003	5.345673	-1.324784	-3.079405	-1.324784	-3.079405	-1.0	-1.0	True	1.0	1.0	True
YBX1	4	D: depmap_excess	RNA processing	RNA-binding / transcription / translation	shift_deficient	weak_viability_liability	False	middle	middle	0.007649	0.007749	0.007699	2.475444	1.377082	1.926263	-0.004621	-0.003276	-0.003949	3.716232	3.824599	-2.475444	-1.377082	-2.475444	-1.377082	-1.0	-1.0	True	1.0	1.0	True
