timepoint	role	summary_kind	truth_metric	depmap_endpoint	platform_pair	n_shared_targets	spearman	interpretation	panel	object	level	structural_stability	cutoff_stability	bootstrap_status	covariate_status	evidence_tier	allowed_wording	disallowed_wording	metric	value
HCC1143	primary	truth_endpoint_bridge	real_shift_mean_abs	depmap_gene_effect	crispr	48.0	0.7807207989578809	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	a											
HCC1143	primary	truth_endpoint_bridge	real_shift_mean_abs	depmap_gene_effect	rnai	48.0	0.3844984802431611	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	a											
HCC1143	primary	truth_endpoint_bridge	real_shift_L2	depmap_gene_effect	crispr	48.0	0.7630264871906209	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	a											
HCC1143	primary	truth_endpoint_bridge	real_shift_L2	depmap_gene_effect	rnai	48.0	0.3971993052540165	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	a											
7d	temporal_sensitivity_early_bridge_probe	endpoint_consistency		depmap_gene_dependency	CRISPR_DepMap_vs_DEMETER2_RNAi	9.0	0.45	CRISPR DepMap 是 matched primary endpoint；DEMETER2 RNAi 是 cross-platform sensitivity endpoint。	b											
7d	temporal_sensitivity_early_bridge_probe	truth_endpoint_bridge	real_shift_mean_abs	depmap_gene_dependency	crispr	10.0	0.7333333333333332	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	b											
7d	temporal_sensitivity_early_bridge_probe	truth_endpoint_bridge	real_shift_mean_abs	depmap_gene_dependency	rnai	9.0	0.3333333333333333	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	b											
7d	temporal_sensitivity_early_bridge_probe	truth_endpoint_bridge	real_shift_L2	depmap_gene_dependency	crispr	10.0	0.8060606060606059	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	b											
7d	temporal_sensitivity_early_bridge_probe	truth_endpoint_bridge	real_shift_L2	depmap_gene_dependency	rnai	9.0	0.3666666666666667	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	b											
7d	temporal_sensitivity_early_bridge_probe	endpoint_consistency		depmap_gene_effect	CRISPR_DepMap_vs_DEMETER2_RNAi	9.0	0.45	CRISPR DepMap 是 matched primary endpoint；DEMETER2 RNAi 是 cross-platform sensitivity endpoint。	b											
7d	temporal_sensitivity_early_bridge_probe	truth_endpoint_bridge	real_shift_mean_abs	depmap_gene_effect	crispr	10.0	0.7333333333333332	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	b											
7d	temporal_sensitivity_early_bridge_probe	truth_endpoint_bridge	real_shift_mean_abs	depmap_gene_effect	rnai	9.0	0.3333333333333333	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	b											
7d	temporal_sensitivity_early_bridge_probe	truth_endpoint_bridge	real_shift_L2	depmap_gene_effect	crispr	10.0	0.8060606060606059	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	b											
7d	temporal_sensitivity_early_bridge_probe	truth_endpoint_bridge	real_shift_L2	depmap_gene_effect	rnai	9.0	0.3666666666666667	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	b											
13d	primary_formal_supplementary_bridge_test	endpoint_consistency		depmap_gene_dependency	CRISPR_DepMap_vs_DEMETER2_RNAi	9.0	0.45	CRISPR DepMap 是 matched primary endpoint；DEMETER2 RNAi 是 cross-platform sensitivity endpoint。	b											
13d	primary_formal_supplementary_bridge_test	truth_endpoint_bridge	real_shift_mean_abs	depmap_gene_dependency	crispr	10.0	0.5151515151515151	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	b											
13d	primary_formal_supplementary_bridge_test	truth_endpoint_bridge	real_shift_mean_abs	depmap_gene_dependency	rnai	9.0	0.3	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	b											
13d	primary_formal_supplementary_bridge_test	truth_endpoint_bridge	real_shift_L2	depmap_gene_dependency	crispr	10.0	0.5030303030303029	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	b											
13d	primary_formal_supplementary_bridge_test	truth_endpoint_bridge	real_shift_L2	depmap_gene_dependency	rnai	9.0	0.2166666666666666	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	b											
13d	primary_formal_supplementary_bridge_test	endpoint_consistency		depmap_gene_effect	CRISPR_DepMap_vs_DEMETER2_RNAi	9.0	0.45	CRISPR DepMap 是 matched primary endpoint；DEMETER2 RNAi 是 cross-platform sensitivity endpoint。	b											
13d	primary_formal_supplementary_bridge_test	truth_endpoint_bridge	real_shift_mean_abs	depmap_gene_effect	crispr	10.0	0.5151515151515151	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	b											
13d	primary_formal_supplementary_bridge_test	truth_endpoint_bridge	real_shift_mean_abs	depmap_gene_effect	rnai	9.0	0.3	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	b											
13d	primary_formal_supplementary_bridge_test	truth_endpoint_bridge	real_shift_L2	depmap_gene_effect	crispr	10.0	0.5030303030303029	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	b											
13d	primary_formal_supplementary_bridge_test	truth_endpoint_bridge	real_shift_L2	depmap_gene_effect	rnai	9.0	0.2166666666666666	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	b											
HCC38	primary	endpoint_consistency		depmap_gene_dependency	CRISPR_DepMap_vs_DEMETER2_RNAi	47.0	0.1411927958729406	CRISPR DepMap 是 matched primary endpoint；DEMETER2 RNAi 是 cross-platform sensitivity endpoint。	c											
HCC38	primary	endpoint_consistency		depmap_gene_effect	CRISPR_DepMap_vs_DEMETER2_RNAi	47.0	0.1409574468085106	CRISPR DepMap 是 matched primary endpoint；DEMETER2 RNAi 是 cross-platform sensitivity endpoint。	c											
HCC1143	primary	endpoint_consistency		depmap_gene_dependency	CRISPR_DepMap_vs_DEMETER2_RNAi	47.0	0.2307558942118978	CRISPR DepMap 是 matched primary endpoint；DEMETER2 RNAi 是 cross-platform sensitivity endpoint。	c											
HCC1143	primary	endpoint_consistency		depmap_gene_effect	CRISPR_DepMap_vs_DEMETER2_RNAi	47.0	0.2246762257169288	CRISPR DepMap 是 matched primary endpoint；DEMETER2 RNAi 是 cross-platform sensitivity endpoint。	c											
7d	temporal_sensitivity_early_bridge_probe	endpoint_consistency		depmap_gene_dependency	CRISPR_DepMap_vs_DEMETER2_RNAi	9.0	0.45	CRISPR DepMap 是 matched primary endpoint；DEMETER2 RNAi 是 cross-platform sensitivity endpoint。	c											
7d	temporal_sensitivity_early_bridge_probe	endpoint_consistency		depmap_gene_effect	CRISPR_DepMap_vs_DEMETER2_RNAi	9.0	0.45	CRISPR DepMap 是 matched primary endpoint；DEMETER2 RNAi 是 cross-platform sensitivity endpoint。	c											
13d	primary_formal_supplementary_bridge_test	endpoint_consistency		depmap_gene_dependency	CRISPR_DepMap_vs_DEMETER2_RNAi	9.0	0.45	CRISPR DepMap 是 matched primary endpoint；DEMETER2 RNAi 是 cross-platform sensitivity endpoint。	c											
13d	primary_formal_supplementary_bridge_test	endpoint_consistency		depmap_gene_effect	CRISPR_DepMap_vs_DEMETER2_RNAi	9.0	0.45	CRISPR DepMap 是 matched primary endpoint；DEMETER2 RNAi 是 cross-platform sensitivity endpoint。	c											
									d	global_truth_depmap_bridge	global	retained	retained	not_applicable	covariate_audited_but_not_fully_closed	retainable_global_claim	当前证据支持 truth-DepMap bridge 在整体与结构层面上成立；该结论在现有 covariate audit 下仍可保留	bridge has been fully deconfounded; bridge is proved without meaningful confounding risk		
									d	Replogle_RNAi_expansion_candidate	external_expansion	not_yet_admitted	not_yet_checked	not_yet_checked	not_yet_checked	admission_required	Replogle 7d CRISPRi + DepMap RNAi/shRNA dependency 只能作为 short-horizon / modality-compatible external expansion；先完成 cell line/gene namespace/target overlap/endpoint metadata check，再决定是否下载并正式运行	Replogle RNAi expansion is primary closure; DepMap RNAi is a siRNA matched endpoint; Replogle expansion proves external model-side generalization		
HCC38	primary	truth_endpoint_bridge	real_shift_mean_abs	depmap_gene_dependency	crispr	47.0	0.7257957275155708	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	e											
HCC38	primary	truth_endpoint_bridge	real_shift_mean_abs	depmap_gene_dependency	rnai	48.0	0.2763786365610073	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	e											
HCC1143	primary	truth_endpoint_bridge	real_shift_mean_abs	depmap_gene_dependency	crispr	48.0	0.7792497165337711	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	e											
HCC1143	primary	truth_endpoint_bridge	real_shift_mean_abs	depmap_gene_dependency	rnai	48.0	0.3844984802431611	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	e											
7d	temporal_sensitivity_early_bridge_probe	truth_endpoint_bridge	real_shift_mean_abs	depmap_gene_dependency	crispr	10.0	0.7333333333333332	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	e											
7d	temporal_sensitivity_early_bridge_probe	truth_endpoint_bridge	real_shift_mean_abs	depmap_gene_dependency	rnai	9.0	0.3333333333333333	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	e											
13d	primary_formal_supplementary_bridge_test	truth_endpoint_bridge	real_shift_mean_abs	depmap_gene_dependency	crispr	10.0	0.5151515151515151	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	e											
13d	primary_formal_supplementary_bridge_test	truth_endpoint_bridge	real_shift_mean_abs	depmap_gene_dependency	rnai	9.0	0.3	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	e											
		demeter2_conversion							f										input_score_matrix_path	/home/data/gz0705/WTKO/RNAi/D2_combined_gene_dep_scores.csv
		demeter2_conversion							f										input_cell_lines	712
		demeter2_conversion							f										mapped_cell_lines	701
		demeter2_conversion							f										missing_model_id_mappings	11
		demeter2_conversion							f										genes	17309
		demeter2_conversion							f										score_direction	lower_is_more_dependent
		demeter2_conversion							f										gene_effect_output	/home/data/gz0705/WTKO/depmap/RNAiDEMETER2GeneEffect.csv
		demeter2_conversion							f										gene_dependency_output	/home/data/gz0705/WTKO/depmap/RNAiDEMETER2GeneDependency.csv
		claim_boundary							f	global_truth_depmap_bridge	global	retained	retained	not_applicable	covariate_audited_but_not_fully_closed	retainable_global_claim	当前证据支持 truth-DepMap bridge 在整体与结构层面上成立；该结论在现有 covariate audit 下仍可保留	bridge has been fully deconfounded; bridge is proved without meaningful confounding risk		
		claim_boundary							f	Dixit_K562_supplementary	supplementary	A0_confirmed_A1_supporting_B_not_eligible	not_primary_target	not_primary_target	not_primary_target	A0_confirmed_A1_supporting	K562 13d/7d 支持 formal supplementary external evidence：A0 architecture form confirmed / A1 bridge form supporting / B content-level not eligible；NOT primary co-pillar	Dixit/K562 provides a symmetric primary conclusion with HCC; K562 provides content-level replication established		
		claim_boundary							f	Dixit_K562_temporal_panel	supplementary	A0_confirmed_A1_temporal_stratified_B_not_eligible	not_primary_target	not_primary_target	not_primary_target	A0_confirmed_A1_supporting	7d 和 13d 均确认 backbone_plus_shift_excess；7d rank alignment 更强，13d mean shift 更大；只能写成 architecture form 时间稳定性与 bridge readout temporal stratification	13d is uniformly stronger than 7d; temporal panel proves external model-side generalization; K562 temporal panel establishes content-level convergence		
		claim_boundary							f	Replogle_RNAi_expansion_candidate	external_expansion	not_yet_admitted	not_yet_checked	not_yet_checked	not_yet_checked	admission_required	Replogle 7d CRISPRi + DepMap RNAi/shRNA dependency 只能作为 short-horizon / modality-compatible external expansion；先完成 cell line/gene namespace/target overlap/endpoint metadata check，再决定是否下载并正式运行	Replogle RNAi expansion is primary closure; DepMap RNAi is a siRNA matched endpoint; Replogle expansion proves external model-side generalization		
		claim_boundary							f	Dixit_architecture_replication	supplementary	A0_confirmed_A1_supporting_B_not_eligible	not_primary_target	not_primary_target	not_primary_target	A0_confirmed	Dixit/K562 可写成 architecture-level replication（A0）或 structure-level transferability（A1 supporting）；NOT content-level replication	Dixit proves model generalization across contexts		
		claim_boundary							f	Dixit_anchor_like_objects	supplementary_object_group	A0_confirmed_A1_supporting_B_not_eligible	not_primary_target	not_primary_target	not_primary_target	A1_supporting	Dixit/K562 中可观察到 stable anchor-like objects，但只能支持 A1-level structure recurrence；NOT B-level content equivalence	stable anchors were strictly replicated across contexts		
