cell_line	depth	target_gene	n_cells_available	equal_n_shift_mean	equal_n_shift_sd	equal_n_shift_q025	equal_n_shift_q975
HCC38	20	ZBTB20	471	0.01621353203925353	0.000977113337451932	0.014698418413392983	0.018428693743108366
HCC38	20	ZBTB5	363	0.01577012750323643	0.0008778838089959151	0.014392308532231236	0.01776708772236811
HCC38	20	ZNF131	118	0.018327266387076914	0.0013359808289865184	0.016098117416624043	0.021348895197889763
HCC38	20	ZNF24	472	0.01589709388788789	0.0009128055016376187	0.014500236996269645	0.01812950497468469
HCC38	20	ZNF566	372	0.015712155546506172	0.0008442715869455917	0.014383785247566663	0.017780243805773723
HCC38	25	ARID1A	365	0.01716897805423305	0.0010809445003771199	0.015388558283430016	0.019537882620018952
HCC38	25	BMPR1A	212	0.014135395422919944	0.0006411291501688298	0.013064498009881631	0.01556440738790269
HCC38	25	CDKN2A	399	0.014272121333218337	0.0009199411116890336	0.012940370219330094	0.016503884727672394
HCC38	25	COMMD6	395	0.014198678010781484	0.00068996775120318	0.013143912825836686	0.015861137167909406
HCC38	25	ENY2	93	0.016044425044311247	0.0008058373626951204	0.01464129526581929	0.017769607276417135
HCC38	25	ERC1	433	0.014469170224680401	0.0007936492251916342	0.013184179727017332	0.016352898259180595
HCC38	25	ETV3	244	0.014000504555721055	0.0007388342170964082	0.012919958852257019	0.0160593118535264
HCC38	25	GON4L	167	0.014282548704156926	0.0006656226038678627	0.013231563793811383	0.015724240308979138
HCC38	25	HDGF	254	0.014524573693008991	0.0007074527218240747	0.013349422817240317	0.016152317004283344
HCC38	25	HLX	289	0.014770654351591384	0.0008676952987926615	0.013403317419210024	0.016767002622280265
HCC38	25	KLF3	236	0.014613554518426242	0.0007207015279924461	0.013463980898478778	0.0162312550655712
HCC38	25	LAMTOR5	157	0.01706982009366564	0.0009326545714402958	0.015394838767972853	0.01912579129861447
HCC38	25	MAML3	423	0.014129665155509221	0.000740046765670757	0.012977199785158381	0.015896803328679494
HCC38	25	MIER1	267	0.014173710646594223	0.0008423341449985464	0.012912290891371598	0.016099547721977362
HCC38	25	MTDH	282	0.01514935308698315	0.001097501684633751	0.013575329352332275	0.01786335860618302
HCC38	25	MYBL1	220	0.014688738960412017	0.0006675052502590347	0.013609891461888008	0.016121420513339934
HCC38	25	NCOA1	389	0.014465542235783321	0.0009287312923023491	0.013084677148233092	0.01673046959934369
HCC38	25	NPM1	80	0.016606328470205392	0.0010730732629766688	0.014704923491350634	0.018839134925856236
HCC38	25	PA2G4	194	0.014883167242627714	0.0007338672920353903	0.013730857945980578	0.016651760207602503
HCC38	25	PARK7	254	0.014131498015146128	0.0007008206835991941	0.013006229932522175	0.015912850305828712
HCC38	25	PCBD1	428	0.014341992726896282	0.000812399077888284	0.013026119486396886	0.0161814816919998
HCC38	25	PEX14	439	0.014989275509288658	0.0013417779445023701	0.013118681776170017	0.018477896671245282
HCC38	25	PFDN5	67	0.014568524132886718	0.0007403703866493675	0.013421318908354284	0.01635115214147993
HCC38	25	PMF1	94	0.016030881873838977	0.001413545750268219	0.013912742940949331	0.01896641469185526
HCC38	25	PRDX2	302	0.014075444076032246	0.0007214838377097247	0.012954437530817209	0.015858806902985207
HCC38	25	PRPF6	25	0.014479874104001957	5.206774466336025e-18	0.014479874104001962	0.014479874104001962
HCC38	25	RORC	296	0.014490414408601918	0.0008581546503967995	0.01317236958797489	0.016608513233492595
HCC38	25	RPS3	69	0.015071526424316237	0.0008588351058162005	0.013701559376582158	0.016883876163867363
HCC38	25	RUVBL2	95	0.015282313084736465	0.000986349023561707	0.013624390653254364	0.017500616001740722
HCC38	25	SMAD1	321	0.014327755391709893	0.0009866890856416273	0.012957621567935054	0.016643959604121863
HCC38	25	STAT3	394	0.01478205266213964	0.0008070443543017401	0.013421573100846292	0.01657012330725575
HCC38	25	TAB3	246	0.014238232388473894	0.0008372527203512762	0.013034519968227395	0.01624955506064084
HCC38	25	TADA3	177	0.016032917841859135	0.0007896884530188273	0.014688938595307413	0.01776513707075351
HCC38	25	THAP8	276	0.014256185849805458	0.0007418625398531818	0.01317367554713272	0.016208120249368033
HCC38	25	THRA	266	0.014655044011064013	0.0007980295020964618	0.013385595902698631	0.01659075869226664
HCC38	25	TMF1	206	0.014590021952067798	0.0010298067346642074	0.01312784387218935	0.017076271392172937
HCC38	25	TMSB4X	352	0.014366265899822346	0.0007876920825074312	0.013123412979578841	0.016109535584525807
HCC38	25	UBP1	371	0.014130298393594722	0.0006920762486260106	0.013080830804711834	0.015735632085871327
HCC38	25	VEZF1	226	0.015501264067047868	0.0009498180269543121	0.013911973648224406	0.017626693625901347
HCC38	25	XBP1	394	0.013841739741344478	0.0006796032688969455	0.012831384742040245	0.015392199869959752
HCC38	25	YBX1	177	0.015146354565440483	0.0006841115442336042	0.014058530133485417	0.01664763116878539
HCC38	25	ZBTB17	139	0.015272249511881669	0.000848416164299672	0.013865433786192654	0.017266947360699225
HCC38	25	ZBTB20	471	0.014660785646327138	0.0008919918725243715	0.013302222842494526	0.016757998195554204
HCC38	25	ZBTB5	363	0.014146331328148192	0.0007396317624079527	0.013051612918853792	0.015963980198617812
HCC38	25	ZNF131	118	0.016599738794424897	0.0011052056419025664	0.01471103817992669	0.018967365237729635
HCC38	25	ZNF24	472	0.014252140818367873	0.0007291243432107645	0.013110987270570397	0.015929869571066423
HCC38	25	ZNF566	372	0.014252734698877764	0.0008081645589599224	0.01297119650734878	0.01622119176797294
HCC38	50	ARID1A	365	0.013387270288853495	0.0007163835947274959	0.012123843725068927	0.014934858837141343
HCC38	50	BMPR1A	212	0.010297815777707267	0.00037066988401722494	0.009710824708758066	0.011119182695637287
HCC38	50	CDKN2A	399	0.010278172857488041	0.0005539263548063471	0.009468065121562279	0.011735150726679168
HCC38	50	COMMD6	395	0.010268960888359881	0.0004533311980836413	0.009591020262441949	0.011323282822300287
HCC38	50	ENY2	93	0.012459860057063938	0.0004774623471589824	0.011610008423996735	0.013457411378951458
HCC38	50	ERC1	433	0.010414708606176446	0.00046949318079422787	0.009695587307127699	0.011493668500607433
HCC38	50	ETV3	244	0.010134494800711151	0.00039922546609725857	0.009531035061371084	0.011113484451902566
HCC38	50	GON4L	167	0.010335957017574351	0.0003742092422074072	0.009740278594205698	0.011204045884764579
HCC38	50	HDGF	254	0.01057159363172497	0.00042025304729328077	0.009872046643225664	0.01150755520176732
HCC38	50	HLX	289	0.010761195523892575	0.0005082214322170804	0.009957587843685462	0.01190180308327182
HCC38	50	KLF3	236	0.010577624278193894	0.00039463503563533106	0.009931150367963914	0.01148511545645262
HCC38	50	LAMTOR5	157	0.013720722693586823	0.0005187619081578529	0.012794516749977235	0.014816143964474431
HCC38	50	MAML3	423	0.010156090956245638	0.00044845869703928425	0.009501406047287471	0.011230467914573862
HCC38	50	MIER1	267	0.010244294350832498	0.0005279714651233135	0.009458147654462557	0.011505135034134738
HCC38	50	MTDH	282	0.011079537693761625	0.0006788439702059652	0.010027763009973389	0.01268096371783816
HCC38	50	MYBL1	220	0.011164535626645985	0.00041283037261932666	0.010444515480469424	0.012064475573361504
HCC38	50	NCOA1	389	0.01045128167667292	0.0005411024380389207	0.00963034455291321	0.011693425742886
HCC38	50	NPM1	80	0.012987762891590865	0.0005882195270197979	0.011865178230650752	0.014165861775412904
HCC38	50	PA2G4	194	0.011196846164614914	0.0005032265592108607	0.010458464589476552	0.012385230360302412
HCC38	50	PARK7	254	0.010235087757569282	0.0003962777203598997	0.009606503522439722	0.01112314706002383
HCC38	50	PCBD1	428	0.010365669566852871	0.0004944596534567193	0.009597830939717467	0.01147271330300817
HCC38	50	PEX14	439	0.010826151296923167	0.0007797803224010254	0.00967834603618294	0.012682207952719472
HCC38	50	PFDN5	67	0.010457961718830738	0.00031113189500446916	0.009985410841541968	0.011181009828464688
HCC38	50	PMF1	94	0.011823922218858396	0.0007894324634454589	0.010482044127907044	0.01347838930932679
HCC38	50	PRDX2	302	0.010203534571635555	0.00046355310215618565	0.009490264651363633	0.011324676016262197
HCC38	50	RORC	296	0.010429461572751585	0.0005143220760253503	0.009691206516347773	0.011770119388017263
HCC38	50	RPS3	69	0.011083742826149393	0.0003074715227439202	0.01051403517874379	0.011669942791594208
HCC38	50	RUVBL2	95	0.0110225879280297	0.0004851437776106593	0.010193307591759784	0.01203397028522543
HCC38	50	SMAD1	321	0.01033766857652508	0.0005506621791265603	0.009551288139669635	0.011641968025961048
HCC38	50	STAT3	394	0.010765809246959926	0.0005122466328228627	0.009956677582297832	0.01195989311596974
HCC38	50	TAB3	246	0.010332936039786777	0.0005572951674483084	0.009540095643635758	0.011755217116065666
HCC38	50	TADA3	177	0.012566668713750968	0.0005206810708318055	0.01163665516698981	0.013672267423853851
HCC38	50	THAP8	276	0.010340510283944422	0.000417742401639837	0.009682027612966887	0.011236408004066313
HCC38	50	THRA	266	0.0107967501894212	0.0004692301240500902	0.010004421450533282	0.011794213358242179
HCC38	50	TMF1	206	0.010718392620445558	0.0006793056254062798	0.009762903675190844	0.01239682230117483
HCC38	50	TMSB4X	352	0.010388899562532241	0.0005124385077075421	0.009605197939254228	0.011539636362847019
HCC38	50	UBP1	371	0.010202297989621915	0.00039477271640976923	0.009578099512422436	0.011077505291497194
HCC38	50	VEZF1	226	0.011788651409826035	0.0005884944044772806	0.010792662042863353	0.013133060667053954
HCC38	50	XBP1	394	0.009966134177894652	0.00042504641156669636	0.00936924313895673	0.010956267411505877
HCC38	50	YBX1	177	0.011465567845063475	0.00041034164781357437	0.010778990373118382	0.01240807999851018
HCC38	50	ZBTB17	139	0.011445123232331609	0.0005045493428323791	0.010603282631538258	0.012514407241549147
HCC38	50	ZBTB20	471	0.010705179715643517	0.0005633196146779073	0.00982251599575495	0.012004507791349166
HCC38	50	ZBTB5	363	0.010275752161690747	0.0004485950437085339	0.00956515767673334	0.011338058859009402
HCC38	50	ZNF131	118	0.012835312305855329	0.0006714655141184081	0.01160130622808499	0.01428742652927625
HCC38	50	ZNF24	472	0.010289277566517688	0.0004470280186309319	0.009604225315136468	0.011294941666365656
HCC38	50	ZNF566	372	0.010289321239623398	0.0004875018575087021	0.00950985250352956	0.01145734201412271
HCC38	100	ARID1A	365	0.010917693838647711	0.00047791668728235635	0.010068750399708146	0.011924699702850322
HCC38	100	BMPR1A	212	0.007613195582214748	0.00018261772913542192	0.007297868097939619	0.008022781329112112
HCC38	100	CDKN2A	399	0.007391270856484986	0.0003098669044155375	0.006924927619765037	0.008120754567566248
HCC38	100	COMMD6	395	0.0074492459476778235	0.000249948522529705	0.007050281746596845	0.008038657471999403
HCC38	100	ERC1	433	0.007577044340353456	0.0002828847329271548	0.00712359619024532	0.008267059417530443
HCC38	100	ETV3	244	0.007399608259268899	0.0001992135097719079	0.007075149695536061	0.00788177273813385
HCC38	100	GON4L	167	0.007517496012444843	0.0001805119407005463	0.007201617490260051	0.007928131156416635
HCC38	100	HDGF	254	0.0077845758229508006	0.00022558690873765102	0.007414757936402357	0.00830467790774247
HCC38	100	HLX	289	0.00795348572414033	0.0002872280146190804	0.007441260671780417	0.008556429638803598
HCC38	100	KLF3	236	0.0077683863081827904	0.00022614842365222982	0.007392488401849739	0.008266708722492152
HCC38	100	LAMTOR5	157	0.011584149605327191	0.0002776253437427108	0.011072248012450998	0.012127444387561257
HCC38	100	MAML3	423	0.007336543106447236	0.00026770392400762816	0.006932952871112569	0.007997990010017806
HCC38	100	MIER1	267	0.007485034453050433	0.0003701976182425939	0.006959406860297443	0.008344024491243413
HCC38	100	MTDH	282	0.00825026330993311	0.00043085132527541115	0.007575719767670381	0.009299138290257023
HCC38	100	MYBL1	220	0.008828156704446862	0.0002485037291423461	0.008384451592935192	0.009368125396023406
HCC38	100	NCOA1	389	0.007582006945779654	0.0003127525878630212	0.007097695126734185	0.008263399989065596
HCC38	100	PA2G4	194	0.008687917573797756	0.0002987060200909378	0.008221320074285809	0.009388992986054709
HCC38	100	PARK7	254	0.007484130810542139	0.00020680045973526785	0.007144738015211936	0.007953685186905602
HCC38	100	PCBD1	428	0.007536152114415273	0.0002873682886913806	0.007097619658847357	0.008205941697217504
HCC38	100	PEX14	439	0.007941754014176012	0.00047535152183656034	0.007244124631017258	0.009047126910251967
HCC38	100	PRDX2	302	0.007512948003215037	0.00029878340298609925	0.007054488266372804	0.008236131341595794
HCC38	100	RORC	296	0.007575726218345289	0.00028299224542937244	0.007122354984680928	0.008235035658648734
HCC38	100	SMAD1	321	0.007493979463095251	0.00029510883654927975	0.007054959483202431	0.008225347295827455
HCC38	100	STAT3	394	0.008007583139181535	0.0003281280894978595	0.0074942597436843715	0.00874613622105776
HCC38	100	TAB3	246	0.0076253064486613556	0.00037578114350649293	0.007053186295874888	0.008456310644289151
HCC38	100	TADA3	177	0.010328449348380671	0.0003241011902772991	0.009713090434457634	0.010997080238039652
HCC38	100	THAP8	276	0.007587050038870606	0.00022920625972555072	0.007202580900237598	0.008082983144078468
HCC38	100	THRA	266	0.008141698664150127	0.00027530819558487803	0.007659224817226001	0.008757238924809747
HCC38	100	TMF1	206	0.008099317978877123	0.00043642530029973733	0.00741983428787659	0.009104554847636956
HCC38	100	TMSB4X	352	0.007573361888743116	0.0003322874378377915	0.007049850642466372	0.008382029940589928
HCC38	100	UBP1	371	0.007447121393853647	0.00023121461521884414	0.007057539667027373	0.007940330600962473
HCC38	100	VEZF1	226	0.009225591972438522	0.00031429160488038473	0.008671626354559349	0.009921523582581752
HCC38	100	XBP1	394	0.007191518123102382	0.00022967936933174015	0.006854897365461797	0.007757885301786024
HCC38	100	YBX1	177	0.009007182922193714	0.00021744377920535017	0.00862615099947719	0.009474438710582291
HCC38	100	ZBTB17	139	0.008848119982738559	0.00023453498733569291	0.008442552350633577	0.00932439837434001
HCC38	100	ZBTB20	471	0.007990646797880878	0.0003957906622979989	0.007347357663897464	0.008887191323826902
HCC38	100	ZBTB5	363	0.007555428869135019	0.00029473289021213905	0.007090351622647701	0.008220684626765933
HCC38	100	ZNF131	118	0.010305420525386872	0.0002567364449146455	0.009812166713805377	0.010806056601005351
HCC38	100	ZNF24	472	0.007466318498129756	0.0002801169395281812	0.007036090886559757	0.00812498693269282
HCC38	100	ZNF566	372	0.007580027822890821	0.00029073851535346224	0.007113292750133741	0.008228344886177281
HCC1143	20	ARID1A	195	0.01496986293343076	0.0010871958111688797	0.013411433973643753	0.017763309906640417
HCC1143	20	BMPR1A	93	0.013708179679072017	0.0008716119037073385	0.012434682362511077	0.01581013436515299
HCC1143	20	CDKN2A	169	0.013733911220515534	0.0009059580910719229	0.012324144933420142	0.015882155985415005
HCC1143	20	COMMD6	324	0.014072970551924073	0.001336967960523061	0.01229608965124728	0.01744474169055982
HCC1143	20	ENY2	161	0.017643394216748515	0.0017870933588310085	0.014922622041027376	0.02215051555924601
HCC1143	20	ERC1	412	0.014005013211177676	0.001444827714995617	0.012212504519800224	0.0174845914468616
HCC1143	20	ETV3	187	0.013649264542646596	0.000849980116862526	0.012299285226101467	0.015601970627731058
HCC1143	20	GON4L	115	0.015054446126953253	0.0012873236855535086	0.0129175713157685	0.01790109597290561
HCC1143	20	HDGF	319	0.013908498917473562	0.0010574960710004171	0.012335705535626077	0.016297552166774275
HCC1143	20	HLX	213	0.013607011146368716	0.0011001825873590992	0.012061370524078147	0.016334294825230352
HCC1143	20	KLF3	223	0.014101724081464397	0.0010907581463678075	0.012395170884241843	0.016864208825433463
HCC1143	20	LAMTOR5	274	0.016763547024781965	0.0014644204166072016	0.01453182668252381	0.02015644468853306
HCC1143	20	MAML3	341	0.014028231898004668	0.0013349459001234974	0.012225081004281326	0.017546219261684332
HCC1143	20	MIER1	254	0.01475506276715876	0.0013540488438904415	0.012623963859618085	0.018014676615941236
HCC1143	20	MTDH	290	0.01405497870948129	0.001067539632481248	0.012533442674684642	0.016796029568263603
HCC1143	20	MYBL1	142	0.01555425070924122	0.0011858508788496712	0.01364560970106165	0.018237049250758065
HCC1143	20	NCOA1	334	0.013741026082287462	0.0011933489190065574	0.012159338996919695	0.016675374480248233
HCC1143	20	NPM1	125	0.015019511341497154	0.001344503364042981	0.012908503868407932	0.01805866593194638
HCC1143	20	PA2G4	154	0.014172368506704907	0.0012172362110402513	0.012508271223726164	0.017244007085212846
HCC1143	20	PARK7	215	0.015555879790966311	0.0018950642183097057	0.012858942627502302	0.01985369177835409
HCC1143	20	PCBD1	214	0.013601474008602104	0.0009792577271488666	0.012207421451146425	0.015924640245933368
HCC1143	20	PEX14	282	0.013727743758153388	0.001082168408868663	0.012216805307014088	0.016414556959554502
HCC1143	20	PFDN5	57	0.015035938324383939	0.0010621505446205667	0.013194600227043185	0.01719156811847857
HCC1143	20	PMF1	40	0.016501458305914284	0.0013266939884990852	0.014165823893331262	0.019146842640105473
HCC1143	20	PRDX2	186	0.014490646307283363	0.0014461594419857542	0.012408434448118458	0.017960416720989667
HCC1143	20	PRPF6	23	0.01618073443893354	0.0008461485756297796	0.014406639594362216	0.017517735958535258
HCC1143	20	RORC	230	0.013937266301779574	0.0009836366019805333	0.012442098017872494	0.016252664873657775
HCC1143	20	RPS3	72	0.013717094404959567	0.0010413722171155916	0.01218518968013752	0.015955581209205216
HCC1143	20	RUVBL2	51	0.016517619382891514	0.0016186311701480453	0.013667128368414052	0.01999998155778763
HCC1143	20	SMAD1	299	0.013967530394486356	0.0014057717867056421	0.012130228162969384	0.017407622214742496
HCC1143	20	SS18L2	26	0.025739074425777178	0.0015381879044940924	0.022735030850566253	0.02863629071257257
HCC1143	20	STAT3	305	0.014394546190745804	0.0012654823147922856	0.012554512095093888	0.017316946569258314
HCC1143	20	TAB3	222	0.01432702823819504	0.001330464699994935	0.012404479544087183	0.017358838039616336
HCC1143	20	TADA3	133	0.016091775484964637	0.0013929846968620183	0.01390759659139592	0.019353792663194955
HCC1143	20	THAP8	335	0.014208843134358183	0.0010596485554277128	0.012677297493805978	0.01671252361321717
HCC1143	20	THRA	188	0.013579000820945576	0.0009079941252096444	0.012237277717034662	0.015865053043242754
HCC1143	20	TMF1	145	0.014244662258154241	0.0012511953909744775	0.012382466387822734	0.01715979936895166
HCC1143	20	TMSB4X	266	0.013680523472171944	0.0011150189874414424	0.01204643350658983	0.016291238156585973
HCC1143	20	UBP1	267	0.01373792322115182	0.001089080270789385	0.012097812102210373	0.016340616840610868
HCC1143	20	VEZF1	255	0.014877725607333296	0.001121267331361794	0.013089576277589896	0.017397884217538847
HCC1143	20	XBP1	314	0.013787045824949324	0.0010275486788439284	0.012309890449024514	0.016263913059998705
HCC1143	20	YBX1	177	0.015548056086439983	0.0012223718423261495	0.013564340968392487	0.01828955870188555
HCC1143	20	ZBTB17	75	0.01646884148051138	0.0016133869000992504	0.013797167977191256	0.0198550725539076
HCC1143	20	ZBTB20	315	0.013917613580030809	0.0011964848989662689	0.012278120526686892	0.017036096635651147
HCC1143	20	ZBTB5	212	0.013844568426512908	0.0012151079799242394	0.0122020733767266	0.016893200958758885
HCC1143	20	ZNF131	43	0.014713893415457662	0.0012835299414540732	0.012772721318559648	0.017702415192484017
HCC1143	20	ZNF24	462	0.01384340217311096	0.001180549465662392	0.01220800565199741	0.016767721716033416
HCC1143	20	ZNF566	372	0.013588290477684594	0.0009952324900787783	0.012158204005050782	0.016039433283336534
HCC1143	25	ARID1A	195	0.013650438537711375	0.0009037067952917313	0.012276890577120654	0.015910584457522307
HCC1143	25	BMPR1A	93	0.01237469765839332	0.0007423806006851537	0.011269459184515034	0.014245022540161243
HCC1143	25	CDKN2A	169	0.012306108049054375	0.0007419471474193449	0.011156550911869342	0.014132542015908548
HCC1143	25	COMMD6	324	0.012668483671137615	0.0011561906074648676	0.011064127874621334	0.01542901085961274
HCC1143	25	ENY2	161	0.016309650222917006	0.0015196979351441446	0.01392671370879847	0.02001036875412844
HCC1143	25	ERC1	412	0.012754803322706905	0.001293516252628399	0.011125225531312368	0.016047981107273762
HCC1143	25	ETV3	187	0.012340545760528294	0.0007206472920968646	0.01121235318955744	0.01395675453415522
HCC1143	25	GON4L	115	0.013647113920696391	0.001085786592197515	0.011924920769365664	0.016081867415389403
HCC1143	25	HDGF	319	0.012482827745924128	0.0008968270852615824	0.011174197149998576	0.014603585368707284
HCC1143	25	HLX	213	0.012271229143512077	0.000860832798820926	0.010993464791786272	0.01445130031533612
HCC1143	25	KLF3	223	0.012726258713487842	0.0008878278009660901	0.011373242474247865	0.014707163248808318
HCC1143	25	LAMTOR5	274	0.015435147198572873	0.0013288824148952202	0.013273991280939666	0.0185455167693169
HCC1143	25	MAML3	341	0.012570295705353937	0.0011514233736035365	0.010995765449574124	0.01547360861427407
HCC1143	25	MIER1	254	0.013405130517631092	0.0012579348633578135	0.011519779207061863	0.01651387733167833
HCC1143	25	MTDH	290	0.012734718170042963	0.0009449581419811179	0.011420609483336246	0.015154000180103357
HCC1143	25	MYBL1	142	0.014310716399695014	0.0010170305385238105	0.0127490449185691	0.01664717771437568
HCC1143	25	NCOA1	334	0.012315355411729071	0.0009736917721408405	0.011028036984850503	0.014685424586688492
HCC1143	25	NPM1	125	0.013617288430391465	0.0011418320350682265	0.011841957960102253	0.016183698719778438
HCC1143	25	PA2G4	154	0.012792096272516946	0.000993245650629035	0.01137039441899916	0.015333984473677504
HCC1143	25	PARK7	215	0.014053511903857157	0.001570711111101714	0.011658137360532922	0.01782127412123296
HCC1143	25	PCBD1	214	0.012284918640705885	0.0008896573782896851	0.010947084113994495	0.014346456586142755
HCC1143	25	PEX14	282	0.012371293057835306	0.0009535212022453071	0.011107507901743481	0.014905771508242339
HCC1143	25	PFDN5	57	0.013718492338466653	0.0008482177395498261	0.012155226718410532	0.0154458039702481
HCC1143	25	PMF1	40	0.015105954735001563	0.0010600789068410416	0.013088926669603363	0.017150744236984566
HCC1143	25	PRDX2	186	0.013031227974673907	0.001188159475026325	0.011257531956110553	0.015649410394642866
HCC1143	25	RORC	230	0.012477222477102883	0.0008513519270728466	0.011233052405193471	0.014581325599696176
HCC1143	25	RPS3	72	0.012454650219585141	0.0008568834450548913	0.011181559778522107	0.014255385515622856
HCC1143	25	RUVBL2	51	0.015239225200993826	0.001346822722409915	0.012772495556281545	0.018113333518407933
HCC1143	25	SMAD1	299	0.01258924930081911	0.0012464289027142304	0.011014102472750392	0.01581220912876544
HCC1143	25	SS18L2	26	0.02451813777179264	0.0005577491629982955	0.023235507278238875	0.025251019899128115
HCC1143	25	STAT3	305	0.012985206628950087	0.0011263031760214814	0.011398346838086876	0.015762687321201365
HCC1143	25	TAB3	222	0.01300768536662858	0.0012364085912995354	0.011214835671182357	0.015852442289556682
HCC1143	25	TADA3	133	0.0149358652160965	0.001232568464395866	0.012963977409068746	0.017662644448104548
HCC1143	25	THAP8	335	0.012816269886769103	0.0009119121853845192	0.011528723600139325	0.015077032889123656
HCC1143	25	THRA	188	0.012253811338991848	0.0007574056436359443	0.01109364776897801	0.01401515189122518
HCC1143	25	TMF1	145	0.012844185150093015	0.001055086293194849	0.0112695099803452	0.015320285905537905
HCC1143	25	TMSB4X	266	0.012184691606832651	0.0009049293072766959	0.010847602141022256	0.014533029167884917
HCC1143	25	UBP1	267	0.01242158048808696	0.0009800701519883156	0.011015461237857526	0.014646369019401648
HCC1143	25	VEZF1	255	0.013494319644926861	0.0009853064003993595	0.012034989966248999	0.015741975875101347
