cell_line	target_gene	n_cells_target	observed_shift_mean_abs	matched_null_shift_mean	matched_null_shift_sd	matched_null_shift_q025	matched_null_shift_q975	noise_corrected_shift
HCC38	ZBTB20	471	0.0048062658192207	0.003925314622489244	0.00016456511153354367	0.0037149956996228198	0.0043525981567790716	0.0008809511967314554
HCC38	ZBTB5	363	0.0046384099549855	0.004279404788970909	0.0001795212644216237	0.004055194404871131	0.004707460677216831	0.0003590051660145909
HCC38	ZNF131	118	0.0098454685363047	0.00684174200386963	0.00029980804246096073	0.006424657487749177	0.007578649752321995	0.00300372653243507
HCC38	ZNF24	472	0.0039710221358838	0.003918546358533272	0.00015193153921136084	0.0037202861324526705	0.004329530524776388	5.247577735052831e-05
HCC38	ZNF566	372	0.0045411647163488	0.004248827649948295	0.0001785385480653583	0.00401736310491254	0.004716436310267512	0.00029233706640050504
HCC1143	ARID1A	195	0.0073327186787757	0.00480523334283894	0.0002808091069650637	0.004443233329263897	0.005550125554661573	0.0025274853359367596
HCC1143	BMPR1A	93	0.0070281282052424	0.006656520819351967	0.00040228403321104794	0.00611868589589552	0.007676189722959395	0.0003716073858904328
HCC1143	CDKN2A	169	0.0050523230156554	0.005107567252600786	0.0003056358828154077	0.004724119905979216	0.005900685976956284	-5.5244236945386355e-05
HCC1143	COMMD6	324	0.0045342930040741	0.003986694827878873	0.00022701604579397438	0.003691878719911113	0.004573204121059419	0.0005475981761952266
HCC1143	ENY2	161	0.0105137437444661	0.0052166660305484015	0.0002997996222553833	0.004817489537909687	0.0059273318168377295	0.005297077713917699
HCC1143	ERC1	412	0.0048784834929897	0.003705719244441595	0.00021367994467528975	0.0034298433363569997	0.004253654260220156	0.0011727642485481046
HCC1143	ETV3	187	0.0053871026377591	0.004904689857892378	0.0002938624938987934	0.00452137975956182	0.0056853851692875235	0.0004824127798667222
HCC1143	GON4L	115	0.0076879048971422	0.006048140611783178	0.0003513256158028181	0.005563546254088542	0.006891741060921059	0.0016397642853590213
HCC1143	HDGF	319	0.0039901671750222	0.003992399210760036	0.00020834451930694901	0.0037210689441328037	0.004539565019097814	-2.232035737835883e-06
HCC1143	HLX	213	0.0050212083343797	0.004640599434021387	0.0002638560799347938	0.00431511322051556	0.005313102854929026	0.00038060890035831324
HCC1143	KLF3	223	0.0053919861225157	0.004572396010443466	0.000257466801058933	0.004235802161094911	0.0051946698191621555	0.0008195901120722346
HCC1143	LAMTOR5	274	0.0093777769035242	0.004229906806067433	0.00023543544005184822	0.003912028858682135	0.004874986189207227	0.005147870097456768
HCC1143	MAML3	341	0.0042930848646172	0.0039057684681849413	0.00020729831212297058	0.003622806595226915	0.004433397291221603	0.0003873163964322585
HCC1143	MIER1	254	0.0057833931966825	0.004331976987701448	0.00022601169189961275	0.00403472603774222	0.0048895522391999395	0.0014514162089810517
HCC1143	MTDH	290	0.0047338690320834	0.00413338953025413	0.00023487912079673423	0.0038450776468747366	0.004772143983301327	0.0006004795018292701
HCC1143	MYBL1	142	0.0084130142568229	0.005520090109599849	0.0003277175135907542	0.005083392376250266	0.00641407894662454	0.0028929241472230504
HCC1143	NCOA1	334	0.0039071575713196	0.003944475476880327	0.00022806090290278098	0.0036543396923144106	0.004560850945201035	-3.731790556072735e-05
HCC1143	NPM1	125	0.0074812035133293	0.005835733598033052	0.0003771951064277231	0.005332898743257975	0.006787878015286517	0.0016454699152962477
HCC1143	PA2G4	154	0.0059315461556859	0.005306283814326019	0.0002861759061093743	0.004905420117540712	0.006062883697563196	0.000625262341359881
HCC1143	PARK7	215	0.0061480042391653	0.004632522503509194	0.0002728479372152885	0.004289924301867947	0.005349760849830452	0.0015154817356561063
HCC1143	PCBD1	214	0.004675198066501	0.0046400967149133766	0.0002605459338328596	0.004300096472912582	0.005315763131157462	3.5101351587623654e-05
HCC1143	PEX14	282	0.0044493142820248	0.004173893721242788	0.0002366169588442541	0.003871241762729387	0.004747994294923303	0.0002754205607820113
HCC1143	PFDN5	57	0.0102329499993855	0.008308720175861822	0.0005447141827233789	0.007552682058603191	0.009612840412235908	0.0019242298235236776
HCC1143	PMF1	40	0.0127756932567781	0.009833375562716146	0.0006714756661150128	0.008887582716254165	0.01136610822518606	0.0029423176940619536
HCC1143	PRDX2	186	0.0055213995831513	0.004910142028479063	0.00027839860084015987	0.004545893551057976	0.005583180100966945	0.0006112575546722366
HCC1143	PRPF6	23	0.0154111896961658	0.012822869434726167	0.0009977684286627318	0.011438935503158443	0.01536097799067255	0.0025883202614396337
HCC1143	RORC	230	0.0045634026869297	0.004503694650670085	0.00024949789465343906	0.004171704978414898	0.005107690743152268	5.970803625961543e-05
HCC1143	RPS3	72	0.007860948328555	0.007444507559006403	0.00046343637625986535	0.006827934802644129	0.008678275381377734	0.0004164407695485973
HCC1143	RUVBL2	51	0.0119327730703482	0.008790034293232723	0.0006590928547189575	0.007943937573959605	0.010478946987439883	0.003142738777115477
HCC1143	SMAD1	299	0.0045476060135123	0.004095962597534901	0.00022544195597030788	0.003796849057832374	0.004634403723864343	0.00045164341597739906
HCC1143	SS18L2	26	0.0243279181183303	0.01210566232689203	0.0009246632603684879	0.010779523512587737	0.014311554679327612	0.01222225579143827
HCC1143	STAT3	305	0.0045791788860737	0.00406598335025825	0.00023341278411557936	0.0037670416131984547	0.004640563590150373	0.0005131955358154503
HCC1143	TAB3	222	0.0060275444241772	0.004570617556284363	0.00025515975019015216	0.004234674601684172	0.005237785634620269	0.0014569268678928365
HCC1143	TADA3	133	0.0103750807743799	0.005653882111018394	0.00032734099087433616	0.005221772046203757	0.0064512222096912986	0.004721198663361507
HCC1143	THAP8	335	0.0050716034302432	0.003940076753967269	0.00022764002720739406	0.003649391223014404	0.00450182633765208	0.001131526676275931
HCC1143	THRA	188	0.0053431820384494	0.00489394113480047	0.00028601862666302315	0.004517375279692902	0.0056168997752777975	0.00044924090364893005
HCC1143	TMF1	145	0.0058951763799742	0.00544821010160775	0.0003105218727183466	0.005010073664298529	0.006205834712619817	0.0004469662783664497
HCC1143	TMSB4X	266	0.0039703565382887	0.004251057423954575	0.00022928538923042564	0.003955507695836697	0.00482744327369611	-0.00028070088566587575
HCC1143	UBP1	267	0.0046551429363536	0.004272160501761561	0.00024998159740111304	0.003957921212494919	0.004869730894536406	0.00038298243459203903
HCC1143	VEZF1	255	0.0060274132373266	0.004329312104248424	0.00024270325868785432	0.004011545755656494	0.004968311942769798	0.0016981011330781757
HCC1143	XBP1	314	0.0045885756847594	0.004026276685757575	0.00022600692587358774	0.003730222713395051	0.004587467139820948	0.000562298999001825
HCC1143	YBX1	177	0.0077493948528648	0.005012190947210354	0.0003031340373425942	0.004617601187148636	0.005806732587865408	0.002737203905654446
HCC1143	ZBTB17	75	0.010587215682323	0.0073401154315917575	0.00046349923103668444	0.006713954937798685	0.008484821774870333	0.0032471002507312432
HCC1143	ZBTB20	315	0.0043814448697306	0.004018457049065799	0.00023387811304412267	0.003731572087802945	0.0046464455832821985	0.00036298782066480125
HCC1143	ZBTB5	212	0.0053368219337521	0.0046465840905174464	0.0002505205627094429	0.004301822867236476	0.005288036252404883	0.0006902378432346538
HCC1143	ZNF131	43	0.0105522037854389	0.009501450982063288	0.0006403146096142136	0.008614655231369183	0.010966107444712847	0.0010507528033756111
HCC1143	ZNF24	462	0.0043616307953344	0.0035900265508780763	0.0001926806653590962	0.0033410322307563106	0.00407207582710327	0.0007716042444563236
HCC1143	ZNF566	372	0.0044548810181222	0.0038026393137206983	0.00021093074926755573	0.003531201258581805	0.004323355319296134	0.0006522417044015016
