target_gene	n_cell_lines	q1_anchor_count	q2_count	q3_count	q4_count	shift_quantile_mean	depmap_quantile_mean	shift_value_mean	depmap_strength_mean	shared_anchor_call	panel	object_type	object_id	primary_call	stability_fraction	evidence_tier	cell_line	truth_metric	depmap_endpoint	n_replicates	spearman_aligned_mean	spearman_aligned_std	spearman_aligned_q025	spearman_aligned_q50	spearman_aligned_q975	configured_replicates	completed_replicates	formal_interval_citable	sensitivity_claim_status	structural_stability	covariate_cleanliness	final_wording_tier	recommended_writeup	object	level	cutoff_stability	bootstrap_status	covariate_status	allowed_wording	disallowed_wording
TMF1	2.0	0.0	0.0	0.0	0.0	0.6110372340425532	0.6101507092198581	0.006098876595477	0.1102030394105996	not_shared_canonical_anchor	a																													
TAB3	2.0	0.0	0.0	0.0	0.0	0.5678191489361701	0.2539893617021276	0.005691691262781	0.0178024040707619	not_shared_canonical_anchor	a																													
THRA	2.0	0.0	0.0	0.0	0.0	0.537677304964539	0.5157358156028369	0.0055925486134126	0.0518377480502198	not_shared_canonical_anchor	a																													
PARK7	2.0	0.0	0.0	0.0	0.0	0.5356826241134752	0.4616578014184397	0.0056020387838678	0.0766957710649123	not_shared_canonical_anchor	a																													
KLF3	2.0	0.0	0.0	0.0	0.0	0.5265957446808511	0.5800088652482269	0.0054298232940776	0.0993135255751906	not_shared_canonical_anchor	a																													
ETV3	2.0	0.0	0.0	0.0	0.0	0.4736258865248227	0.6099290780141844	0.0052584957377123	0.1126451393148547	not_shared_canonical_anchor	a																													
MIER1	2.0	0.0	0.0	0.0	0.0	0.4729609929078013	0.1679964539007092	0.0053886293663826	0.0087314456543256	not_shared_canonical_anchor	a																													
MTDH	2.0	0.0	0.0	0.0	0.0	0.4645390070921985	0.3481826241134751	0.0051824426239719	0.0232799337433307	not_shared_canonical_anchor	a																													
PRDX2	2.0	0.0	0.0	0.0	0.0	0.4412677304964539	0.7047872340425532	0.0051928977364622	0.1616261990603448	not_shared_canonical_anchor	a																													
HLX	2.0	0.0	0.0	0.0	0.0	0.4321808510638297	0.2406914893617021	0.0051601689056537	0.0149696962954751	not_shared_canonical_anchor	a																													
THAP8	2.0	0.0	0.0	0.0	0.0	0.4317375886524822	0.3266843971631206	0.0050639864208834	0.0212624408041871	not_shared_canonical_anchor	a																													
ZBTB5	2.0	0.0	0.0	0.0	0.0	0.3676861702127659	0.387854609929078	0.0049876159443688	0.0458639918315629	not_shared_canonical_anchor	a																													
STAT3	2.0	0.0	0.0	0.0	1.0	0.3164893617021276	0.1910460992907801	0.0047606692392822	0.0136475430144257	not_shared_canonical_anchor	a																													
HDGF	2.0	0.0	0.0	0.0	0.0	0.2972074468085106	0.3583776595744681	0.0046920846075555	0.0241624166186555	not_shared_canonical_anchor	a																													
RORC	2.0	0.0	0.0	0.0	0.0	0.2741578014184397	0.6223404255319149	0.0046618807989441	0.1541710179818216	not_shared_canonical_anchor	a																													
UBP1	2.0	0.0	0.0	0.0	0.0	0.2522163120567376	0.2528812056737589	0.0045266059919483	0.0155284850071185	not_shared_canonical_anchor	a																													
SMAD1	2.0	0.0	0.0	0.0	0.0	0.2424645390070922	0.3251329787234042	0.0045560429078357	0.021094424698076	not_shared_canonical_anchor	a																													
ERC1	2.0	0.0	0.0	0.0	1.0	0.2409131205673759	0.2717198581560283	0.0045251029704998	0.0179067916758659	not_shared_canonical_anchor	a																													
CDKN2A	2.0	0.0	0.0	0.0	1.0	0.2404698581560283	0.0316932624113475	0.0045537135345356	0.0017368860477839	not_shared_canonical_anchor	a																													
ZBTB20	2.0	0.0	0.0	0.0	1.0	0.2327127659574468	0.052304964539007	0.0045938553444756	0.0048566974256094	not_shared_canonical_anchor	a																													
ZNF566	2.0	0.0	0.0	0.0	1.0	0.2109929078014184	0.3499556737588652	0.0044980228672354	0.0473100491872364	not_shared_canonical_anchor	a																													
PCBD1	2.0	0.0	0.0	0.0	0.0	0.2094414893617021	0.2739361702127659	0.0044221033737832	0.0161404478404961	not_shared_canonical_anchor	a																													
PEX14	2.0	0.0	0.0	0.0	1.0	0.1686613475177305	0.2089982269503546	0.0044205276888588	0.0138724058628767	not_shared_canonical_anchor	a																													
COMMD6	2.0	0.0	0.0	0.0	1.0	0.1682180851063829	0.386968085106383	0.0043772600214811	0.0719857586649965	not_shared_canonical_anchor	a																													
XBP1	2.0	0.0	0.0	0.0	1.0	0.1673315602836879	0.1686613475177305	0.0043084359272625	0.009948190324341	not_shared_canonical_anchor	a																													
TMSB4X	2.0	0.0	0.0	0.0	1.0	0.137854609929078	0.4343971631205673	0.0042415240666061	0.1132271022024285	not_shared_canonical_anchor	a																													
NCOA1	2.0	0.0	0.0	0.0	0.0	0.09552304964539	0.4425975177304964	0.0041280308638726	0.0354239036373806	not_shared_canonical_anchor	a																													
ZNF24	2.0	0.0	0.0	0.0	1.0	0.0733599290780141	0.3277925531914893	0.0041663264656091	0.0247788636321067	not_shared_canonical_anchor	a																													
MAML3	2.0	0.0	0.0	0.0	2.0	0.052304964539007	0.1163563829787234	0.0040970628441765	0.007284437013887	not_shared_canonical_anchor	a																													
PRPF6	2.0	2.0	0.0	0.0	0.0	0.9895833333333331	0.9524601063829788	0.0149455319000838	0.9986398078273973	shared_canonical_anchor	a																													
PMF1	2.0	2.0	0.0	0.0	0.0	0.9153368794326242	0.9162234042553192	0.0109882755714093	0.9744461229672754	shared_canonical_anchor	a																													
ZNF131	2.0	2.0	0.0	0.0	0.0	0.905363475177305	0.8526152482269503	0.0101988361608718	0.8043337303914575	shared_canonical_anchor	a																													
RUVBL2	2.0	2.0	0.0	0.0	0.0	0.8623670212765957	0.9418218085106382	0.0100914438818979	0.9890147241437666	shared_canonical_anchor	a																													
ZBTB17	2.0	2.0	0.0	0.0	0.0	0.8413120567375887	0.799645390070922	0.0092668674039283	0.5106421521353213	shared_canonical_anchor	a																													
RPS3	2.0	2.0	0.0	0.0	0.0	0.8322251773049645	0.97905585106383	0.0087760674653863	1.0	shared_canonical_anchor	a																													
PFDN5	2.0	2.0	0.0	0.0	0.0	0.8315602836879432	0.8840868794326242	0.0096754645617479	0.8948474981425748	shared_canonical_anchor	a																													
SS18L2	1.0	1.0	0.0	0.0	0.0	1.0	0.96875	0.0243279181183303	1.0	not_shared_canonical_anchor	b																													
ENY2	2.0	1.0	0.0	0.0	0.0	0.9055851063829788	0.7586436170212766	0.0104267647732681	0.3191986358860827	not_shared_canonical_anchor	b																													
TADA3	2.0	1.0	0.0	0.0	0.0	0.8526152482269503	0.6088209219858156	0.0097575840340836	0.1427048710233327	not_shared_canonical_anchor	b																													
NPM1	2.0	1.0	0.0	0.0	0.0	0.8435283687943262	0.8113918439716312	0.0094267543759217	0.5089025899006879	not_shared_canonical_anchor	b																													
YBX1	2.0	1.0	0.0	0.0	0.0	0.7473404255319149	0.9530141843971632	0.0076994273845309	0.995673401127587	not_shared_canonical_anchor	b																													
LAMTOR5	2.0	0.0	0.0	0.0	0.0	0.8849734042553192	0.600177304964539	0.0100106629914682	0.1058688184415251	not_shared_canonical_anchor	b																													
ARID1A	2.0	0.0	0.0	0.0	0.0	0.7480053191489362	0.7149822695035462	0.0079346402162051	0.1796880544319818	not_shared_canonical_anchor	b																													
MYBL1	2.0	0.0	0.0	0.0	0.0	0.7362588652482269	0.2943262411347517	0.0077768691036438	0.0177993000638528	not_shared_canonical_anchor	b																													
GON4L	2.0	0.0	0.0	0.0	0.0	0.6837322695035462	0.7477836879432624	0.0068511815013019	0.2311416306665161	not_shared_canonical_anchor	b																													
VEZF1	2.0	0.0	0.0	0.0	0.0	0.6637854609929078	0.474290780141844	0.0067007356780751	0.0485186946589241	not_shared_canonical_anchor	b																													
PA2G4	2.0	0.0	0.0	0.0	0.0	0.6427304964539007	0.6855053191489362	0.0065508800211546	0.2313293137748518	not_shared_canonical_anchor	b																													
BMPR1A	2.0	0.0	0.0	0.0	0.0	0.6205673758865249	0.7679521276595744	0.0063239597971218	0.2700578526945297	not_shared_canonical_anchor	b																													
TMF1	2.0	0.0	0.0	0.0	0.0	0.6110372340425532	0.6101507092198581	0.006098876595477	0.1102030394105996	not_shared_canonical_anchor	b																													
TAB3	2.0	0.0	0.0	0.0	0.0	0.5678191489361701	0.2539893617021276	0.005691691262781	0.0178024040707619	not_shared_canonical_anchor	b																													
THRA	2.0	0.0	0.0	0.0	0.0	0.537677304964539	0.5157358156028369	0.0055925486134126	0.0518377480502198	not_shared_canonical_anchor	b																													
PARK7	2.0	0.0	0.0	0.0	0.0	0.5356826241134752	0.4616578014184397	0.0056020387838678	0.0766957710649123	not_shared_canonical_anchor	b																													
KLF3	2.0	0.0	0.0	0.0	0.0	0.5265957446808511	0.5800088652482269	0.0054298232940776	0.0993135255751906	not_shared_canonical_anchor	b																													
ETV3	2.0	0.0	0.0	0.0	0.0	0.4736258865248227	0.6099290780141844	0.0052584957377123	0.1126451393148547	not_shared_canonical_anchor	b																													
MIER1	2.0	0.0	0.0	0.0	0.0	0.4729609929078013	0.1679964539007092	0.0053886293663826	0.0087314456543256	not_shared_canonical_anchor	b																													
MTDH	2.0	0.0	0.0	0.0	0.0	0.4645390070921985	0.3481826241134751	0.0051824426239719	0.0232799337433307	not_shared_canonical_anchor	b																													
PRDX2	2.0	0.0	0.0	0.0	0.0	0.4412677304964539	0.7047872340425532	0.0051928977364622	0.1616261990603448	not_shared_canonical_anchor	b																													
HLX	2.0	0.0	0.0	0.0	0.0	0.4321808510638297	0.2406914893617021	0.0051601689056537	0.0149696962954751	not_shared_canonical_anchor	b																													
THAP8	2.0	0.0	0.0	0.0	0.0	0.4317375886524822	0.3266843971631206	0.0050639864208834	0.0212624408041871	not_shared_canonical_anchor	b																													
ZBTB5	2.0	0.0	0.0	0.0	0.0	0.3676861702127659	0.387854609929078	0.0049876159443688	0.0458639918315629	not_shared_canonical_anchor	b																													
STAT3	2.0	0.0	0.0	0.0	1.0	0.3164893617021276	0.1910460992907801	0.0047606692392822	0.0136475430144257	not_shared_canonical_anchor	b																													
HDGF	2.0	0.0	0.0	0.0	0.0	0.2972074468085106	0.3583776595744681	0.0046920846075555	0.0241624166186555	not_shared_canonical_anchor	b																													
RORC	2.0	0.0	0.0	0.0	0.0	0.2741578014184397	0.6223404255319149	0.0046618807989441	0.1541710179818216	not_shared_canonical_anchor	b																													
UBP1	2.0	0.0	0.0	0.0	0.0	0.2522163120567376	0.2528812056737589	0.0045266059919483	0.0155284850071185	not_shared_canonical_anchor	b																													
SMAD1	2.0	0.0	0.0	0.0	0.0	0.2424645390070922	0.3251329787234042	0.0045560429078357	0.021094424698076	not_shared_canonical_anchor	b																													
ERC1	2.0	0.0	0.0	0.0	1.0	0.2409131205673759	0.2717198581560283	0.0045251029704998	0.0179067916758659	not_shared_canonical_anchor	b																													
CDKN2A	2.0	0.0	0.0	0.0	1.0	0.2404698581560283	0.0316932624113475	0.0045537135345356	0.0017368860477839	not_shared_canonical_anchor	b																													
ZBTB20	2.0	0.0	0.0	0.0	1.0	0.2327127659574468	0.052304964539007	0.0045938553444756	0.0048566974256094	not_shared_canonical_anchor	b																													
ZNF566	2.0	0.0	0.0	0.0	1.0	0.2109929078014184	0.3499556737588652	0.0044980228672354	0.0473100491872364	not_shared_canonical_anchor	b																													
PCBD1	2.0	0.0	0.0	0.0	0.0	0.2094414893617021	0.2739361702127659	0.0044221033737832	0.0161404478404961	not_shared_canonical_anchor	b																													
PEX14	2.0	0.0	0.0	0.0	1.0	0.1686613475177305	0.2089982269503546	0.0044205276888588	0.0138724058628767	not_shared_canonical_anchor	b																													
COMMD6	2.0	0.0	0.0	0.0	1.0	0.1682180851063829	0.386968085106383	0.0043772600214811	0.0719857586649965	not_shared_canonical_anchor	b																													
XBP1	2.0	0.0	0.0	0.0	1.0	0.1673315602836879	0.1686613475177305	0.0043084359272625	0.009948190324341	not_shared_canonical_anchor	b																													
TMSB4X	2.0	0.0	0.0	0.0	1.0	0.137854609929078	0.4343971631205673	0.0042415240666061	0.1132271022024285	not_shared_canonical_anchor	b																													
NCOA1	2.0	0.0	0.0	0.0	0.0	0.09552304964539	0.4425975177304964	0.0041280308638726	0.0354239036373806	not_shared_canonical_anchor	b																													
ZNF24	2.0	0.0	0.0	0.0	1.0	0.0733599290780141	0.3277925531914893	0.0041663264656091	0.0247788636321067	not_shared_canonical_anchor	b																													
MAML3	2.0	0.0	0.0	0.0	2.0	0.052304964539007	0.1163563829787234	0.0040970628441765	0.007284437013887	not_shared_canonical_anchor	b																													
PRPF6	2.0	2.0	0.0	0.0	0.0	0.9895833333333331	0.9524601063829788	0.0149455319000838	0.9986398078273973	shared_canonical_anchor	b																													
PMF1	2.0	2.0	0.0	0.0	0.0	0.9153368794326242	0.9162234042553192	0.0109882755714093	0.9744461229672754	shared_canonical_anchor	b																													
ZNF131	2.0	2.0	0.0	0.0	0.0	0.905363475177305	0.8526152482269503	0.0101988361608718	0.8043337303914575	shared_canonical_anchor	b																													
RUVBL2	2.0	2.0	0.0	0.0	0.0	0.8623670212765957	0.9418218085106382	0.0100914438818979	0.9890147241437666	shared_canonical_anchor	b																													
ZBTB17	2.0	2.0	0.0	0.0	0.0	0.8413120567375887	0.799645390070922	0.0092668674039283	0.5106421521353213	shared_canonical_anchor	b																													
RPS3	2.0	2.0	0.0	0.0	0.0	0.8322251773049645	0.97905585106383	0.0087760674653863	1.0	shared_canonical_anchor	b																													
PFDN5	2.0	2.0	0.0	0.0	0.0	0.8315602836879432	0.8840868794326242	0.0096754645617479	0.8948474981425748	shared_canonical_anchor	b																													
											c	target_anchor	ARID1A	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	BMPR1A	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	CDKN2A	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	COMMD6	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	ERC1	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	ETV3	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	GON4L	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	HDGF	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	HLX	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	KLF3	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	LAMTOR5	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	MAML3	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	MIER1	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	MTDH	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	MYBL1	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	NCOA1	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	PA2G4	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	PARK7	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	PCBD1	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	PEX14	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	PRDX2	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	RORC	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	SMAD1	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	SS18L2	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	STAT3	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	TAB3	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	TADA3	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	THAP8	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	THRA	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	TMF1	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	TMSB4X	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	UBP1	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	VEZF1	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	XBP1	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	YBX1	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	ZBTB20	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	ZBTB5	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	ZNF24	not_shared_anchor	0.0	background_or_negative																								
											c	target_anchor	ZNF566	not_shared_anchor	0.0	background_or_negative																								
											c	axis	ER stress / UPR	preliminary_mixed_or_low_signal_axis	1.0	preliminary_only																								
											c	axis	JAK-STAT signaling	preliminary_mixed_or_low_signal_axis	1.0	preliminary_only																								
											c	axis	NF-κB / MAPK signaling	preliminary_mixed_or_low_signal_axis	1.0	preliminary_only																								
											c	axis	NF-κB / copper signaling	preliminary_mixed_or_low_signal_axis	1.0	preliminary_only																								
											c	axis	RNA processing / spliceosome	preliminary_shared_signal_axis	1.0	preliminary_only																								
											c	axis	RNA processing / transcription	preliminary_dependency_heavy_axis	1.0	preliminary_only																								
											c	axis	cell cycle / replication	preliminary_mixed_or_low_signal_axis	1.0	preliminary_only																								
											c	axis	cytoskeleton / cell motility	preliminary_mixed_or_low_signal_axis	1.0	preliminary_only																								
											c	axis	growth / proliferation	preliminary_mixed_or_low_signal_axis	1.0	preliminary_only																								
											c	axis	growth factor / proliferation	preliminary_mixed_or_low_signal_axis	1.0	preliminary_only																								
											c	axis	mTOR / lysosome / signaling	preliminary_transcriptomic_heavy_axis	0.8769230769230769	preliminary_only																								
											c	axis	metabolism / transcription	preliminary_mixed_or_low_signal_axis	1.0	preliminary_only																								
											c	axis	nuclear receptor / co-activator	preliminary_mixed_or_low_signal_axis	1.0	preliminary_only																								
											c	axis	oxidative stress / antioxidant	preliminary_mixed_or_low_signal_axis	1.0	preliminary_only																								
											c	axis	oxidative stress / mitochondrial	preliminary_mixed_or_low_signal_axis	1.0	preliminary_only																								
											c	axis	peroxisome / metabolism	preliminary_mixed_or_low_signal_axis	1.0	preliminary_only																								
											c	axis	proteostasis / chaperone	preliminary_dependency_heavy_axis	0.5275590551181102	preliminary_only																								
											c	axis	ribosomal / translation	preliminary_dependency_heavy_axis	0.6746031746031746	preliminary_only																								
											c	axis	ribosome biogenesis / nucleolar	preliminary_mixed_or_low_signal_axis	0.5255474452554745	preliminary_only																								
											c	axis	signaling / oncogene	preliminary_mixed_or_low_signal_axis	1.0	preliminary_only																								
											c	axis	synaptic / signaling	preliminary_mixed_or_low_signal_axis	1.0	preliminary_only																								
											c	axis	transcription / chromatin	transcriptomic_heavy_axis	0.9733333333333334	primary_evidence																								
											c	target_anchor	PFDN5	stable_shared_anchor	1.0	primary_evidence																								
											c	target_anchor	PMF1	stable_shared_anchor	1.0	primary_evidence																								
											c	target_anchor	PRPF6	stable_shared_anchor	1.0	primary_evidence																								
											c	target_anchor	ZNF131	stable_shared_anchor	1.0	primary_evidence																								
											c	axis	TGF-beta / BMP signaling	mixed_or_low_signal_axis	1.0	stable_but_nonpositive_formal																								
											c	axis	chromatin remodeling	mixed_or_low_signal_axis	0.4496644295302013	stable_but_nonpositive_formal																								
											c	axis	nuclear receptor / metabolism	mixed_or_low_signal_axis	1.0	stable_but_nonpositive_formal																								
											c	axis	transcription regulation	mixed_or_low_signal_axis	0.9933333333333332	stable_but_nonpositive_formal																								
											c	target_anchor	ENY2	cutoff_sensitive_shared_anchor	0.3333333333333333	supporting_but_sensitive																								
											c	target_anchor	NPM1	cutoff_sensitive_shared_anchor	0.3333333333333333	supporting_but_sensitive																								
											c	target_anchor	RPS3	cutoff_sensitive_shared_anchor	0.6666666666666666	supporting_but_sensitive																								
											c	target_anchor	RUVBL2	cutoff_sensitive_shared_anchor	0.6666666666666666	supporting_but_sensitive																								
											c	target_anchor	ZBTB17	cutoff_sensitive_shared_anchor	0.6666666666666666	supporting_but_sensitive																								
											d						HCC38	real_shift_L2	depmap_gene_effect	24.0	0.7003787002775209	0.0091274718989572	0.6831348288621647	0.7009713228492137	0.7138471322849215	24.0	24.0	True	formal_interval_citable											
											d						HCC38	real_shift_L2	depmap_gene_dependency	24.0	0.7005483124741358	0.0091288888366291	0.6832947879470607	0.7011650432232396	0.7139834063866429	24.0	24.0	True	formal_interval_citable											
											d						HCC38	real_shift_mean_abs	depmap_gene_effect	24.0	0.724849676225717	0.010338204801663	0.7053393848288623	0.7249074930619797	0.7406452358926919	24.0	24.0	True	formal_interval_citable											
											d						HCC38	real_shift_mean_abs	depmap_gene_dependency	24.0	0.7252922246774353	0.0103386088233394	0.7057890783788247	0.7253620887076071	0.7410713772574343	24.0	24.0	True	formal_interval_citable											
											d						HCC38	real_shift_top20_mean	depmap_gene_effect	24.0	0.6321307431390688	0.0129914278003344	0.6084701665124884	0.636158649398705	0.6506706753006476	24.0	24.0	True	formal_interval_citable											
											d						HCC38	real_shift_top20_mean	depmap_gene_dependency	24.0	0.6322020181300987	0.0130082787755869	0.6085051027375825	0.6361770405364315	0.650831141320214	24.0	24.0	True	formal_interval_citable											
											d						HCC38	real_shift_top50_mean	depmap_gene_effect	24.0	0.6285846438482886	0.0139664515610644	0.6047005087881592	0.6317645698427383	0.6514512025901943	24.0	24.0	True	formal_interval_citable											
											d						HCC38	real_shift_top50_mean	depmap_gene_dependency	24.0	0.6287256803529241	0.0139583538298956	0.6048090546310396	0.6319273802183885	0.6515278543383421	24.0	24.0	True	formal_interval_citable											
											d						HCC38	real_shift_top100_mean	depmap_gene_effect	24.0	0.6325306429232193	0.0153322504452624	0.6016622340425533	0.6354070305272896	0.657099907493062	24.0	24.0	True	formal_interval_citable											
											d						HCC38	real_shift_top100_mean	depmap_gene_dependency	24.0	0.6326404751470397	0.0153355886331227	0.6017706920499082	0.6354832184436898	0.6572099681853583	24.0	24.0	True	formal_interval_citable											
											d						HCC38	real_shift_top50_concentration	depmap_gene_effect	24.0	0.226984081097749	0.0349996658288222	0.155038737280296	0.2350254394079556	0.272025323774283	24.0	24.0	True	formal_interval_citable											
											d						HCC38	real_shift_top50_concentration	depmap_gene_dependency	24.0	0.2266702322360277	0.0351052394132436	0.154605244203254	0.2347431413776163	0.2718264867719682	24.0	24.0	True	formal_interval_citable											
											d						HCC38	real_Edistance	depmap_gene_effect	24.0	0.6181872494603762	0.0139744794189282	0.5885435938945421	0.6171369102682701	0.6363610083256245	24.0	24.0	True	formal_interval_citable											
											d						HCC38	real_Edistance	depmap_gene_dependency	24.0	0.6182942579169114	0.0139791658509047	0.5886184270043728	0.6172414792553554	0.6364863695527788	24.0	24.0	True	formal_interval_citable											
											d						HCC38	real_DEG_burden	depmap_gene_effect	24.0	0.5703381268081965	0.0470481381055382	0.4946483034396112	0.5671866870617078	0.6690633048207271	24.0	24.0	True	formal_interval_citable											
											d						HCC38	real_DEG_burden	depmap_gene_dependency	24.0	0.5705137233301059	0.0470799690662171	0.4947132622736594	0.5672931922896918	0.6692809300568351	24.0	24.0	True	formal_interval_citable											
											d						HCC1143	real_shift_L2	depmap_gene_effect	24.0	0.7626691634100449	0.0085352872837046	0.7477692140686062	0.7634064264003473	0.7762130916196266	24.0	24.0	True	formal_interval_citable											
											d						HCC1143	real_shift_L2	depmap_gene_dependency	24.0	0.7608334970956124	0.0085423626156912	0.7458779253047323	0.7617406220181897	0.774415034776833	24.0	24.0	True	formal_interval_citable											
											d						HCC1143	real_shift_mean_abs	depmap_gene_effect	24.0	0.7809831379360256	0.0071156961571664	0.7668177377333911	0.7802865827181936	0.79469442032132	24.0	24.0	True	formal_interval_citable											
											d						HCC1143	real_shift_mean_abs	depmap_gene_dependency	24.0	0.7794080675177621	0.0071227622505961	0.7651487876250599	0.7786525071084335	0.7931579096733963	24.0	24.0	True	formal_interval_citable											
											d						HCC1143	real_shift_top20_mean	depmap_gene_effect	24.0	0.7081207482993198	0.0137194384782618	0.6829651541467651	0.7118432479374728	0.7287424012158055	24.0	24.0	True	formal_interval_citable											
											d						HCC1143	real_shift_top20_mean	depmap_gene_dependency	24.0	0.7061956211479586	0.0137276544205293	0.6811119204210111	0.7098376937797528	0.7268228727540152	24.0	24.0	True	formal_interval_citable											
											d						HCC1143	real_shift_top50_mean	depmap_gene_effect	24.0	0.7177413518598929	0.0114902736974564	0.6987923360833695	0.715914025184542	0.7387565132435954	24.0	24.0	True	formal_interval_citable											
											d						HCC1143	real_shift_top50_mean	depmap_gene_dependency	24.0	0.7157215639134771	0.011469569587377	0.6968022407776097	0.7139095762252368	0.7366605407423048	24.0	24.0	True	formal_interval_citable											
											d						HCC1143	real_shift_top100_mean	depmap_gene_effect	24.0	0.7286419887103778	0.0108438010237245	0.708193117672601	0.7292661745549283	0.7428734259661312	24.0	24.0	True	formal_interval_citable											
											d						HCC1143	real_shift_top100_mean	depmap_gene_dependency	24.0	0.7264962172956109	0.0108710649703058	0.7058879678076333	0.7270481835826654	0.7407948587186196	24.0	24.0	True	formal_interval_citable											
											d						HCC1143	real_shift_top50_concentration	depmap_gene_effect	24.0	0.2688567448255898	0.0399236528637777	0.194515306122449	0.2686712983065566	0.3273094876248372	24.0	24.0	True	formal_interval_citable											
											d						HCC1143	real_shift_top50_concentration	depmap_gene_dependency	24.0	0.2664911331154473	0.0401884091816477	0.1919173207147036	0.2664368413495075	0.3255524306930453	24.0	24.0	True	formal_interval_citable											
