target_gene	fine_axis	macro_axis	candidate_type	functional_category	grid	annotation_confidence
CST3	unresolved	unresolved	A: shift_excess_low_liability	other / unresolved	Q2: low_liability_high_shift	low
CTPS1	unresolved_9	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
CTSA	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
CTSB	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
CTSD	unresolved	unresolved	C: middle_range	other / unresolved	Q3: low_liability_low_shift	low
CTSL	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
CTSO	unresolved_7	unresolved	C: middle_range	other / unresolved	Q3: low_liability_low_shift	low
CXCR4	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
CYP27A1	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
DAG1	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
DDR1	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
DDX17	unresolved	unresolved	C: middle_range	RNA processing / spliceosome	middle	high
DDX39A	unresolved_6	unresolved	B: shift_excess_high_liability	RNA processing / spliceosome	Q1: high_liability_high_shift	high
DLL3	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
DNMT1	unresolved_4	unresolved	A: shift_excess_low_liability	chromatin / transcription regulation	middle	high
E2F1	unresolved_7	unresolved	A: shift_excess_low_liability	other / unresolved	middle	low
EEA1	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
EEF1G	ribosomal / translation	ribosomal / translation	B: shift_excess_high_liability	ribosome / translation	Q1: high_liability_high_shift	high
EIF3K	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
EIF4A1	unresolved_2	unresolved	B: shift_excess_high_liability	ribosome / translation	Q1: high_liability_high_shift	high
EMP1	unresolved	unresolved	C: middle_range	other / unresolved	Q3: low_liability_low_shift	low
ENPP1	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
EVA1A	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
FBL	unresolved_8	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
FBXO32	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
FGFR1	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
FKBP4	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
FMN1	unresolved	unresolved	C: middle_range	other / unresolved	Q3: low_liability_low_shift	low
FOS	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
FOXM1	unresolved_4	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
FRZB	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
FSTL3	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
GAA	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
GAS5	unresolved	unresolved	unknown	other / unresolved	unknown	low
GPATCH4	unresolved	unresolved	unknown	other / unresolved	unknown	low
GPI	ribosomal / translation	ribosomal / translation	B: shift_excess_high_liability	glycolysis / metabolism	Q1: high_liability_high_shift	high
GPNMB	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
GRN	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
GSEC	unresolved_8	unresolved	unknown	other / unresolved	unknown	low
GSN	unresolved_7	unresolved	C: middle_range	other / unresolved	Q3: low_liability_low_shift	low
HASPIN	unresolved_4	unresolved	A: shift_excess_low_liability	other / unresolved	middle	low
HLA-A	unresolved_3	unresolved	D: depmap_excess	other / unresolved	Q4: high_liability_low_shift	low
HLA-B	unresolved	unresolved	A: shift_excess_low_liability	other / unresolved	Q2: low_liability_high_shift	low
HLA-C	unresolved_6	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
HLA-DRB5	unresolved	unresolved	C: middle_range	other / unresolved	Q3: low_liability_low_shift	low
HLA-E	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
HLA-F	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
HLA-H	unresolved_3	unresolved	unknown	other / unresolved	unknown	low
HNRNPA1	unresolved_3	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
HNRNPC	unresolved_6	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
HSPA1A	unresolved	unresolved	unknown	proteostasis / chaperone	unknown	high
IDH2	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
IDI2-AS1	unresolved_7	unresolved	unknown	other / unresolved	unknown	low
IFNGR1	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
IFNGR2	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
ILF2	unresolved_9	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
IRF3	unresolved_7	unresolved	C: middle_range	signaling / stress / immune	middle	high
IRF4	unresolved_7	unresolved	C: middle_range	signaling / stress / immune	middle	high
ISYNA1	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
ITGA3	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
JAK1	unresolved	unresolved	C: middle_range	signaling / stress / immune	middle	high
JAK2	unresolved_7	unresolved	C: middle_range	signaling / stress / immune	Q3: low_liability_low_shift	high
JMJD7	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
JPT1	unresolved_7	unresolved	A: shift_excess_low_liability	other / unresolved	middle	low
KCNN4	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
KDR	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
KLF4	unresolved_7	unresolved	C: middle_range	chromatin / transcription regulation	middle	high
LAMP2	unresolved	unresolved	C: middle_range	other / unresolved	Q3: low_liability_low_shift	low
LCP1	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
LEF1-AS1	unresolved_3	unresolved	unknown	other / unresolved	unknown	low
LGALS3	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
LGALS3BP	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
LINC00518	unresolved_3	unresolved	unknown	other / unresolved	unknown	low
LRPAP1	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
LRRC75A-AS1	unresolved	unresolved	unknown	other / unresolved	unknown	low
LY96	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
MC1R	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
MDH2	unresolved_7	unresolved	C: middle_range	glycolysis / metabolism	middle	high
MFGE8	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
MIA	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
MRPL47	unresolved_6	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
MT2A	unresolved_3	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
MYC	unresolved_2	unresolved	B: shift_excess_high_liability	chromatin / transcription regulation	Q1: high_liability_high_shift	high
NCL	ribosomal / translation	ribosomal / translation	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
NDUFA13	unresolved_6	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
NEAT1	unresolved	unresolved	unknown	other / unresolved	unknown	low
NGFR	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
NME1	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
NMRK1	unresolved_7	unresolved	C: middle_range	other / unresolved	Q3: low_liability_low_shift	low
NOLC1	unresolved_4	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
NONO	unresolved_8	unresolved	C: middle_range	other / unresolved	middle	low
NPC1	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
NPC2	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
NSG1	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
NT5E	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
NUP50-AS1	unresolved_3	unresolved	unknown	other / unresolved	unknown	low
P2RX4	unresolved_4	unresolved	A: shift_excess_low_liability	other / unresolved	middle	low
PABPC1	unresolved_4	unresolved	A: shift_excess_low_liability	other / unresolved	middle	low
PAICS	unresolved_6	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
PET100	unresolved_4	unresolved	A: shift_excess_low_liability	other / unresolved	middle	low
PFDN4	unresolved_3	unresolved	C: middle_range	proteostasis / chaperone	middle	high
PFN1	unresolved_8	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
PIK3IP1	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
POLD2	unresolved_9	unresolved	B: shift_excess_high_liability	cell cycle / DNA replication	Q1: high_liability_high_shift	high
PPA1	unresolved_9	unresolved	B: shift_excess_high_liability	mitochondrial / oxidative phosphorylation	Q1: high_liability_high_shift	high
PPIA	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
PRELID3B	unresolved_2	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
PROS1	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
PSAP	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
PSMB8-AS1	unresolved_7	unresolved	unknown	other / unresolved	unknown	low
PTMA	unresolved_7	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
PUF60	unresolved_5	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
PYGB	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
RAB27A	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
RB1	unresolved_7	unresolved	C: middle_range	other / unresolved	Q3: low_liability_low_shift	low
RBP7	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
RNASEH2A	unresolved_4	unresolved	A: shift_excess_low_liability	other / unresolved	middle	low
RNF213	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
ROMO1	unresolved_9	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
RPSA	unresolved_6	unresolved	unknown	other / unresolved	unknown	low
RRS1	unresolved_9	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
RTP4	unresolved	unresolved	C: middle_range	other / unresolved	Q3: low_liability_low_shift	low
S100A6	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
S100B	unresolved_7	unresolved	C: middle_range	other / unresolved	Q3: low_liability_low_shift	low
SAE1	unresolved_2	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
SAT1	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
SCARB2	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
SDC3	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
SDCBP	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
SEC11C	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
SERPINA3	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
SERPINE2	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
SERPINF1	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
SET	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
SGK1	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
SHMT2	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
SINHCAF	unresolved_4	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
SLC19A1	unresolved	unresolved	A: shift_excess_low_liability	other / unresolved	middle	low
SLC22A18	unresolved_3	unresolved	unknown	other / unresolved	unknown	low
SLC25A13	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
SLC26A2	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
SLC5A3	unresolved_3	unresolved	D: depmap_excess	other / unresolved	Q4: high_liability_low_shift	low
SLC7A5P1	unresolved_7	unresolved	unknown	other / unresolved	unknown	low
SLIRP	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
SMAD3	unresolved_3	unresolved	D: depmap_excess	other / unresolved	Q4: high_liability_low_shift	low
SMAD4	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
SNHG6	unresolved	unresolved	unknown	other / unresolved	unknown	low
SOX4	unresolved_7	unresolved	C: middle_range	other / unresolved	Q3: low_liability_low_shift	low
SP100	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
SPESP1	unresolved_7	unresolved	C: middle_range	other / unresolved	Q3: low_liability_low_shift	low
SPINT1	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
SSR2	unresolved	unresolved	A: shift_excess_low_liability	other / unresolved	middle	low
ST3GAL6-AS1	unresolved_3	unresolved	unknown	other / unresolved	unknown	low
ST6GALNAC2	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
STAT1	unresolved	unresolved	C: middle_range	signaling / stress / immune	middle	high
STAT3	unresolved_7	unresolved	C: middle_range	signaling / stress / immune	middle	high
STOM	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
STX7	unresolved	unresolved	C: middle_range	other / unresolved	Q3: low_liability_low_shift	low
TAPBP	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
TAPBPL	unresolved	unresolved	C: middle_range	other / unresolved	Q3: low_liability_low_shift	low
TFAP2A	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
TGFB1	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
TIMM50	unresolved_8	unresolved	unknown	other / unresolved	unknown	low
TIMP1	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
TIMP2	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
TIMP3	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
TM4SF1	unresolved_3	unresolved	D: depmap_excess	other / unresolved	middle	low
TMED10	unresolved_4	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
TMEM173	unresolved_3	unresolved	unknown	signaling / stress / immune	unknown	high
TOP1MT	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
TP53	unresolved	unresolved	C: middle_range	other / unresolved	Q3: low_liability_low_shift	low
TPP1	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
TPRKB	unresolved_4	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
TRIM22	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
TSC22D3	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
TTLL1	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
TXNDC17	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
TYR	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
UBC	unresolved_6	unresolved	unknown	other / unresolved	unknown	low
UCN2	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
UQCRFS1	unresolved_8	unresolved	B: shift_excess_high_liability	mitochondrial / oxidative phosphorylation	Q1: high_liability_high_shift	high
UQCRH	unresolved_6	unresolved	unknown	other / unresolved	unknown	low
VAT1	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
VDAC2	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
WBP2	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
WNT7A	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
XAGE1A	unresolved	unresolved	unknown	other / unresolved	unknown	low
