target_gene	residual	real_shift_mean_abs	depmap_gene_effect	depmap_label	functional_category
DAG1	0.0015607470356804	0.0189526226694822	0.1183531150462271	strong_viability_liability	
SERPINA3	0.0015193176326862	0.0192236978585559	0.0809727879208386	strong_viability_liability	
TRIM22	0.0014583890527533	0.0190130559200578	0.098880794587804	strong_viability_liability	
CMSS1	0.0013912467031782	0.017373092027049	0.2870142982088854	strong_viability_liability	
SET	0.0013668162693459	0.0195486163113482	0.0238660785919008	strong_viability_liability	
CCND2	0.0013141507384565	0.0194320150718562	0.0315137668602415	strong_viability_liability	
CXCR4	0.0010949802496585	0.0190282578637111	0.0535931606590312	strong_viability_liability	
RBP7	0.00106799961514	0.0171444642232751	0.2756963851671395	strong_viability_liability	
MIA	0.0010494001430768	0.0183780720036866	0.1259132526488207	strong_viability_liability	
PAICS	0.0010412041501021	0.028359148282252	-1.06895643801354	weak_viability_liability	
DDX39A	0.0010372306514164	0.0225757490080795	-0.377648753044689	weak_viability_liability	
TYR	0.0010099017796969	0.0185169781062387	0.1045733508795721	strong_viability_liability	
HLA-E	0.0009680940856357	0.0192145560263519	0.0161315268834599	strong_viability_liability	
CD63	0.0008715443760397	0.0202158519524432	-0.1151875962168351	intermediate_viability_liability	
DDX17	0.000854686077156	0.019439491432587	-0.0243395184828457	intermediate_viability_liability	
E2F1	0.0008540620666285	0.0202426749176494	-0.120487184448859	intermediate_viability_liability	
IFNGR2	0.0008214371989325	0.0169620246219935	0.2680263161218534	strong_viability_liability	
TIMP1	0.0008142465602362	0.0174001201086613	0.214763287504047	strong_viability_liability	
ACSL3	0.000810995082778	0.0243512157197372	-0.6170829499951321	weak_viability_liability	
FMN1	0.0007976473133588	0.0165760133357103	0.3113535336860475	strong_viability_liability	
CD274	0.0007480627463719	0.0180657522578245	0.1272269095182601	strong_viability_liability	
RNF213	0.000685012165191	0.0170418964800139	0.242153900882241	strong_viability_liability	
TIMP2	0.0006292389666702	0.0192565816778166	-0.0294276365843087	intermediate_viability_liability	
STOM	0.0005977130688159	0.0172011752512151	0.212659417966356	strong_viability_liability	
TPP1	0.0005763156059175	0.01728293393112	0.2003203661224559	strong_viability_liability	
IFNGR1	0.0005435211533258	0.0171247001461401	0.2153248281306291	strong_viability_liability	
TAPBPL	0.000459779627728	0.0166965857395663	0.2565170898468898	strong_viability_liability	
LY96	0.0003538358733507	0.019054953363279	-0.0382522280766189	intermediate_viability_liability	
RAB27A	0.0003165093861985	0.0180435339739692	0.0782641760255648	strong_viability_liability	
HLA-DRB5	0.0002964381912636	0.01641450408752	0.2707202350615593	strong_viability_liability	
SLC26A2	0.0002564721140303	0.0171251319680928	0.1809377218016113	strong_viability_liability	
MRPL47	0.0002461829105518	0.023890887180121	-0.6295807899160317	weak_viability_liability	
UCN2	0.0002397150416721	0.0193591532477917	-0.0882897814805016	intermediate_viability_liability	
SAT1	0.00023934294612	0.0169842079895765	0.1957454738613737	strong_viability_liability	
JPT1	0.0001571421037487	0.020002784422666	-0.1751548963786692	intermediate_viability_liability	
TP53	0.0001320060704292	0.0164334822994103	0.2487815550887066	strong_viability_liability	
EVA1A	0.0001205765879525	0.0191348223339581	-0.0757071549527992	intermediate_viability_liability	
LGALS3	7.45960889222512e-05	0.0181716033349537	0.034008593395578	strong_viability_liability	
NPC2	6.412570325109446e-05	0.0183665236682003	0.0094407231737023	strong_viability_liability	
SHMT2	2.7276875169950088e-05	0.0189283168493912	-0.062166013832987	intermediate_viability_liability	
ST6GALNAC2	2.5224600671079626e-05	0.0194964520523083	-0.1303691537854967	intermediate_viability_liability	
CCR10	1.8000808806453023e-05	0.0183026984387816	0.0115579538587972	strong_viability_liability	
JAK1	1.698206957275253e-05	0.0177101810544981	0.0823102352888939	strong_viability_liability	
FOS	-9.673579702450946e-06	0.0187908454230405	-0.0501421687689621	intermediate_viability_liability	
CD47	-7.447785465904827e-05	0.0170226884508758	0.1536048565474439	strong_viability_liability	
STX7	-8.879159219183502e-05	0.0167120539862227	0.1890493459883657	strong_viability_liability	
EMP1	-0.000104241560265	0.0167448186954136	0.1832821334285435	strong_viability_liability	
FRZB	-0.0002433917916204	0.0185251605326433	-0.0463184652810998	intermediate_viability_liability	
LAMP2	-0.000255460427967	0.0162150962624154	0.228556946816956	strong_viability_liability	
GPNMB	-0.0003210115566639	0.0173229434396264	0.0882005692259251	strong_viability_liability	
RTP4	-0.0003489409355241	0.015404369357225	0.3143505820260526	strong_viability_liability	
EIF3K	-0.0003507196501049	0.019484448724349	-0.1739020524836625	intermediate_viability_liability	
CDKN2B	-0.0003565681836997	0.0169930024652686	0.1234134380374595	strong_viability_liability	
TIMP3	-0.0003860289275256	0.0182280314763544	-0.0278388695607301	intermediate_viability_liability	
CTSD	-0.0004521920702277	0.0164120706578749	0.181463685294505	strong_viability_liability	
TFAP2A	-0.0004926268472011	0.0179102492705977	-0.0025780001276713	intermediate_viability_liability	
NSG1	-0.000494394505566	0.0170214695417409	0.1035222051197081	strong_viability_liability	
CD59	-0.0005184600987133	0.0166261854988446	0.1479256073058201	strong_viability_liability	
FKBP4	-0.0005194143041969	0.0194714568910308	-0.1925264904042616	intermediate_viability_liability	
EEA1	-0.00051999727475	0.0194982817858384	-0.195804890143009	weak_viability_liability	
CD151	-0.0005224846624601	0.0179870439921821	-0.0153352741554828	intermediate_viability_liability	
ACTA2	-0.0005385002275807	0.0156527316973321	0.2619684593914877	strong_viability_liability	
TAPBP	-0.0006269384236079	0.0185327391477732	-0.0931030247894837	intermediate_viability_liability	
GAA	-0.0006452054882631	0.0177934743450053	-0.0068606719044393	intermediate_viability_liability	
BZW2	-0.0006522106647486	0.0177139815185196	0.0018099593065408	intermediate_viability_liability	
PYGB	-0.0006714295957346	0.0182046932086297	-0.0591855393569901	intermediate_viability_liability	
NMRK1	-0.0006896448025252	0.0165284913261855	0.1391350161758413	strong_viability_liability	
LRPAP1	-0.0007130534531304	0.0178254171407998	-0.0187971725905387	intermediate_viability_liability	
ENPP1	-0.0007662733059956	0.0170444942103278	0.0682472414166108	strong_viability_liability	
SDC3	-0.0007715849356555	0.0175832608583963	0.0031671609329082	intermediate_viability_liability	
SP100	-0.0007803694706712	0.0171108886621891	0.0586193330496749	strong_viability_liability	
SGK1	-0.0008044519164297	0.018877047711374	-0.1555209209274193	intermediate_viability_liability	
KCNN4	-0.0008689589221473	0.0175971097053654	-0.010136790446079	intermediate_viability_liability	
ISYNA1	-0.0009016696759231	0.0192909427650949	-0.216657827842932	weak_viability_liability	
AGA	-0.0009024897340999	0.0170062158759598	0.0565323480204028	strong_viability_liability	
PIK3IP1	-0.0009103738857014	0.0188869414299817	-0.1693742479154678	intermediate_viability_liability	
DLL3	-0.0009305007260745	0.0179544942895011	-0.0602467914659962	intermediate_viability_liability	
CTSB	-0.0009600357495516	0.0171753498335957	0.0294179575062651	strong_viability_liability	
PROS1	-0.0009696972945388	0.0183680376907903	-0.1144014138353326	intermediate_viability_liability	
NDUFA13	-0.0009837192938135	0.0220643874412155	-0.5582186033454547	weak_viability_liability	
HLA-F	-0.0009842813172144	0.0177590166348639	-0.0432976562510952	intermediate_viability_liability	
WBP2	-0.0009844232606146	0.0175276394393329	-0.0156383847172773	intermediate_viability_liability	
RB1	-0.0009970716065178	0.0157548403798168	0.1949025517517147	strong_viability_liability	
HLA-C	-0.0010021063623287	0.0209532289208518	-0.4275064302119891	weak_viability_liability	
CYP27A1	-0.0010063944130618	0.0167563115566202	0.0739961372127273	strong_viability_liability	
LGALS3BP	-0.0010089573473837	0.0175475692532659	-0.0209569470542834	intermediate_viability_liability	
NGFR	-0.0010678185027405	0.0191117033135598	-0.2150919889828196	weak_viability_liability	
PTMA	-0.0010949210360119	0.0196724292277302	-0.285405258664989	weak_viability_liability	
SEC11C	-0.0010984061742459	0.0169117731898027	0.0443945356009232	strong_viability_liability	
IRF4	-0.0011095807929033	0.0195142803503818	-0.2682417660387655	weak_viability_liability	
GRN	-0.0011113115319091	0.019110371200797	-0.2201350791874356	weak_viability_liability	
SLIRP	-0.0011450556009504	0.0191355178907253	-0.2271793143469225	weak_viability_liability	
IRF3	-0.0011597389587332	0.0173077917384757	-0.0103116763354831	intermediate_viability_liability	
AHNAK	-0.00116736232376	0.016603253567667	0.0730499896364413	strong_viability_liability	
CDK4	-0.0011905387149527	0.0197704937410426	-0.3085726100849438	weak_viability_liability	
FBXO32	-0.0011920660641181	0.0176551196085993	-0.0557242159893113	intermediate_viability_liability	
VDAC2	-0.0012887927751794	0.0171368722420316	-0.0053039009191514	intermediate_viability_liability	
MDH2	-0.0013074984219607	0.0187166948721918	-0.1965123229005812	weak_viability_liability	
S100A6	-0.001345481111787	0.0174605229773506	-0.0507982689638041	intermediate_viability_liability	
NPC1	-0.0014012471487549	0.0169354631437284	0.0053364441960049	intermediate_viability_liability	
CTSO	-0.0014272956509335	0.0159585102464844	0.1190791483185458	strong_viability_liability	
STAT3	-0.0014368761833315	0.0180112516835115	-0.1276060902722389	intermediate_viability_liability	
SERPINF1	-0.001441318004258	0.016620197235076	0.038253980037445	strong_viability_liability	
SPESP1	-0.001484441606182	0.0158132695516428	0.1296166260631921	strong_viability_liability	
SOX4	-0.0015135640752531	0.0151867547205182	0.2010738861565563	strong_viability_liability	
LCP1	-0.0015173463564772	0.0166130381774332	0.0300161594565501	strong_viability_liability	
S100B	-0.0015664574355267	0.0161168456634595	0.0834939345464039	strong_viability_liability	
KLF4	-0.0015932713221364	0.017494878597651	-0.0845472240654422	intermediate_viability_liability	
GSN	-0.0016248566560217	0.01574179326004	0.1213704965664629	strong_viability_liability	
JAK2	-0.0016277206176753	0.0156581950549176	0.1310275464392805	strong_viability_liability	
CDKN1A	-0.0017061688596581	0.0170151872626151	-0.0406730779355631	intermediate_viability_liability	
CGAS	-0.0017152488941066	0.0174180009492602	-0.089941864462792	intermediate_viability_liability	
CCT3	-0.0017918147638863	0.0363237355649199	-2.360515224818312	weak_viability_liability	
APOD	-0.0017920798990135	0.0176726173123064	-0.1295880372020537	intermediate_viability_liability	
KDR	-0.0018013334332613	0.0168707336207881	-0.0347773517904821	intermediate_viability_liability	
A2M	-0.0018373197397147	0.0171550054043045	-0.0730851158089493	intermediate_viability_liability	
C1QBP	-0.0020110424549406	0.0227424276123693	-0.7622061313573727	weak_viability_liability	
VAT1	-0.0020115230263039	0.0184171611419155	-0.2448956157405507	weak_viability_liability	
MT2A	-0.0020721258429554	0.0199176027678825	-0.4316203980428525	weak_viability_liability	
NME1	-0.002077080952538	0.0186185808047745	-0.2768302172432341	weak_viability_liability	
HNRNPA1	-0.0020780529803555	0.0197640390210691	-0.413960802326089	weak_viability_liability	
SDCBP	-0.0022189970078673	0.0165950817079437	-0.0517641177677165	intermediate_viability_liability	
MFGE8	-0.0023158827462873	0.0156375166268635	0.051186290627274	strong_viability_liability	
FSTL3	-0.0023649820914706	0.0159617160370075	0.006534052088007	strong_viability_liability	
IDH2	-0.002427570138763	0.015798618834356	0.0185564837635145	strong_viability_liability	
APOE	-0.0024939698389197	0.0172935819024062	-0.1682063751460764	intermediate_viability_liability	
TTLL1	-0.0025041035537177	0.0159145296417467	-0.0044627875280262	intermediate_viability_liability	
CTSL	-0.0025046201890546	0.0168094058809417	-0.111565465073547	intermediate_viability_liability	
SCARB2	-0.0025113110751374	0.0169242607752587	-0.1261041987349996	intermediate_viability_liability	
MC1R	-0.0025348138907077	0.016805822175796	-0.1147484274987478	intermediate_viability_liability	
JMJD7	-0.0026591623476394	0.0173340921793765	-0.1928115733251339	intermediate_viability_liability	
CTSA	-0.0026807076325804	0.0169740565106782	-0.1523229482143159	intermediate_viability_liability	
CITED1	-0.0027499062023399	0.0165267477039102	-0.107095182902744	intermediate_viability_liability	
ITGA3	-0.0027965794115286	0.0163484251761133	-0.0913479115975544	intermediate_viability_liability	
CD58	-0.0028566315951412	0.0178582944690874	-0.2791345228843269	weak_viability_liability	
FGFR1	-0.0029811895789301	0.016193088485473	-0.0948494669833246	intermediate_viability_liability	
SMAD4	-0.0030820222208907	0.0174630480010474	-0.258817167203359	weak_viability_liability	
CORO1A	-0.0031375443872079	0.0168181556940891	-0.1883194874434591	intermediate_viability_liability	
ATP1B1	-0.0031766751495702	0.0160849705923241	-0.1052999769844585	intermediate_viability_liability	
CDH19	-0.0031993876727398	0.0156499728223919	-0.0559843580011378	intermediate_viability_liability	
ARMC6	-0.0033700780076719	0.0189512670125073	-0.47128679071664	weak_viability_liability	
TXNDC17	-0.0034797218785668	0.0179116677100903	-0.360049902924678	weak_viability_liability	
PFDN4	-0.0035515962769341	0.0157569138241544	-0.1109056708579766	intermediate_viability_liability	
PPIA	-0.0035787448420038	0.019242648972354	-0.5311002717965858	weak_viability_liability	
APOC2	-0.0036049977672072	0.0167610654559317	-0.237405193291009	weak_viability_liability	
CKS1B	-0.0036119127508967	0.0178492184006221	-0.3683920601286859	weak_viability_liability	
WNT7A	-0.0036149110125102	0.0159550572555753	-0.1421800650909689	intermediate_viability_liability	
TGFB1	-0.0038537216056428	0.0152343682663791	-0.0845400414346112	intermediate_viability_liability	
TSC22D3	-0.0041272078184982	0.0150430052534205	-0.094363231732114	intermediate_viability_liability	
TM4SF1	-0.0042094154632326	0.0168992394275527	-0.3262305103000438	weak_viability_liability	
FBL	-0.0042473024470288	0.0262339848847061	-1.447340649355537	weak_viability_liability	
CD44	-0.0043158174585529	0.0157365969606051	-0.1998880009268593	weak_viability_liability	
AEBP1	-0.0043376907493334	0.0161387239643082	-0.2506049187301388	weak_viability_liability	
SMAD3	-0.0043415254814968	0.0165507776021754	-0.3003515263448239	weak_viability_liability	
UQCRFS1	-0.0044440957898579	0.0223855048518012	-1.010543090218231	weak_viability_liability	
PSAP	-0.0044846468196301	0.0152600046471012	-0.1630748463979651	intermediate_viability_liability	
SLC5A3	-0.0049810192756573	0.0159183309523065	-0.3011944725466048	weak_viability_liability	
SPINT1	-0.0052216493118146	0.017688180001706	-0.5416785095956866	weak_viability_liability	
NT5E	-0.0054804476248587	0.0146923854666297	-0.214291915230738	weak_viability_liability	
HLA-A	-0.0058722248170906	0.0158607193788954	-0.4009050560238831	weak_viability_liability	
PFN1	-0.0079287513858645	0.0252060737491541	-1.7647443408340262	weak_viability_liability	cytoskeleton
NONO	-0.008034544027489	0.0184343458107568	-0.9673965631863282	weak_viability_liability	RNA processing / transcription
CDC123	-0.0086016367054523	0.0314386860897369	-2.5907474398371075	weak_viability_liability	cell cycle / translation
CHCHD2	-0.0098571779859761	0.0165359306748511	-0.9583319757410388	weak_viability_liability	mitochondrial / oxidative phosphorylation
PUF60	-0.0145861703108398	0.0285739221705801	-2.9639195927820983	weak_viability_liability	RNA processing / spliceosome
