pathway	ES	NES	pval	padj	log2err	size	n_genes_in_set	direction	leading_edge	context	contrast_id	positive_category	negative_category	collection	ranking_method	claim_boundary	padj_within_context_contrast
APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409	0.526319340698941	1.0274006382988	0.414021164021164	0.703752011988677	0.0381441068234305	26	26	up	RPS27A;UBA52;UBC;UBB;UBE2E1;UBE2D1;CDC26;UBE2S;CDC23;UBE2C	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.703752011988678
APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143	-0.61759524651063	-1.25811135533803	0.0997785433070866	0.413731857577427	0.0485785891955028	87	87	down	CCNB1;CDC20;PSMA1;PSMB1;PSMD2;PLK1;PSMB9;PSME4;PSMC5;PSME1;PSMB7;PSMC1;PSMD12;CCNA2;PSMD14;AURKA;FBXO5;PSMD11;PSMB5;PSMA5;PSMA4;PSMB3;AURKB;PSMD3;SKP1;PSMB8;ANAPC7;BUB1B;NEK2;PSMC3;PSME2;PSMB4;SKP2;RB1;CDK2;PSMA2;CUL1;PSMA3;BTRC;PSMD9;MAD2L1;BUB3;ANAPC16;ANAPC15;CDC16	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.41373185757742614
APC/C:Cdc20 Mediated Degradation Of Cyclin B R-HSA-174048	0.507921563533417	0.977410461545045	0.481243988457839	0.749538829777708	0.034336429712643	24	24	up	RPS27A;UBA52;UBC;UBB;UBE2E1;UBE2D1;CDC26;UBE2S;CDC23;UBE2C	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.7495388297777076
APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409	-0.579473254555385	-1.16319935443065	0.215509693558474	0.565869428158105	0.0316261823222395	75	75	down	CCNB1;CDC20;PSMA1;PSMB1;PSMD2;PSMB9;PSME4;PSMC5;PSME1;PSMB7;PSMC1;PSMD12;CCNA2;PSMD14;PSMD11;PSMB5;PSMA5;PSMA4;PSMB3;PSMD3;PSMB8;ANAPC7;BUB1B;NEK2;PSMC3;PSME2;PSMB4;PSMA2;PSMA3;PSMD9;MAD2L1;BUB3;ANAPC16;ANAPC15;CDC16;PSMD4;PSMB2	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.5658694281581058
APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154	-0.54286892666312	-1.07528185606894	0.349949005609383	0.655635686398607	0.0234574445337431	67	67	down	CDC20;PSMA1;PSMB1;PSMD2;PSMB9;PSME4;PSMC5;PSME1;PSMB7;PSMC1;PSMD12;PSMD14;PSMD11;PSMB5;PSMA5;PSMA4;PSMB3;PSMD3;PSMB8;ANAPC7;PSMC3;PSME2;PSMB4;PSMA2;PSMA3;PSMD9;ANAPC16;ANAPC15;CDC16;PSMD4;PSMB2	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.6556356863986069
APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178	-0.572271006659138	-1.144489959902	0.242332830568125	0.581108406522552	0.0295245956668338	73	73	down	CDC20;PSMA1;PSMB1;PSMD2;PLK1;PSMB9;PSME4;PSMC5;PSME1;PSMB7;PSMC1;PSMD12;PSMD14;AURKA;PSMD11;PSMB5;PSMA5;PSMA4;PSMB3;AURKB;PSMD3;PSMB8;ANAPC7;PSMC3;PSME2;PSMB4;SKP2;RB1;PSMA2;PSMA3;PSMD9;ANAPC16;ANAPC15;CDC16;PSMD4;PSMB2	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.5811084065225527
APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419	-0.56444911466889	-1.12884688739595	0.26596279537456	0.60318834931838	0.0278521041678586	73	73	down	CDC20;PSMA1;PSMB1;PSMD2;PSMB9;PSME4;PSMC5;PSME1;PSMB7;PSMC1;PSMD12;CCNA2;PSMD14;PSMD11;PSMB5;PSMA5;PSMA4;PSMB3;PSMD3;PSMB8;ANAPC7;BUB1B;NEK2;PSMC3;PSME2;PSMB4;PSMA2;PSMA3;PSMD9;MAD2L1;BUB3;ANAPC16;ANAPC15;CDC16;PSMD4;PSMB2	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.6031883493183802
ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress R-HSA-380994	0.70070395698016	1.37891265400253	0.0730095804426825	0.366541532973989	0.0960789906091538	27	27	up	DDIT3;ATF4;ATF3;HERPUD1;CXCL8;EXOSC4;CEBPB;DIS3;EXOSC5;CEBPG;ASNS	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.3665415329739884
ATF6 (ATF6-alpha) Activates Chaperones R-HSA-381033	0.488474044312264	0.793013769835629	0.739355895196507	0.881277521349063	0.0236713261107972	11	11	up	DDIT3;ATF4;NFYB	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8812775213490637
AUF1 (hnRNP D0) Binds And Destabilizes mRNA R-HSA-450408	-0.644131822985732	-1.24016162199419	0.136309602430326	0.483406098757911	0.0425403500042	54	54	down	HSPA8;HSPA1A;HNRNPD;PSMA1;PSMB1;PSMD2;EIF4G1;PSMB9;PSME4;PSMC5;PSME1;PSMB7;PSMC1;PSMD12;PSMD14;PSMD11;PSMB5;PSMA5;PSMA4;PSMB3;PSMD3;PSMB8;PSMC3;PSME2;PSMB4;PSMA2;PSMA3;PSMD9	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.48340609875791285
AURKA Activation By TPX2 R-HSA-8854518	-0.761511670516128	-1.5179033374287	0.0028758071506866	0.0840364403389461	0.431707695803346	71	72	down	HSP90AA1;TPX2;HMMR;TUBB;TUBB4B;SDCCAG8;PLK1;PRKCA;CLASP1;YWHAE;CKAP5;SSNA1;DYNC1H1;AURKA;ALMS1;DCTN1;HAUS8;CEP70;CCP110;CEP192;CEP135;NINL;CEP250;CETN2;HAUS4;PCM1;CDK5RAP2;NEK2;CEP152;PCNT;TUBG1;CEP131;HAUS5;CEP290;ODF2;CEP78;PLK4;YWHAG;DCTN2;TUBA4A;CEP57;CEP72	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.08403644033894586
Abacavir ADME R-HSA-2161522	-0.578188264862058	-0.873943930116193	0.686187141947804	0.861977134142913	0.0165717148570017	10	10	down	NT5C2;ADAL	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8619771341429128
Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139	-0.429475140801225	-0.783521531895554	0.815408191696852	0.909582012747283	0.0121454145692871	36	36	down	CCND1;TFDP1;CCNE2;CDK6;ANAPC7;E2F1;SKP2;RB1;CDK2;CDK4;ANAPC16;ANAPC15;CDC16;CCNE1;E2F2;E2F3;ANAPC4;ANAPC10;ANAPC1;FZR1;ANAPC5	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.9095820127472836
Aberrant Regulation Of Mitotic Exit In Cancer Due To RB1 Defects R-HSA-9687136	0.456355831289499	0.844040978534521	0.682500766166105	0.860386604156207	0.0269571885094714	20	20	up	UBE2E1;UBE2D1;CDC26;UBE2S;CDC23;UBE2C;CDC27	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8603866041562068
Aberrant Regulation Of Mitotic G1/S Transition In Cancer Due To RB1 Defects R-HSA-9659787	-0.569117471971522	-0.927925593616058	0.606900708151273	0.828992103260494	0.017568802589474	17	17	down	CCND1;TFDP1;CCNE2;CDK6;E2F1;RB1;CDK2;CDK4;CCNE1;E2F2;E2F3	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8289921032604933
Abortive Elongation Of HIV-1 Transcript In Absence Of Tat R-HSA-167242	0.632259615410801	1.20640411481112	0.201333756748174	0.552696143042285	0.0554741407704174	23	23	up	POLR2K;SUPT4H1;POLR2C;POLR2F;POLR2A;NELFE;SUPT5H;NELFA;NCBP2;POLR2H;POLR2G	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.5526961430422846
Acetylcholine Binding And Downstream Events R-HSA-181431	-0.628182450630365	-0.995445224791958	0.522468451831333	0.774539758663366	0.0201254248782619	14	14	down	CHRNA5	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.7745397586633658
Acetylcholine Neurotransmitter Release Cycle R-HSA-264642	-0.382184613183924	-0.623138282560691	0.951936115714931	0.972488817382355	0.0110151880322549	17	17	down	SYT1;PPFIA1;STXBP1;PPFIA3	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.9724888173823545
Acetylcholine Regulates Insulin Secretion R-HSA-399997	-0.803958017047932	-1.21519973988908	0.212921705919796	0.563826193329517	0.0367156255567355	10	10	down	PRKCA;GNAQ;CHRM3;GNA11	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.5638261933295157
Activated NOTCH1 Transmits Signal To Nucleus R-HSA-2122948	0.427150860417324	0.864736445678735	0.678940123881624	0.859229636693893	0.0291044135063116	31	31	up	RPS27A;UBA52;UBC;UBB;PSENEN;APH1A;ADAM17;APH1B	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8592296366938921
Activated Point Mutants Of FGFR2 R-HSA-2033519	-0.448929132548692	-0.731962823718461	0.851288232635227	0.922015240954202	0.0126605687513844	17	17	down	FGF13;FGF1;FGFR2;FGF7	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.9220152409542022
Activated TAK1 Mediates P38 MAPK Activation R-HSA-450302	-0.63332369145688	-1.04968397170892	0.433363148479428	0.716560926904356	0.0225384531983045	19	19	down	IRAK1;MAPK14;IRAK2;MAP2K6;MAP3K7;MAP2K3;MAPKAPK2;UBE2N;TAB1;TAB2;MAPKAPK3;NOD1	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.7165609269043565
Activation Of AMPK Downstream Of NMDARs R-HSA-9619483	-0.639161049930914	-0.966105598990463	0.578771483131763	0.81352135035314	0.0190847717108298	10	10	down	CALM1	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8135213503531397
Activation Of AP-1 Family Of Transcription Factors R-HSA-450341	-0.410123122824579	-0.619909872917172	0.932527052832591	0.962733364446303	0.0121279114341828	10	10	down	MAPK14;MAPK8;MAPK1	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.9627333644463024
Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814	-0.588970396399231	-1.18497543275784	0.188599226643383	0.540965590031561	0.034189115358795	76	76	down	CCNB1;CDC20;PSMA1;PSMB1;PSMD2;PLK1;PSMB9;PSME4;PSMC5;PSME1;PSMB7;PSMC1;PSMD12;CCNA2;PSMD14;PSMD11;PSMB5;PSMA5;PSMA4;PSMB3;PSMD3;PSMB8;ANAPC7;BUB1B;NEK2;PSMC3;PSME2;PSMB4;PSMA2;PSMA3;PSMD9;MAD2L1;BUB3;ANAPC16;ANAPC15;CDC16;PSMD4;PSMB2	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.5409655900315624
Activation Of ATR In Response To Replication Stress R-HSA-176187	-0.799753876617336	-1.45198431873662	0.0106204583566238	0.13983603502888	0.165406383146814	35	36	down	CLSPN;MCM4;MCM3;MCM10;MCM5;RFC3;MCM7;MCM6;ORC3;RPA3;DBF4;CDC45;RFC5;MCM8;CDC7;CDK2;RFC2;CDC6;ORC4;RAD9A;SLC25A15;POLR1A;ORC5;CDC25C	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.13983603502888003
Activation Of Arylsulfatases R-HSA-1663150	-0.801287023413868	-1.23880602042217	0.177708006279435	0.534831013217923	0.0403899870805855	12	13	down	SUMF2;SUMF1;ARSJ;ARSB;ARSG	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.5348310132179228
Activation Of BAD And Translocation To Mitochondria R-HSA-111447	-0.523202925735772	-0.837782574295926	0.725508176677365	0.873558532798657	0.0151782594479208	15	15	down	YWHAZ;YWHAE;AKT1;YWHAH;YWHAB;YWHAG	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8735585327986563
Activation Of BH3-only Proteins R-HSA-114452	-0.414503732802675	-0.736149200013713	0.870372996738051	0.931314730785782	0.0114477957053012	30	30	down	YWHAZ;YWHAE;TFDP1;AKT1;YWHAH;MAPK8;TP53;YWHAB;E2F1	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.9313147307857814
Activation Of G Protein Gated Potassium Channels R-HSA-1296041	-0.421423725111685	-0.743898743376154	0.860754070265639	0.927969892280317	0.0117150738812012	29	29	down	GNB2;GNB1;GNB5;GNB4	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.9279698922803173
Activation Of GABAB Receptors R-HSA-991365	-0.427207905768576	-0.797979396854361	0.800815771583956	0.898784551848766	0.0120530846366885	42	42	down	GNB2;GNB1;GNAI2;GNB5;GNB4;ADCY7;ADCY9;ADCY1;GNAL;ADCY6;GNG7	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8987845518487652
Activation Of Gene Expression By SREBF (SREBP) R-HSA-2426168	-0.768090988444557	-1.43471311137272	0.0152277362338545	0.165296495607184	0.135862926377654	42	42	down	SREBF2;ACACA;LMBR1;FASN;NCOA6;PMVK;SQLE;FDPS;NCOA2;HMGCS1;TBL1XR1;CHD9;ELOVL6;DHCR7;HMGCR;NFYC;PPARA;FDFT1;CARM1;CYP51A1;IDI1;SCD;GPAM;NFYA;SREBF1;PKMYT1	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.16529649560718399
Activation Of HOX Genes During Differentiation R-HSA-5619507	-0.42858503482138	-0.840400122919938	0.753707285622179	0.88494443839442	0.0121654385342757	62	91	down	PAGR1;NCOR1;EZH2;NCOA3;NCOA6;RBBP4;POLR2E;CNOT6;CTCF;SUZ12;KMT2C;KDM6A;POLR2L;RARG;EED;EP300;ASH2L;POLR2B;PBX1;POLR2I;WDR5;PAXIP1;PKNOX1;KMT2D;ZNF335;POLR2J;MEIS1	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8849444383944193
Activation Of IRF3/IRF7 Mediated By TBK1/IKK Epsilon R-HSA-936964	0.703792710593571	1.23888771459282	0.206082078535577	0.553298769844568	0.0526869485460313	16	17	up	RPS27A;UBA52;UBC;NDUFA2;UBB;TICAM1;TANK;IRF3;LY96	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.5532987698445672
Activation Of Kainate Receptors Upon Glutamate Binding R-HSA-451326	-0.609196473495681	-1.07535590451753	0.383176235361325	0.677707222243538	0.0238281330132989	29	29	down	CALM1;DLG1;MPP3;GNB2;GNB1;GNB5;GNB4	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.6777072222435375
Activation Of Matrix Metalloproteinases R-HSA-1592389	0.418912056944356	0.861870640002735	0.692682926829268	0.866708499483837	0.0289672774399414	33	33	up	TIMP1;TIMP2;MMP24;MMP7;MMP2;MMP1;MMP14	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8667084994838365
Activation Of NF-kappaB In B Cells R-HSA-1169091	-0.54043497253595	-1.06847139817476	0.359053103007038	0.663059579489075	0.023103295947748	66	66	down	PSMA1;PSMB1;PSMD2;PSMB9;PSME4;PSMC5;PSME1;PSMB7;PSMC1;PSMD12;PSMD14;PSMD11;PSMB5;PSMA5;PSMA4;PSMB3;PSMD3;SKP1;PSMB8;PSMC3;PSME2;PSMB4;NFKB1;PSMA2;CUL1;PSMA3;BTRC;MAP3K7;PSMD9	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.6630595794890741
Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755	-0.64392556590209	-1.29047261278249	0.0769616445224367	0.377439435596825	0.0564312611344041	74	74	down	CALM1;KPNA2;PRKCA;CREB1;DLG1;PRKAR2A;MPP3;PRKAR1B;CAMK2D;PRKAR1A;RPS6KA2;MAPK1;GRIN2D;PPM1F;PRKACB;CASK;CAMK4;HRAS;NRG1;GIT1;RPS6KA1;MPP2;ADCY1;CAMK2G;PRKAG2;KIF17;ERBB4;PRKAR2B;CAMKK1	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.37743943559682513
Activation Of PPARGC1A (PGC-1alpha) By Phosphorylation R-HSA-2151209	-0.558715489939351	-0.844510414286745	0.716263526416295	0.873487271750919	0.0159483090201133	10	10	down	MAPK12;MAPK14	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8734872717509197
Activation Of Phototransduction Cascade R-HSA-2485179	0.607046737061377	0.985510749299346	0.510098253275109	0.77002093010319	0.030096487257355	11	11	up	RNF7;CNGA1	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.7700209301031901
Activation Of Pre-Replicative Complex R-HSA-68962	-0.837563690606301	-1.50176129619217	0.0037894736842105	0.0841973684210526	0.279865652661932	32	32	down	MCM4;PRIM1;MCM3;MCM10;MCM5;GMNN;MCM7;MCM6;ORC3;RPA3;CDT1;DBF4;PRIM2;CDC45;POLA1;POLA2;MCM8;POLE;CDC7;CDK2;POLE2	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.08419736842105205
