model_id	metric	observed	null_n	null_mean	null_sd	null_q025	null_q500	null_q975	empirical_p_ge_observed	observed_percentile
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	shift_excess_identification_score	0.6666666666666667	1000	0.46508333333333335	0.2627760768112693	0.0	0.5	0.9166666666666667	0.23576423576423577	0.7972027972027972
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	structure_vs_context_separation_score	0.4684217036980002	1000	0.4112301022380864	0.013925571517546295	0.38393553980184636	0.4115369948573662	0.4372095077594972	0.000999000999000999	1.0
geneformer_hcc_formal_v1	backbone_recovery_score	0.5333333333333333	1000	0.5992166666666667	0.06829181783709234	0.47	0.6	0.7300833333333332	0.8391608391608392	0.16983016983016982
geneformer_hcc_formal_v1	shift_excess_identification_score	0.75	1000	0.6265	0.18409984754196865	0.25	0.6666666666666666	0.9166666666666667	0.37162837162837165	0.8081918081918081
geneformer_hcc_formal_v1	structure_vs_context_separation_score	0.40116539497935294	1000	0.39633496245705113	0.01318168337027961	0.36971702470717077	0.396484723313126	0.42172382344512355	0.35364635364635366	0.6473526473526473
lm_g_geneformer_ridge_hcc_formal_v1	backbone_recovery_score	0.6266666666666666	1000	0.5831733333333333	0.06176578044399729	0.45999999999999996	0.5833333333333334	0.7000833333333333	0.24675324675324675	0.7572427572427572
lm_g_geneformer_ridge_hcc_formal_v1	shift_excess_identification_score	0.16666666666666666	1000	0.5559166666666666	0.26455987872205683	0.0	0.5833333333333333	1.0	0.9310689310689311	0.12787212787212787
lm_g_geneformer_ridge_hcc_formal_v1	structure_vs_context_separation_score	0.3256623817641846	1000	0.35068918813725863	0.014104736599463909	0.322133767552626	0.35089323703648495	0.3777804167813778	0.9530469530469531	0.04795204795204795
lm_g_scgpt_ridge_hcc_formal_v1	backbone_recovery_score	0.4666666666666667	1000	0.5348233333333333	0.05982058882434823	0.4165833333333333	0.5366666666666666	0.6466666666666667	0.8851148851148851	0.12887112887112886
lm_g_scgpt_ridge_hcc_formal_v1	shift_excess_identification_score	0.16666666666666666	1000	0.6291666666666668	0.24189537921505797	0.08333333333333333	0.6666666666666666	1.0	0.968031968031968	0.058941058941058944
lm_g_scgpt_ridge_hcc_formal_v1	structure_vs_context_separation_score	0.25896135975190354	1000	0.3117019612716079	0.013969790719390703	0.2841031804894508	0.3121997132154204	0.33728335223847006	1.0	0.000999000999000999
lm_train_lowrank_hcc_formal_v1	backbone_recovery_score	0.5366666666666666	1000	0.5544600000000001	0.06129526861348144	0.43333333333333335	0.5566666666666666	0.6766666666666665	0.6413586413586414	0.37662337662337664
lm_train_lowrank_hcc_formal_v1	shift_excess_identification_score	0.5833333333333333	1000	0.6089166666666667	0.24185587670848888	0.08333333333333333	0.5833333333333334	1.0	0.5814185814185814	0.43756243756243757
lm_train_lowrank_hcc_formal_v1	structure_vs_context_separation_score	0.2862358413992706	1000	0.3136594269169942	0.014114371818626152	0.28775015372188256	0.3139524462466986	0.34054726021468523	0.981018981018981	0.01998001998001998
null_model	backbone_recovery_score	0.5	1000	0.30666666666666664	1.2664824086506696e-17	0.30666666666666664	0.30666666666666664	0.3066666666666667	0.000999000999000999	1.0
null_model	shift_excess_identification_score	0.5	1000	0.5	0.0	0.5	0.5	0.5	1.0	1.0
null_model	structure_vs_context_separation_score	0.0	1000	0.0	0.0	0.0	0.0	0.0	1.0	1.0
scgpt_hcc_formal_v1	backbone_recovery_score	0.44666666666666666	1000	0.5384800000000001	0.07039792390342299	0.4033333333333333	0.54	0.6733333333333333	0.8991008991008991	0.10789210789210789
scgpt_hcc_formal_v1	shift_excess_identification_score	0.3333333333333333	1000	0.6319166666666667	0.23209295114523543	0.16666666666666666	0.6666666666666666	1.0	0.9150849150849151	0.15684315684315683
scgpt_hcc_formal_v1	structure_vs_context_separation_score	0.2948250032704949	1000	0.33119251522349863	0.014976378462973281	0.3017378087983562	0.3310889675342904	0.3611253934966185	0.99000999000999	0.01098901098901099
shared_mean_baseline	backbone_recovery_score	0.8066666666666666	1000	0.8066666666666668	1.1942806690103564e-16	0.8066666666666665	0.8066666666666666	0.8066666666666668	0.964035964035964	0.965034965034965
shared_mean_baseline	shift_excess_identification_score	0.3333333333333333	1000	0.33333333333333326	5.55389276409176e-17	0.3333333333333333	0.3333333333333333	0.3333333333333333	1.0	1.0
shared_mean_baseline	structure_vs_context_separation_score	0.3526145586462627	1000	0.35261455864626223	3.3277041959549315e-17	0.3526145586462622	0.35261455864626223	0.35261455864626234	0.000999000999000999	1.0
