ensembl_gene_id	hgnc_symbol	in_k562_13d	in_k562_7d
ENSG00000007171	NOS2	True	True
ENSG00000007174	DNAH9	True	True
ENSG00000007202	KIAA0100	True	True
ENSG00000007237	GAS7	True	True
ENSG00000007255	TRAPPC6A	True	True
ENSG00000007264	MATK	True	True
ENSG00000007312	CD79B	True	True
ENSG00000007314	SCN4A	True	True
ENSG00000007341	ST7L	True	True
ENSG00000007350	TKTL1	True	True
ENSG00000007372	PAX6	True	True
ENSG00000007376	RPUSD1	True	True
ENSG00000007384	RHBDF1	True	True
ENSG00000007392	LUC7L	True	True
ENSG00000007402	CACNA2D2	True	True
ENSG00000007516	BAIAP3	True	True
ENSG00000007520	TSR3	True	True
ENSG00000007541	PIGQ	True	True
ENSG00000007545	CRAMP1L	True	True
ENSG00000007866	TEAD3	True	True
ENSG00000007923	DNAJC11	True	True
ENSG00000007944	MYLIP	True	True
ENSG00000007952	NOX1	True	False
ENSG00000007968	E2F2	True	True
ENSG00000008018	PSMB1	True	True
ENSG00000008056	SYN1	True	True
ENSG00000008083	JARID2	True	True
ENSG00000008086	CDKL5	True	True
ENSG00000008118	CAMK1G	False	True
ENSG00000008128	CDK11A	True	True
ENSG00000008130	NADK	True	True
ENSG00000008196	TFAP2B	True	True
ENSG00000008226	DLEC1	True	True
ENSG00000008256	CYTH3	True	True
ENSG00000008277	ADAM22	True	True
ENSG00000008282	SYPL1	True	True
ENSG00000008283	CYB561	True	True
ENSG00000008294	SPAG9	True	True
ENSG00000008300	CELSR3	True	True
ENSG00000008323	PLEKHG6	True	True
ENSG00000008324	SS18L2	True	True
ENSG00000008382	MPND	True	True
ENSG00000008394	MGST1	True	True
ENSG00000008405	CRY1	True	True
ENSG00000008441	NFIX	True	True
ENSG00000008513	ST3GAL1	True	True
ENSG00000008516	MMP25	True	True
ENSG00000008517	IL32	True	True
ENSG00000008710	PKD1	True	True
ENSG00000008735	MAPK8IP2	True	True
ENSG00000008838	MED24	True	True
ENSG00000008853	RHOBTB2	True	True
ENSG00000008869	HEATR5B	True	True
ENSG00000008952	SEC62	True	True
ENSG00000008988	RPS20	True	True
ENSG00000009307	CSDE1	True	True
ENSG00000009335	UBE3C	True	True
ENSG00000009413	REV3L	True	True
ENSG00000009694	TENM1	True	True
ENSG00000009709	PAX7	False	True
ENSG00000009724	MASP2	True	True
ENSG00000009765	IYD	True	True
ENSG00000009780	FAM76A	True	True
ENSG00000009790	TRAF3IP3	True	True
ENSG00000009830	POMT2	True	True
ENSG00000009844	VTA1	True	True
ENSG00000009950	MLXIPL	True	True
ENSG00000009954	BAZ1B	True	True
ENSG00000010017	RANBP9	True	True
ENSG00000010072	SPRTN	True	True
ENSG00000010165	METTL13	True	True
ENSG00000010219	DYRK4	True	True
ENSG00000010244	ZNF207	True	True
ENSG00000010256	UQCRC1	True	True
ENSG00000010270	STARD3NL	True	True
ENSG00000010278	CD9	True	True
ENSG00000010292	NCAPD2	True	True
ENSG00000010295	IFFO1	True	True
ENSG00000010310	GIPR	True	True
ENSG00000010318	PHF7	True	True
ENSG00000010319	SEMA3G	True	True
ENSG00000010322	NISCH	True	True
ENSG00000010327	STAB1	True	True
ENSG00000010361	FUZ	True	True
ENSG00000010379	SLC6A13	True	True
ENSG00000010404	IDS	True	True
ENSG00000010438	PRSS3	True	True
ENSG00000010539	ZNF200	True	True
ENSG00000010610	CD4	True	True
ENSG00000010626	LRRC23	True	True
ENSG00000010671	BTK	True	True
ENSG00000010704	HFE	True	True
ENSG00000010803	SCMH1	True	True
ENSG00000010810	FYN	True	True
ENSG00000010818	HIVEP2	True	True
ENSG00000010932	FMO1	True	True
ENSG00000011007	TCEB3	True	True
ENSG00000011009	LYPLA2	True	True
ENSG00000011021	CLCN6	True	True
ENSG00000011028	MRC2	True	True
ENSG00000011052	NME2	True	True
ENSG00000011105	TSPAN9	True	True
ENSG00000011114	BTBD7	True	True
ENSG00000011132	APBA3	True	True
ENSG00000011143	MKS1	True	True
ENSG00000011198	ABHD5	True	True
ENSG00000011243	AKAP8L	True	True
ENSG00000011258	MBTD1	True	True
ENSG00000011260	UTP18	True	True
ENSG00000011275	RNF216	True	True
ENSG00000011295	TTC19	True	True
ENSG00000011304	PTBP1	True	True
ENSG00000011332	DPF1	True	True
ENSG00000011347	SYT7	True	True
ENSG00000011376	LARS2	True	True
ENSG00000011405	PIK3C2A	True	True
ENSG00000011422	PLAUR	True	True
ENSG00000011426	ANLN	True	True
ENSG00000011451	WIZ	True	True
ENSG00000011454	RABGAP1	True	True
ENSG00000011465	DCN	True	True
ENSG00000011478	QPCTL	True	True
ENSG00000011485	PPP5C	True	True
ENSG00000011523	CEP68	True	True
ENSG00000011566	MAP4K3	True	True
ENSG00000011590	ZBTB32	True	True
ENSG00000011600	TYROBP	True	True
ENSG00000011638	TMEM159	True	True
ENSG00000011677	GABRA3	True	True
ENSG00000012048	BRCA1	True	True
ENSG00000012061	ERCC1	True	True
ENSG00000012124	CD22	True	True
ENSG00000012174	MBTPS2	True	True
ENSG00000012211	PRICKLE3	True	True
ENSG00000012223	LTF	True	True
ENSG00000012232	EXTL3	True	True
ENSG00000012504	NR1H4	True	True
ENSG00000012660	ELOVL5	True	True
ENSG00000012779	ALOX5	True	True
ENSG00000012822	CALCOCO1	True	True
ENSG00000012963	UBR7	True	True
ENSG00000012983	MAP4K5	True	True
ENSG00000013016	EHD3	True	False
ENSG00000013275	PSMC4	True	True
ENSG00000013288	MAN2B2	True	True
ENSG00000013293	SLC7A14	True	True
ENSG00000013297	CLDN11	True	True
ENSG00000013306	SLC25A39	True	True
ENSG00000013364	MVP	True	True
ENSG00000013374	NUB1	True	True
ENSG00000013375	PGM3	True	True
ENSG00000013392	RWDD2A	True	True
ENSG00000013441	CLK1	True	True
ENSG00000013503	POLR3B	True	True
ENSG00000013523	ANGEL1	True	True
ENSG00000013561	RNF14	True	True
ENSG00000013563	DNASE1L1	True	True
ENSG00000013573	DDX11	True	True
ENSG00000013583	HEBP1	True	True
ENSG00000013588	GPRC5A	True	True
ENSG00000013619	MAMLD1	True	False
ENSG00000013725	CD6	True	True
ENSG00000013810	TACC3	True	True
ENSG00000014123	UFL1	True	True
ENSG00000014138	POLA2	True	True
ENSG00000014164	ZC3H3	True	True
ENSG00000014216	CAPN1	True	True
ENSG00000014257	ACPP	True	True
ENSG00000014641	MDH1	True	True
ENSG00000014824	SLC30A9	True	True
ENSG00000014914	MTMR11	True	True
ENSG00000014919	COX15	True	True
ENSG00000015133	CCDC88C	True	True
ENSG00000015153	YAF2	True	True
ENSG00000015171	ZMYND11	True	True
ENSG00000015285	WAS	True	True
ENSG00000015413	DPEP1	True	True
ENSG00000015475	BID	True	True
ENSG00000015479	MATR3	True	True
ENSG00000015520	NPC1L1	True	True
ENSG00000015532	XYLT2	True	True
ENSG00000015568	RGPD5	True	True
ENSG00000015592	STMN4	True	True
ENSG00000015676	NUDCD3	True	True
ENSG00000016082	ISL1	False	True
ENSG00000016391	CHDH	True	True
ENSG00000016490	CLCA1	False	True
ENSG00000016864	GLT8D1	True	True
ENSG00000017260	ATP2C1	True	True
ENSG00000017373	SRCIN1	True	True
ENSG00000017427	IGF1	True	True
ENSG00000017483	SLC38A5	True	True
ENSG00000017621	MAGIX	True	True
ENSG00000017797	RALBP1	True	True
ENSG00000018189	RUFY3	True	True
ENSG00000018236	CNTN1	False	True
ENSG00000018280	SLC11A1	True	True
ENSG00000018408	WWTR1	True	True
ENSG00000018510	AGPS	True	True
ENSG00000018610	CXorf56	True	True
ENSG00000018625	ATP1A2	True	True
ENSG00000018699	TTC27	True	True
ENSG00000018869	ZNF582	True	True
ENSG00000019102	VSIG2	True	True
ENSG00000019144	PHLDB1	True	True
ENSG00000019485	PRDM11	True	True
ENSG00000019505	SYT13	True	True
ENSG00000019582	CD74	True	True
ENSG00000019995	ZRANB1	True	True
ENSG00000020129	NCDN	True	True
ENSG00000020181	GPR124	True	True
ENSG00000020256	ZFP64	True	True
ENSG00000020426	MNAT1	True	True
ENSG00000020577	SAMD4A	True	True
ENSG00000020633	RUNX3	True	True
ENSG00000020922	MRE11A	True	True
ENSG00000021300	PLEKHB1	True	True
ENSG00000021355	SERPINB1	True	True
ENSG00000021461	CYP3A43	True	True
ENSG00000021488	SLC7A9	False	True
ENSG00000021574	SPAST	True	True
ENSG00000021645	NRXN3	False	True
ENSG00000021762	OSBPL5	True	True
ENSG00000021776	AQR	True	True
ENSG00000021826	CPS1	True	True
ENSG00000021852	C8B	True	False
ENSG00000022267	FHL1	True	True
ENSG00000022277	RTFDC1	True	True
ENSG00000022556	NLRP2	True	True
ENSG00000022567	SLC45A4	True	True
ENSG00000022840	RNF10	True	True
ENSG00000022976	ZNF839	True	True
ENSG00000023041	ZDHHC6	True	True
ENSG00000023191	RNH1	True	True
ENSG00000023228	NDUFS1	True	True
ENSG00000023287	RB1CC1	True	True
ENSG00000023318	ERP44	True	True
ENSG00000023330	ALAS1	True	True
ENSG00000023445	BIRC3	True	True
ENSG00000023516	AKAP11	True	True
ENSG00000023572	GLRX2	True	True
ENSG00000023608	SNAPC1	True	True
ENSG00000023697	DERA	True	True
ENSG00000023734	STRAP	True	True
ENSG00000023839	ABCC2	True	True
ENSG00000023892	DEF6	True	True
ENSG00000023902	PLEKHO1	True	True
ENSG00000023909	GCLM	True	True
ENSG00000024048	UBR2	True	True
ENSG00000024422	EHD2	True	True
ENSG00000024526	DEPDC1	True	True
ENSG00000024862	CCDC28A	True	True
ENSG00000025039	RRAGD	True	True
ENSG00000025156	HSF2	True	True
ENSG00000025293	PHF20	True	True
ENSG00000025423	HSD17B6	True	True
ENSG00000025434	NR1H3	True	True
ENSG00000025708	TYMP	True	True
ENSG00000025770	NCAPH2	True	True
ENSG00000025772	TOMM34	True	True
ENSG00000025796	SEC63	True	True
ENSG00000025800	KPNA6	True	True
ENSG00000026025	VIM	True	True
ENSG00000026036	RTEL1-TNFRSF6B	True	True
ENSG00000026103	FAS	True	True
ENSG00000026297	RNASET2	True	True
ENSG00000026508	CD44	True	True
ENSG00000026559	KCNG1	True	True
ENSG00000026652	AGPAT4	True	True
ENSG00000026751	SLAMF7	True	True
ENSG00000026950	BTN3A1	True	True
ENSG00000027001	MIPEP	True	True
ENSG00000027075	PRKCH	True	True
ENSG00000027644	INSRR	True	True
ENSG00000027697	IFNGR1	True	True
ENSG00000027847	B4GALT7	True	True
ENSG00000027869	SH2D2A	True	True
ENSG00000028116	VRK2	True	True
ENSG00000028137	TNFRSF1B	True	True
ENSG00000028203	VEZT	True	True
ENSG00000028277	POU2F2	True	True
ENSG00000028310	BRD9	True	True
ENSG00000028528	SNX1	True	True
ENSG00000028839	TBPL1	True	True
ENSG00000029153	ARNTL2	True	True
ENSG00000029363	BCLAF1	True	True
ENSG00000029364	SLC39A9	True	True
ENSG00000029534	ANK1	True	True
ENSG00000029639	TFB1M	True	True
ENSG00000029725	RABEP1	True	True
ENSG00000029993	HMGB3	True	True
ENSG00000030066	NUP160	True	True
ENSG00000030110	BAK1	True	True
ENSG00000030419	IKZF2	True	True
ENSG00000030582	GRN	True	True
ENSG00000031003	FAM13B	True	True
ENSG00000031081	ARHGAP31	False	True
ENSG00000031691	CENPQ	True	True
ENSG00000031698	SARS	True	True
ENSG00000031823	RANBP3	True	True
ENSG00000032219	ARID4A	True	True
ENSG00000032389	TSSC1	True	True
ENSG00000032444	PNPLA6	True	True
ENSG00000032742	IFT88	True	True
ENSG00000033011	ALG1	True	True
ENSG00000033030	ZCCHC8	True	True
ENSG00000033050	ABCF2	True	True
ENSG00000033100	CHPF2	True	True
ENSG00000033122	LRRC7	True	True
ENSG00000033170	FUT8	True	True
ENSG00000033178	UBA6	True	True
ENSG00000033327	GAB2	True	True
ENSG00000033627	ATP6V0A1	True	True
ENSG00000033800	PIAS1	True	True
ENSG00000033867	SLC4A7	True	True
ENSG00000034053	APBA2	True	True
ENSG00000034152	MAP2K3	True	True
ENSG00000034510	TMSB10	True	True
ENSG00000034533	ASTE1	True	True
ENSG00000034677	RNF19A	True	True
ENSG00000034693	PEX3	True	True
ENSG00000034713	GABARAPL2	True	True
ENSG00000035115	SH3YL1	True	True
ENSG00000035141	FAM136A	True	True
ENSG00000035403	VCL	True	True
ENSG00000035499	DEPDC1B	True	True
ENSG00000035664	DAPK2	True	True
ENSG00000035681	NSMAF	True	True
ENSG00000035687	ADSS	True	True
ENSG00000035720	STAP1	True	True
ENSG00000035862	TIMP2	True	True
ENSG00000035928	RFC1	True	True
ENSG00000036054	TBC1D23	True	True
ENSG00000036257	CUL3	True	True
ENSG00000036448	MYOM2	True	True
ENSG00000036530	CYP46A1	True	True
ENSG00000036549	ZZZ3	True	True
ENSG00000036672	USP2	True	True
ENSG00000037042	TUBG2	True	True
ENSG00000037241	RPL26L1	True	True
ENSG00000037280	FLT4	True	True
ENSG00000037474	NSUN2	True	True
ENSG00000037637	FBXO42	True	True
ENSG00000037749	MFAP3	True	True
ENSG00000037757	MRI1	True	True
ENSG00000037897	METTL1	True	True
ENSG00000037965	HOXC8	True	True
ENSG00000038002	AGA	True	True
ENSG00000038210	PI4K2B	True	True
ENSG00000038219	BOD1L1	True	True
ENSG00000038274	MAT2B	True	True
ENSG00000038358	EDC4	True	True
ENSG00000038382	TRIO	True	True
ENSG00000038427	VCAN	True	True
ENSG00000038532	CLEC16A	True	True
ENSG00000038945	MSR1	True	True
ENSG00000039068	CDH1	True	True
ENSG00000039123	SKIV2L2	True	True
ENSG00000039319	ZFYVE16	True	True
ENSG00000039523	FAM65A	True	True
ENSG00000039560	RAI14	True	True
ENSG00000039600	SOX30	True	True
ENSG00000039650	PNKP	True	True
ENSG00000039987	BEST2	True	True
ENSG00000040199	PHLPP2	True	True
ENSG00000040275	SPDL1	True	True
ENSG00000040341	STAU2	True	True
ENSG00000040487	PQLC2	True	True
ENSG00000040531	CTNS	True	True
ENSG00000040608	RTN4R	True	True
ENSG00000040633	PHF23	True	True
ENSG00000040933	INPP4A	True	True
ENSG00000041353	RAB27B	True	True
ENSG00000041357	PSMA4	True	True
ENSG00000041515	MYO16	True	True
ENSG00000041802	LSG1	True	True
ENSG00000041880	PARP3	True	True
ENSG00000041982	TNC	True	True
ENSG00000041988	THAP3	True	True
ENSG00000042062	FAM65C	True	True
ENSG00000042088	TDP1	True	True
ENSG00000042286	AIFM2	True	True
ENSG00000042317	SPATA7	True	True
ENSG00000042429	MED17	True	True
ENSG00000042445	RETSAT	True	True
ENSG00000042493	CAPG	True	True
ENSG00000042753	AP2S1	True	True
ENSG00000042781	USH2A	True	True
ENSG00000042832	TG	True	True
ENSG00000043039	BARX2	True	True
ENSG00000043093	DCUN1D1	True	True
ENSG00000043143	JADE2	True	True
ENSG00000043355	ZIC2	True	True
ENSG00000043462	LCP2	True	True
ENSG00000043514	TRIT1	True	True
ENSG00000043591	ADRB1	False	True
ENSG00000044012	GUCA2B	False	True
ENSG00000044090	CUL7	True	True
ENSG00000044115	CTNNA1	True	True
ENSG00000044446	PHKA2	True	True
ENSG00000044459	CNTLN	False	True
ENSG00000044574	HSPA5	True	True
ENSG00000046604	DSG2	True	True
ENSG00000046647	GEMIN8	True	True
ENSG00000046651	OFD1	True	True
ENSG00000046653	GPM6B	True	True
ENSG00000046774	MAGEC2	True	True
ENSG00000046889	PREX2	False	True
ENSG00000047056	WDR37	True	True
ENSG00000047188	YTHDC2	True	True
ENSG00000047230	CTPS2	True	True
ENSG00000047249	ATP6V1H	True	True
ENSG00000047315	POLR2B	True	True
ENSG00000047346	FAM214A	True	True
ENSG00000047365	ARAP2	True	True
ENSG00000047410	TPR	True	True
ENSG00000047457	CP	True	True
ENSG00000047578	KIAA0556	True	True
ENSG00000047579	DTNBP1	True	True
ENSG00000047597	XK	True	True
ENSG00000047617	ANO2	False	True
ENSG00000047621	C12orf4	True	True
ENSG00000047634	SCML1	False	True
ENSG00000047644	WWC3	True	True
ENSG00000047648	ARHGAP6	True	True
ENSG00000047662	FAM184B	True	True
ENSG00000047849	MAP4	True	True
ENSG00000047932	GOPC	True	True
ENSG00000047936	ROS1	True	True
ENSG00000048028	USP28	True	True
ENSG00000048052	HDAC9	True	True
ENSG00000048140	TSPAN17	True	True
ENSG00000048162	NOP16	True	True
ENSG00000048342	CC2D2A	True	True
ENSG00000048392	RRM2B	True	True
ENSG00000048405	ZNF800	True	True
ENSG00000048462	TNFRSF17	True	False
ENSG00000048471	SNX29	True	True
ENSG00000048540	LMO3	True	True
ENSG00000048544	MRPS10	True	True
ENSG00000048545	GUCA1A	True	True
ENSG00000048649	RSF1	True	True
ENSG00000048707	VPS13D	True	True
ENSG00000048740	CELF2	True	True
ENSG00000048828	FAM120A	True	True
ENSG00000048991	R3HDM1	True	True
ENSG00000049089	COL9A2	True	True
ENSG00000049130	KITLG	True	True
ENSG00000049167	ERCC8	True	True
ENSG00000049192	ADAMTS6	True	True
ENSG00000049239	H6PD	True	True
ENSG00000049245	VAMP3	True	True
ENSG00000049246	PER3	True	True
ENSG00000049247	UTS2	True	True
ENSG00000049249	TNFRSF9	True	True
ENSG00000049283	EPN3	True	True
ENSG00000049323	LTBP1	True	True
ENSG00000049449	RCN1	True	True
ENSG00000049540	ELN	True	True
ENSG00000049541	RFC2	True	True
ENSG00000049618	ARID1B	True	True
ENSG00000049656	CLPTM1L	True	True
ENSG00000049759	NEDD4L	True	True
ENSG00000049768	FOXP3	True	True
ENSG00000049769	PPP1R3F	True	True
ENSG00000049860	HEXB	True	True
ENSG00000049883	PTCD2	True	True
ENSG00000050130	JKAMP	True	True
ENSG00000050327	ARHGEF5	False	True
ENSG00000050344	NFE2L3	True	True
ENSG00000050393	MCUR1	True	True
ENSG00000050405	LIMA1	True	True
ENSG00000050426	LETMD1	True	True
ENSG00000050438	SLC4A8	True	True
ENSG00000050555	LAMC3	True	True
ENSG00000050628	PTGER3	True	True
ENSG00000050748	MAPK9	True	True
ENSG00000050767	COL23A1	True	False
ENSG00000050820	BCAR1	True	True
ENSG00000051009	FAM160A2	True	True
ENSG00000051108	HERPUD1	True	True
ENSG00000051128	HOMER3	True	True
ENSG00000051180	RAD51	True	True
ENSG00000051341	POLQ	True	True
ENSG00000051382	PIK3CB	True	True
ENSG00000051523	CYBA	True	True
ENSG00000051596	THOC3	True	True
ENSG00000051620	HEBP2	True	True
ENSG00000051825	MPHOSPH9	True	True
ENSG00000052126	PLEKHA5	True	True
ENSG00000052344	PRSS8	True	True
ENSG00000052723	SIKE1	True	True
ENSG00000052749	RRP12	True	True
ENSG00000052795	FNIP2	True	True
ENSG00000052802	MSMO1	True	True
ENSG00000052841	TTC17	True	True
ENSG00000052850	ALX4	True	True
ENSG00000053108	FSTL4	True	True
ENSG00000053254	FOXN3	True	True
ENSG00000053371	AKR7A2	True	True
ENSG00000053372	MRTO4	True	True
ENSG00000053501	USE1	True	True
ENSG00000053524	MCF2L2	True	True
ENSG00000053702	NRIP2	True	True
ENSG00000053747	LAMA3	False	True
ENSG00000053770	AP5M1	True	True
ENSG00000053900	ANAPC4	True	True
ENSG00000053918	KCNQ1	True	True
ENSG00000054116	TRAPPC3	True	True
ENSG00000054118	THRAP3	True	True
ENSG00000054148	PHPT1	True	True
ENSG00000054179	ENTPD2	True	True
ENSG00000054219	LY75	False	True
ENSG00000054267	ARID4B	True	True
ENSG00000054277	OPN3	True	True
ENSG00000054282	SDCCAG8	True	True
ENSG00000054356	PTPRN	True	True
ENSG00000054392	HHAT	True	True
ENSG00000054523	KIF1B	True	True
ENSG00000054611	TBC1D22A	True	True
ENSG00000054654	SYNE2	True	True
ENSG00000054690	PLEKHH1	True	True
ENSG00000054793	ATP9A	True	True
ENSG00000054796	SPO11	True	True
ENSG00000054938	CHRDL2	True	True
ENSG00000054965	FAM168A	True	True
ENSG00000054967	RELT	True	True
ENSG00000054983	GALC	True	True
ENSG00000055044	NOP58	True	True
ENSG00000055070	SZRD1	True	True
ENSG00000055118	KCNH2	True	True
ENSG00000055130	CUL1	True	True
ENSG00000055147	FAM114A2	True	True
ENSG00000055163	CYFIP2	True	True
ENSG00000055208	TAB2	True	True
ENSG00000055211	GINM1	True	True
ENSG00000055332	EIF2AK2	True	True
ENSG00000055483	USP36	True	True
ENSG00000055609	KMT2C	True	True
ENSG00000055732	MCOLN3	True	True
ENSG00000055813	CCDC85A	True	True
ENSG00000055917	PUM2	True	True
ENSG00000055950	MRPL43	True	True
ENSG00000055955	ITIH4	True	True
ENSG00000056050	C4orf27	True	True
ENSG00000056097	ZFR	True	True
ENSG00000056277	ZNF280C	True	True
ENSG00000056291	NPFFR2	True	True
ENSG00000056487	PHF21B	False	True
ENSG00000056558	TRAF1	True	True
ENSG00000056586	RC3H2	True	True
ENSG00000056661	PCGF2	True	True
ENSG00000056736	IL17RB	True	True
ENSG00000056972	TRAF3IP2	True	True
ENSG00000056998	GYG2	True	True
ENSG00000057019	DCBLD2	True	True
ENSG00000057252	SOAT1	True	True
ENSG00000057294	PKP2	True	True
ENSG00000057468	MSH4	True	True
ENSG00000057608	GDI2	True	True
ENSG00000057657	PRDM1	True	True
ENSG00000057663	ATG5	True	True
ENSG00000057704	TMCC3	True	True
ENSG00000057757	PITHD1	True	True
ENSG00000057935	MTA3	True	True
ENSG00000058056	USP13	True	True
ENSG00000058063	ATP11B	True	True
ENSG00000058085	LAMC2	True	True
ENSG00000058091	CDK14	True	True
ENSG00000058262	SEC61A1	True	True
ENSG00000058272	PPP1R12A	True	True
ENSG00000058335	RASGRF1	True	True
ENSG00000058404	CAMK2B	True	True
ENSG00000058453	CROCC	True	True
ENSG00000058600	POLR3E	True	True
ENSG00000058668	ATP2B4	True	True
