context	contrast_id	positive_category	negative_category	n_genes	n_targets_positive	n_targets_negative	claim_role	panel	pathway	ES	NES	pval	padj	log2err	size	n_genes_in_set	direction	leading_edge	collection	ranking_method	claim_boundary	padj_within_context_contrast	minus_log10_padj	contrast_label	layer	n_contexts	supported_claim	not_used_to_claim	output	path	sha256
HCC38	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information					b	Glycolysis	-0.572768589271644	-1.37356979383739	0.0083184789067142	0.040950040950041	0.172450317477257	199.0	200.0	down	PLOD2;EXT1;HSPA5;PKM;PGAM1;ME1;EGFR;LDHA;ENO1;CD44;PFKP;NASP;STMN1;TGFBI;SLC25A13;VEGFA;ANGPTL4;GNPDA1;IDH1;ERO1A;HAX1;PYGL;HDLBP;PLOD1;SLC16A3;PGK1;PYGB;ALDOA;MDH2;RBCK1;SRD5A3;IER3;SOD1;QSOX1;TPBG;FKBP4;G6PD;GOT2;PMM2;SOX9;ALG1;GNE;NSDHL;PAXIP1;TALDO1;ZNF292;ARPP19;B4GALT2;TGFA;STC2;TXN;ANKZF1;DDIT4;RPE;GALE;B3GALT6;NOL3;P4HA2;ELF3;B4GALT1;CENPA;CHST12;GYS1;POLR3K;SDHC;ALDH9A1;HS2ST1;GCLC	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.0409500409500409	1.387745659608863	Anchor vs low-info							
HCC38	Q1_anchor_vs_middle	Q1_anchor	middle					b	Myc Targets V1	-0.820747297256772	-1.94695144151258	1e-10	5e-09		196.0	200.0	down	NPM1;RPS3;PSMD1;HNRNPU;LDHA;TYMS;HSPD1;PSMA1;KPNB1;RPL14;HNRNPA1;RPL34;EEF1B2;HNRNPD;RANBP1;SRSF2;PSMC6;HSP90AB1;PPM1G;PTGES3;XRCC6;SRSF3;ILF2;SET;G3BP1;DDX18;RNPS1;EIF4H;HNRNPA2B1;YWHAE;RUVBL2;SNRPD3;PSMA2;SERBP1;C1QBP;PCNA;SNRPA;NAP1L1;PSMD3;HNRNPR;EIF3B;EIF2S1;PGK1;SF3B3;USP1;RAD23B;PSMD14;DDX21;VDAC1;CUL1;EIF3J;DUT;MCM2;MCM4;RPS2;RACK1;RSL1D1;TCP1;POLD2;SMARCC1;EIF1AX;CCT5;HPRT1;TOMM70;EXOSC7;SRM;PCBP1;HSPE1;APEX1;MCM5;UBE2L3;CTPS1;EIF4A1;UBA2;PRDX3;ODC1;BUB3;SYNCRIP;CANX;CCT2;PABPC4;CNBP;FAM120A;EIF4G2;HNRNPA3;LSM2;CCNA2;AP3S1;XPOT;RPL22;CDC45;EIF2S2;TFDP1;TARDBP;COX5A;XPO1;HDGF;PHB;MYC;CCT3;DEK;SSB;RPLP0;RPL18;SNRPD1;SSBP1;TRA2B;SRSF7;DHX15;RAN;RRM1;ERH;NOP56;PPIA;CDK2;GSPT1;SLC25A3;EIF3D;PSMB2;SNRPG;NDUFAB1;EIF4E;TXNL4A;CSTF2;CAD;PWP1;NME1;ABCE1;PABPC1;RPS10;SNRPA1;PSMA7;NOP16;GOT2;RPS6;MCM6;RPS5	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	5e-09	8.301029995663981	Anchor vs middle							
HCC38	Q1_anchor_vs_middle	Q1_anchor	middle					b	mTORC1 Signaling	-0.737280554893339	-1.75043816899215	5.92636329328385e-09	1.48159082332096e-07	0.761460801445585	198.0	200.0	down	PLOD2;SDF2L1;HSP90B1;ENO1;LDHA;HSPD1;TXNRD1;CTSC;ME1;CALR;PSMC6;SQLE;ACTR3;GPI;ACTR2;GAPDH;PSMA3;ERO1A;PGK1;TPI1;POLR3G;SEC11A;PFKL;PSMD14;PRDX1;RPN1;ATP6V1D;CCT6A;PSMD13;CYP51A1;ACACA;TBK1;MCM2;MCM4;ATP2A2;GMPS;HSPA9;RDH11;SLC1A5;HPRT1;IDH1;DHFR;PNO1;CD9;SLC2A1;SSR1;LDLR;SORD;HSPE1;FADS1;ALDOA;RPA1;ABCF2;HSPA5;NUPR1;PSAT1;ATP5MC1;EEF1E1;PSMD12;GBE1;CANX;GGA2;HSPA4;SQSTM1;TMEM97;EIF2S2;PLK1;PPA1;ELOVL6;CCNF;SLC7A11;RRM2;ACLY;CCNG1;NFIL3;CACYBP;NUFIP1;PITPNB;PPIA;TFRC;TOMM40;PSME3;BUB1;NMT1;TCEA1;M6PR;HMGCS1;GLA;FADS2;SLC9A3R1;PGM1;ELOVL5;IFI30;AK4;NAMPT;ADIPOR2;GCLC;CYB5B;DHCR24;P4HA1;DDIT4	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	1.4815908233209626e-07	6.829271720587499	Anchor vs middle							
HCC38	Q1_anchor_vs_middle	Q1_anchor	middle					b	E2F Targets	-0.694495803968757	-1.64885938657052	1.14684666230234e-06	1.91141110383723e-05	0.643551836150722	198.0	200.0	down	HMGA1;PAICS;TUBB;ATAD2;HNRNPD;RANBP1;SRSF2;RAD21;SMC3;TMPO;RFC1;XRCC6;SLBP;SMC1A;DCTPP1;MKI67;STMN1;PNN;PCNA;NAP1L1;ILF3;IPO7;EIF2S1;PHF5A;USP1;ANP32E;JPT1;DIAPH3;HMGB2;DUT;MCM2;HMGB3;MCM4;RAD51AP1;POLD2;SMC4;BARD1;RPA1;MELK;CNOT9;MCM5;LMNB1;BIRC5;NASP;CTPS1;GINS1;CDKN3;CDC25B;SYNCRIP;TIMELESS;MMS22L;KIF4A;TCF19;PLK1;XPO1;RAD1;SSRP1;MYC;SMC6;NAA38;DEK;TBRG4;PLK4;DNMT1;PRKDC;TRA2B;RRM2;RAN;CENPE;MSH2;LUC7L3;NOP56;PSMC3IP;GSPT1;TFRC;TIPIN;TRIP13;CKS1B;NME1;PPM1D;PPP1R8;LBR;PRIM2;BRCA1;CTCF;ASF1A;TK1;CCNE1;RPA2;MCM6;CSE1L;RPA3;NCAPD2;GINS4;DCK;CBX5;RFC3;CDK4;CDKN1B;SHMT1;NUP153;POLE;SPC25	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	1.911411103837233e-05	4.718645895401015	Anchor vs middle							
HCC38	Q1_anchor_vs_middle	Q1_anchor	middle					b	G2-M Checkpoint	-0.684303950614596	-1.62201755975431	2.31323414023801e-06	2.89154267529752e-05	0.627256739718528	195.0	200.0	down	HMGA1;HNRNPU;MT2A;KPNB1;HNRNPD;NCL;SRSF2;RAD21;CBX1;SQLE;TMPO;RASAL2;SMC1A;MKI67;G3BP1;STMN1;SLC7A1;ILF3;HMGN2;PRC1;RAD23B;JPT1;CUL1;EFNA5;MCM2;HMGB3;HSPA8;SMC4;SMARCC1;BARD1;MCM5;LMNB1;AMD1;BIRC5;NASP;CDKN3;ODC1;BUB3;CDC25B;SYNCRIP;GINS2;FANCC;CCNA2;PML;UCK2;ATRX;NDC80;CDC45;TFDP1;KIF4A;CDC6;PLK1;XPO1;SFPQ;MYC;CHMP1A;PLK4;RBL1;KIF11;TLE3;SNRPD1;CCNF;SS18;TRA2B;SLC38A1;CENPE;MNAT1;EXO1;MARCKS;GSPT1;ABL1;BUB1;NUP50;DBF4;CKS1B;EWSR1;NUMA1;NSD2;SMAD3;LBR;PRIM2;CTCF;E2F4;FOXN3;TENT4A;MAP3K20;RPA2;CENPA;CENPF;SRSF10;MCM6;KNL1;KIF5B;NUP98;INCENP;CHAF1A;LIG3;WRN;CDK4;CDKN1B;SAP30;POLE	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	2.891542675297512e-05	4.538870393708144	Anchor vs middle							
HCC38	Q1_anchor_vs_middle	Q1_anchor	middle					b	Mitotic Spindle	-0.60642729915171	-1.43977693004029	0.0022933149868134	0.014333218667584	0.326351610990907	199.0	199.0	down	ARHGAP29;ARF6;SMC3;RASAL2;RFC1;SMC1A;FSCN1;YWHAE;MYO1E;PRC1;ROCK1;FGD6;BIN1;SMC4;NIN;FLNB;MYO9B;BCAR1;ANLN;LMNB1;BIRC5;PDLIM5;ARHGEF7;SPTBN1;CLIP2;LRPPRC;NF1;RALBP1;ARHGDIA;FGD4;DYNC1H1;ARHGEF3;RAB3GAP1;DST;CDC42;RICTOR;SAC3D1;AKAP13;NDC80;MYH9;OPHN1;RANBP9;KIF4A;PLK1;ARHGAP27;CEP192;EZR;KIF11;PCNT;TUBD1;FLNA;CDK5RAP2;TUBGCP3;KNTC1;CLIP1;PCM1;CENPE;MYH10;MARCKS;FARP1;TSC1;ABL1;PPP4R2;BUB1;LATS1;CEP57;MAP1S;NUMA1;SOS1;GSN;RASA1;EPB41L2;CAPZB;ARHGEF2;APC;CENPF;ABI1;RASA2;VCL;SEPTIN9;ARFGEF1;KIF5B;WASF2;ARHGAP10;INCENP;ITSN1;KIFAP3;SSH2;RHOF	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.0143332186675837	1.8436562734820336	Anchor vs middle							
HCC38	Q1_anchor_vs_middle	Q1_anchor	middle					b	TNF-alpha Signaling via NF-kB	0.344435546472651	0.975823792001845	0.510971786833856	0.594153240504484	0.0546498540116765	200.0	200.0	up	PMEPA1;BTG1;GADD45B;NFE2L2;CEBPD;NFKB1;TAP1;TSC22D1;AREG;CFLAR;RELA;BTG3;IFIH1;PNRC1;TUBB2A;GADD45A;EGR1;NFKBIA;SGK1;SOD2;SAT1;TRIB1;IL15RA;PLK2;GEM;JUN;IL7R;JUNB;TIPARP;RELB;CXCL1;IL6ST;TNC;KLF10;SERPINB8;FOSL2;PLAUR;CXCL6;FOS;NR4A2;REL;JAG1;TANK;IL6;IFNGR2;EDN1;SLC2A6;FOSB;MAP2K3;ZBTB10;GCH1;CDKN1A;IL18;NR4A3;FJX1;HES1;ZC3H12A;DNAJB4;KDM6B;BIRC2;BCL6	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.5941532405044837	0.22610152989679064	Anchor vs middle							
HCC38	Q1_anchor_vs_middle	Q1_anchor	middle					b	Apical Junction	-0.535084194188804	-1.27077672148711	0.0401100160440064	0.0971755899731639	0.0758099300882185	200.0	200.0	down	ACTG1;EGFR;ACTB;ITGB1;MSN;TGFBI;LIMA1;FSCN1;CDH3;CNN2;PTK2;NF2;YWHAH;TIAL1;CTNNA1;LAMA3;CAP1;RSU1;GNAI2;NF1;ITGA3;LAMC2;HRAS;CD99;MYH9;MAPK13;SORBS3;MPZL2;MYL12B;B4GALT1;JUP;AMIGO2;MYH10;DHX16;TSC1;MPZL1;MPP5;CD276;EXOC4;RASA1;EPB41L2;MAP3K20;CLDN4;CDK8;PKD1;CLDN7;VCL;HADH;CDH8;ACTN1;CALB2;RHOF;PBX2;PPP2R2C;INPPL1;PFN1;SLIT2;NEXN	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.0971755899731638	1.0124428139968065	Anchor vs middle							
HCC38	Q1_anchor_vs_middle	Q1_anchor	middle					b	Glycolysis	-0.631447535419894	-1.49917986096619	0.0001833032623762	0.0018330326237624	0.518848077743792	199.0	200.0	down	PLOD2;EGFR;ENO1;LDHA;ME1;PGAM1;EXT1;PFKP;CD44;TGFBI;STMN1;SOD1;ERO1A;PKM;SLC16A3;HAX1;PGK1;GNPDA1;PYGL;PLOD1;TPI1;TXN;SLC25A13;TALDO1;ANGPTL4;IDH1;ALDOA;RBCK1;HSPA5;FKBP4;NASP;VEGFA;HDLBP;NSDHL;QSOX1;TPBG;SOX9;ECD;SRD5A3;PYGB;ALG1;GNE;IER3;B4GALT1;PMM2;ARPP19;GALE;B4GALT2;PDK3;ZNF292;PAXIP1;PPIA;MDH2;ME2;B3GALT6;EXT2;NDUFV3;POLR3K;STC2;PAM;AK4;GOT2;CENPA;GCLC;GYS1;P4HA1;FAM162A;DDIT4;ALDH9A1;AK3;ANKZF1;P4HA2;EGLN3;CHST12;SAP30;SDHC;BPNT1;KIF2A;ALDH7A1;DLD;NOL3;PPP2CB;PHKA2;HK2;XYLT2;GPR87;RPE;TGFA;SLC37A4;COPB2;CHST4;HOMER1;GFPT1;HS2ST1;CTH;EFNA3	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.001833032623762	2.7368298055266504	Anchor vs middle							
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information					c	Myc Targets V1	-0.736557968940118	-1.60710836863338	3.53532308274185e-06	4.41915385342731e-05	0.627256739718528	196.0	200.0	down	TYMS;HNRNPU;RPS3;SNRPA1;HNRNPA3;HNRNPA2B1;HSP90AB1;EIF4G2;HSPD1;HNRNPR;LDHA;HNRNPA1;SERBP1;XRCC6;MCM4;NPM1;HNRNPD;CCT3;PTGES3;RANBP1;SRSF7;HSPE1;CDC20;G3BP1;PCNA;RPS2;PSMA1;RPL34;PSMD1;EEF1B2;SET;CCT5;RAD23B;RUVBL2;HDGF;MCM5;CYC1;KPNA2;XPO1;POLD2;PPM1G;C1QBP;RRM1;MCM7;KPNB1;SNRPD3;YWHAE;HNRNPC;PPIA;NAP1L1;PGK1;GSPT1;RAN;SRSF3;RPL6;MCM6;SMARCC1;RPLP0;SF3B3;CCNA2;TFDP1;PSMD14;VBP1;FAM120A;GOT2;PA2G4;IMPDH2;DEK;TARDBP;NOP56;EIF4H;VDAC3;ILF2;EIF4E;CLNS1A;SNRPA;TRIM28;MRPL23;SRM;SRPK1;PSMA4;SLC25A3;CCT2;PSMB3;HDAC2;VDAC1;CDC45;SRSF1;CAD;PSMD3;CTPS1;HPRT1;MCM2;NOP16;PABPC4;PHB;TOMM70;EIF4A1;AIMP2;RPL14;NOLC1;SRSF2;PRDX3;DUT;FBL;EXOSC7;DHX15;UBE2L3;APEX1;CDK2;PSMA2;ABCE1;XPOT;RNPS1;EIF3B;CSTF2;CUL1;CDK4;SNRPD2;PHB2;SNRPD1;CANX;DDX18;CCT7;USP1;MAD2L1;NCBP1;BUB3	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	4.419153853427312e-05	4.35466087815453	Anchor vs low-info							
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information					c	mTORC1 Signaling	-0.563006065012161	-1.22950583711159	0.0741931906399024	0.218767990788716	0.0539014313173232	198.0	200.0	down	ENO1;HSPD1;CALR;LDHA;MCM4;HSPE1;HSP90B1;CCT6A;IMMT;FADS1;PDAP1;GMPS;SLC7A5;DHFR;SDF2L1;PLK1;TCEA1;HSPA4;GAPDH;STIP1;PPIA;PGK1;G6PD;RRM2;ACACA;CACYBP;PSMD12;UCHL5;PSMD14;AURKA;GPI;SLC9A3R1;RPA1;PRDX1;FDXR;PSPH;PSMB5;PITPNB;BUB1;ARPC5L;SRD5A1;UNG;PSMA4;ACLY;ATP2A2;NMT1;PFKL;PLOD2;DHCR24;CTSC;HMBS;POLR3G;ACTR2;SQLE;IDH1;LDLR;SERPINH1;EBP;HPRT1;MCM2;ME1;TPI1;HMGCS1;GGA2;IFI30;NUP205;TOMM40;ELOVL6;USO1;TMEM97;DDX39A;ADD3;CCNF;DHCR7;HSPA5;TUBG1;ACSL3;HMGCR;NFYC;TFRC;M6PR;PSMA3;SHMT2;PIK3R3;ABCF2;CANX;MTHFD2;RDH11;SORD;FADS2;TUBA4A;HSPA9;ALDOA;TBK1;CYP51A1	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.2187679907887161	0.6600162218302889	Anchor vs low-info							
