model_family	model_id	run_type	cell_line	params_json	metric_value	metric	sensitivity_role	claim_boundary
GEARS	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	finite_budget_existing	HCC38	{}	0.3801652892561983	anchor vs low-information AUC	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
GEARS	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	finite_budget_existing	HCC1143	{}	0.6643356643356644	anchor vs low-information AUC	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
GEARS	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	finite_budget_existing	HCC38	{}	0.5289256198347108	anchor vs low-information AUC	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
GEARS	gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	finite_budget_existing	HCC1143	{}	0.5804195804195804	anchor vs low-information AUC	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
GEARS	gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	finite_budget_existing	HCC38	{}	0.8760330578512396	anchor vs low-information AUC	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
scGen	scgen_hcc_sens_e60_seed1	finite_budget	HCC1143	"{""batch_size"": 128, ""early_stopping_patience"": 10, ""max_epochs"": 60, ""seed"": 1}"	0.8251748251748252	anchor vs low-information AUC	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
scGen	scgen_hcc_sens_e60_seed1	finite_budget	HCC38	"{""batch_size"": 128, ""early_stopping_patience"": 10, ""max_epochs"": 60, ""seed"": 1}"	0.9669421487603306	anchor vs low-information AUC	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
scGen	scgen_hcc_sens_e100_seed2	finite_budget	HCC1143	"{""batch_size"": 128, ""early_stopping_patience"": 10, ""max_epochs"": 100, ""seed"": 2}"	0.8041958041958042	anchor vs low-information AUC	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
scGen	scgen_hcc_sens_e100_seed2	finite_budget	HCC38	"{""batch_size"": 128, ""early_stopping_patience"": 10, ""max_epochs"": 100, ""seed"": 2}"	0.9421487603305784	anchor vs low-information AUC	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
CPA	cpa_hcc_sens_e200_latent64_seed2	finite_budget	HCC1143	"{""batch_size"": 256, ""early_stopping_patience"": 12, ""max_epochs"": 200, ""n_latent"": 64, ""seed"": 2}"	0.4475524475524475	anchor vs low-information AUC	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
CPA	cpa_hcc_sens_e200_latent64_seed2	finite_budget	HCC38	"{""batch_size"": 256, ""early_stopping_patience"": 12, ""max_epochs"": 200, ""n_latent"": 64, ""seed"": 2}"	0.5041322314049587	anchor vs low-information AUC	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
CPA	cpa_hcc_sens_e200_latent32_seed1	finite_budget	HCC1143	"{""batch_size"": 256, ""early_stopping_patience"": 12, ""max_epochs"": 200, ""n_latent"": 32, ""seed"": 1}"	0.6293706293706294	anchor vs low-information AUC	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
CPA	cpa_hcc_sens_e200_latent32_seed1	finite_budget	HCC38	"{""batch_size"": 256, ""early_stopping_patience"": 12, ""max_epochs"": 200, ""n_latent"": 32, ""seed"": 1}"	0.8925619834710744	anchor vs low-information AUC	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
CellOT	cellot_hcc_sens_iter100_seed1	finite_budget	HCC1143	"{""gene_space"": ""axis"", ""max_control_cells"": 256, ""max_target_cells"": 256, ""max_targets"": 0, ""n_iters"": 100, ""seed"": 1}"	0.8111888111888111	anchor vs low-information AUC	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
CellOT	cellot_hcc_sens_iter100_seed1	finite_budget	HCC38	"{""gene_space"": ""axis"", ""max_control_cells"": 256, ""max_target_cells"": 256, ""max_targets"": 0, ""n_iters"": 100, ""seed"": 1}"	0.628099173553719	anchor vs low-information AUC	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
CellOT	cellot_hcc_sens_iter200_seed2	finite_budget	HCC1143	"{""gene_space"": ""axis"", ""max_control_cells"": 256, ""max_target_cells"": 256, ""max_targets"": 0, ""n_iters"": 200, ""seed"": 2}"	0.7342657342657343	anchor vs low-information AUC	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
CellOT	cellot_hcc_sens_iter200_seed2	finite_budget	HCC38	"{""gene_space"": ""axis"", ""max_control_cells"": 256, ""max_target_cells"": 256, ""max_targets"": 0, ""n_iters"": 200, ""seed"": 2}"	0.5950413223140496	anchor vs low-information AUC	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
CellOT	cellot_hcc_sens_iter500_seed1_full	finite_budget	HCC1143	"{""gene_space"": ""axis"", ""max_control_cells"": 256, ""max_target_cells"": 256, ""max_targets"": 0, ""n_iters"": 500, ""seed"": 1}"	0.8111888111888111	anchor vs low-information AUC	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
CellOT	cellot_hcc_sens_iter500_seed1_full	finite_budget	HCC38	"{""gene_space"": ""axis"", ""max_control_cells"": 256, ""max_target_cells"": 256, ""max_targets"": 0, ""n_iters"": 500, ""seed"": 1}"	0.6115702479338843	anchor vs low-information AUC	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
