timepoint	role	dataset_label	n_formal_bridgeable_targets	target_genes	n_cells_with_single_feature	n_control_cells	qc_guide_rows	qc_sg_guides	qc_intergenic_guides	truth_metric	depmap_endpoint	aligned_spearman	mean_truth_metric	median_truth_metric	panel	object_type	object_id	observed_pattern	evidence_tier	claim_boundary	panel_question	primary_truth_metric	primary_depmap_endpoint	rank_bridge_call	mean_shift_call	interpretation_boundary
7d															d	dataset_level	architecture_existence	canonical_backbone_present=True; shift_excess_present=True	supplementary_confirmed	支持 supplementary-level architecture existence，不支持 shared mainline architecture						
7d															d	dataset_level	canonical_backbone_present	external backbone-like structure detected	supplementary_confirmed	支持 backbone existence，不支持 backbone macro class 与 HCC 相同						
7d															d	dataset_level	shift_excess_present	shift-excess structure detected in K562	supplementary_supporting	支持存在性，不支持 dominant shift-excess macro class 已稳定命名						
7d															d	dataset_level	backbone_macro_class	transcription regulation	supplementary_supporting	支持 context-specific backbone replication，不支持与 HCC backbone macro class 对齐						
7d															d	dataset_level	architecture_class	backbone_plus_shift_excess	supplementary_supporting	支持 K562 architecture composition 与 HCC 不同，不支持跨 context 同构						
7d															d	dataset_level	shift_excess_macro_class	signaling / stress	preliminary	当前不足以写成稳定、可命名的 supplementary positive program						
7d															d	axis_level	unresolved_2	translation / chromatin machinery backbone axis; n_genes=1; fraction_Q1=1.000	supplementary_supporting	支持 backbone heterogeneity，不能直接等同 HCC gene expression machinery						
7d															d	axis_level	unresolved_5	translation initiation / RNA processing backbone axis; n_genes=2; fraction_Q1=0.000	preliminary	轴规模过小，只能作 preliminary supportive line						
7d															d	axis_level	unresolved_4	shift_excess-like axis; n_genes=1; fraction_shift_excess=0.000	preliminary	支持 K562 含 shift-excess 成分，但不足以稳定命名 macro class						
13d															d	dataset_level	architecture_existence	canonical_backbone_present=True; shift_excess_present=True	supplementary_confirmed	支持 supplementary-level architecture existence，不支持 shared mainline architecture						
13d															d	dataset_level	canonical_backbone_present	external backbone-like structure detected	supplementary_confirmed	支持 backbone existence，不支持 backbone macro class 与 HCC 相同						
13d															d	dataset_level	shift_excess_present	shift-excess structure detected in K562	supplementary_supporting	支持存在性，不支持 dominant shift-excess macro class 已稳定命名						
13d															d	dataset_level	backbone_macro_class	transcription regulation	supplementary_supporting	支持 context-specific backbone replication，不支持与 HCC backbone macro class 对齐						
13d															d	dataset_level	architecture_class	backbone_plus_shift_excess	supplementary_supporting	支持 K562 architecture composition 与 HCC 不同，不支持跨 context 同构						
13d															d	dataset_level	shift_excess_macro_class	translation / chromatin machinery	preliminary	当前不足以写成稳定、可命名的 supplementary positive program						
13d															d	axis_level	unresolved_2	translation / chromatin machinery backbone axis; n_genes=2; fraction_Q1=0.000	supplementary_supporting	支持 backbone heterogeneity，不能直接等同 HCC gene expression machinery						
13d															d	axis_level	unresolved_5	translation initiation / RNA processing backbone axis; n_genes=1; fraction_Q1=0.000	preliminary	轴规模过小，只能作 preliminary supportive line						
13d															d	axis_level	unresolved_4	shift_excess-like axis; n_genes=1; fraction_shift_excess=0.000	preliminary	支持 K562 含 shift-excess 成分，但不足以稳定命名 macro class						
															e						same_context_temporal_bridge	real_shift_mean_abs	depmap_gene_dependency	rank_bridge_not_stronger_at_13d	mean_shift_stronger_at_13d	13d is the primary formal supplementary bridge test; 7d is a temporal sensitivity / early-bridge probe.
