target_gene	candidate_type	combined_residual_label	combined_depmap_label	both_lines_shift_excess	functional_category	functional_description	residual_HCC38	residual_HCC1143	shift_HCC38	shift_HCC1143	effect_HCC38	effect_HCC1143	dep_HCC38	dep_HCC1143	residual_label_HCC38	residual_label_HCC1143	depmap_label_HCC38	depmap_label_HCC1143
MTDH	D: depmap_excess	shift_deficient	strong_viability_liability	False			-2.904081276937972e-05	-0.0004996203460521	0.0056310162158605	0.0047338690320834	-0.0521834016027112	0.0581370024256225	0.0342163047187118	0.0123435627679496	shift_deficient	shift_deficient	intermediate_viability_liability	strong_viability_liability
HDGF	D: depmap_excess	shift_deficient	strong_viability_liability	False			-0.0001987538037882	-0.0014403316532318	0.0053940020400889	0.0039901671750222	-0.0275129839181656	0.0093193516536966	0.0286996254177853	0.0196252078195258	shift_deficient	shift_deficient	intermediate_viability_liability	strong_viability_liability
TAB3	C: line_specific_shift_excess	top_residual_in_one	strong_viability_liability	False			-0.0002154692673164	0.000953490748375	0.005355838101385	0.0060275444241772	-0.0196506729762948	0.0976441247104035	0.0271522701939877	0.0084525379475361	shift_deficient	shift_excess	intermediate_viability_liability	strong_viability_liability
PARK7	D: depmap_excess	shift_deficient	strong_viability_liability	False			-0.0004249359429801	-0.0002007712593501	0.0050560733285705	0.0061480042391653	0.0134496621963463	-0.2182235899354996	0.0215311147572859	0.1318604273725387	shift_deficient	shift_deficient	strong_viability_liability	intermediate_viability_liability
PEX14	D: depmap_excess	shift_deficient	strong_viability_liability	False			-0.0004929743696039	-0.0010456548514921	0.004391741095693	0.0044493142820248	0.232031509113923	-0.0066559675281558	0.0049454685061893	0.0227993432195642	shift_deficient	shift_deficient	strong_viability_liability	intermediate_viability_liability
THAP8	D: depmap_excess	shift_deficient	strong_viability_liability	False			-0.0005092095367631	-0.0002653524753134	0.0050563694115236	0.0050716034302432	-0.0175508210223816	0.0324986749282021	0.0267473201978675	0.0157775614105068	shift_deficient	shift_deficient	intermediate_viability_liability	strong_viability_liability
STAT3	D: depmap_excess	shift_deficient	strong_viability_liability	False			-0.0005740609596133	-0.000149439068005	0.0049421595924907	0.0045791788860737	0.0005423560077098	0.1832408329754175	0.0235621693286022	0.0037329167002494	shift_deficient	shift_deficient	strong_viability_liability	strong_viability_liability
GON4L	C: line_specific_shift_excess	top_residual_in_one	weak_viability_liability	False			-0.0006430251686404	0.0012663486589094	0.0060144581054616	0.0076879048971422	-0.4178073081616394	-0.2362581803183601	0.3129469325001975	0.1493363288328347	shift_deficient	shift_excess	weak_viability_liability	weak_viability_liability
PMF1	C: line_specific_shift_excess	top_residual_in_one	weak_viability_liability	False			-0.0006598961817566	0.0027909517788656	0.0092008578860405	0.0127756932567781	-1.5920218294593655	-1.119192133800067	0.9978434877605236	0.9510487581740272	shift_deficient	shift_excess	weak_viability_liability	weak_viability_liability
ZBTB5	D: depmap_excess	shift_deficient	strong_viability_liability	False			-0.0006804148872734	-0.0007249561399313	0.0046384099549855	0.0053368219337521	0.0729011804312269	-0.1471075087045335	0.0143722132742512	0.0773557703888747	shift_deficient	shift_deficient	strong_viability_liability	intermediate_viability_liability
CDKN2A	C: line_specific_shift_excess	top_residual_in_one	strong_viability_liability	False			-0.0006943366956666	0.0017555807543913	0.0040551040534158	0.0050523230156554	0.2816188048418129	0.5380502468314596	0.0034117871973033	6.198489826465077e-05	shift_deficient	shift_excess	strong_viability_liability	strong_viability_liability
SMAD1	D: depmap_excess	shift_deficient	strong_viability_liability	False			-0.0006996780493545	-0.0010620174224982	0.0045644798021591	0.0045476060135123	0.092940314960579	-0.0350665523770763	0.0125810954880103	0.0296077539081418	shift_deficient	shift_deficient	strong_viability_liability	intermediate_viability_liability
ERC1	D: depmap_excess	shift_deficient	strong_viability_liability	False			-0.000748945350976	-0.0007426226695384	0.00417172244801	0.0048784834929897	0.2188525570329813	-0.0379118967638982	0.0054295617631019	0.0303840215886299	shift_deficient	shift_deficient	strong_viability_liability	intermediate_viability_liability
KLF3	D: depmap_excess	shift_deficient	intermediate_viability_liability	False			-0.0008227403199183	-0.0003169319150876	0.0054676604656395	0.0053919861225157	-0.2832468490799181	-0.0596711039921486	0.1616884807733207	0.0369385703770605	shift_deficient	shift_deficient	weak_viability_liability	intermediate_viability_liability
BMPR1A	C: line_specific_shift_excess	top_residual_in_one	weak_viability_liability	False			-0.0008580873192481	0.0001129969346457	0.0056197913890013	0.0070281282052424	-0.3519701364399601	-0.3585628390298763	0.2329854350238944	0.307130270365165	shift_deficient	shift_excess	weak_viability_liability	weak_viability_liability
ETV3	D: depmap_excess	shift_deficient	intermediate_viability_liability	False			-0.0008613799584009	-0.0010151547990828	0.0051298888376656	0.0053871026377591	-0.1735948251121793	-0.2314760637952857	0.0807914252803547	0.1444988533493548	shift_deficient	shift_deficient	intermediate_viability_liability	weak_viability_liability
RUVBL2	D: depmap_excess	shift_deficient	weak_viability_liability	False	chromatin remodeling	Chromatin remodeling / INO80 complex	-0.000881611022861	-0.0059626424193833	0.0082501146934477	0.0119327730703482	-1.3247838305863433	-3.079405316707214	0.978029448287533	1.0	shift_deficient	shift_deficient	weak_viability_liability	weak_viability_liability
COMMD6	D: depmap_excess	shift_deficient	strong_viability_liability	False	signaling / copper metabolism	Copper metabolism / NF-κB regulation	-0.0008954126758508	-0.0018290028000756	0.0042202270388882	0.0045342930040741	0.1473822164133259	-0.2218216265227303	0.0087958879569685	0.1351756293730245	shift_deficient	shift_deficient	strong_viability_liability	intermediate_viability_liability
UBP1	D: depmap_excess	shift_deficient	strong_viability_liability	False			-0.0010572724019838	-0.0005247683260854	0.004398069047543	0.0046551429363536	0.0228586479772922	0.0714133084074786	0.0201784564207119	0.0108785135935251	shift_deficient	shift_deficient	strong_viability_liability	strong_viability_liability
XBP1	D: depmap_excess	shift_deficient	strong_viability_liability	False			-0.0011947122161723	-0.0004879326856233	0.0040282961697656	0.0045885756847594	0.1080243659617565	0.097035867478511	0.0113924113087519	0.0085039693399301	shift_deficient	shift_deficient	strong_viability_liability	strong_viability_liability
RPS3	D: depmap_excess	shift_deficient	weak_viability_liability	False	ribosomal / translation	Ribosomal protein / translation	-0.0012210037608086	-0.004995731233292	0.0096911866022176	0.007860948328555	-1.977444057423196	-1.8308395717061807	1.0	1.0	shift_deficient	shift_deficient	weak_viability_liability	weak_viability_liability
MAML3	D: depmap_excess	shift_deficient	strong_viability_liability	False			-0.0012488260912194	-0.0005611094038771	0.0039010408237359	0.0042930848646172	0.1348356419568611	0.1521238451421929	0.009549016733777	0.0050198572939971	shift_deficient	shift_deficient	strong_viability_liability	strong_viability_liability
PCBD1	D: depmap_excess	shift_deficient	strong_viability_liability	False			-0.0013037732368964	-0.0005170578546941	0.0041690086810655	0.004675198066501	0.016465541489049	0.0683543828600407	0.0210892465180688	0.0111916491629234	shift_deficient	shift_deficient	strong_viability_liability	strong_viability_liability
PRDX2	D: depmap_excess	shift_deficient	intermediate_viability_liability	False			-0.0014127767134366	-0.0009644941944828	0.0048643958897732	0.0055213995831513	-0.278397829186231	-0.252200600989717	0.1572365253337959	0.1660158727868937	shift_deficient	shift_deficient	intermediate_viability_liability	weak_viability_liability
NCOA1	D: depmap_excess	shift_deficient	intermediate_viability_liability	False	transcription regulation	Nuclear receptor co-activator	-0.0014235038520742	-0.0016261904712875	0.0043489041564256	0.0039071575713196	-0.0933676037953646	-0.0161660097106361	0.0459486880054965	0.0248991192692647	shift_deficient	shift_deficient	intermediate_viability_liability	intermediate_viability_liability
ZNF566	D: depmap_excess	shift_deficient	strong_viability_liability	False			-0.0014768800060284	-0.0006091565306257	0.0045411647163488	0.0044548810181222	-0.1834100057572494	0.1001260553605671	0.0863639716532793	0.0082561267211935	shift_deficient	shift_deficient	intermediate_viability_liability	strong_viability_liability
ZNF24	D: depmap_excess	shift_deficient	strong_viability_liability	False			-0.0017516482680549	-0.0007504457656013	0.0039710221358838	0.0043616307953344	-0.0751354213507236	0.0882223029314296	0.0403071652767106	0.0092505619875028	shift_deficient	shift_deficient	intermediate_viability_liability	strong_viability_liability
RORC	D: depmap_excess	shift_deficient	intermediate_viability_liability	False			-0.001787978643083	-0.0012374039499269	0.0047603589109585	0.0045634026869297	-0.377798049598536	-0.0824404967576715	0.263229534078098	0.0451125018855452	shift_deficient	shift_deficient	weak_viability_liability	intermediate_viability_liability
TMSB4X	D: depmap_excess	shift_deficient	strong_viability_liability	False			-0.0019273474517844	-0.0011300563587083	0.0045126915949235	0.0039703565382887	-0.3380993515689319	0.091112482425534	0.2174493812731642	0.0090048231316929	shift_deficient	shift_deficient	weak_viability_liability	strong_viability_liability
YBX1	D: depmap_excess	shift_deficient	weak_viability_liability	False	RNA processing	RNA-binding / transcription / translation	-0.0046212792218524	-0.0032760903511849	0.0076494599161971	0.0077493948528648	-2.475443696624305	-1.377081609330736	1.0	0.9913468022551738	shift_deficient	shift_deficient	weak_viability_liability	weak_viability_liability
