cell_line,context_role,target_gene,n_cells_target,observed_shift_mean_abs,matched_null_shift_mean,noise_corrected_shift,equal_n_primary_shift,depmap_gene_dependency,corrected_shift_percentile,corrected_dependency_percentile,corrected_shift_band,corrected_dependency_band,endpoint_category,raw_category,category_changed_from_raw
HCC1143,qualified_primary_context,RPS3,72,0.007860948328555,0.0074445075590064,0.0004164407695485,0.0137170944049595,1.0,0.2708333333333333,0.96875,middle,high,middle,endpoint_anchor,True
HCC1143,qualified_primary_context,RUVBL2,51,0.0119327730703482,0.0087900342932327,0.0031427387771154,0.0165176193828915,1.0,0.8958333333333334,0.96875,high,high,endpoint_anchor,endpoint_anchor,False
HCC1143,qualified_primary_context,SMAD1,299,0.0045476060135123,0.0040959625975349,0.0004516434159773,0.0139675303944863,0.0296077539081418,0.3333333333333333,0.4375,middle,middle,middle,middle,False
HCC1143,qualified_primary_context,SS18L2,26,0.0243279181183303,0.012105662326892,0.0122222557914382,0.0257390744257771,1.0,1.0,0.96875,high,high,endpoint_anchor,endpoint_anchor,False
HCC1143,qualified_primary_context,STAT3,305,0.0045791788860737,0.0040659833502582,0.0005131955358154,0.0143945461907458,0.0037329167002494,0.375,0.041666666666666664,middle,low,middle,low_information,True
HCC1143,qualified_primary_context,TAB3,222,0.0060275444241772,0.0045706175562843,0.0014569268678928,0.014327028238195,0.0084525379475361,0.6666666666666666,0.125,middle,low,middle,middle,False
HCC1143,qualified_primary_context,TADA3,133,0.0103750807743799,0.0056538821110183,0.0047211986633615,0.0160917754849646,0.2498577956515995,0.9375,0.7708333333333334,high,high,endpoint_anchor,endpoint_anchor,False
HCC1143,qualified_primary_context,THAP8,335,0.0050716034302432,0.0039400767539672,0.0011315266762759,0.0142088431343581,0.0157775614105068,0.6041666666666666,0.2916666666666667,middle,middle,middle,middle,False
HCC1143,qualified_primary_context,THRA,188,0.0053431820384494,0.0048939411348004,0.0004492409036489,0.0135790008209455,0.0463338341696651,0.3125,0.5208333333333334,middle,middle,middle,middle,False
HCC1143,qualified_primary_context,TMF1,145,0.0058951763799742,0.0054482101016077,0.0004469662783664,0.0142446622581542,0.1394316818255967,0.2916666666666667,0.6458333333333334,middle,middle,middle,middle,False
HCC1143,qualified_primary_context,TMSB4X,266,0.0039703565382887,0.0042510574239545,-0.0002807008856658,0.0136805234721719,0.0090048231316929,0.020833333333333332,0.16666666666666666,low,low,low_information,low_information,False
HCC1143,qualified_primary_context,UBP1,267,0.0046551429363536,0.0042721605017615,0.000382982434592,0.0137379232211518,0.0108785135935251,0.22916666666666666,0.22916666666666666,low,low,low_information,middle,True
HCC1143,qualified_primary_context,VEZF1,255,0.0060274132373266,0.0043293121042484,0.0016981011330781,0.0148777256073332,0.0275909199432945,0.75,0.4166666666666667,high,middle,middle,middle,False
HCC1143,qualified_primary_context,XBP1,314,0.0045885756847594,0.0040262766857575,0.0005622989990018,0.0137870458249493,0.0085039693399301,0.4166666666666667,0.14583333333333334,middle,low,middle,middle,False
HCC1143,qualified_primary_context,YBX1,177,0.0077493948528648,0.0050121909472103,0.0027372039056544,0.0155480560864399,0.9913468022551738,0.8333333333333334,0.9166666666666666,high,high,endpoint_anchor,endpoint_anchor,False
HCC1143,qualified_primary_context,ZBTB17,75,0.010587215682323,0.0073401154315917,0.0032471002507312,0.0164688414805113,0.7578619386258375,0.9166666666666666,0.8333333333333334,high,high,endpoint_anchor,endpoint_anchor,False
HCC1143,qualified_primary_context,ZBTB20,315,0.0043814448697306,0.0040184570490657,0.0003629878206648,0.0139176135800308,0.0078803596044426,0.16666666666666666,0.08333333333333333,low,low,low_information,low_information,False
HCC1143,qualified_primary_context,ZBTB5,212,0.0053368219337521,0.0046465840905174,0.0006902378432346,0.0138445684265129,0.0773557703888747,0.5208333333333334,0.5416666666666666,middle,middle,middle,middle,False
HCC1143,qualified_primary_context,ZNF131,43,0.0105522037854389,0.0095014509820632,0.0010507528033756,0.0147138934154576,0.9463812533969612,0.5833333333333334,0.8541666666666666,middle,high,middle,endpoint_anchor,True
HCC1143,qualified_primary_context,ZNF24,462,0.0043616307953344,0.003590026550878,0.0007716042444563,0.0138434021731109,0.0092505619875028,0.5416666666666666,0.1875,middle,low,middle,low_information,True
HCC1143,qualified_primary_context,ZNF566,372,0.0044548810181222,0.0038026393137206,0.0006522417044015,0.0135882904776845,0.0082561267211935,0.5,0.10416666666666667,middle,low,middle,low_information,True
HCC38,sensitivity_boundary_context,ARID1A,365,0.0085365617536346,0.0042792754536844,0.0042572862999502,0.0187305108965319,0.0939245801107399,0.9787234042553191,0.6382978723404256,high,middle,middle,middle,False
HCC38,sensitivity_boundary_context,BMPR1A,212,0.0056197913890013,0.0052794015726892,0.000340389816312,0.0158109493883429,0.2329854350238944,0.46808510638297873,0.723404255319149,middle,middle,middle,middle,False
HCC38,sensitivity_boundary_context,CDKN2A,399,0.0040551040534158,0.0041334527897679,-7.83487363521405e-05,0.0157968638185981,0.0034117871973033,0.06382978723404255,0.0425531914893617,low,low,low_information,low_information,False
HCC38,sensitivity_boundary_context,COMMD6,395,0.0042202270388882,0.0041524125175712,6.78145213169612e-05,0.0158610467523189,0.0087958879569685,0.10638297872340426,0.14893617021276595,low,low,low_information,low_information,False
HCC38,sensitivity_boundary_context,ENY2,93,0.0103397858020701,0.0076455284916398,0.0026942573104302,0.0174832487292563,0.4895161201697765,0.8936170212765957,0.8297872340425532,high,high,endpoint_anchor,endpoint_anchor,False
HCC38,sensitivity_boundary_context,ERC1,433,0.00417172244801,0.004017669305619,0.0001540531423909,0.0160564684202989,0.0054295617631019,0.2127659574468085,0.0851063829787234,low,low,low_information,low_information,False
HCC38,sensitivity_boundary_context,ETV3,244,0.0051298888376656,0.004982591071783,0.0001472977658825,0.0156384888962326,0.0807914252803547,0.1702127659574468,0.5531914893617021,low,middle,middle,middle,False
HCC38,sensitivity_boundary_context,GON4L,167,0.0060144581054616,0.005846513129882,0.0001679449755795,0.0159178293405656,0.3129469325001975,0.2765957446808511,0.7872340425531915,middle,high,middle,middle,False
HCC38,sensitivity_boundary_context,HDGF,254,0.0053940020400889,0.0048945686495058,0.000499433390583,0.0161295046066455,0.0286996254177853,0.574468085106383,0.40425531914893614,middle,middle,middle,middle,False
HCC38,sensitivity_boundary_context,HLX,289,0.0052991294769277,0.0046456460880187,0.0006534833889089,0.0163687572433246,0.006315463793662,0.5957446808510638,0.10638297872340426,middle,low,middle,middle,False
HCC38,sensitivity_boundary_context,KLF3,236,0.0054676604656395,0.0050524726129868,0.0004151878526526,0.0162768765202744,0.1616884807733207,0.5531914893617021,0.6808510638297872,middle,middle,middle,middle,False
HCC38,sensitivity_boundary_context,LAMTOR5,157,0.0106435490794122,0.0060315700115976,0.0046119790678145,0.0184613157123066,0.0890975409858624,1.0,0.6170212765957447,high,middle,middle,middle,False
HCC38,sensitivity_boundary_context,MAML3,423,0.0039010408237359,0.0040598705917933,-0.0001588297680574,0.0157502305237748,0.009549016733777,0.02127659574468085,0.1702127659574468,low,low,low_information,low_information,False
HCC38,sensitivity_boundary_context,MIER1,267,0.0049938655360828,0.0048050458977893,0.0001888196382934,0.0157189403107321,0.0068709338808792,0.3404255319148936,0.1276595744680851,middle,low,middle,middle,False
HCC38,sensitivity_boundary_context,MTDH,282,0.0056310162158605,0.0047152656860639,0.0009157505297965,0.0168390239074519,0.0342163047187118,0.6808510638297872,0.425531914893617,middle,middle,middle,middle,False
HCC38,sensitivity_boundary_context,MYBL1,220,0.0071407239504648,0.005199614170322,0.0019411097801427,0.0161164751986796,0.0145675964421822,0.8297872340425532,0.2553191489361702,high,middle,middle,middle,False
HCC38,sensitivity_boundary_context,NCOA1,389,0.0043489041564256,0.0041669167072387,0.0001819874491868,0.0161017896806173,0.0459486880054965,0.3191489361702128,0.48936170212765956,middle,middle,middle,middle,False
HCC38,sensitivity_boundary_context,NPM1,80,0.0113723052385142,0.0082000253546723,0.0031722798838418,0.018076447108605,0.8555302996262993,0.9361702127659575,0.8936170212765957,high,high,endpoint_anchor,endpoint_anchor,False
HCC38,sensitivity_boundary_context,PA2G4,194,0.0071702138866234,0.0054919873368793,0.001678226549744,0.0163397612934232,0.3764696904296344,0.8085106382978723,0.8085106382978723,high,high,endpoint_anchor,middle,True
HCC38,sensitivity_boundary_context,PARK7,254,0.0050560733285705,0.0048945686495058,0.0001615046790646,0.0157398633837141,0.0215311147572859,0.2553191489361702,0.3191489361702128,middle,middle,middle,middle,False
HCC38,sensitivity_boundary_context,PCBD1,428,0.0041690086810655,0.0040395020934782,0.0001295065875872,0.0159654279138245,0.0210892465180688,0.14893617021276595,0.2978723404255319,low,middle,middle,middle,False
HCC38,sensitivity_boundary_context,PEX14,439,0.004391741095693,0.0040035928071481,0.0003881482885448,0.0166917819485561,0.0049454685061893,0.5319148936170213,0.06382978723404255,middle,low,middle,low_information,True
HCC38,sensitivity_boundary_context,PFDN5,67,0.0091179791241103,0.0089367755868165,0.0001812035372937,0.0161947495752336,0.8201974002162512,0.2978723404255319,0.8723404255319149,middle,high,middle,endpoint_anchor,True
HCC38,sensitivity_boundary_context,PMF1,94,0.0092008578860405,0.0076099653173109,0.0015908925687295,0.0176654407999732,0.9978434877605236,0.7659574468085106,0.9574468085106383,high,high,endpoint_anchor,endpoint_anchor,False
HCC38,sensitivity_boundary_context,PRDX2,302,0.0048643958897732,0.0045788832418797,0.0002855126478934,0.0156638234105692,0.1572365253337959,0.40425531914893614,0.6595744680851063,middle,middle,middle,middle,False
HCC38,sensitivity_boundary_context,PRPF6,25,0.0144798741040019,0.0142489871036283,0.0002308870003735,0.0160597010220824,0.9972796156547944,0.3829787234042553,0.9361702127659575,middle,high,middle,endpoint_anchor,True
HCC38,sensitivity_boundary_context,RORC,296,0.0047603589109585,0.0046092058243007,0.0001511530866577,0.0161038823069208,0.263229534078098,0.19148936170212766,0.7446808510638298,low,middle,middle,middle,False
HCC38,sensitivity_boundary_context,RPS3,69,0.0096911866022176,0.0087693399861904,0.0009218466160271,0.0165918848775053,1.0,0.7021276595744681,0.9893617021276596,middle,high,middle,endpoint_anchor,True
HCC38,sensitivity_boundary_context,RUVBL2,95,0.0082501146934477,0.0075621743084882,0.0006879403849594,0.0170069005853995,0.978029448287533,0.6170212765957447,0.9148936170212766,middle,high,middle,endpoint_anchor,True
HCC38,sensitivity_boundary_context,SMAD1,321,0.0045644798021591,0.0044751951908436,8.928461131540999e-05,0.0159737063215863,0.0125810954880103,0.1276595744680851,0.2127659574468085,low,low,low_information,middle,True
HCC38,sensitivity_boundary_context,STAT3,394,0.0049421595924907,0.0041451498167804,0.0007970097757102,0.0163685593923038,0.0235621693286022,0.6382978723404256,0.3404255319148936,middle,middle,middle,middle,False
HCC38,sensitivity_boundary_context,TAB3,246,0.005355838101385,0.0049712502499993,0.0003845878513856,0.015794543570039,0.0271522701939877,0.5106382978723404,0.3829787234042553,middle,middle,middle,middle,False
HCC38,sensitivity_boundary_context,TADA3,177,0.0091400872937874,0.0057031624145727,0.0034369248792146,0.0174782203208373,0.035551946395066,0.9574468085106383,0.44680851063829785,high,middle,middle,middle,False
HCC38,sensitivity_boundary_context,THAP8,276,0.0050563694115236,0.0047385393784888,0.0003178300330347,0.0158714041316827,0.0267473201978675,0.44680851063829785,0.3617021276595745,middle,middle,middle,middle,False
HCC38,sensitivity_boundary_context,THRA,266,0.0058419151883759,0.0048156621097366,0.0010262530786392,0.0162138310090702,0.0573416619307745,0.7446808510638298,0.5106382978723404,middle,middle,middle,middle,False
HCC38,sensitivity_boundary_context,TMF1,206,0.00630257681098,0.0053462127564105,0.0009563640545694,0.0162286568687756,0.0809743969956026,0.723404255319149,0.574468085106383,middle,middle,middle,middle,False
HCC38,sensitivity_boundary_context,TMSB4X,352,0.0045126915949235,0.0043165522885926,0.0001961393063308,0.0160158045617145,0.2174493812731642,0.3617021276595745,0.7021276595744681,middle,middle,middle,middle,False
HCC38,sensitivity_boundary_context,UBP1,371,0.004398069047543,0.0042395298849683,0.0001585391625746,0.0156550263994747,0.0201784564207119,0.23404255319148937,0.2765957446808511,low,middle,middle,middle,False
HCC38,sensitivity_boundary_context,VEZF1,226,0.0073740581188237,0.0051374989892241,0.0022365591295995,0.0171604069916504,0.0694464693745538,0.8723404255319149,0.5319148936170213,high,middle,middle,middle,False
HCC38,sensitivity_boundary_context,XBP1,394,0.0040282961697656,0.0041451498167804,-0.0001168536470148,0.0154375408001065,0.0113924113087519,0.0425531914893617,0.19148936170212766,low,low,low_information,low_information,False
HCC38,sensitivity_boundary_context,YBX1,177,0.0076494599161971,0.0057031624145727,0.0019462975016243,0.01667474212802,1.0,0.851063829787234,0.9893617021276596,high,high,endpoint_anchor,middle,True
HCC38,sensitivity_boundary_context,ZBTB17,139,0.0079465191255336,0.0063485102811626,0.0015980088443709,0.0168904362859265,0.2634223656448051,0.7872340425531915,0.7659574468085106,high,high,endpoint_anchor,endpoint_anchor,False
HCC38,sensitivity_boundary_context,ZBTB20,471,0.0048062658192207,0.0039253146224892,0.0008809511967314,0.0162135320392535,0.0018330352467763,0.6595744680851063,0.02127659574468085,middle,low,middle,middle,False
HCC38,sensitivity_boundary_context,ZBTB5,363,0.0046384099549855,0.0042794047889709,0.0003590051660145,0.0157701275032364,0.0143722132742512,0.48936170212765956,0.23404255319148937,middle,low,middle,middle,False
HCC38,sensitivity_boundary_context,ZNF131,118,0.0098454685363047,0.0068417420038696,0.003003726532435,0.0183272663870769,0.6622862073859538,0.9148936170212766,0.851063829787234,high,high,endpoint_anchor,endpoint_anchor,False
HCC38,sensitivity_boundary_context,ZNF24,472,0.0039710221358838,0.0039185463585332,5.247577735052831e-05,0.0158970938878878,0.0403071652767106,0.0851063829787234,0.46808510638297873,low,middle,middle,middle,False
HCC38,sensitivity_boundary_context,ZNF566,372,0.0045411647163488,0.0042488276499482,0.0002923370664005,0.0157121555465061,0.0863639716532793,0.425531914893617,0.5957446808510638,middle,middle,middle,middle,False
