dataset_id	context	cell_line	evidence_layer	claim_role	source_path	source_sha256	n_targets_total	n_targets_matched_depmap	dependency_strength_variable	shift_metric	spearman_rho	spearman_permutation_pvalue	spearman_bootstrap_ci_low	spearman_bootstrap_ci_high	pearson_r	pearson_permutation_pvalue	pearson_bootstrap_ci_low	pearson_bootstrap_ci_high	n_permutations	n_bootstrap	status	supported_claim	panel	manuscript_layer_label	resource_role	not_used_to_claim	endpoint_category	n_targets	median_shift_quantile	median_dependency_quantile	targets	n_targets_context	fraction_targets	claim_boundary	boundary	evidence	interpretation
	Norman K562 CRISPRa																					governance and scope definition	b	Excluded / future-extension registry	excluded/future module	requires a separate endpoint module before inclusion											
	RPE1 essential CRISPRi day 7																					governance and scope definition	b	Excluded / future-extension registry	excluded/future module	requires a separate endpoint module before inclusion											
	THP-1 stimulated Perturb-seq																					governance and scope definition	b	Excluded / future-extension registry	excluded/future module	requires a separate endpoint module before inclusion											
	K562 TF day 13																					recovery-object external validity and boundary evidence	b	External bridge-form / boundary layer	observed bridge-form / temporal / modality / scale boundary	do not use as model-generalization evidence											
	K562 TF day 7																					recovery-object external validity and boundary evidence	b	External bridge-form / boundary layer	observed bridge-form / temporal / modality / scale boundary	do not use as model-generalization evidence											
	K562 essential CRISPRi day 6																					recovery-object external validity and boundary evidence	b	External bridge-form / boundary layer	observed bridge-form / temporal / modality / scale boundary	do not use as model-generalization evidence											
	K562 genome-scale CRISPRi day 8																					recovery-object external validity and boundary evidence	b	External bridge-form / boundary layer	observed bridge-form / temporal / modality / scale boundary	do not use as model-generalization evidence											
	HCC1143 day 14																					primary bridge and model-audit claim	b	Primary model-audit layer	formal endpoint-recovery model audit	do not expand into broad model-generalization language											
	HCC38 day 14																					primary bridge and model-audit claim	b	Primary model-audit layer	formal endpoint-recovery model audit	do not expand into broad model-generalization language											
	HepG2 day 7																					additional cancer-line or lineage bridge-form evidence	b	Secondary endpoint-extension / candidate layer	secondary endpoint-object portability evidence	do not use as primary model-audit evidence without same output contract											
	Jurkat day 7																					additional cancer-line or lineage bridge-form evidence	b	Secondary endpoint-extension / candidate layer	secondary endpoint-object portability evidence	do not use as primary model-audit evidence without same output contract											
gse264667_hepg2_day7	HepG2 day 7	HepG2	candidate_secondary_endpoint_extension																				c				Q1_anchor	133.0	0.905	0.889	ARCN1;ATP6AP1;ATP6AP2;ATP6V0B;ATP6V0C;BRIX1;CCT2;CCT4;CDC6;CHAF1B;CPSF4;CSE1L;DDX10;DDX18;DDX47;DDX56;DHX8;EIF2B2;EIF2B4;EIF2S1;EIF2S2;EIF2S3;EIF3A;EIF3B;EIF3I;EIF4A3;EIF4E;ETF1;FAU;GPN1;GSPT1;HMGCS1;HNRNPK;HSPA9;IGBP1;KPNB1;LSM4;LSM7;MED22;MED4;MPHOSPH10;MTBP;MYC;NIFK;NOP58;NPLOC4;PAM16;PCNA;PELP1;PHB2;POLR2B;POLR2C;POLR2D;POLR2E;POLR2F;POLR2I;PRELID1;PRELID3B;PRPF31;PSMA3;PSMA4;PSMB1;PSMB2;PSMB3;PSMB5;PSMB6;PSMD14;PWP2;RABGGTA;RABGGTB;RPA2;RPA3;RPAP1;RPL10;RPL10A;RPL12;RPL13;RPL14;RPL17;RPL18;RPL18A;RPL23;RPL24;RPL26;RPL27A;RPL31;RPL32;RPL35;RPL36;RPL37A;RPL4;RPL5;RPL7;RPL8;RPL9;RPLP0;RPS13;RPS14;RPS15;RPS19;RPS20;RPS24;RPS27A;RPS3;RPS3A;RPS6;RPS7;RPS8;RPS9;RRM2;RUVBL1;SCFD1;SEC61A1;SF3B3;SF3B5;SFPQ;SNRNP200;SNRNP70;SRP54;SYMPK;THAP1;THOC2;TNPO3;TRMT112;TSR2;U2SURP;UBL5;USP39;UTP15;WDR33;WDR43;WDR75;XPO1	1000.0	0.133	category composition supports endpoint-object portability only; not model generalization			
gse264667_hepg2_day7	HepG2 day 7	HepG2	candidate_secondary_endpoint_extension																				c				Q2_shift_excess	14.0	0.835	0.1685	ARHGAP6;ATF5;CNOT1;CUL7;DCUN1D5;EXOSC8;FBRSL1;GLB1;NAA38;POLR1D;SLC25A42;UBQLN4;YTHDC1;ZC3H13	1000.0	0.014	category composition supports endpoint-object portability only; not model generalization			
gse264667_hepg2_day7	HepG2 day 7	HepG2	candidate_secondary_endpoint_extension																				c				Q3_dependency_excess	26.0	0.1095	0.841	ANAPC11;ANKLE2;BCL2L1;CCNK;CDC20;CIAO1;DHX37;DYNLRB1;EIF1AX;HIRA;IK;ISCU;KIF11;MAD2L2;NAPG;NCAPD2;PCBP2;POLR1C;PRC1;SRCAP;SRSF11;TRAPPC3;TTC1;TUBG1;UBTF;YRDC	1000.0	0.026	category composition supports endpoint-object portability only; not model generalization			
gse264667_hepg2_day7	HepG2 day 7	HepG2	candidate_secondary_endpoint_extension																				c				Q4_low_information	107.0	0.117	0.137	ACOT12;ADAT3;ALDOA;ANAPC15;ANKRD11;ANKS6;ARPC2;BCAR1;C16orf86;CACNB3;CALR;CCDC6;CCDC78;CHTF18;CLASRP;CLOCK;CS;CSH2;DDN;DDX19B;DNAAF3;DNAJA1;DNM1;DPY19L4;DSTYK;DYNLL2;EHMT2;EMC3;EPS8L1;ESPN;FAM229A;FBXO42;FNBP4;GAB2;GCLC;GFOD2;GLRX5;GOLT1B;HERC1;HMBOX1;KRT10;LAMTOR1;LIN54;LMO2;LPIN1;LTBP3;MANF;MBTPS2;MFN2;MKRN1;MTG2;MVK;NBEAL1;NISCH;NSUN4;NUP43;ORC5;OTOP1;PARN;PCNX3;PDCD5;PGK1;PITRM1;PKM;POGLUT3;POU3F1;PPP1R2;PPP1R37;PRKRIP1;PTPN1;RAB4A;RAB4B;RBM10;RNF14;RNF8;RTRAF;SETX;SHC1;SIRT7;SLC1A5;SLC35G2;SLC7A5;SNX15;SRA1;SSBP3;SYNGR3;TAF1D;TBC1D28;TBPL1;TBX1;TEAD3;THAP11;TLCD1;TMEM214;TSEN34;TUBB2A;TXNL4B;USP14;VPS54;WDR4;WDR54;ZDHHC7;ZFP69B;ZNF133;ZNF253;ZNF292;ZNF706	1000.0	0.107	category composition supports endpoint-object portability only; not model generalization			
gse264667_hepg2_day7	HepG2 day 7	HepG2	candidate_secondary_endpoint_extension																				c				middle	720.0	0.4935	0.4815	AATF;ABCB7;ABCF1;ABCG1;ABT1;ACIN1;ACTR2;ACTR6;ACTR8;ADAM10;AGBL5;AHCTF1;AKIRIN2;ANAPC1;ANAPC13;ANAPC2;ANAPC5;AQP7;ARL2;ARMC7;ARPC4;ASCC3;ATP11B;ATP2A2;ATP5MF;ATP6V0D1;ATP6V1G1;ATP6V1H;ATR;AURKA;AURKAIP1;BANP;BAP1;BARD1;BMS1;BOP1;BORA;BPTF;BRCA2;BRD2;BRF1;BRIP1;BTF3;BTF3L4;BUB1;BUB1B;C17orf58;C6orf15;CA5A;CABIN1;CADM4;CARF;CBLN1;CBX1;CCDC59;CCNC;CCNH;CCT6A;CCT7;CCT8;CDC123;CDC42;CDC73;CDCA5;CDIPT;CDK1;CDK2;CDK6;CDK9;CDT1;CEBPZ;CENPK;CENPP;CENPT;CEP85;CFDP1;CHCHD4;CHEK1;CHERP;CHMP6;CHORDC1;CIAPIN1;CKAP5;CMPK1;CMTR1;CNN2;CNOT10;CNOT11;CNOT9;COG1;COG6;COPS2;COPS4;COPS8;COPZ1;COQ2;COTL1;COX10;COX11;CPAMD8;CPEB1;CPNE7;CPSF1;CPSF3;CSNK2B;CSTF1;CSTF3;CTDP1;CTU2;CUL2;CYS1;DAP3;DBR1;DCTN1;DCTN2;DCTN3;DCTN4;DDB1;DDX1;DDX17;DDX19A;DDX21;DDX23;DDX27;DDX46;DDX5;DDX51;DDX52;DDX54;DDX55;DDX6;DENR;DERL2;DESI1;DHX16;DIMT1;DLD;DMRTA2;DNAJA3;DNAJC17;DNAJC19;DNAJC8;DNMT1;DNTTIP2;DOHH;DOLK;DPH1;DPH2;DRAP1;DTL;DYNC1I2;DYNLL1;E4F1;EARS2;EBNA1BP2;EDC4;EEF2;EEFSEC;EFR3A;EFTUD2;EGLN2;EIF1;EIF2B1;EIF2B3;EIF2B5;EIF4B;EIF4G2;EIF4H;EIF5A;EIF6;ELAC2;ELL;ELOB;ELOVL1;ELP3;EMC1;EMC4;EMC7;ENY2;ERCC2;ERVW-1;ESF1;ESYT1;EXOC5;EXOC7;EXOSC2;EXOSC3;EXOSC4;EXOSC5;EXOSC7;FAM136A;FAM32A;FBLIM1;FBXL14;FBXW7;FCF1;FKBP9;FNTA;FOXS1;FYN	1000.0	0.72	category composition supports endpoint-object portability only; not model generalization			
gse264667_jurkat_day7	Jurkat day 7	Jurkat	candidate_secondary_endpoint_extension																				c				Q1_anchor	185.0	0.8867812685240071	0.9045643153526972	ABCE1;ALDOA;ALG11;ATP2A2;BDP1;BMS1;BRIX1;CCT4;CDAN1;CDK9;CHAF1B;CHD4;CHERP;CHMP6;CNOT3;COPS2;COPS5;COPS6;CPSF3;CPSF4;CSE1L;CTDP1;CUL1;DBR1;DDX10;DDX18;DDX23;DDX47;DDX56;DHDDS;DHX16;DHX8;DKC1;DNMT1;EIF2B3;EIF2B4;EIF2S2;EIF3A;EIF3B;EIF3E;EIF3I;EIF4E;EIF6;ELL;EP400;ERCC3;ETF1;EXOSC4;EXOSC7;FAM133B;FARSB;FAU;FBL;FCF1;GEMIN5;GNL2;GPN1;GPN2;GSPT1;GTF2A2;GTF2H4;HEATR1;HMGCS1;HSPA9;HSPE1;HYOU1;IMP4;INTS11;INTS3;INTS8;INTS9;ISG20L2;KIN;LONP1;LSM7;MAD2L1;MAK16;MDN1;MED30;MED6;MPHOSPH10;MRPL55;MRPS24;MYC;NAA10;NCBP1;NCBP2;NIFK;NIP7;NOL10;NOL6;NOP16;NOP58;NRBP1;NSA2;PDCD11;PES1;PFDN2;PGD;POLD3;POLR1A;POLR1B;POLR2I;POLR3B;POLR3H;PPAN;PRELID1;PRMT1;PRPF19;PSMD13;PSMD4;PTPN23;PWP2;RBM25;RIOK2;RNGTT;RNMT;RPAP1;RPL10A;RPL13;RPL17;RPL18;RPL23;RPL24;RPL26;RPL3;RPL32;RPL35;RPL36;RPL37A;RPL4;RPL5;RPL7;RPL8;RPL9;RPLP0;RPLP2;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS17;RPS18;RPS19;RPS19BP1;RPS20;RPS21;RPS23;RPS24;RPS27A;RPS28;RPS3;RPS3A;RPS4X;RPS6;RPS7;RPS8;RPS9;RRP12;RSL24D1;SAE1;SAP18;SEH1L;SF3B3;SMC1A;SNRPF;SRP54;SRSF1;SSU72;SUPT16H;TAF6;THOC3;TOMM22;TXN;UQCRFS1;URI1;UTP15;UTP20;WDR33;WDR43;WDR55;WDR75;XRCC6	1687.0	0.1096621221102548	category composition supports endpoint-object portability only; not model generalization			
gse264667_jurkat_day7	Jurkat day 7	Jurkat	candidate_secondary_endpoint_extension																				c				Q2_shift_excess	54.0	0.8485477178423236	0.1191464137522228	AP2A1;ARHGAP6;ARL6IP6;ATRIP;CARF;CASC3;CNOT2;COTL1;DHX36;DPH2;EHMT2;ELP4;EPB41L2;ESYT2;FOXO1;FUNDC2;HBS1L;HMBOX1;HPS5;HSPH1;ITGB1BP1;KLHL17;LAMB1;MED19;MEMO1;METTL21A;MNAT1;MRM1;MTHFD1;MYBBP1A;NAA38;NKX6-1;OGFOD1;PIP4K2C;POLL;POLR1D;PPIL4;PPRC1;PSMG1;PTGR2;RCCD1;SEC61B;SERPINB1;SH3KBP1;SNRNP48;SNTB2;TAF3;TPP2;TSEN2;TWSG1;YEATS4;ZBTB4;ZNF143;ZNF559	1687.0	0.0320094842916419	category composition supports endpoint-object portability only; not model generalization			
gse264667_jurkat_day7	Jurkat day 7	Jurkat	candidate_secondary_endpoint_extension																				c				Q3_dependency_excess	62.0	0.1298162418494368	0.8571428571428571	ABHD11;ATP1A1;CCNK;CDC45;CENPA;CHORDC1;CIAO1;CKAP5;CMPK1;DDX54;DYNLRB1;FNTB;FOXD4;HAUS7;HJURP;HNRNPM;IK;IPO13;KRTAP4-2;MAD2L2;MCM7;MICOS10;MIS18BP1;MRPS21;MVK;NCAPG2;NXF1;PCBP2;PCNX3;PELO;PLK4;POLR1C;PPIL1;PRMT5;PSMB5;PSMG3;PSTK;RABGGTB;RARS2;RPP21;RSL1D1;SCAP;SF3A2;SMARCB1;SNW1;SOD2;SON;SRP14;SS18L2;TBCA;THAP1;TRAPPC3;TRNT1;UBA1;UBE2M;UBTF;USP5;VPS25;WDR18;YARS2;YRDC;ZRSR2	1687.0	0.0367516301126259	category composition supports endpoint-object portability only; not model generalization			
gse264667_jurkat_day7	Jurkat day 7	Jurkat	candidate_secondary_endpoint_extension																				c				Q4_low_information	150.0	0.1194427978660343	0.1307053941908713	AASDHPPT;ABCG1;ACOT12;ADAM10;ADAT3;ADRM1;ANAPC13;ANKS6;ARGFX;ARL4D;ARPC2;ASF1B;BCAR1;BRCA2;C16orf86;CABIN1;CAMLG;CBFA2T3;CBX1;CCDC6;CCND1;CHTOP;COG6;COPG1;CS;CSH2;DCAF6;DDN;DHX30;DNAAF3;DNAJC19;DPH1;DPH6;DPY19L4;DSTYK;DYNLL2;EIF4H;ELOVL1;EPS8L1;ERAL1;ESPN;FBXO42;FYN;GAB2;GJA3;GNPNAT1;GOLT1B;GRB2;GYG1;HHEX;HMX3;HSPA14;HUS1;INO80C;INPPL1;INTS13;IST1;IWS1;JMJD6;KDM6A;KRT10;LAMTOR1;LMO2;LPIN1;LRRC37A3;LST1;LTB4R2;LZTR1;MIER1;MKRN1;MPHOSPH6;MSRB1;MYSM1;NAPG;NEMF;NFATC2IP;NFRKB;NKAPD1;NSUN4;NUDT15;ORC4;ORC5;PARN;PDCD5;PEX19;PHF10;PNISR;POGLUT3;PPME1;PPP2R1A;PRKRIP1;PRODH;PRSS50;PSAT1;PTEN;PTPN1;PTPN11;RAB18;RAB4A;RAD51D;REV3L;RNF123;RNF14;SETD5;SETX;SKA1;SLC1A5;SLC35G2;SLC9B1;SMAGP;SNX15;SPG7;SPTSSA;SRA1;STAG2;STAT5A;STAT5B;STXBP4;TADA1;TBX1;TEAD3;TM7SF2;TMEM214;TMEM240;TMEM242;TSEN34;TSSK3;TUBB2A;TUBD1;TUBE1;TWF1;UBE3D;UFL1;UNC45A;USP14;USP7;VPS54;WBP1L;WDR4;WDR54;XRCC1;XRCC2;ZFP69B;ZNF100;ZNF133;ZNF253;ZNF284;ZNF506;ZNF706;ZNF763	1687.0	0.0889152341434499	category composition supports endpoint-object portability only; not model generalization			
gse264667_jurkat_day7	Jurkat day 7	Jurkat	candidate_secondary_endpoint_extension																				c				middle	1236.0	0.492294013040901	0.487551867219917	AAAS;AARS2;AATF;ABCB10;ABCB7;ABCF1;ABHD17A;ABT1;ACIN1;ACSS2;ACTB;ACTR10;ACTR1A;ACTR1B;ACTR2;ACTR5;ACTR6;ACTR8;ADAT2;ADNP2;ADSL;AFG3L2;AHCY;AIFM1;AKIRIN2;ALG1;ALG13;ALG14;ALG2;ALYREF;ANAPC11;ANAPC15;ANKRD11;ANKRD49;ANLN;AP2M1;AQP7;ARCN1;ARF4;ARFRP1;ARGLU1;ARID3A;ARID5B;ARMC6;ARMC7;ARPC3;ARPC4;ASCC3;ATF4;ATL2;ATP11B;ATP5F1A;ATP5F1B;ATP5ME;ATP5MF;ATP5PD;ATP5PO;ATP6V1D;ATP6V1G1;ATR;ATXN10;AURKAIP1;BAG6;BANP;BAP1;BARD1;BCL2L1;BCLAF1;BCR;BCS1L;BET1;BNIP1;BOD1L1;BOP1;BPTF;BRCA1;BRD2;BRD4;BRD8;BRF1;BRF2;BRIP1;BRK1;BTAF1;BTF3;BTF3L4;BYSL;C17orf58;C19orf53;C1D;C1QTNF4;C6orf15;C9orf78;CA5A;CACNB3;CADM4;CALR;CAPZB;CAST;CBLN1;CCAR1;CCDC137;CCDC144A;CCDC59;CCDC78;CCDC86;CCNB1;CCNC;CCNH;CCNL1;CD2BP2;CDC37;CDC7;CDCA5;CDIPT;CDK1;CDK2;CDK6;CDT1;CEBPZ;CENPE;CENPP;CENPT;CENPW;CEP152;CEP68;CEP97;CFDP1;CHCHD1;CHCHD2;CHCHD3;CHCHD4;CHMP4B;CHMP5;CHMP7;CHTF18;CIAPIN1;CINP;CLASRP;CLCC1;CLK2;CLNS1A;CLOCK;CLPB;CMC4;CMTR1;CNIH4;CNN2;CNOT10;CNOT11;COA5;COASY;COG1;COG2;COG4;COMTD1;COPE;COPS3;COPS4;COPS8;COPZ1;COQ2;COQ4;COQ5;COX10;COX11;COX15;COX17;COX5A;COX5B;COX6C;COX7C;CPAMD8;CPEB1;CPNE7;CPSF1;CPSF6;CRLS1;CSDE1;CSNK1A1;CSNK2B;CTBP2;CTNNBL1;CTU2;CUL2;CUL3;CWC25;CWF19L2;CXXC1;CYC1;CYCS;CYFIP1;CYP2A13;CYP4F11;CYREN;CYS1;DAD1;DAP3;DAXX;DBF4	1687.0	0.7326615293420272	category composition supports endpoint-object portability only; not model generalization			
																							d												time	K562 day 7 > day 13 directionally	temporal compatibility matters
																							d												modality	CRISPRi bridge remains detectable	attenuated versus primary KO
																							d												scale	GWPS rho detectable with large n	effect size, not p-value alone
																							d												lineage	HepG2/Jurkat secondary extension	not primary model-audit evidence
