cell_line	target_gene	depmap_quantile	shift_quantile	depmap_strength	real_shift_mean_abs	category
HCC1143	ZBTB5	0.5416666666666666	0.4375	0.0773557703888747	0.0053368219337521	Middle
HCC1143	ZNF131	0.8541666666666666	0.8958333333333334	0.9463812533969612	0.0105522037854389	Anchor
HCC1143	ZNF24	0.1875	0.1041666666666666	0.0092505619875028	0.0043616307953344	Low-information
HCC1143	ZNF566	0.1041666666666666	0.1666666666666666	0.0082561267211935	0.0044548810181222	Low-information
HCC38	ARID1A	0.6382978723404256	0.8085106382978723	0.0939245801107399	0.0085365617536346	Middle
HCC38	BMPR1A	0.723404255319149	0.574468085106383	0.2329854350238944	0.0056197913890013	Middle
HCC38	CDKN2A	0.0425531914893617	0.0851063829787234	0.0034117871973033	0.0040551040534158	Low-information
HCC38	COMMD6	0.1489361702127659	0.1489361702127659	0.0087958879569685	0.0042202270388882	Low-information
HCC38	ENY2	0.8297872340425532	0.9361702127659576	0.4895161201697765	0.0103397858020701	Anchor
HCC38	ERC1	0.0851063829787234	0.1276595744680851	0.0054295617631019	0.00417172244801	Low-information
HCC38	ETV3	0.5531914893617021	0.4680851063829787	0.0807914252803547	0.0051298888376656	Middle
HCC38	GON4L	0.7872340425531915	0.6382978723404256	0.3129469325001975	0.0060144581054616	Middle
HCC38	HDGF	0.4042553191489361	0.5319148936170213	0.0286996254177853	0.0053940020400889	Middle
HCC38	HLX	0.1063829787234042	0.4893617021276595	0.006315463793662	0.0052991294769277	Middle
HCC38	KLF3	0.6808510638297872	0.5531914893617021	0.1616884807733207	0.0054676604656395	Middle
HCC38	LAMTOR5	0.6170212765957447	0.9574468085106383	0.0890975409858624	0.0106435490794122	Middle
HCC38	MAML3	0.1702127659574468	0.0212765957446808	0.009549016733777	0.0039010408237359	Low-information
HCC38	MIER1	0.1276595744680851	0.4042553191489361	0.0068709338808792	0.0049938655360828	Middle
HCC38	MTDH	0.425531914893617	0.5957446808510638	0.0342163047187118	0.0056310162158605	Middle
HCC38	MYBL1	0.2553191489361702	0.6808510638297872	0.0145675964421822	0.0071407239504648	Middle
HCC38	NCOA1	0.4893617021276595	0.1702127659574468	0.0459486880054965	0.0043489041564256	Middle
HCC38	NPM1	0.8936170212765957	0.9787234042553192	0.8555302996262993	0.0113723052385142	Anchor
HCC38	PA2G4	0.8085106382978723	0.7021276595744681	0.3764696904296344	0.0071702138866234	Middle
HCC38	PARK7	0.3191489361702128	0.425531914893617	0.0215311147572859	0.0050560733285705	Middle
HCC38	PCBD1	0.2978723404255319	0.1063829787234042	0.0210892465180688	0.0041690086810655	Middle
HCC38	PEX14	0.0638297872340425	0.1914893617021276	0.0049454685061893	0.004391741095693	Low-information
HCC38	PFDN5	0.8723404255319149	0.8297872340425532	0.8201974002162512	0.0091179791241103	Anchor
HCC38	PMF1	0.9574468085106383	0.8723404255319149	0.9978434877605236	0.0092008578860405	Anchor
HCC38	PRDX2	0.6595744680851063	0.3617021276595745	0.1572365253337959	0.0048643958897732	Middle
HCC38	PRPF6	0.9361702127659576	1.0	0.9972796156547944	0.0144798741040019	Anchor
HCC38	RORC	0.7446808510638298	0.3191489361702128	0.263229534078098	0.0047603589109585	Middle
HCC38	RPS3	0.9893617021276596	0.8936170212765957	1.0	0.0096911866022176	Anchor
HCC38	RUVBL2	0.9148936170212766	0.7872340425531915	0.978029448287533	0.0082501146934477	Anchor
HCC38	SMAD1	0.2127659574468085	0.2765957446808511	0.0125810954880103	0.0045644798021591	Middle
HCC38	STAT3	0.3404255319148936	0.3829787234042553	0.0235621693286022	0.0049421595924907	Middle
HCC38	TAB3	0.3829787234042553	0.5106382978723404	0.0271522701939877	0.005355838101385	Middle
HCC38	TADA3	0.4468085106382978	0.851063829787234	0.035551946395066	0.0091400872937874	Middle
HCC38	THAP8	0.3617021276595745	0.4468085106382978	0.0267473201978675	0.0050563694115236	Middle
HCC38	THRA	0.5106382978723404	0.6170212765957447	0.0573416619307745	0.0058419151883759	Middle
HCC38	TMF1	0.574468085106383	0.6595744680851063	0.0809743969956026	0.00630257681098	Middle
HCC38	TMSB4X	0.7021276595744681	0.2340425531914893	0.2174493812731642	0.0045126915949235	Middle
HCC38	UBP1	0.2765957446808511	0.2127659574468085	0.0201784564207119	0.004398069047543	Middle
HCC38	VEZF1	0.5319148936170213	0.723404255319149	0.0694464693745538	0.0073740581188237	Middle
HCC38	XBP1	0.1914893617021276	0.0638297872340425	0.0113924113087519	0.0040282961697656	Low-information
HCC38	YBX1	0.9893617021276596	0.7446808510638298	1.0	0.0076494599161971	Middle
HCC38	ZBTB17	0.7659574468085106	0.7659574468085106	0.2634223656448051	0.0079465191255336	Anchor
HCC38	ZBTB20	0.0212765957446808	0.3404255319148936	0.0018330352467763	0.0048062658192207	Middle
HCC38	ZBTB5	0.2340425531914893	0.2978723404255319	0.0143722132742512	0.0046384099549855	Middle
HCC38	ZNF131	0.851063829787234	0.9148936170212766	0.6622862073859538	0.0098454685363047	Anchor
HCC38	ZNF24	0.4680851063829787	0.0425531914893617	0.0403071652767106	0.0039710221358838	Middle
HCC38	ZNF566	0.5957446808510638	0.2553191489361702	0.0863639716532793	0.0045411647163488	Middle
