cell_line	context_role	target_gene	n_cells_target	observed_shift_mean_abs	matched_null_shift_mean	noise_corrected_shift	equal_n_primary_shift	depmap_gene_dependency	corrected_shift_percentile	corrected_dependency_percentile	corrected_shift_band	corrected_dependency_band	endpoint_category	raw_category	category_changed_from_raw	source_file	source_data_row_1based
HCC1143	qualified_primary_context	MIER1	254	0.0057833931966824997	0.0043319769877014002	0.0014514162089809999	0.0147550627671587	0.0105919574277721	0.64583333333333337	0.20833333333333329	middle	low	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	14
HCC1143	qualified_primary_context	MTDH	290	0.0047338690320834001	0.0041333895302540996	0.00060047950182919995	0.0140549787094812	0.0123435627679496	0.4375	0.27083333333333331	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	15
HCC1143	qualified_primary_context	MYBL1	142	0.0084130142568228997	0.0055200901095997998	0.0028929241472230001	0.015554250709241201	0.021031003685523499	0.85416666666666663	0.33333333333333331	high	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	16
HCC1143	qualified_primary_context	NCOA1	334	0.0039071575713195998	0.0039444754768803002	-3.7317905560727352e-05	0.013741026082287401	0.024899119269264702	0.0625	0.39583333333333331	low	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	17
HCC1143	qualified_primary_context	NPM1	125	0.0074812035133292997	0.0058357335980329999	0.0016454699152962	0.015019511341497101	0.16227488017507649	0.72916666666666663	0.72916666666666663	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	18
HCC1143	qualified_primary_context	PA2G4	154	0.0059315461556859001	0.005306283814326	0.00062526234135980004	0.0141723685067049	0.086188937120069295	0.47916666666666669	0.5625	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	19
HCC1143	qualified_primary_context	PARK7	215	0.0061480042391652999	0.0046325225035090999	0.0015154817356561	0.015555879790966299	0.1318604273725387	0.6875	0.60416666666666663	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	20
HCC1143	qualified_primary_context	PCBD1	214	0.0046751980665010002	0.0046400967149133002	3.5101351587623654e-05	0.0136014740086021	0.0111916491629234	0.1041666666666666	0.25	low	low	low_information	middle	True	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	21
HCC1143	qualified_primary_context	PEX14	282	0.0044493142820247996	0.0041738937212426998	0.00027542056078200001	0.013727743758153299	0.0227993432195642	0.14583333333333329	0.35416666666666669	low	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	22
HCC1143	qualified_primary_context	PFDN5	57	0.0102329499993855	0.0083087201758617994	0.0019242298235236	0.0150359383243839	0.9694975960688984	0.77083333333333337	0.89583333333333337	high	high	endpoint_anchor	endpoint_anchor	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	23
HCC1143	qualified_primary_context	PMF1	40	0.0127756932567781	0.0098333755627160995	0.0029423176940618998	0.0165014583059142	0.95104875817402723	0.875	0.875	high	high	endpoint_anchor	endpoint_anchor	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	24
HCC1143	qualified_primary_context	PRDX2	186	0.0055213995831512996	0.0049101420284789997	0.00061125755467220002	0.014490646307283301	0.1660158727868937	0.45833333333333331	0.75	middle	high	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	25
HCC1143	qualified_primary_context	PRPF6	23	0.015411189696165801	0.012822869434726099	0.0025883202614395999	0.016180734438933499	1	0.8125	0.96875	high	high	endpoint_anchor	endpoint_anchor	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	26
HCC1143	qualified_primary_context	RORC	230	0.0045634026869297	0.0045036946506699996	5.9708036259615432e-05	0.013937266301779499	0.045112501885545199	0.125	0.5	low	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	27
HCC1143	qualified_primary_context	RPS3	72	0.0078609483285550005	0.0074445075590063997	0.00041644076954849997	0.013717094404959501	1	0.27083333333333331	0.96875	middle	high	middle	endpoint_anchor	True	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	28
HCC1143	qualified_primary_context	RUVBL2	51	0.0119327730703482	0.0087900342932327007	0.0031427387771154002	0.016517619382891501	1	0.89583333333333337	0.96875	high	high	endpoint_anchor	endpoint_anchor	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	29
HCC1143	qualified_primary_context	SMAD1	299	0.0045476060135122998	0.0040959625975348999	0.00045164341597730002	0.0139675303944863	0.029607753908141798	0.33333333333333331	0.4375	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	30
HCC1143	qualified_primary_context	SS18L2	26	0.024327918118330301	0.012105662326891999	0.012222255791438199	0.025739074425777098	1	1	0.96875	high	high	endpoint_anchor	endpoint_anchor	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	31
HCC1143	qualified_primary_context	STAT3	305	0.0045791788860737002	0.0040659833502581996	0.00051319553581540001	0.0143945461907458	0.0037329167002493999	0.375	0.041666666666666602	middle	low	middle	low_information	True	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	32
HCC1143	qualified_primary_context	TAB3	222	0.0060275444241771996	0.0045706175562842998	0.0014569268678928	0.014327028238195001	0.0084525379475360995	0.66666666666666663	0.125	middle	low	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	33
HCC1143	qualified_primary_context	TADA3	133	0.010375080774379901	0.0056538821110183003	0.0047211986633614996	0.016091775484964599	0.24985779565159949	0.9375	0.77083333333333337	high	high	endpoint_anchor	endpoint_anchor	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	34
HCC1143	qualified_primary_context	THAP8	335	0.0050716034302431996	0.0039400767539672001	0.0011315266762759	0.0142088431343581	0.015777561410506801	0.60416666666666663	0.29166666666666669	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	35
HCC1143	qualified_primary_context	THRA	188	0.0053431820384494001	0.0048939411348003998	0.00044924090364890001	0.0135790008209455	0.046333834169665099	0.3125	0.52083333333333337	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	36
HCC1143	qualified_primary_context	TMF1	145	0.0058951763799741999	0.0054482101016076999	0.0004469662783664	0.014244662258154199	0.1394316818255967	0.29166666666666669	0.64583333333333337	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	37
HCC1143	qualified_primary_context	TMSB4X	266	0.0039703565382886996	0.0042510574239544999	-0.00028070088566580002	0.013680523472171901	0.0090048231316929	0.020833333333333301	0.1666666666666666	low	low	low_information	low_information	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	38
HCC1143	qualified_primary_context	UBP1	267	0.0046551429363535998	0.0042721605017615001	0.000382982434592	0.013737923221151801	0.0108785135935251	0.2291666666666666	0.2291666666666666	low	low	low_information	middle	True	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	39
HCC1143	qualified_primary_context	VEZF1	255	0.0060274132373265999	0.0043293121042483999	0.0016981011330781	0.014877725607333201	0.0275909199432945	0.75	0.41666666666666669	high	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	40
HCC1143	qualified_primary_context	XBP1	314	0.0045885756847594003	0.0040262766857574999	0.00056229899900180004	0.013787045824949299	0.0085039693399300998	0.41666666666666669	0.14583333333333329	middle	low	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	41
HCC1143	qualified_primary_context	YBX1	177	0.0077493948528648002	0.0050121909472103003	0.0027372039056544001	0.0155480560864399	0.9913468022551738	0.83333333333333337	0.91666666666666663	high	high	endpoint_anchor	endpoint_anchor	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	42
HCC1143	qualified_primary_context	ZBTB17	75	0.010587215682323001	0.0073401154315917002	0.0032471002507311999	0.016468841480511299	0.75786193862583751	0.91666666666666663	0.83333333333333337	high	high	endpoint_anchor	endpoint_anchor	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	43
HCC1143	qualified_primary_context	ZBTB20	315	0.0043814448697306	0.0040184570490656999	0.0003629878206648	0.0139176135800308	0.0078803596044426001	0.1666666666666666	0.083333333333333301	low	low	low_information	low_information	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	44
HCC1143	qualified_primary_context	ZBTB5	212	0.0053368219337521002	0.0046465840905173996	0.0006902378432346	0.013844568426512899	0.077355770388874701	0.52083333333333337	0.54166666666666663	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	45
HCC1143	qualified_primary_context	ZNF131	43	0.010552203785438899	0.0095014509820631997	0.0010507528033756001	0.014713893415457599	0.94638125339696122	0.58333333333333337	0.85416666666666663	middle	high	middle	endpoint_anchor	True	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	46
HCC1143	qualified_primary_context	ZNF24	462	0.0043616307953343999	0.003590026550878	0.00077160424445629999	0.0138434021731109	0.0092505619875027992	0.54166666666666663	0.1875	middle	low	middle	low_information	True	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	47
HCC1143	qualified_primary_context	ZNF566	372	0.0044548810181221999	0.0038026393137205999	0.00065224170440150004	0.013588290477684501	0.0082561267211934998	0.5	0.1041666666666666	middle	low	middle	low_information	True	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	48
HCC38	sensitivity_boundary_context	ARID1A	365	0.0085365617536346007	0.0042792754536843999	0.0042572862999502	0.0187305108965319	0.093924580110739897	0.97872340425531923	0.63829787234042556	high	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	49
HCC38	sensitivity_boundary_context	BMPR1A	212	0.0056197913890012998	0.0052794015726892003	0.00034038981631200001	0.015810949388342901	0.2329854350238944	0.46808510638297868	0.72340425531914898	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	50
HCC38	sensitivity_boundary_context	CDKN2A	399	0.0040551040534157999	0.0041334527897678996	-7.8348736352140506e-05	0.0157968638185981	0.0034117871973032999	0.063829787234042507	0.042553191489361701	low	low	low_information	low_information	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	51
HCC38	sensitivity_boundary_context	COMMD6	395	0.0042202270388882	0.0041524125175711997	6.7814521316961196e-05	0.015861046752318898	0.0087958879569684997	0.1063829787234042	0.14893617021276589	low	low	low_information	low_information	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	52
HCC38	sensitivity_boundary_context	ENY2	93	0.0103397858020701	0.0076455284916397996	0.0026942573104302	0.017483248729256301	0.48951612016977653	0.8936170212765957	0.82978723404255317	high	high	endpoint_anchor	endpoint_anchor	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	53
HCC38	sensitivity_boundary_context	ERC1	433	0.0041717224480099999	0.0040176693056190003	0.00015405314239090001	0.016056468420298901	0.0054295617631018997	0.21276595744680851	0.085106382978723402	low	low	low_information	low_information	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	54
HCC38	sensitivity_boundary_context	ETV3	244	0.0051298888376656001	0.0049825910717830003	0.00014729776588250001	0.015638488896232601	0.080791425280354698	0.1702127659574468	0.55319148936170215	low	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	55
HCC38	sensitivity_boundary_context	GON4L	167	0.0060144581054615998	0.0058465131298820004	0.0001679449755795	0.015917829340565601	0.31294693250019751	0.27659574468085107	0.78723404255319152	middle	high	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	56
HCC38	sensitivity_boundary_context	HDGF	254	0.0053940020400889003	0.0048945686495058	0.00049943339058300005	0.016129504606645501	0.028699625417785299	0.57446808510638303	0.40425531914893609	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	57
HCC38	sensitivity_boundary_context	HLX	289	0.0052991294769277001	0.0046456460880186998	0.00065348338890890004	0.016368757243324601	0.0063154637936620002	0.5957446808510638	0.1063829787234042	middle	low	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	58
HCC38	sensitivity_boundary_context	KLF3	236	0.0054676604656395001	0.0050524726129867999	0.00041518785265260002	0.016276876520274399	0.16168848077332071	0.55319148936170215	0.68085106382978722	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	59
HCC38	sensitivity_boundary_context	LAMTOR5	157	0.010643549079412199	0.0060315700115975996	0.0046119790678145001	0.018461315712306602	0.089097540985862395	1	0.61702127659574468	high	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	60
HCC38	sensitivity_boundary_context	MAML3	423	0.0039010408237359	0.0040598705917933003	-0.00015882976805739999	0.015750230523774798	0.0095490167337769997	0.021276595744680799	0.1702127659574468	low	low	low_information	low_information	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	61
HCC38	sensitivity_boundary_context	MIER1	267	0.0049938655360827998	0.0048050458977893003	0.0001888196382934	0.0157189403107321	0.0068709338808792004	0.34042553191489361	0.1276595744680851	middle	low	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	62
HCC38	sensitivity_boundary_context	MTDH	282	0.0056310162158604996	0.0047152656860638999	0.00091575052979649997	0.0168390239074519	0.034216304718711801	0.68085106382978722	0.42553191489361702	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	63
HCC38	sensitivity_boundary_context	MYBL1	220	0.0071407239504647996	0.0051996141703220004	0.0019411097801426999	0.016116475198679599	0.014567596442182199	0.82978723404255317	0.25531914893617019	high	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	64
HCC38	sensitivity_boundary_context	NCOA1	389	0.0043489041564255997	0.0041669167072386996	0.0001819874491868	0.0161017896806173	0.045948688005496501	0.31914893617021278	0.4893617021276595	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	65
HCC38	sensitivity_boundary_context	NPM1	80	0.011372305238514201	0.0082000253546722999	0.0031722798838418002	0.018076447108604999	0.85553029962629934	0.93617021276595758	0.8936170212765957	high	high	endpoint_anchor	endpoint_anchor	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	66
HCC38	sensitivity_boundary_context	PA2G4	194	0.0071702138866233996	0.0054919873368792999	0.001678226549744	0.0163397612934232	0.37646969042963441	0.80851063829787229	0.80851063829787229	high	high	endpoint_anchor	middle	True	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	67
HCC38	sensitivity_boundary_context	PARK7	254	0.0050560733285705001	0.0048945686495058	0.00016150467906459999	0.015739863383714098	0.021531114757285901	0.25531914893617019	0.31914893617021278	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	68
HCC38	sensitivity_boundary_context	PCBD1	428	0.0041690086810655001	0.0040395020934782004	0.0001295065875872	0.015965427913824499	0.021089246518068799	0.14893617021276589	0.2978723404255319	low	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	69
HCC38	sensitivity_boundary_context	PEX14	439	0.0043917410956929998	0.0040035928071481004	0.00038814828854479998	0.016691781948556101	0.0049454685061893003	0.53191489361702127	0.063829787234042507	middle	low	middle	low_information	True	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	70
HCC38	sensitivity_boundary_context	PFDN5	67	0.0091179791241103002	0.0089367755868164991	0.00018120353729369999	0.016194749575233602	0.8201974002162512	0.2978723404255319	0.87234042553191493	middle	high	middle	endpoint_anchor	True	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	71
HCC38	sensitivity_boundary_context	PMF1	94	0.0092008578860404994	0.0076099653173109004	0.0015908925687294999	0.0176654407999732	0.99784348776052356	0.76595744680851063	0.95744680851063835	high	high	endpoint_anchor	endpoint_anchor	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	72
HCC38	sensitivity_boundary_context	PRDX2	302	0.0048643958897732001	0.0045788832418797	0.00028551264789339998	0.0156638234105692	0.1572365253337959	0.40425531914893609	0.65957446808510634	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	73
HCC38	sensitivity_boundary_context	PRPF6	25	0.014479874104001899	0.0142489871036283	0.00023088700037349999	0.016059701022082401	0.99727961565479439	0.38297872340425532	0.93617021276595758	middle	high	middle	endpoint_anchor	True	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	74
HCC38	sensitivity_boundary_context	RORC	296	0.0047603589109584997	0.0046092058243006996	0.00015115308665770001	0.016103882306920801	0.26322953407809802	0.1914893617021276	0.74468085106382975	low	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	75
HCC38	sensitivity_boundary_context	RPS3	69	0.0096911866022175996	0.0087693399861903994	0.00092184661602710003	0.016591884877505299	1	0.7021276595744681	0.98936170212765961	middle	high	middle	endpoint_anchor	True	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	76
HCC38	sensitivity_boundary_context	RUVBL2	95	0.0082501146934476997	0.0075621743084881999	0.00068794038495940003	0.017006900585399502	0.97802944828753302	0.61702127659574468	0.91489361702127658	middle	high	middle	endpoint_anchor	True	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	77
HCC38	sensitivity_boundary_context	SMAD1	321	0.0045644798021591002	0.0044751951908436	8.928461131540999e-05	0.0159737063215863	0.012581095488010299	0.1276595744680851	0.21276595744680851	low	low	low_information	middle	True	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	78
HCC38	sensitivity_boundary_context	STAT3	394	0.0049421595924907004	0.0041451498167804001	0.00079700977571019996	0.016368559392303798	0.023562169328602198	0.63829787234042556	0.34042553191489361	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	79
HCC38	sensitivity_boundary_context	TAB3	246	0.0053558381013850001	0.0049712502499992999	0.00038458785138560002	0.015794543570039	0.0271522701939877	0.51063829787234039	0.38297872340425532	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	80
HCC38	sensitivity_boundary_context	TADA3	177	0.0091400872937874005	0.0057031624145727003	0.0034369248792146001	0.0174782203208373	0.035551946395066002	0.95744680851063835	0.4468085106382978	high	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	81
HCC38	sensitivity_boundary_context	THAP8	276	0.0050563694115235997	0.0047385393784888001	0.00031783003303469999	0.015871404131682702	0.026747320197867502	0.4468085106382978	0.36170212765957449	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	82
HCC38	sensitivity_boundary_context	THRA	266	0.0058419151883759004	0.0048156621097366001	0.0010262530786391999	0.016213831009070201	0.057341661930774501	0.74468085106382975	0.51063829787234039	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	83
HCC38	sensitivity_boundary_context	TMF1	206	0.00630257681098	0.0053462127564104997	0.00095636405456940002	0.016228656868775601	0.080974396995602604	0.72340425531914898	0.57446808510638303	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	84
HCC38	sensitivity_boundary_context	TMSB4X	352	0.0045126915949235003	0.0043165522885925999	0.00019613930633079999	0.016015804561714499	0.21744938127316421	0.36170212765957449	0.7021276595744681	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	85
HCC38	sensitivity_boundary_context	UBP1	371	0.004398069047543	0.0042395298849682997	0.00015853916257459999	0.015655026399474699	0.0201784564207119	0.23404255319148931	0.27659574468085107	low	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	86
HCC38	sensitivity_boundary_context	VEZF1	226	0.0073740581188237002	0.0051374989892241001	0.0022365591295994999	0.0171604069916504	0.069446469374553801	0.87234042553191493	0.53191489361702127	high	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	87
HCC38	sensitivity_boundary_context	XBP1	394	0.0040282961697655998	0.0041451498167804001	-0.0001168536470148	0.0154375408001065	0.011392411308751901	0.042553191489361701	0.1914893617021276	low	low	low_information	low_information	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	88
HCC38	sensitivity_boundary_context	YBX1	177	0.0076494599161970999	0.0057031624145727003	0.0019462975016243001	0.01667474212802	1	0.85106382978723405	0.98936170212765961	high	high	endpoint_anchor	middle	True	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	89
HCC38	sensitivity_boundary_context	ZBTB17	139	0.0079465191255336	0.0063485102811626001	0.0015980088443709	0.016890436285926499	0.26342236564480509	0.78723404255319152	0.76595744680851063	high	high	endpoint_anchor	endpoint_anchor	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	90
HCC38	sensitivity_boundary_context	ZBTB20	471	0.0048062658192206996	0.0039253146224892	0.00088095119673139999	0.016213532039253499	0.0018330352467762999	0.65957446808510634	0.021276595744680799	middle	low	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	91
HCC38	sensitivity_boundary_context	ZBTB5	363	0.0046384099549855	0.0042794047889708996	0.00035900516601450002	0.015770127503236399	0.0143722132742512	0.4893617021276595	0.23404255319148931	middle	low	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	92
HCC38	sensitivity_boundary_context	ZNF131	118	0.0098454685363046999	0.0068417420038695996	0.0030037265324350001	0.0183272663870769	0.66228620738595378	0.91489361702127658	0.85106382978723405	high	high	endpoint_anchor	endpoint_anchor	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	93
HCC38	sensitivity_boundary_context	ZNF24	472	0.0039710221358838001	0.0039185463585331998	5.2475777350528309e-05	0.015897093887887799	0.040307165276710598	0.085106382978723402	0.46808510638297868	low	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	94
HCC38	sensitivity_boundary_context	ZNF566	372	0.0045411647163488	0.0042488276499481996	0.0002923370664005	0.015712155546506099	0.086363971653279303	0.42553191489361702	0.5957446808510638	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	95
