model_id	object_role	cell_line	endpoint_category	n_targets	predicted_shift_mean_abs_median	response_aligned_magnitude_median
cellot_hcc_sens_iter200_seed2	entrant	HCC38	middle	15	17.743660419545275	15.167695987000016
cellot_hcc_sens_iter200_seed2	entrant	HCC38	shift_excess	5	18.57031984532133	11.286294465413986
cellot_hcc_sens_iter500_seed1_full	entrant	HCC1143	endpoint_anchor	13	6.7987163853138055	17.063456901843836
cellot_hcc_sens_iter500_seed1_full	entrant	HCC1143	dependency_excess	2	7.467383279524585	4.445901852250206
cellot_hcc_sens_iter500_seed1_full	entrant	HCC1143	low_information	11	6.1849401212753135	5.787241117667927
cellot_hcc_sens_iter500_seed1_full	entrant	HCC1143	middle	19	6.367035848663209	8.642343766219387
cellot_hcc_sens_iter500_seed1_full	entrant	HCC1143	shift_excess	2	5.919870479626859	5.764829752065499
cellot_hcc_sens_iter500_seed1_full	entrant	HCC38	endpoint_anchor	11	7.687860915318448	12.535072377363225
cellot_hcc_sens_iter500_seed1_full	entrant	HCC38	dependency_excess	5	6.592847154495564	5.711595531133179
cellot_hcc_sens_iter500_seed1_full	entrant	HCC38	low_information	11	7.5149106941324595	10.067111764268471
cellot_hcc_sens_iter500_seed1_full	entrant	HCC38	middle	15	6.18913324589425	8.257056502758354
cellot_hcc_sens_iter500_seed1_full	entrant	HCC38	shift_excess	5	6.0708200170638715	12.91655665841212
cpa_hcc_sens_e200_latent32_seed1	entrant	HCC1143	endpoint_anchor	13	0.011952104120681312	0.031990076270419304
cpa_hcc_sens_e200_latent32_seed1	entrant	HCC1143	dependency_excess	2	0.01134651330202232	0.020682075629554417
cpa_hcc_sens_e200_latent32_seed1	entrant	HCC1143	low_information	11	0.011184452609654335	0.014537709392361505
cpa_hcc_sens_e200_latent32_seed1	entrant	HCC1143	middle	19	0.010324757741033846	0.011921513059247298
cpa_hcc_sens_e200_latent32_seed1	entrant	HCC1143	shift_excess	2	0.009789356091255145	0.005309902641940359
cpa_hcc_sens_e200_latent32_seed1	entrant	HCC38	endpoint_anchor	11	0.023207866375457735	0.06713197783331516
cpa_hcc_sens_e200_latent32_seed1	entrant	HCC38	dependency_excess	5	0.02596835795760778	0.06318259568449107
cpa_hcc_sens_e200_latent32_seed1	entrant	HCC38	low_information	11	0.02402899145641765	0.026950696064156874
cpa_hcc_sens_e200_latent32_seed1	entrant	HCC38	middle	15	0.02331429239574932	0.024620777876231504
cpa_hcc_sens_e200_latent32_seed1	entrant	HCC38	shift_excess	5	0.024491646978316055	0.029007414195979277
cpa_hcc_sens_e200_latent64_seed2	entrant	HCC1143	endpoint_anchor	13	0.01169998696076583	0.015060494128319057
cpa_hcc_sens_e200_latent64_seed2	entrant	HCC1143	dependency_excess	2	0.012134530503812945	0.013724740290049487
cpa_hcc_sens_e200_latent64_seed2	entrant	HCC1143	low_information	11	0.01228489095448122	0.01580254078334241
cpa_hcc_sens_e200_latent64_seed2	entrant	HCC1143	middle	19	0.012113659036127242	0.016301014213995633
cpa_hcc_sens_e200_latent64_seed2	entrant	HCC1143	shift_excess	2	0.012368465319392985	0.019684683376438562
cpa_hcc_sens_e200_latent64_seed2	entrant	HCC38	endpoint_anchor	11	0.0151241042539433	0.025687428243160344
cpa_hcc_sens_e200_latent64_seed2	entrant	HCC38	dependency_excess	5	0.014306580400842948	0.022581200438004493
cpa_hcc_sens_e200_latent64_seed2	entrant	HCC38	low_information	11	0.014502143002566508	0.027479218154522957
cpa_hcc_sens_e200_latent64_seed2	entrant	HCC38	middle	15	0.0149863040121426	0.018803754866259872
cpa_hcc_sens_e200_latent64_seed2	entrant	HCC38	shift_excess	5	0.016013469430208684	0.010431428554148352
cpa_v0.8.8	candidate	HCC1143	endpoint_anchor	13	0.01169998696076583	0.015060494128319057
cpa_v0.8.8	candidate	HCC1143	dependency_excess	2	0.012134530503812945	0.013724740290049487
cpa_v0.8.8	candidate	HCC1143	low_information	11	0.01228489095448122	0.01580254078334241
cpa_v0.8.8	candidate	HCC1143	middle	19	0.012113659036127242	0.016301014213995633
cpa_v0.8.8	candidate	HCC1143	shift_excess	2	0.012368465319392985	0.019684683376438562
cpa_v0.8.8	candidate	HCC38	endpoint_anchor	11	0.022187636911250926	0.06130022207893442
cpa_v0.8.8	candidate	HCC38	dependency_excess	5	0.022413545507945148	0.04855947642670649
cpa_v0.8.8	candidate	HCC38	low_information	11	0.02239916096574957	0.04334219647106966
cpa_v0.8.8	candidate	HCC38	middle	15	0.02295880363572297	0.05743247688620738
cpa_v0.8.8	candidate	HCC38	shift_excess	5	0.02317736683685603	0.017952055891424724
gears_hcc_formal_v1	entrant	HCC1143	endpoint_anchor	13	0.054127014265972995	0.16970188948324022
gears_hcc_formal_v1	entrant	HCC1143	dependency_excess	2	0.04653023453620604	0.10786512803464332
gears_hcc_formal_v1	entrant	HCC1143	low_information	11	0.049723539334817365	0.061957194107926016
gears_hcc_formal_v1	entrant	HCC1143	middle	19	0.048056192992609846	0.09582652601429718
gears_hcc_formal_v1	entrant	HCC1143	shift_excess	2	0.03526644945332005	0.10134599701503244
gears_hcc_formal_v1	entrant	HCC38	endpoint_anchor	11	0.05556718219709552	0.22439033039335715
gears_hcc_formal_v1	entrant	HCC38	dependency_excess	5	0.05223469647714593	0.06747580206944023
gears_hcc_formal_v1	entrant	HCC38	low_information	11	0.049099508665336286	0.049528969869999266
gears_hcc_formal_v1	entrant	HCC38	middle	15	0.04964221437439447	0.09388176281275286
gears_hcc_formal_v1	entrant	HCC38	shift_excess	5	0.052670267261841354	0.16195486578782678
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC1143	endpoint_anchor	13	0.047731341169981165	0.06819420039337763
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC1143	dependency_excess	2	0.06804572628511996	0.06113553305641505
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC1143	low_information	11	0.06761958707984825	0.10314089667966377
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC1143	middle	19	0.06010476699659533	0.09148163477995012
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC1143	shift_excess	2	0.04770038994044733	0.10118411087883367
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC38	endpoint_anchor	11	0.04837865412499652	0.13272022771832245
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC38	dependency_excess	5	0.042766738047380876	0.04259624231439659
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC38	low_information	11	0.045290781631907695	0.10750402971583373
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC38	middle	15	0.04491978373219527	0.06400356341780884
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC38	shift_excess	5	0.044334086730640355	0.17711316806340613
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC1143	endpoint_anchor	13	0.040471338060830496	0.09821525269806242
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC1143	dependency_excess	2	0.05644892159755551	0.1300530067533543
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC1143	low_information	11	0.04602512114212277	0.04837426964464299
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC1143	middle	19	0.0390184705486676	0.040926714635519876
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC1143	shift_excess	2	0.03853876688406056	0.05840018862676682
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC38	endpoint_anchor	11	0.06540879296607205	0.16770371888954508
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC38	dependency_excess	5	0.06166170428344711	0.11248419680885319
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC38	low_information	11	0.053839320143609246	0.09281463090802661
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC38	middle	15	0.056141964509174504	0.07449047408700937
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC38	shift_excess	5	0.036458839545508305	0.09122089579342285
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	entrant	HCC1143	endpoint_anchor	13	0.058072971699697086	0.22865172026517203
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	entrant	HCC1143	dependency_excess	2	0.05224623581341024	0.06429809512262469
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	entrant	HCC1143	low_information	11	0.04987526446603899	0.10084303645775336
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	entrant	HCC1143	middle	19	0.049632954118794426	0.04060748122265673
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	entrant	HCC1143	shift_excess	2	0.06929216545296707	0.12750728380971882
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	entrant	HCC38	endpoint_anchor	11	0.04728231078149086	0.047868485792975056
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	entrant	HCC38	dependency_excess	5	0.044170922920902314	0.038478484274098335
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	entrant	HCC38	low_information	11	0.043696582656714215	0.0685285095960427
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	entrant	HCC38	middle	15	0.04849397482204078	0.06589873215465179
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	entrant	HCC38	shift_excess	5	0.04270750410857989	0.05714079660754851
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	entrant	HCC1143	endpoint_anchor	13	0.059571677416494516	0.3532650205882428
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	entrant	HCC1143	dependency_excess	2	0.048864509183314295	0.11952008561876432
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	entrant	HCC1143	low_information	11	0.05259596597638269	0.10543657450439355
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	entrant	HCC1143	middle	19	0.04864865731626742	0.1196308824619173
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	entrant	HCC1143	shift_excess	2	0.044798808954290746	0.1603692903762208
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	entrant	HCC38	endpoint_anchor	11	0.05148418970543241	0.043504104387874186
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	entrant	HCC38	dependency_excess	5	0.04500551635240181	0.07759116836527352
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	entrant	HCC38	low_information	11	0.043058446093447486	0.03933795023105178
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	entrant	HCC38	middle	15	0.046172764238797175	0.04733404034160715
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	entrant	HCC38	shift_excess	5	0.03895438055969249	0.103401024407772
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	entrant	HCC1143	endpoint_anchor	13	0.04423573080551396	0.10939348385232973
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	entrant	HCC1143	dependency_excess	2	0.05612132216146258	0.1541282876553824
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	entrant	HCC1143	low_information	11	0.05334951546484905	0.10755515105460928
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	entrant	HCC1143	middle	19	0.04554485398799718	0.07966255783807742
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	entrant	HCC1143	shift_excess	2	0.05347945821832413	0.14635761435585334
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	entrant	HCC38	endpoint_anchor	11	0.04964141501526423	0.1261954303867269
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	entrant	HCC38	dependency_excess	5	0.048885101533527	0.02320873592695507
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	entrant	HCC38	low_information	11	0.05087793101228279	0.05286873132640442
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	entrant	HCC38	middle	15	0.04781663580935278	0.03825705440049653
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	entrant	HCC38	shift_excess	5	0.04852371132258123	0.20032174442734865
geneformer_hcc_formal_v1	entrant	HCC1143	endpoint_anchor	13	0.016944020053637543	0.020732476138562807
geneformer_hcc_formal_v1	entrant	HCC1143	dependency_excess	2	0.013580462610818859	0.012312965891285717
geneformer_hcc_formal_v1	entrant	HCC1143	low_information	11	0.01576241718535814	0.027516168312018183
geneformer_hcc_formal_v1	entrant	HCC1143	middle	19	0.015964452596474946	0.02978862719568827
geneformer_hcc_formal_v1	entrant	HCC1143	shift_excess	2	0.009460962300035711	0.024388300110912503
geneformer_hcc_formal_v1	entrant	HCC38	endpoint_anchor	11	0.013344952754791327	0.023838233158966955
geneformer_hcc_formal_v1	entrant	HCC38	dependency_excess	5	0.010729164643193173	0.025611280621027237
geneformer_hcc_formal_v1	entrant	HCC38	low_information	11	0.013795220195948638	0.017772570497989457
geneformer_hcc_formal_v1	entrant	HCC38	middle	15	0.013851990457794474	0.02220848376183623
geneformer_hcc_formal_v1	entrant	HCC38	shift_excess	5	0.011082584292408004	0.016789909821514064
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC1143	endpoint_anchor	13	0.03982187892679086	0.06753858268722016
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC1143	dependency_excess	2	0.09797798871031027	0.18025590410285397
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC1143	low_information	11	0.04353460766238305	0.09736218164004581
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC1143	middle	19	0.052018618658780526	0.0734762404716477
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC1143	shift_excess	2	0.06749085313157151	0.10429123733956014
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC38	endpoint_anchor	11	0.04671364260874018	0.12573247370688678
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC38	dependency_excess	5	0.040655726118866885	0.09375992601658374
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC38	low_information	11	0.061718150225900124	0.05761160391162032
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC38	middle	15	0.04030282641845763	0.07289857028632289
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC38	shift_excess	5	0.03331167548855839	0.040103215097394514
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC1143	endpoint_anchor	13	0.05905113452848068	0.10644825234179182
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC1143	dependency_excess	2	0.06593961263224377	0.24043234552671156
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC1143	low_information	11	0.054332330339022405	0.07026330725700665
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC1143	middle	19	0.058591457820446516	0.06670095270170422
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC1143	shift_excess	2	0.05557607211463751	0.06484145787303575
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC38	endpoint_anchor	11	0.051559119160066134	0.032105694570960124
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC38	dependency_excess	5	0.05301674294991254	0.10844801129922305
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC38	low_information	11	0.04855251783459012	0.04990527705663825
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC38	middle	15	0.04981942831870936	0.04449912983640704
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC38	shift_excess	5	0.0578352739554228	0.06341764026825616
lm_train_lowrank_hcc_formal_v1	entrant	HCC1143	endpoint_anchor	13	0.05089729201974943	0.08163954894919011
lm_train_lowrank_hcc_formal_v1	entrant	HCC1143	dependency_excess	2	0.05511383458851576	0.09468823915712037
lm_train_lowrank_hcc_formal_v1	entrant	HCC1143	low_information	11	0.03750558825540339	0.04307854372070592
lm_train_lowrank_hcc_formal_v1	entrant	HCC1143	middle	19	0.042429576247066655	0.1015081310516487
lm_train_lowrank_hcc_formal_v1	entrant	HCC1143	shift_excess	2	0.04987282277181414	0.10248852089143012
lm_train_lowrank_hcc_formal_v1	entrant	HCC38	endpoint_anchor	11	0.03956303054579735	0.048384237868609785
lm_train_lowrank_hcc_formal_v1	entrant	HCC38	dependency_excess	5	0.04661536354521113	0.060573591308002654
lm_train_lowrank_hcc_formal_v1	entrant	HCC38	low_information	11	0.042980688396120174	0.0510653684725619
lm_train_lowrank_hcc_formal_v1	entrant	HCC38	middle	15	0.03802356696344517	0.047915218853563805
lm_train_lowrank_hcc_formal_v1	entrant	HCC38	shift_excess	5	0.038464481376219335	0.050108906684195646
null_model	null	HCC1143	endpoint_anchor	13	0.0	0.0
null_model	null	HCC1143	dependency_excess	2	0.0	0.0
null_model	null	HCC1143	low_information	11	0.0	0.0
null_model	null	HCC1143	middle	19	0.0	0.0
null_model	null	HCC1143	shift_excess	2	0.0	0.0
null_model	null	HCC38	endpoint_anchor	11	0.0	0.0
null_model	null	HCC38	dependency_excess	5	0.0	0.0
null_model	null	HCC38	low_information	11	0.0	0.0
null_model	null	HCC38	middle	15	0.0	0.0
null_model	null	HCC38	shift_excess	5	0.0	0.0
scgen_hcc_formal_v1	entrant	HCC1143	endpoint_anchor	13	0.07730344172091651	0.612327396926283
scgen_hcc_formal_v1	entrant	HCC1143	dependency_excess	2	0.061532556474894806	0.4286983163889184
scgen_hcc_formal_v1	entrant	HCC1143	low_information	11	0.0533280597077448	0.19646369682528217
scgen_hcc_formal_v1	entrant	HCC1143	middle	19	0.05415197320159026	0.23361336281770229
scgen_hcc_formal_v1	entrant	HCC1143	shift_excess	2	0.06916309296617162	0.5027821765230536
scgen_hcc_formal_v1	entrant	HCC38	endpoint_anchor	11	0.07736319375313677	0.7120268159211232
scgen_hcc_formal_v1	entrant	HCC38	dependency_excess	5	0.05610510114173334	0.12712722696092366
scgen_hcc_formal_v1	entrant	HCC38	low_information	11	0.05656141811014713	0.184397709501462
scgen_hcc_formal_v1	entrant	HCC38	middle	15	0.05749464601363118	0.20619837320267734
scgen_hcc_formal_v1	entrant	HCC38	shift_excess	5	0.06378706712598496	0.30469929167932885
scgen_hcc_sens_e100_seed2	entrant	HCC1143	endpoint_anchor	13	0.06616875137579054	0.549742290547454
scgen_hcc_sens_e100_seed2	entrant	HCC1143	dependency_excess	2	0.05153955018070115	0.35081253467653256
scgen_hcc_sens_e100_seed2	entrant	HCC1143	low_information	11	0.04710367276400273	0.22346514252636837
scgen_hcc_sens_e100_seed2	entrant	HCC1143	middle	19	0.04688665437855224	0.180651892862199
scgen_hcc_sens_e100_seed2	entrant	HCC1143	shift_excess	2	0.0623964421958898	0.4565456063766625
scgen_hcc_sens_e100_seed2	entrant	HCC38	endpoint_anchor	11	0.07213536138254348	0.6567468162468412
scgen_hcc_sens_e100_seed2	entrant	HCC38	dependency_excess	5	0.050204709564865585	0.10223719274093104
scgen_hcc_sens_e100_seed2	entrant	HCC38	low_information	11	0.050516927061094716	0.1381344345282795
scgen_hcc_sens_e100_seed2	entrant	HCC38	middle	15	0.04920458334401456	0.17220332203054095
scgen_hcc_sens_e100_seed2	entrant	HCC38	shift_excess	5	0.05670923011059405	0.34697491121388213
scgen_hcc_sens_e60_seed1	entrant	HCC1143	endpoint_anchor	13	0.08723948682687552	0.6685306149636425
scgen_hcc_sens_e60_seed1	entrant	HCC1143	dependency_excess	2	0.07087715329800708	0.47145580468944814
scgen_hcc_sens_e60_seed1	entrant	HCC1143	low_information	11	0.0637265122436966	0.2341344225952553
scgen_hcc_sens_e60_seed1	entrant	HCC1143	middle	19	0.06290272427278519	0.2676245228273985
scgen_hcc_sens_e60_seed1	entrant	HCC1143	shift_excess	2	0.07944040257532753	0.5409833476284529
scgen_hcc_sens_e60_seed1	entrant	HCC38	endpoint_anchor	11	0.08232405819632589	0.7176675747882909
scgen_hcc_sens_e60_seed1	entrant	HCC38	dependency_excess	5	0.05613232536282584	0.06000829159793314
scgen_hcc_sens_e60_seed1	entrant	HCC38	low_information	11	0.058695629828441453	0.1559299261557225
scgen_hcc_sens_e60_seed1	entrant	HCC38	middle	15	0.0597492931025444	0.16630351613213826
scgen_hcc_sens_e60_seed1	entrant	HCC38	shift_excess	5	0.06143347061447177	0.29334972507824253
scgpt_hcc_formal_v1	entrant	HCC1143	endpoint_anchor	13	0.02106376065343252	0.07670698568522791
scgpt_hcc_formal_v1	entrant	HCC1143	dependency_excess	2	0.022669520047226673	0.05248688076791686
scgpt_hcc_formal_v1	entrant	HCC1143	low_information	11	0.026796137168062076	0.03381629445124404
scgpt_hcc_formal_v1	entrant	HCC1143	middle	19	0.016439797821421204	0.05223375721456118
scgpt_hcc_formal_v1	entrant	HCC1143	shift_excess	2	0.021101429234252317	0.07451404470883569
scgpt_hcc_formal_v1	entrant	HCC38	endpoint_anchor	11	0.02738612618182278	0.03261945222325405
scgpt_hcc_formal_v1	entrant	HCC38	dependency_excess	5	0.017907697837903427	0.019813997749610752
scgpt_hcc_formal_v1	entrant	HCC38	low_information	11	0.014167212761535077	0.018386338795543005
scgpt_hcc_formal_v1	entrant	HCC38	middle	15	0.016410202133850926	0.02753851770205677
scgpt_hcc_formal_v1	entrant	HCC38	shift_excess	5	0.016946608377876777	0.014607606555231542
shared_mean_baseline	baseline	HCC1143	endpoint_anchor	13	0.027590860836732053	0.035650761855434435
shared_mean_baseline	baseline	HCC1143	dependency_excess	2	0.027590860836732053	0.04848471970193041
shared_mean_baseline	baseline	HCC1143	low_information	11	0.027590860836732053	0.03789304099055775
shared_mean_baseline	baseline	HCC1143	middle	19	0.027590860836732053	0.06348637676635847
shared_mean_baseline	baseline	HCC1143	shift_excess	2	0.027590860836732053	0.07759416269191012
shared_mean_baseline	baseline	HCC38	endpoint_anchor	11	0.019875402722619912	0.06568594081780689
shared_mean_baseline	baseline	HCC38	dependency_excess	5	0.019875402722619912	0.024481161573182364
shared_mean_baseline	baseline	HCC38	low_information	11	0.019875402722619912	0.024644406313916335
shared_mean_baseline	baseline	HCC38	middle	15	0.019875402722619912	0.03500070672663182
shared_mean_baseline	baseline	HCC38	shift_excess	5	0.019875402722619912	0.053924289057116936
