profile	umap1	umap2	is_control	is_highlight
PRODH	6.9821796	15.738134	False	False
NBAS	5.9166393	13.137054	False	False
CKAP5	6.8738837	13.399946	False	False
ELP5	6.626715	16.277164	False	False
ZNF407	8.559588	15.404735	False	False
SNX15	8.394331	15.2682	False	False
RPS6	0.7933228	7.3625135	False	False
TUBD1	6.3449535	14.814527	False	False
SEC13	5.680361	14.917817	False	False
EIF4E	-0.021262752	14.141186	False	False
H2AFZ	3.6821604	14.031116	False	False
EEF1G	4.730681	12.114966	False	False
DNAJA1	4.5086713	12.769948	False	False
LSG1	0.049514696	14.401618	False	False
FBXO5	12.368952	14.081926	False	False
MTOR	5.8892217	13.594301	False	False
SFSWAP	2.3383815	12.930227	False	False
USP8	8.239175	15.856072	False	False
HTATSF1	8.69684	16.46824	False	False
SUPT5H	5.771681	7.8996797	False	False
WDR4	8.266526	15.408219	False	False
AP2M1	6.93443	14.693514	False	False
PPP2R3C	3.7278166	14.064505	False	False
LTB4R2	5.6159897	15.225231	False	False
EIF4G1	-0.1271723	14.1808405	False	False
RPA1	6.8023567	14.889673	False	False
TRRAP	10.836083	13.741816	False	False
BRF1	6.0453095	15.477601	False	False
NUP205	8.98461	15.9852495	False	False
PRPF40A	3.0296865	11.989423	False	False
HSPA9	1.1421607	11.670163	False	False
SLU7	2.3359556	11.998251	False	False
DDX46	5.6770964	14.025998	False	False
NOP16	-0.5506726	14.259037	False	False
PMPCA	8.358295	14.72245	False	False
NSUN4	9.321296	13.491071	False	False
HARS2	9.702559	13.805676	False	False
POLA1	12.42145	13.779179	False	False
SNRNP40	5.2430463	14.901052	False	False
EMC3	9.085717	14.733859	False	False
ERH	11.586013	14.117055	False	False
MRPS7	1.7019342	13.79806	False	False
CENPJ	-0.5569492	14.243753	False	False
MRPS28	1.6009582	13.964472	False	False
SLC7A5	3.878753	13.641893	False	False
RPS27	1.4120927	7.2409134	False	False
SUPT6H	5.8044066	7.870324	False	False
U2SURP	2.0515387	13.59821	False	False
GFER	8.520235	16.297247	False	False
FAM136A	5.499523	8.638497	False	False
KDM8	10.706716	15.910341	False	False
C1QBP	10.136062	13.8022785	False	False
DNLZ	6.8344045	14.678112	False	False
ZMAT2	3.4282033	14.324708	False	False
RSL24D1	-0.3353762	14.340909	False	False
PMPCB	1.940485	12.600135	False	False
UPF3A	8.776364	14.273095	False	False
RPS13	0.7677686	7.3696184	False	False
SUGP1	7.2367034	15.538885	False	False
BTF3	3.401627	13.075993	False	False
PGD	6.886682	12.899264	False	False
SNRNP200	2.5770128	13.420124	False	False
BCAS2	2.0766976	12.960601	False	False
CACNB3	7.2505493	15.655235	False	False
RAD51	13.613693	13.226928	False	False
SLC39A9	7.376911	14.591816	False	False
SLC1A5	6.8842483	14.516307	False	False
NUDC	3.633972	11.44813	False	False
URB1	4.9481006	12.985863	False	False
FXN	9.864706	16.253746	False	False
PCF11	5.3181763	10.0928955	False	False
SAE1	10.252575	15.240851	False	False
SERBP1	11.584858	14.978364	False	False
ABCB7	10.569236	15.021863	False	False
PSMA3	4.2496967	10.64549	False	False
TFIP11	6.260503	14.615671	False	False
RPS26	0.8323453	7.318038	False	False
MAK16	-0.26119524	14.371977	False	False
ACOT12	8.302662	14.690752	False	False
TIMM23B	1.2395725	11.722614	False	False
GRPEL1	2.0446613	11.967441	False	False
COX7B	10.259599	16.206745	False	False
SACM1L	6.9150014	14.451107	False	False
EIF3A	-1.1791505	14.134154	False	False
METAP2	4.5765486	12.468903	False	False
ZCCHC9	1.6520894	7.3054504	False	False
VPS37A	6.342193	14.248103	False	False
LAMTOR4	6.4580336	12.706724	False	False
RPL37	0.12973772	14.297804	False	False
RSL1D1	0.47777984	14.222888	False	False
ACTL6A	11.444319	15.489163	False	False
PHF5A	2.4576325	13.283585	False	False
ZNHIT6	3.3314352	7.837934	False	False
NUF2	6.660327	13.199592	False	False
NIP7	-0.07897769	14.3361435	False	False
BUB3	4.1006384	13.793032	False	False
CDK9	9.184934	14.195936	False	False
SAMM50	2.3329585	13.21419	False	False
SRBD1	12.64155	14.043078	False	False
CBLN1	7.222236	14.280971	False	False
MFAP1	2.2472796	12.233498	False	False
ALG2	8.352976	15.005577	False	False
PSMC2	3.8437953	10.357236	False	False
CSE1L	6.7280207	15.902991	False	False
FOLR3	9.474045	15.77719	False	False
USF2	8.650855	15.451337	False	False
ACTR2	6.3540835	14.721521	False	False
RNF14	8.279237	15.049908	False	False
RPS24	0.8103502	7.3063545	False	False
RPS19	0.8834167	7.254535	False	False
ARGLU1	3.3962095	13.902472	False	False
GTF2H4	3.697013	11.323059	False	False
NPEPPS	6.811811	14.666972	False	False
GTF2E2	5.463785	9.982533	False	False
TRNT1	6.8593154	15.4562235	False	False
NUMA1	5.6558185	10.7303095	False	False
PDCD6IP	8.746455	16.173176	False	False
TARDBP	9.614873	15.71998	False	False
CPNE7	5.433362	15.132806	False	False
DYNLRB1	9.196227	13.969856	False	False
KRR1	2.343497	7.2442904	False	False
THOC6	8.708773	14.292448	False	False
INTS8	2.8392065	10.945652	False	False
DYNC1I2	9.865194	14.367841	False	False
HSPA5	1.9928367	11.294656	False	False
PSME2	7.9989767	14.999637	False	False
MCM4	7.182456	13.468975	False	False
UBE2D3	5.9566154	15.4737	False	False
PSMD11	3.8393648	10.407139	False	False
SRP72	6.069924	13.7162695	False	False
MRPL55	11.858325	11.441089	False	False
AHCY	9.013424	14.672222	False	False
OLFML3	7.2895246	14.388845	False	False
CRNKL1	3.9330893	13.658188	False	False
NELFCD	7.466593	13.370768	False	False
HCRTR1	11.39181	15.390913	False	False
PSMB7	4.2941027	10.706787	False	False
SRSF11	5.8640895	15.208384	False	False
TSR2	0.8089591	7.305077	False	False
DNMT1	7.8249936	14.864845	False	False
PDCD11	1.369508	7.1554675	False	False
PSMD8	8.224979	13.418541	False	False
NCBP2	5.33073	8.899494	False	False
C7orf26	3.6565287	11.358325	False	False
ZNF131	8.162443	15.678957	False	False
CDC20	10.287668	14.71057	False	False
BUD13	3.8357003	13.150581	False	False
DYNLL1	11.171789	14.348163	False	False
CLASRP	3.232544	13.223572	False	False
RRP15	8.273384	11.335142	False	False
SNRPD3	3.083282	12.545453	False	False
COG2	6.3207493	14.074223	False	False
PC	5.266374	14.347771	False	False
SFPQ	2.6532977	11.43312	False	False
SDE2	3.3484302	13.852982	False	False
MRPL18	11.66607	11.400102	False	False
CDK11A	7.9349275	15.979742	False	False
VHL	7.5022554	15.068874	False	False
RPL34	-1.4600116	14.088102	False	False
TRAPPC3	8.70162	15.253859	False	False
SLC16A5	5.6276717	12.336844	False	False
RPS3	0.81941646	7.2937455	False	False
NAA15	5.6060734	11.629807	False	False
TTC1	4.0507917	14.151281	False	False
DONSON	12.069753	13.896607	False	False
KANSL3	3.6269639	13.918629	False	False
KRT10	6.692942	15.326785	False	False
DNM1L	8.172075	16.470293	False	False
PTPN23	8.1555195	15.112907	False	False
ARPC3	7.297116	15.38823	False	False
WDR33	3.8120027	11.424234	False	False
ANAPC4	4.665511	13.421931	False	False
SPCS2	5.4763446	14.813876	False	False
ATP6V1H	4.3640327	12.103339	False	False
COG1	10.1986065	15.058	False	False
NANOG	9.020748	16.444227	False	False
DSN1	6.365064	12.582692	False	False
PSMB4	4.9190288	12.168158	False	False
EGLN2	10.533348	15.924375	False	False
PPWD1	2.9649491	12.1307535	False	False
RPLP2	0.059170637	14.340032	False	False
GTF3C5	4.5329595	13.583789	False	False
RARS2	10.455966	14.5970745	False	False
COPS3	4.141794	13.259634	False	False
PPIE	2.5062687	12.938749	False	False
UQCRQ	11.232133	14.49703	False	False
RPF1	0.18498322	14.325281	False	False
GEMIN7	7.468205	15.609996	False	False
LSM5	7.350527	16.600306	False	False
ZBTB17	3.3542292	11.873165	False	False
PPP1R12A	7.6231413	15.916614	False	False
DPH2	5.8715706	15.382616	False	False
POLR2G	5.522435	9.012177	False	False
RPS29	1.695629	7.3247085	False	False
TCOF1	3.5003533	8.377774	False	False
DDX19A	8.961531	14.81378	False	False
LSM12	3.9655173	13.952281	False	False
C19orf53	7.2020254	15.806395	False	False
TUBA1B	7.88588	13.227141	False	False
USP39	2.2175746	12.887503	False	False
TAF10	5.032316	8.896594	False	False
HUS1	10.527169	15.65677	False	False
GARS	4.3163357	12.462465	False	False
CNOT1	11.185229	13.885956	False	False
CHD4	10.525495	14.319576	False	False
TUBGCP6	9.546811	14.902081	False	False
ZNF506	5.859786	14.795404	False	False
KIAA1143	7.0968814	15.010235	False	False
XPO1	4.4413404	11.137694	False	False
SART1	2.3692737	12.483084	False	False
SLC4A5	8.564259	15.2635975	False	False
VCP	6.915975	13.241797	False	False
RPS10	2.0123122	7.195174	False	False
MRPS23	1.601149	13.912521	False	False
SGPP1	9.132668	15.350786	False	False
NUP54	5.6667843	12.764543	False	False
POLR2B	5.429315	8.919367	False	False
ANAPC2	9.761622	15.800747	False	False
SMARCE1	8.588489	15.909834	False	False
ERCC2	5.4842067	9.896095	False	False
TOMM22	1.1647286	11.752401	False	False
PRIM2	13.557382	13.028291	False	False
PPP2CA	4.686044	13.2225485	False	False
CEP85	7.6696053	15.697249	False	False
NISCH	8.863802	16.15027	False	False
SSRP1	5.2964187	10.143254	False	False
PRIM1	13.374685	13.148155	False	False
CWF19L2	2.3585565	12.992507	False	False
SOD1	4.683903	13.68934	False	False
MRPS9	1.6178911	13.950912	False	False
NDUFB4	9.738168	14.710955	False	False
YPEL1	7.8404994	15.283573	False	False
SON	5.7903647	12.68314	False	False
SEH1L	2.2853434	11.304909	False	False
BGLAP	6.7448964	13.040021	False	False
RNF123	7.839314	15.128247	False	False
TCERG1	5.993933	14.930932	False	False
PSMD7	3.9075265	10.400115	False	False
ELP2	5.505412	15.045223	False	False
UTP15	1.2630122	7.7849336	False	False
MCM2	13.115484	13.567498	False	False
DDX23	3.0175114	13.795441	False	False
SUGT1	10.883202	15.365198	False	False
PAXBP1	2.9672186	13.117613	False	False
METTL1	8.766392	15.702585	False	False
BDP1	1.545271	7.6564603	False	False
CENPE	10.635874	14.308805	False	False
MZT1	10.713545	14.566278	False	False
LSM7	3.3732488	14.677293	False	False
NRDE2	4.438334	14.165858	False	False
ABHD11	7.0227704	14.230038	False	False
GUCD1	5.6061463	13.91253	False	False
PYROXD1	7.2514157	16.183641	False	False
NFRKB	3.4931295	11.745283	False	False
COPA	6.128148	13.284455	False	False
SRPRB	3.8745728	11.944167	False	False
RPS14	1.8743144	7.182861	False	False
RPL17	-1.666534	13.950887	False	False
FIP1L1	5.347822	9.733626	False	False
SETD2	10.731823	16.009216	False	False
RFT1	7.796772	14.490297	False	False
LSM6	3.2111294	14.523446	False	False
SLC25A10	3.5482686	13.635554	False	False
RTCB	3.5275667	14.020157	False	False
CS	7.6151433	15.765962	False	False
WDR25	6.67167	14.385845	False	False
RPS11	1.1818081	7.2567005	False	False
RPL21	-1.2121062	14.176009	False	False
BTF3L4	8.1259365	16.089312	False	False
PHAX	5.7132826	14.030408	False	False
UQCC2	8.991543	13.735896	False	False
LSM2	2.546701	13.392082	False	False
ATP6V1A	10.8944025	14.930529	False	False
NXF1	6.74318	14.688141	False	False
SNRPG	5.8235345	13.890213	False	False
EXOC1	8.318794	15.556312	False	False
RPS28	1.9717491	7.1829386	False	False
NUP214	8.673987	16.264505	False	False
PRPF6	3.2428918	14.090304	False	False
NCOA4	5.313154	14.721425	False	False
CNN2	9.850995	15.733517	False	False
DPH1	9.629615	14.980841	False	False
BPTF	6.0863204	14.021831	False	False
MZF1	7.1693697	14.787954	False	False
TMEM240	6.8741384	14.661969	False	False
STAT5A	10.7059765	15.193843	False	False
FOXL2	10.167384	14.587404	False	False
MKRN1	6.9985075	13.789224	False	False
MRPL38	11.569744	11.452815	False	False
UBE2N	9.371707	14.908227	False	False
AAAS	7.1364355	14.461934	False	False
HIST1H2AB	8.839975	15.615057	False	False
ZNHIT2	4.569234	13.62194	False	False
STARD7	1.8316972	12.510265	False	False
NBPF12	8.767468	16.334345	False	False
IARS2	1.5549761	12.004949	False	False
MED7	5.7464566	7.946073	False	False
TUBGCP5	9.627743	15.008631	False	False
UBE2H	6.4560995	14.378721	False	False
LRRC37A3	8.441289	16.165205	False	False
CDK1	13.258834	13.377538	False	False
ZNF763	8.644963	15.114448	False	False
DNAJC9	9.303697	15.42994	False	False
GTF2H1	5.520128	9.691777	False	False
GAB2	2.9242163	11.317651	False	False
MAGOH	3.5538595	14.051156	False	False
CHEK1	3.4199684	13.364044	False	False
RTTN	7.1302924	14.938858	False	False
KRTAP4-7	3.8294022	12.808533	False	False
NSRP1	2.9465208	12.080732	False	False
DNTTIP2	1.3556597	7.1636443	False	False
RPP40	2.7406342	7.32334	False	False
RAB6A	4.297622	12.486925	False	False
OR4F4	6.9457884	16.401823	False	False
COX5B	9.435134	14.584399	False	False
EIF2B2	2.0649095	11.341374	False	False
COPS4	3.4195924	12.331029	False	False
GCOM1	11.405586	15.077406	False	False
INTS9	3.0898185	12.533693	False	False
BCR	2.9332979	11.358146	False	False
NOL11	1.3489845	7.762372	False	False
EIF3H	8.618515	11.768375	False	False
U2AF1	2.450648	12.874499	False	False
DDX11	7.1699553	14.49888	False	False
MYCBP	9.196108	15.713205	False	False
NOL6	1.3136207	7.188727	False	False
PRPF4	2.7882805	13.447893	False	False
SF3A2	3.1617684	13.8109665	False	False
TXN	13.511829	13.041994	False	False
CSNK1A1	3.361147	11.99721	False	False
COPG1	6.7345734	14.895743	False	False
PPP2R1A	3.8896644	12.412572	False	False
DDX6	6.5193543	12.546791	False	False
DDX47	0.8639296	7.292546	False	False
MRPL10	11.979664	11.414703	False	False
ORC5	7.5968657	14.452116	False	False
CLP1	8.769203	13.964505	False	False
CDIPT	6.1888504	14.933185	False	False
FBL	0.8515473	7.2832685	False	False
ZNF468	6.913265	14.750731	False	False
CDC27	8.705834	15.681268	False	False
HNRNPR	6.9290867	14.638275	False	False
DHFR	8.2261305	15.310479	False	False
MCM7	11.486446	14.21746	False	False
DDX49	3.3842223	7.8047147	False	False
KRTAP4-2	6.4650087	14.556098	False	False
HIST1H2BM	6.993508	14.164446	False	False
SMN2	3.0408645	12.587412	False	False
MOG	4.637764	13.672875	False	False
ACTR1B	9.439061	16.496685	False	False
CCND1	7.712128	15.142705	False	False
WDR61	5.0023236	12.285482	False	False
MRPL1	11.231531	11.836837	False	False
ANKRD11	12.446683	14.282971	False	False
UQCRC1	9.79122	14.846087	False	False
CENPN	7.120786	14.679452	False	False
RAD17	10.738747	15.498388	False	False
YPEL5	4.3540587	12.814794	False	False
DHODH	8.38337	13.777344	False	False
CCDC86	-0.1540439	14.363856	False	False
LIMS1	9.044636	16.466095	False	False
NACA	2.9131575	11.24267	False	False
SRP9	8.258037	15.891298	False	False
TSEN34	8.890082	15.707007	False	False
RPS21	3.0896788	7.541613	False	False
PSMC6	3.9731932	10.459062	False	False
MRPL51	11.300978	11.367487	False	False
CAMLG	6.3589945	13.800301	False	False
ICE1	5.650363	13.981692	False	False
POLE	13.115883	13.272956	False	False
NKAP	3.463955	13.64666	False	False
RPA3	12.063431	13.975277	False	False
MAD2L1	6.309495	13.905855	False	False
RBM14	12.448046	14.145883	False	False
NHLRC2	10.208752	14.654425	False	False
OR7A10	8.96361	14.755167	False	False
EXOSC9	5.1134105	8.727697	False	False
ENO1	10.300086	13.984083	False	False
TSG101	8.450054	13.075477	False	False
THAP1	4.095834	10.556387	False	False
TRMT10C	1.8694307	12.804333	False	False
EIF2B5	2.121217	11.391821	False	False
GET1	4.1776605	12.509167	False	False
LTV1	1.6323268	7.180764	False	False
RHPN1	6.7202654	15.5154085	False	False
YRDC	5.9340825	14.866809	False	False
JMJD6	6.535198	15.242735	False	False
DDN	7.828601	15.597435	False	False
CENPT	8.201413	15.400374	False	False
VPS29	3.1765122	11.649839	False	False
CDK2	10.642244	14.464946	False	False
BCL2L1	6.6839976	14.465519	False	False
TACC3	8.001969	14.130805	False	False
PKMYT1	7.497323	14.157966	False	False
KPNB1	6.842943	13.455909	False	False
SDAD1	-0.25760728	14.3202305	False	False
DDX55	8.4606285	11.536751	False	False
RPL7	-1.412823	14.0740185	False	False
SARS2	3.7331047	12.680934	False	False
FNTA	3.8824146	13.812806	False	False
SF3A1	4.844422	13.470569	False	False
CWC15	3.371503	14.668011	False	False
TKT	4.9463887	14.081292	False	False
RAB4A	7.1024666	15.293155	False	False
TBCA	5.208571	14.637952	False	False
NFATC2IP	7.995737	16.047876	False	False
UFL1	10.705167	16.001114	False	False
CENPA	8.582285	15.506459	False	False
ABCE1	1.5325867	7.169258	False	False
PRC1	11.208137	15.534805	False	False
CHMP6	8.446177	13.164292	False	False
PPP1R8	2.0307558	12.392667	False	False
MRPL16	12.044658	11.512264	False	False
RBX1	11.408418	14.3068	False	False
SARNP	6.8476915	16.054655	False	False
BRIX1	3.023037	11.551105	False	False
MRPL39	11.590477	11.348377	False	False
POLR1B	1.23732	7.7780166	False	False
SRSF2	5.2709355	12.717938	False	False
MPHOSPH10	2.1837301	7.22756	False	False
ALDOA	6.5136685	12.638536	False	False
HIST1H2AE	7.1382303	13.785091	False	False
MED19	5.7297387	7.981466	False	False
DHDDS	2.4615915	11.428022	False	False
EARS2	7.146363	14.412044	False	False
NAA35	10.151143	14.818092	False	False
SMG6	4.058119	13.806089	False	False
C1QTNF4	8.067546	15.168232	False	False
TRAIP	11.1912155	15.498613	False	False
MED6	5.525141	8.584431	False	False
MAX	2.8869002	11.10463	False	False
DIS3	4.583	8.612956	False	False
PTCD1	11.079641	11.4960985	False	False
TREX2	8.851973	13.938345	False	False
TEAD3	9.140344	15.501397	False	False
HIRA	11.040505	15.303135	False	False
CSH2	6.7211175	14.112664	False	False
CHMP7	9.71682	16.492401	False	False
POP4	3.2561595	7.6993947	False	False
SDHC	7.9277353	14.093301	False	False
SSU72	3.7284532	11.961904	False	False
DDX19B	7.4197702	14.780773	False	False
HARS	1.990226	11.271334	False	False
RPL24	-1.2761474	14.108608	False	False
COPB2	6.193	13.125083	False	False
CCDC144A	7.270217	15.460961	False	False
DR1	11.245457	15.3869295	False	False
COX11	10.307904	15.22806	False	False
NBPF3	5.192462	13.505789	False	False
POLD3	13.369005	13.124543	False	False
POLR2D	5.4123034	10.180312	False	False
SRSF1	10.370205	13.838347	False	False
C16orf86	7.001262	15.054421	False	False
DYNC1H1	8.875377	14.115897	False	False
ZNF284	6.711556	15.219024	False	False
GET3	10.061524	14.556523	False	False
CENPI	7.0860386	14.167866	False	False
EIF4G2	8.897404	16.291773	False	False
ARCN1	4.07948	12.800241	False	False
NOS1AP	11.41449	15.551849	False	False
NASP	7.1703024	13.852831	False	False
ZBTB11	5.7847147	15.136684	False	False
FBLIM1	7.072515	14.114221	False	False
SDHAF2	6.17657	15.201052	False	False
XRCC2	9.549672	15.817047	False	False
POLR3B	3.0354943	11.705066	False	False
MYBL2	13.816491	13.077111	False	False
ZNF574	7.5634007	16.53356	False	False
RARS	2.2346294	11.372438	False	False
EIF2S2	6.5830593	13.264712	False	False
RABGGTB	8.426006	15.36381	False	False
FAM72D	5.406907	13.262216	False	False
TAMM41	3.4866118	13.177464	False	False
ZNF674	4.889114	13.479122	False	False
CCT6A	9.996997	12.64764	False	False
TARS	2.211457	11.609125	False	False
PARN	6.611402	13.234238	False	False
SETD1A	2.115195	11.2331	False	False
THOC2	6.6567373	12.757382	False	False
ZNF133	5.103649	13.492372	False	False
HNRNPC	11.380303	11.634394	False	False
DRAP1	9.3620205	15.3852005	False	False
YEATS4	6.921089	16.61181	False	False
DCTN3	9.981142	14.978957	False	False
RRP9	3.3687735	7.7995596	False	False
EXOSC8	4.5959888	8.628501	False	False
METTL17	1.9139316	13.938745	False	False
SLC39A10	5.584726	13.039832	False	False
TBCB	6.1757116	11.409133	False	False
MRPL53	12.02665	11.480563	False	False
COX15	6.1785316	12.656877	False	False
DNAJC19	1.297314	11.740019	False	False
WAC	9.990407	14.318667	False	False
LARS2	9.741116	13.646365	False	False
RPS7	0.7888278	7.3221908	False	False
SPATA5	7.528967	15.9086275	False	False
CYP4F11	10.6174345	15.950981	False	False
DNAJC8	4.0855055	13.728216	False	False
PMF1	5.18118	12.158312	False	False
QARS	2.0673907	11.302049	False	False
MED17	5.75572	7.918376	False	False
GAR1	6.851117	13.042877	False	False
NAGLU	5.930146	14.96286	False	False
KCMF1	6.121348	14.817293	False	False
KRT8	6.583381	15.148511	False	False
WBP11	2.7385538	13.523429	False	False
MCM10	13.365836	13.129708	False	False
CTDP1	5.566988	9.860518	False	False
PSMD1	6.8099604	13.879367	False	False
PLRG1	2.378176	11.824417	False	False
ACIN1	9.915	15.356107	False	False
GBF1	6.1494217	13.12393	False	False
MED20	5.513803	8.646641	False	False
GNPNAT1	6.8235445	14.997033	False	False
LST1	5.3496976	14.4650955	False	False
CHAF1B	11.64384	14.031249	False	False
DERL2	4.6213264	12.325747	False	False
OR4N2	9.067629	16.303043	False	False
KLHL11	7.5315676	16.559345	False	False
HAUS3	9.9085245	14.755626	False	False
PTCD3	1.6415665	13.871316	False	False
RAD9A	11.878477	14.344057	False	False
C9orf78	8.921386	16.135286	False	False
RPL19	-1.610725	13.977675	False	False
VPS54	9.077364	15.232104	False	False
WDR12	-0.29285166	14.3377905	False	False
HMGN2	5.526871	13.223047	False	False
NOP2	-1.4554589	13.97477	False	False
NCBP1	5.365569	8.741387	False	False
NAT10	2.815745	7.3318305	False	False
DMRTA2	9.368235	16.392042	False	False
MED21	5.7284913	7.972209	False	False
HSF1	10.852591	11.582905	False	False
DDX51	3.8291478	12.628883	False	False
LRR1	9.444497	14.972326	False	False
OXA1L	2.06172	12.752603	False	False
PPP1R2	10.207496	14.719077	False	False
CCDC59	3.4540982	7.8735585	False	False
COG3	12.54167	13.812284	False	False
NIFK	-0.739772	14.203525	False	False
METTL3	8.254777	14.1533985	False	False
PSMB5	4.0367775	10.493589	False	False
BANF1	5.2316885	13.39042	False	False
CD8B	10.557832	16.011164	False	False
PELO	6.186417	13.213035	False	False
HAUS4	10.307221	14.483415	False	False
FRG2	8.102705	16.017801	False	False
SART3	3.3959246	13.128576	False	False
MVK	8.895817	15.390643	False	False
GLI4	7.318954	15.8222885	False	False
EXOSC7	8.467583	14.050395	False	False
ING3	7.4153695	16.622028	False	False
BCAR1	8.942511	16.414785	False	False
WDR54	7.2992363	14.190427	False	False
CUL2	8.295389	11.357737	False	False
RPL32	-0.78843874	14.248698	False	False
PRELID3B	1.2645446	11.805951	False	False
NCAPG	8.031596	15.774341	False	False
RUVBL1	5.4862165	9.8395405	False	False
KIF14	12.675273	13.958078	False	False
TEX10	0.14238353	14.377416	False	False
GTF2E1	5.5147886	10.226011	False	False
CHTF18	10.614479	15.870816	False	False
RPL30	-1.2236997	14.169094	False	False
RCL1	2.1744802	7.239057	False	False
RBBP8	12.781062	13.749135	False	False
MAT2A	2.3064559	12.692067	False	False
SPTSSA	11.204304	15.526003	False	False
YKT6	10.186666	14.135521	False	False
LRPPRC	1.0107962	11.642139	False	False
DDX54	0.5038927	14.273281	False	False
CASP8AP2	13.353053	13.158022	False	False
KIF4A	7.95669	16.3266	False	False
TIMELESS	12.796906	13.798919	False	False
E4F1	3.615737	12.395503	False	False
DCTN2	10.129607	14.710795	False	False
MRPL35	11.953406	11.436204	False	False
ZNF24	11.507374	15.337857	False	False
USP9X	5.1410494	13.68275	False	False
RPS17	1.6355672	7.1901445	False	False
VPS25	5.0380626	14.342148	False	False
PSAT1	4.681566	13.28374	False	False
RPL26L1	11.239077	15.630191	False	False
CENPW	8.275886	15.722211	False	False
RPL36	-1.6413745	13.959557	False	False
GTF3C6	7.984303	15.12356	False	False
SF3B5	2.7412362	11.978711	False	False
RBMX2	2.86538	12.812859	False	False
EIF3D	8.300378	12.321796	False	False
CCT4	10.01535	12.632789	False	False
EIF3I	-0.34559467	14.318157	False	False
RNPS1	3.7954416	12.368829	False	False
PPIL2	7.044951	16.35102	False	False
CDC16	9.770288	15.676851	False	False
PHB2	1.2255185	11.656209	False	False
CPAMD8	8.3254175	15.457188	False	False
OVCA2	4.6005144	13.649289	False	False
DCTN6	8.29225	14.258863	False	False
PDRG1	5.6750317	10.486107	False	False
GINS3	12.463351	14.154003	False	False
RIOK1	2.8526042	7.3615384	False	False
XAB2	4.028577	12.571393	False	False
EBNA1BP2	-0.21120153	14.324321	False	False
DHX8	3.4728904	12.430586	False	False
TBCD	9.44675	16.373241	False	False
ETF1	2.0128484	11.655984	False	False
RPL4	-1.3781568	14.086141	False	False
HS6ST1	9.127595	16.624193	False	False
ORC1	11.725948	14.251729	False	False
EIF5A	6.4720893	16.09279	False	False
SF3B2	3.1081588	12.50728	False	False
TRMT112	3.2495775	7.656015	False	False
RTEL1	6.0208507	15.085153	False	False
UNC45A	9.327103	15.9410925	False	False
PLEKHN1	10.02669	15.182205	False	False
INTS1	4.8040977	14.60923	False	False
ZFP69B	6.9419994	14.032319	False	False
MED18	5.4990377	8.877799	False	False
MRPS22	1.6408209	13.871803	False	False
NMD3	8.218306	11.429461	False	False
GINS2	13.106208	13.394818	False	False
ZNF317	5.6003227	12.046672	False	False
AARS2	10.805307	11.652187	False	False
MOB4	5.814369	15.047573	False	False
UXT	5.7676854	10.370901	False	False
TTC4	4.4283104	12.545073	False	False
USP37	13.000701	13.654516	False	False
ACTR8	3.5527463	11.600033	False	False
EXOSC2	4.6863112	8.712076	False	False
EDC4	7.709673	16.214851	False	False
PSMG1	8.5716505	14.350223	False	False
