cell_line	context_role	entrant_id	entrant_kind	reference_type	reference_seed	full_endpoint_n_targets	contract_n_targets	endpoint_coverage_fraction	missing_endpoint_targets	contract_n_genes	endpoint_alignment_spearman	endpoint_alignment_ci_low	endpoint_alignment_ci_high	endpoint_alignment_status	endpoint_alignment_n	directional_recovery_median_signed_cosine	directional_recovery_ci_low	directional_recovery_ci_high	directional_recovery_n	anchor_separation_auc	anchor_separation_ci_low	anchor_separation_ci_high	anchor_n	low_information_n	target_identity_spearman	target_identity_label_permutation_pvalue	target_identity_status	target_identity_n_targets	target_identity_n_pairs	predicted_homogenization_uncentered	observed_homogenization_uncentered	excess_homogenization_uncentered	predicted_homogenization_uncentered_n	observed_homogenization_uncentered_n	predicted_homogenization_centered	observed_homogenization_centered	excess_homogenization_centered	predicted_homogenization_centered_n	observed_homogenization_centered_n	conventional_pearson_median	conventional_pearson_ci_low	conventional_pearson_ci_high	conventional_pearson_n	conventional_normalized_rmse_median	conventional_normalized_rmse_ci_low	conventional_normalized_rmse_ci_high	conventional_normalized_rmse_n	secondary_absolute_projection_median	secondary_absolute_projection_ci_low	secondary_absolute_projection_ci_high	secondary_absolute_projection_n	entrant_role	display_name	model_family	endpoint_alignment_label_permutation_pvalue	endpoint_alignment_permutation_qvalue_bh	target_identity_permutation_qvalue_bh
HCC1143	qualified_primary_context	shared_mean_baseline	diagnostic	NA	NA	48	47	0.9791666666666666	SS18L2	47	NA	NA	NA	non_estimable_constant_score	47	0.11890872512147568	0.08227245734924306	0.2113900306728784	47	0.5	0.5	0.5	8	6	NA	NA	non_estimable_constant_score	47	1081	1.0	0.0605282495699902	0.9394717504300099	47	47	NA	0.03613003595670656	NA	0	47	0.11001932129321845	0.06552005779938547	0.199831331134747	47	1.4443997614827855	1.1861616716389753	1.7029909681448563	47	0.05450929084784581	0.03565076185543443	0.06947990169298882	47	diagnostic	Shared-mean reference	diagnostic	NA	NA	NA
HCC38	sensitivity_boundary_context	cellot_hcc_formal_v1	formal	NA	NA	47	47	1.0	NA	47	0.21612558188904674	-0.06665787733576588	0.48091005814973325	estimated	47	0.10572102074982648	0.05543341169235276	0.19485839592103585	47	0.42857142857142855	0.11904761904761904	0.7619047619047619	7	6	0.057300495935223475	0.1491850814918508	estimated	47	1081	0.3270921291540744	0.057312556253560604	0.2697795729005138	47	47	0.18226306350082475	0.022149926807736132	0.1601131366930886	47	47	0.08627168317800032	0.027936336095192173	0.1947546141586937	47	24.147855827569845	18.681436927560263	36.70384365033788	47	1.1746866738142063	1.0013992604206254	1.4188615719538868	47	formal	CellOT	CellOT	0.13688631136886312	0.4106589341065894	0.4475552444755524
HCC38	sensitivity_boundary_context	cpa_v0.8.8	formal	NA	NA	47	47	1.0	NA	47	-0.15767107057555654	-0.43057697402073275	0.14566185487781202	estimated	47	0.1904873666617649	0.0768825423983525	0.25688339033892593	47	0.42857142857142855	0.09523809523809523	0.7619047619047619	7	6	0.03303589189398693	0.22597740225977403	estimated	47	1081	0.9943975900943735	0.057312556253560604	0.9370850338408129	47	47	-0.0178567045352518	0.022149926807736132	-0.04000663134298793	47	47	0.13326769229671317	0.04871825236485466	0.24906048057072616	47	1.3493085397382332	1.0438766060431013	1.5188444915520085	47	0.04855947642670652	0.03860265121110254	0.05869223598367345	47	formal	CPA	CPA	0.290970902909709	0.581941805819418	0.5084491550844916
HCC38	sensitivity_boundary_context	gears_hcc_formal_v1	formal	NA	NA	47	47	1.0	NA	47	0.22676418731108647	-0.11347367778311152	0.5264788141998912	estimated	47	0.14855494063022878	0.09836307194146528	0.2222824386831517	47	0.6190476190476191	0.2857142857142857	0.9047619047619048	7	6	0.09573759416224033	0.0342965703429657	estimated	47	1081	0.5460301042813953	0.057312556253560604	0.48871754802783474	47	47	-0.007738348815362353	0.022149926807736132	-0.029888275623098485	47	47	0.1479818620553273	0.09953607509462509	0.2245200198955818	47	2.1121474409297014	1.508696262408425	2.5529531154550638	47	0.10219183912758578	0.06747580206944026	0.1239455146074914	47	formal	GEARS	GEARS	0.1260873912608739	0.4106589341065894	0.2057794220577942
HCC38	sensitivity_boundary_context	geneformer_hcc_formal_v1	formal	NA	NA	47	47	1.0	NA	47	-0.12245959936891411	-0.37692805994290907	0.14253817564210833	estimated	47	0.1321248955352351	0.09306180709439345	0.21177183825332435	47	0.35714285714285715	0.07142857142857142	0.6904761904761905	7	6	0.0857608567407805	0.04889511048895111	estimated	47	1081	0.5146872998631231	0.057312556253560604	0.45737474360956254	47	47	0.00859948648803544	0.022149926807736132	-0.013550440319700692	47	47	0.14220773270005724	0.0864575349861189	0.20781666989288458	47	1.0339432051088768	1.0062674368458242	1.0979452197865245	47	0.022208483761836224	0.017611601405777014	0.025961227104905234	47	formal	Geneformer kernel	Geneformer	0.41485851414858516	0.6788593867885939	0.22002799720028
HCC38	sensitivity_boundary_context	scgen_hcc_formal_v1	formal	NA	NA	47	47	1.0	NA	47	0.4864271055196764	0.224716516037943	0.6812462245191961	estimated	47	0.40550271706235363	0.33123476143996566	0.6504381359038878	47	1.0	1.0	1.0	7	6	0.43124150618546336	9.999000099990002e-05	estimated	47	1081	0.7937453571091763	0.057312556253560604	0.7364328008556157	47	47	0.056139516167429994	0.022149926807736132	0.03398958935969386	47	47	0.5077358969571859	0.45127176874443226	0.7053011848417048	47	2.2991240600553073	1.5246318875417795	2.8287066994378245	47	0.22194240247226205	0.17960228649067916	0.44995482105781587	47	formal	scGen	scGen	0.0006999300069993001	0.0053994600539946	0.0008999100089991002
HCC38	sensitivity_boundary_context	scgpt_hcc_formal_v1	formal	NA	NA	47	47	1.0	NA	47	0.4732444857575836	0.19643705463182906	0.6789470339265176	estimated	47	0.07172411401260619	0.017815879978748547	0.14732129866379262	47	0.7857142857142857	0.47619047619047616	1.0	7	6	-0.014339382857698719	0.6344365563443656	estimated	47	1081	0.202188361964867	0.057312556253560604	0.1448758057113064	47	47	0.03238996613479068	0.022149926807736132	0.010240039327054546	47	47	0.05415147819160885	-0.01567785619242486	0.11784635012902668	47	1.1445012358138944	1.0883576312412453	1.23492804804433	47	0.020887489683705907	0.01794532559833706	0.0332739304717052	47	formal	scGPT kernel	scGPT	0.0008999100089991	0.0053994600539946	0.751160178099837
HCC38	sensitivity_boundary_context	lm_train_lowrank_hcc_formal_v1	formal	NA	NA	47	47	1.0	NA	47	0.051689745909258365	-0.24620575979193646	0.33434935467819593	estimated	47	0.01674223807418152	-0.06908086900392221	0.10569743631395924	47	0.14285714285714285	0.0	0.42857142857142855	7	6	-0.013007845325511755	0.6397360263973603	estimated	47	1081	0.017507691721464578	0.057312556253560604	-0.03980486453209603	47	47	-0.019011231394780972	0.022149926807736132	-0.041161158202517104	47	47	0.011295119414401663	-0.06729799702038743	0.10055795767837425	47	1.771291075900598	1.462606009827638	2.4680000656915926	47	0.050108906684195646	0.04454972716290917	0.07536891500451985	47	formal	Linear low-rank	linear	0.7266273372662734	0.9773022697730227	0.751160178099837
HCC38	sensitivity_boundary_context	lm_g_geneformer_ridge_hcc_formal_v1	formal	NA	NA	47	47	1.0	NA	47	-0.013645167823920553	-0.335189653325688	0.28512701943895696	estimated	47	0.05949922820909229	-0.0394832281970908	0.12085382626537229	47	0.35714285714285715	0.047619047619047616	0.7142857142857143	7	6	0.042451032975142064	0.08809119088091191	estimated	47	1081	0.02402884700577577	0.057312556253560604	-0.03328370924778483	47	47	-0.01634114197055881	0.022149926807736132	-0.038491068778294946	47	47	0.06693257799516421	-0.03380070906942402	0.1204630518288163	47	1.7107898229887666	1.570001598183431	2.16829834645878	47	0.07289857028632303	0.05311377246236945	0.1062725446300218	47	formal	Geneformer ridge	linear_embedding	0.923007699230077	0.9773022697730227	0.3171282871712829
HCC38	sensitivity_boundary_context	lm_g_scgpt_ridge_hcc_formal_v1	formal	NA	NA	47	47	1.0	NA	47	0.031337631188834494	-0.282791884308144	0.3437834640852891	estimated	47	0.024929360387413266	-0.0023164397868879927	0.07420956393690448	47	0.5	0.16666666666666666	0.8333333333333334	7	6	-0.012376788035237373	0.6345365463453655	estimated	47	1081	0.00721760599787283	0.057312556253560604	-0.050094950255687776	47	47	-0.01993564581658284	0.022149926807736132	-0.04208557262431897	47	47	0.022954899799636098	-0.01554532815049892	0.0691431857043951	47	2.272660152626755	1.862841919304374	3.165668029230366	47	0.049905277056638275	0.01688584439159002	0.08439679737746816	47	formal	scGPT ridge	linear_embedding	0.834016598340166	0.9773022697730227	0.751160178099837
HCC38	sensitivity_boundary_context	null_model	diagnostic	NA	NA	47	47	1.0	NA	47	NA	NA	NA	non_estimable_constant_score	47	NA	NA	NA	0	0.5	0.5	0.5	7	6	NA	NA	non_estimable_too_few_targets	0	0	NA	0.057312556253560604	NA	0	47	NA	0.022149926807736132	NA	0	47	NA	NA	NA	0	1.0	1.0	1.0	47	NA	NA	NA	0	diagnostic	Zero-output reference	diagnostic	NA	NA	NA
HCC38	sensitivity_boundary_context	shared_mean_baseline	diagnostic	NA	NA	47	47	1.0	NA	47	NA	NA	NA	non_estimable_constant_score	47	0.1728823514528865	0.07781674192950669	0.2333188679562234	47	0.5	0.5	0.5	7	6	NA	NA	non_estimable_constant_score	47	1081	1.0000000000000002	0.057312556253560604	0.9426874437464396	47	47	NA	0.022149926807736132	NA	0	47	0.17054713639557295	0.07907971965392491	0.24653926334530105	47	1.3614083266939514	1.0823568745582748	1.5003286860336777	47	0.04132912258419542	0.03010981888737446	0.058472645890657544	47	diagnostic	Shared-mean reference	diagnostic	NA	NA	NA
