figure_id	n_panel_manifests	n_inputs	n_outputs	combined_source_sha256	png_sha256	pdf_sha256	git_commit	panel	table_id	title	claim_layer	n_files	total_bytes	tsv_files	summary_kind	suffix	evidence_tier	n_objects	object	allowed_wording	disallowed_wording	n_disallowed_phrases	scope	short_command	command	reruns_gears_training	boundary	status	basis
								b	suffix_md			2.0	6438.0		hash_suffix	md													
								b	suffix_tsv			31.0	172363.0		hash_suffix	tsv													
								c									A0_confirmed	1.0											
								c									A1_supporting	1.0											
								c									admission_required	1.0											
								c									boundary_frozen	1.0											
								c									gated_downstream_layer	1.0											
								c									methodological_boundary	1.0											
								c									primary_axis_but_qualified	1.0											
								c									primary_but_qualified	1.0											
								c									primary_conclusion	1.0											
								c									retainable_global_claim	1.0											
								c									supporting_but_sensitive	1.0											
								c									supporting_or_preliminary	1.0											
								c									A0_confirmed_A1_supporting	2.0											
								c									supporting_only	3.0											
								d									primary_conclusion		GEARS_tradeoff_diagnosis	GEARS 应被定位为 architecture trade-off diagnosis，而不是 primary winner	GEARS is the overall HCC primary winner; model recovery has been demonstrated								
								d									primary_but_qualified		PFDN5	PFDN5 可保留为相对更轻风险的 stable anchor，但必须带方法学谨慎	PFDN5 is a fully deconfounded strongest anchor								
								d									supporting_only		PMF1	PMF1 保留结构稳定 anchor 身份，但当前仅适合作为 supporting evidence	PMF1 is a clean primary anchor; PMF1 alone nails down the bridge								
								d									supporting_only		PRPF6	PRPF6 保留结构稳定 anchor 身份，但当前仅适合作为 supporting evidence	PRPF6 is a clean primary anchor; PRPF6 alone nails down the bridge								
								d									supporting_only		ZNF131	ZNF131 保留结构稳定 anchor 身份，但当前仅适合作为 supporting evidence	ZNF131 is a clean primary anchor; ZNF131 alone nails down the bridge								
								d									primary_axis_but_qualified		transcription_chromatin_axis	transcription / chromatin 是当前唯一更稳的 formal positive axis	transcription / chromatin is fully deconfounded and fully established beyond current boundary								
								d									A0_confirmed_A1_supporting		Dixit_K562_temporal_panel	7d 和 13d 均确认 backbone_plus_shift_excess；7d rank alignment 更强，13d mean shift 更大；只能写成 architecture form 时间稳定性与 bridge readout temporal stratification	13d is uniformly stronger than 7d; temporal panel proves external model-side generalization; K562 temporal panel establishes content-level convergence								
								d									admission_required		Replogle_RNAi_expansion_candidate	Replogle 7d CRISPRi + DepMap RNAi/shRNA dependency 只能作为 short-horizon / modality-compatible external expansion；先完成 cell line/gene namespace/target overlap/endpoint metadata check，再决定是否下载并正式运行	Replogle RNAi expansion is primary closure; DepMap RNAi is a siRNA matched endpoint; Replogle expansion proves external model-side generalization								
								d									gated_downstream_layer		discovery_phenotype_shifter	discovery 当前只能写成 gated downstream layer	discovery is a current formal primary deliverable								
								e									retainable_global_claim		global_truth_depmap_bridge		bridge has been fully deconfounded; bridge is proved without meaningful confounding risk	2.0							
								e									methodological_boundary		barcode_gem_group_design_proxy		barcode_gem_group has been uniquely resolved to MH001 through MH006; barcode_gem_group is a fully resolved run-level covariate	2.0							
								e									primary_conclusion		GEARS_tradeoff_diagnosis		GEARS is the overall HCC primary winner; model recovery has been demonstrated	2.0							
								e									primary_but_qualified		PFDN5		PFDN5 is a fully deconfounded strongest anchor	1.0							
								e									supporting_only		PMF1		PMF1 is a clean primary anchor; PMF1 alone nails down the bridge	2.0							
								e									supporting_only		PRPF6		PRPF6 is a clean primary anchor; PRPF6 alone nails down the bridge	2.0							
								e									supporting_only		ZNF131		ZNF131 is a clean primary anchor; ZNF131 alone nails down the bridge	2.0							
								e									supporting_but_sensitive		cutoff_sensitive_anchor_set		cutoff-sensitive anchors can be elevated to primary anchor set	1.0							
								e									primary_axis_but_qualified		transcription_chromatin_axis		transcription / chromatin is fully deconfounded and fully established beyond current boundary	1.0							
								e									supporting_or_preliminary		other_axes		most axes are fully established at the same level as transcription / chromatin	1.0							
								e									A0_confirmed_A1_supporting		Dixit_K562_supplementary		Dixit/K562 provides a symmetric primary conclusion with HCC; K562 provides content-level replication established	2.0							
								e									A0_confirmed_A1_supporting		Dixit_K562_temporal_panel		13d is uniformly stronger than 7d; temporal panel proves external model-side generalization; K562 temporal panel establishes content-level convergence	3.0							
								e									admission_required		Replogle_RNAi_expansion_candidate		Replogle RNAi expansion is primary closure; DepMap RNAi is a siRNA matched endpoint; Replogle expansion proves external model-side generalization	3.0							
								e									A0_confirmed		Dixit_architecture_replication		Dixit proves model generalization across contexts	1.0							
								e									A1_supporting		Dixit_anchor_like_objects		stable anchors were strictly replicated across contexts	1.0							
								e									gated_downstream_layer		discovery_phenotype_shifter		discovery is a current formal primary deliverable	1.0							
								e									boundary_frozen		shift_interpretation_band		把 shift 写成单一层；把 shared trend / overall displacement 等同于 shift-excess；把 GEARS 的 shift-excess 相对优势写成整体 shift recovery proved	1.0							
								f							entrypoint								main_figures	build_all_main_figures.py	pixi run --environment core python scripts/manuscript/build_all_main_figures.py	no			
								f							entrypoint								supplementary_tables	build_supplementary_table_index.py	pixi run --environment core python scripts/manuscript/build_supplementary_table_index.py	no			
								f							entrypoint								extended_data_figure10	build_extended_data_figure10.py	pixi run --environment core python scripts/manuscript/build_extended_data_figure10.py	no			
								f							boundary												GEARS training	exempt from figure-stage rerun	runtime cost; frozen predictions and scores hashed
								f							boundary												figure source data	rerun	all main figures and ED rebuild source data from frozen reports
								f							boundary												hash manifests	recorded	input, source data and output SHA256 tracked
								f							boundary												claim wording	governed	final claim matrix controls allowed and disallowed wording
