response_rank	gene_symbol	control_variance	source_position
484	NDUFA8	0.2234480996690343	3995
485	UBE2D2	0.22343787523235353	2515
486	NDUFB5	0.2234339580071056	1893
487	SCD	0.22341286357140944	4351
488	LIMS1	0.2233301878090986	1188
489	CENPE	0.22331239647114998	2141
490	PRPF4B	0.22322317281859536	2661
491	OLA1	0.22316977652097655	1301
492	CDV3	0.2231546358341569	1807
493	TALDO1	0.22314376798335267	4454
494	MRPL37	0.22309153812955262	345
495	SEPTIN7	0.22306181913971757	3203
496	SELENOH	0.2229924182703126	4608
497	ODC1	0.22298485563585368	912
498	OST4	0.22292730841162964	950
499	TXNL4A	0.22289035777916422	7154
500	GAR1	0.22280489686157454	2157
501	IMMT	0.2227847408394957	1136
502	CDK12	0.22276696995683334	6734
503	ATRX	0.2226962329880818	8421
504	PSME2	0.2226553047137579	5601
505	THOC2	0.22264323812554362	8479
506	SAMSN1	0.22260023377347407	7987
507	DNAJC21	0.22255407921878997	2297
508	UCHL5	0.22254316283384526	723
509	LMAN2	0.22252927278304513	2610
510	CHCHD10	0.22252154778490746	8133
511	SF3A3	0.22244866519644887	241
512	UTP11	0.22244033374604136	243
513	C4orf48	0.22240817549917047	1977
514	EPB41L2	0.22237617309444757	3038
515	TXN2	0.22236149410263534	8190
516	GTF2A2	0.2223531544595061	5951
517	MT-ATP8	0.2223212733111936	8549
518	SSR2	0.22224134104570595	609
519	POLR2L	0.2221973958055244	4459
520	DDX1	0.22219646321012515	921
521	MCTS1	0.222166533505037	8478
522	SNRPA	0.2221421560549407	7548
523	RNF7	0.22208883152018685	1829
524	C1orf122	0.2220522315712255	238
525	PSMD6	0.2220233300816452	1704
526	PYURF	0.2219889524238704	2120
527	UBR5	0.22196000653892584	3720
528	PRKAR2A	0.22192170685378046	1619
529	EI24	0.22189414867629462	4913
530	METTL5	0.22189275745290518	1283
531	HHEX	0.22185964940175054	4317
532	CITED2	0.22185343867945714	3056
533	PSMD3	0.22185291569127777	6740
534	SCAF11	0.22184914869570707	5035
535	ZMYM4	0.22177851830742198	212
536	KDM5B	0.221765596303936	744
537	SMC3	0.22176188770285712	4386
538	TMEM258	0.22175609215119416	4628
539	PRDX3	0.221726643699131	4406
540	LAMTOR4	0.22171398276323268	3346
541	USP14	0.22165636518380963	7051
542	SNRNP70	0.22163793255185382	7639
543	ATOX1	0.2216158203664428	2558
544	CEBPZ	0.22160164380323347	990
545	CDC37	0.2215965659447917	7308
546	DTL	0.221592699883722	776
547	TRAPPC3	0.2215891601244017	223
548	CSNK2A2	0.22147961418902387	6395
549	UBE2T	0.2214566983750606	742
550	MRPL21	0.22145631383542205	4762
551	PPIF	0.22142898512171977	4295
552	MRPS6	0.22141714376488725	8024
553	LUC7L2	0.22131320998028553	3455
554	GGCT	0.22130806814802267	3193
555	HNRNPA0	0.22123460177576457	2498
556	MRPL3	0.22117258980136834	1804
557	NOP14	0.2211623685167511	1987
558	ZC3H13	0.22115317366564952	5462
559	IGF2BP1	0.221148845416692	6843
560	ETFB	0.22113639058420279	7671
561	DHX36	0.22112622462235987	1854
562	SUZ12	0.2211202340379461	6694
563	BMS1	0.22110667065433431	4217
564	NDUFAF8	0.2210692394223538	7007
565	DDT	0.2210643394738934	8137
566	PCNP	0.22102163417177395	1736
567	MRPS21	0.2210030729384443	533
568	CD320	0.22099820977395554	7282
569	TRA2B	0.22097829110475045	1921
570	ARF4	0.22097771856070494	1693
571	MRPL41	0.22095422247081264	4131
572	GTPBP4	0.22092859725928557	4139
573	RBM39	0.22092772923940576	7860
574	CD99	0.2209160299969724	8302
575	ZWINT	0.22082885667222052	4234
576	CLNS1A	0.22082388094108443	4802
577	HDAC2	0.2207560405845302	3010
578	PSMB4	0.22072871150863388	555
579	SLC1A5	0.22055386207250635	7611
580	METTL26	0.22049248610572172	6125
581	DHX9	0.22046703708742355	711
582	MRPS18B	0.22046315515366624	2759
583	PSMC1	0.22045876674360174	5781
584	TLN1	0.22045144321062157	3859
585	PAFAH1B3	0.22044967909994492	7565
586	USP1	0.22044264563387647	357
587	TRAPPC4	0.2202967334765056	4888
588	APEX1	0.22029461215398105	5562
589	SF1	0.22028386486189724	4680
590	RBM3	0.22023805424246787	8363
591	DYNC1H1	0.22023137442950178	5813
592	ATP5ME	0.2202285009757486	1961
593	DCXR	0.2202268639919418	7033
594	ECI1	0.2202051265831039	6171
595	CDC42	0.2201291584080337	113
596	DARS	0.2200787943081221	1251
597	MAP4	0.21999481806009305	1608
598	MYL12A	0.21987613980806747	7063
599	HDAC1	0.2198466361545743	193
600	PAM16	0.2198390355865561	6205
601	AK2	0.21983504098182274	205
602	BZW2	0.21982306276688307	3165
603	CUTA	0.21980084961889285	2823
604	CCDC47	0.21976557057323776	6912
605	COA1	0.21976537603628993	3214
606	TIMM17A	0.21976486323749408	738
607	EWSR1	0.2197596362850871	8156
608	PRSS57	0.21975737317023547	7164
609	BUD31	0.2197338958981458	3328
610	EIF4E	0.21971051394609456	2125
611	EIF3J	0.21965953961711876	5912
612	PNRC2	0.21961463096642073	128
613	DCUN1D5	0.21956846513395165	4844
614	LSM8	0.21956224247178424	3410
615	ARL5A	0.21955453447417067	1259
616	ZNF638	0.21954144615920018	1088
617	ZFAS1	0.21947251466630308	7915
618	PSMD4	0.21947160567345506	552
619	RTRAF	0.21946307584341337	5677
620	PDCD2	0.21942550520671245	3116
621	PRR13	0.21942351739959015	5091
622	GRB2	0.2194104298321582	6955
623	MYH10	0.21940532152319486	6614
624	CSNK1A1	0.21939179648586898	2546
625	SLC25A6	0.21938918814683384	8298
626	CCDC12	0.2193843655373541	1598
627	SAP18	0.21934481561803457	5401
628	N4BP2L2	0.21928180633300065	5429
629	CD81	0.21925431674646462	4470
630	RAB10	0.21924806983980843	942
631	MRPL22	0.21923353002797855	2566
632	UBE2N	0.21922975572281486	5207
633	TRMT112	0.21922037236833744	4676
634	NT5DC2	0.21921649989562134	1674
635	C19orf48	0.21920859386155644	7668
636	NUP214	0.21920615259426407	4069
637	ATP6V0E1	0.21920537564234582	2590
638	PSMD7	0.21920008787596224	6462
639	WDR83OS	0.21918940697577838	7342
640	PGAM1	0.2191497666938734	4336
641	PTBP1	0.21913963444809292	7166
642	PSMD12	0.21913510895774874	6927
643	NOL11	0.21912978476801181	6929
644	MRPS23	0.2191159116224263	6873
645	COA4	0.21909212864390257	4782
646	TMEM183A	0.2190658414311713	749
647	RWDD1	0.21904586554919012	3014
648	VPS35	0.21904077140750214	6353
649	ABCF1	0.21902722073752576	2757
650	C1orf43	0.21900859738829712	575
651	MRPS18C	0.218945053567238	2111
652	RER1	0.2189369197181729	30
653	DLEU1	0.21893055075966822	5483
654	TAGLN2	0.21889328964576643	631
655	THRAP3	0.21883726288528568	225
656	STXBP5	0.2188109415141605	3069
657	TRIR	0.2187486749899309	7346
658	NDUFB8	0.2187317667576356	4352
659	TMEM50A	0.21869973008824933	135
660	RBBP7	0.21862793638220035	8323
661	SNAP29	0.21861182160432452	8115
662	UBXN1	0.21860247191108328	4646
663	ARPC2	0.21857578913378042	1395
664	SF3B2	0.21849882029251072	4721
665	THOC7	0.21848766817171644	1702
666	MEAF6	0.21847358896519334	231
667	ATIC	0.21846206252250105	1390
668	SMARCA4	0.2184371077539815	7323
669	PPP2CA	0.2183739897779014	2485
670	NDUFA12	0.2183606926967445	5213
671	CHPT1	0.21833941071796167	5234
672	UQCRQ	0.21829771961662156	2477
673	CALM3	0.21829235434813646	7608
674	NONO	0.2182503341231847	8407
675	MRPL57	0.2182402052417346	5403
676	TMEM165	0.21823295611180274	2061
677	YY1	0.21818134048449353	5810
678	GSPT1	0.21818113729448252	6238
679	CSNK2A1	0.2181273397424505	7748
680	EIF5	0.21811709110281774	5822
681	MAP1LC3B	0.21811666287874706	6497
682	ZNF428	0.2180959742385855	7571
683	CDK6	0.21805480095254795	3313
684	UBXN4	0.218051925671879	1249
685	RBM25	0.21804221851573807	5740
686	SNF8	0.2180091268438106	6842
687	NUSAP1	0.21800265155366855	5884
688	ATP5PD	0.21799325372430786	6946
689	MRPS7	0.21798993978653014	6952
690	C22orf39	0.2178938468421028	8093
691	HSPB1	0.21787885138037297	3289
692	ADH5	0.2178776044729541	2127
693	SUMO3	0.21784763562057946	8059
694	DDX6	0.21784173882889485	4885
695	PSMC3	0.21781877560663826	4589
696	TRIM28	0.21780689237184353	7736
697	TMEM160	0.21777972791497066	7614
698	OCIAD1	0.21776749962178318	2052
699	HACD3	0.21776726232768515	5978
700	ELF1	0.21772567934171075	5446
701	MRPL27	0.21764346691439868	6852
702	ZRANB2	0.21763069636208754	380
703	MTPN	0.21762524871427025	3448
704	PSMA1	0.21761419642326865	4518
705	DGCR6L	0.21759390929664255	8110
706	SUGT1	0.21759188044043412	5492
707	HSBP1	0.21758621471413545	6484
708	CD164	0.21758185055613508	2996
709	ATP5MD	0.21758128515976896	4378
