dataset_kind	dataset_label	role	cells_or_models	features	benchmark_use	panel	context	profile	umap1	umap2	is_control	is_highlight	target	abs_shift
						b	HCC38	PRDX2	-0.6447674036026001	3.401027202606201	False	False		
						b	HCC38	PRPF6	0.178042322397232	5.21047830581665	False	True		
						b	HCC38	RORC	0.3128008544445038	3.6970231533050537	False	False		
						b	HCC38	RPS3	1.7534065246582031	2.4304983615875244	False	False		
						b	HCC38	RUVBL2	0.911173701286316	4.250853538513184	False	False		
						b	HCC38	SMAD1	-1.4075947999954224	2.523812055587769	False	False		
						b	HCC38	STAT3	0.8650009632110596	1.621477127075195	False	False		
						b	HCC38	TAB3	1.626545786857605	4.213476181030273	False	False		
						b	HCC38	TADA3	-1.353236436843872	3.290724992752075	False	False		
						b	HCC38	THAP8	1.340551733970642	5.163301467895508	False	False		
						b	HCC38	THRA	0.599963366985321	2.2182040214538574	False	False		
						b	HCC38	TMF1	-0.5246832370758057	4.913764953613281	False	False		
						b	HCC38	TMSB4X	1.582026720046997	4.7744669914245605	False	False		
						b	HCC38	UBP1	-0.8879886865615845	2.402462720870972	False	False		
						b	HCC38	VEZF1	-0.4223670065402984	6.135856628417969	False	False		
						b	HCC38	XBP1	-0.1378452777862548	4.139520168304443	False	False		
						b	HCC38	YBX1	0.0151034360751509	2.557588815689087	False	False		
						b	HCC38	ZBTB17	1.70743727684021	3.063954591751098	False	False		
						b	HCC38	ZBTB20	-0.4005516171455383	5.753397941589356	False	False		
						b	HCC38	ZBTB5	0.6255407929420471	5.1982011795043945	False	False		
						b	HCC38	ZNF131	0.2349481433629989	6.12861967086792	False	False		
						b	HCC38	ZNF24	-0.6282921433448792	4.147018909454346	False	False		
						b	HCC38	ZNF566	1.2197508811950684	5.643124103546143	False	False		
						c	HCC1143	control	5.943431377410889	3.564429998397827	True	False		
						c	HCC1143	ARID1A	5.326613903045654	2.5981884002685547	False	False		
						c	HCC1143	BMPR1A	5.735822677612305	4.945460796356201	False	False		
						c	HCC1143	CDKN2A	6.407556533813477	3.793292760848999	False	False		
						c	HCC1143	COMMD6	4.27923059463501	2.845875740051269	False	False		
						c	HCC1143	ENY2	4.412012100219727	3.759512424468994	False	False		
						c	HCC1143	ERC1	3.767275094985962	2.966454267501831	False	False		
						c	HCC1143	ETV3	6.529021263122559	4.608123779296875	False	False		
						c	HCC1143	GON4L	7.626965522766113	4.45113468170166	False	False		
						c	HCC1143	HDGF	6.860710144042969	4.253717422485352	False	False		
						c	HCC1143	HLX	7.776236057281494	3.7328927516937256	False	False		
						c	HCC1143	KLF3	6.088342189788818	3.90878701210022	False	False		
						c	HCC1143	LAMTOR5	3.7114453315734863	2.585392713546753	False	False		
						c	HCC1143	MAML3	3.93117618560791	4.361451625823975	False	False		
						c	HCC1143	MIER1	3.1981565952301025	4.747197151184082	False	False		
						c	HCC1143	MTDH	5.116885185241699	4.738487720489502	False	False		
						c	HCC1143	MYBL1	5.56870174407959	4.487830638885498	False	False		
						c	HCC1143	NCOA1	6.636699676513672	2.92720627784729	False	False		
						c	HCC1143	NPM1	6.460617542266846	5.114940166473389	False	False		
						c	HCC1143	PA2G4	5.310665607452393	3.3915464878082275	False	False		
						c	HCC1143	PARK7	3.379523038864136	3.481804132461548	False	False		
						c	HCC1143	PCBD1	4.849058151245117	4.172760486602783	False	False		
						c	HCC1143	PEX14	5.807249069213867	2.6974825859069824	False	False		
						c	HCC1143	PFDN5	6.124223232269287	5.542069435119629	False	False		
						c	HCC1143	PMF1	4.9953227043151855	6.160761833190918	False	True		
						c	HCC1143	PRDX2	4.605700492858887	5.96426248550415	False	False		
						c	HCC1143	PRPF6	8.101171493530273	4.256793022155762	False	True		
						c	HCC1143	RORC	7.216287136077881	4.720755100250244	False	False		
						c	HCC1143	RPS3	5.756421089172363	3.887739896774292	False	False		
						c	HCC1143	RUVBL2	3.219010829925537	5.389406204223633	False	False		
						c	HCC1143	SMAD1	3.83758544921875	3.657460927963257	False	False		
						c	HCC1143	STAT3	4.959218978881836	3.112080812454224	False	False		
						c	HCC1143	TAB3	4.03501558303833	2.186943292617798	False	False		
						c	HCC1143	TADA3	7.195237159729004	3.5311670303344727	False	False		
						c	HCC1143	THAP8	7.539765357971191	5.657246112823486	False	False		
						c	HCC1143	THRA	6.179967880249023	3.0742897987365723	False	False		
						c	HCC1143	TMF1	4.089914798736572	4.208193302154541	False	False		
						c	HCC1143	TMSB4X	6.806154251098633	3.6219735145568848	False	False		
						c	HCC1143	UBP1	3.6951382160186768	5.256480693817139	False	False		
						c	HCC1143	VEZF1	7.258550643920898	4.126148223876953	False	False		
						c	HCC1143	XBP1	4.622771739959717	4.876387596130371	False	False		
						c	HCC1143	YBX1	3.1567931175231934	4.224655628204346	False	False		
						c	HCC1143	ZBTB17	3.6861982345581055	5.885105133056641	False	False		
						c	HCC1143	ZBTB20	5.048190593719482	3.6833035945892334	False	False		
						c	HCC1143	ZBTB5	4.911611080169678	2.466936588287353	False	False		
						c	HCC1143	ZNF131	7.4896559715271	3.228759527206421	False	False		
						c	HCC1143	ZNF24	4.5583696365356445	2.1585867404937744	False	False		
						c	HCC1143	ZNF566	7.288137912750244	6.05203914642334	False	False		
						d	K562 7d	control	38.527374267578125	15.182329177856444	True	False		
						d	K562 7d	CREB1	38.833126068115234	15.968850135803224	False	False		
						d	K562 7d	E2F4	38.062461853027344	17.720003128051758	False	False		
						d	K562 7d	EGR1	40.55795669555664	15.97243309020996	False	False		
						d	K562 7d	ELF1	39.38759994506836	17.952911376953125	False	False		
						d	K562 7d	ELK1	39.79161071777344	16.590059280395508	False	False		
						d	K562 7d	ETS1	40.64326095581055	17.16521644592285	False	False		
						d	K562 7d	GABPA	39.10269165039063	17.17169761657715	False	False		
						d	K562 7d	IRF1	39.652374267578125	15.167753219604492	False	True		
						d	K562 7d	NR2C2	37.69041061401367	15.874521255493164	False	False		
						d	K562 7d	YY1	37.74470138549805	16.68938636779785	False	True		
						e	K562 13d	control	5.131092071533203	-7.357706069946289	True	False		
						e	K562 13d	CREB1	5.460148811340332	-9.010440826416016	False	False		
						e	K562 13d	E2F4	4.987846374511719	-8.189717292785645	False	False		
						e	K562 13d	EGR1	5.831075191497803	-8.090229988098145	False	False		
						e	K562 13d	ELF1	4.10812520980835	-8.549774169921875	False	False		
						e	K562 13d	ELK1	6.656441688537598	-7.623875141143799	False	False		
						e	K562 13d	ETS1	5.2062087059021	-6.346015453338623	False	False		
						e	K562 13d	GABPA	5.984195232391357	-6.919660568237305	False	False		
						e	K562 13d	IRF1	6.431313514709473	-8.710470199584961	False	True		
						e	K562 13d	NR2C2	3.9432199001312256	-7.594933032989502	False	False		
						e	K562 13d	YY1	4.431514263153076	-6.725462436676025	False	True		
						f	HCC38						MAML3	0.0039010408237359
						f	HCC38						ZNF24	0.0039710221358838
						f	HCC38						XBP1	0.0040282961697656
						f	HCC38						CDKN2A	0.0040551040534158
						f	HCC38						PCBD1	0.0041690086810655
						f	HCC38						ERC1	0.00417172244801
						f	HCC38						COMMD6	0.0042202270388882
						f	HCC38						NCOA1	0.0043489041564256
						f	HCC38						PEX14	0.004391741095693
						f	HCC38						UBP1	0.004398069047543
						f	HCC38						TMSB4X	0.0045126915949235
						f	HCC38						ZNF566	0.0045411647163488
						f	HCC38						SMAD1	0.0045644798021591
						f	HCC38						ZBTB5	0.0046384099549855
						f	HCC38						RORC	0.0047603589109585
						f	HCC38						ZBTB20	0.0048062658192207
						f	HCC38						PRDX2	0.0048643958897732
						f	HCC38						STAT3	0.0049421595924907
						f	HCC38						MIER1	0.0049938655360828
						f	HCC38						PARK7	0.0050560733285705
						f	HCC38						THAP8	0.0050563694115236
						f	HCC38						ETV3	0.0051298888376656
						f	HCC38						HLX	0.0052991294769277
						f	HCC38						TAB3	0.005355838101385
						f	HCC38						HDGF	0.0053940020400889
						f	HCC38						KLF3	0.0054676604656395
						f	HCC38						BMPR1A	0.0056197913890013
						f	HCC38						MTDH	0.0056310162158605
						f	HCC38						THRA	0.0058419151883759
						f	HCC38						GON4L	0.0060144581054616
						f	HCC38						TMF1	0.00630257681098
						f	HCC38						MYBL1	0.0071407239504648
						f	HCC38						PA2G4	0.0071702138866234
						f	HCC38						VEZF1	0.0073740581188237
						f	HCC38						YBX1	0.0076494599161971
						f	HCC38						ZBTB17	0.0079465191255336
						f	HCC38						RUVBL2	0.0082501146934477
						f	HCC38						ARID1A	0.0085365617536346
						f	HCC38						PFDN5	0.0091179791241103
						f	HCC38						TADA3	0.0091400872937874
						f	HCC38						PMF1	0.0092008578860405
						f	HCC38						RPS3	0.0096911866022176
						f	HCC38						ZNF131	0.0098454685363047
						f	HCC38						ENY2	0.0103397858020701
						f	HCC38						LAMTOR5	0.0106435490794122
						f	HCC38						NPM1	0.0113723052385142
						f	HCC38						PRPF6	0.0144798741040019
						g	HCC1143						NCOA1	0.0039071575713196
						g	HCC1143						TMSB4X	0.0039703565382887
						g	HCC1143						HDGF	0.0039901671750222
						g	HCC1143						MAML3	0.0042930848646172
						g	HCC1143						ZNF24	0.0043616307953344
						g	HCC1143						ZBTB20	0.0043814448697306
						g	HCC1143						PEX14	0.0044493142820248
						g	HCC1143						ZNF566	0.0044548810181222
						g	HCC1143						COMMD6	0.0045342930040741
						g	HCC1143						SMAD1	0.0045476060135123
						g	HCC1143						RORC	0.0045634026869297
						g	HCC1143						STAT3	0.0045791788860737
						g	HCC1143						XBP1	0.0045885756847594
						g	HCC1143						UBP1	0.0046551429363536
						g	HCC1143						PCBD1	0.004675198066501
						g	HCC1143						MTDH	0.0047338690320834
						g	HCC1143						ERC1	0.0048784834929897
						g	HCC1143						HLX	0.0050212083343797
						g	HCC1143						CDKN2A	0.0050523230156554
						g	HCC1143						THAP8	0.0050716034302432
						g	HCC1143						ZBTB5	0.0053368219337521
						g	HCC1143						THRA	0.0053431820384494
						g	HCC1143						ETV3	0.0053871026377591
						g	HCC1143						KLF3	0.0053919861225157
						g	HCC1143						PRDX2	0.0055213995831513
						g	HCC1143						MIER1	0.0057833931966825
						g	HCC1143						TMF1	0.0058951763799742
						g	HCC1143						PA2G4	0.0059315461556859
						g	HCC1143						VEZF1	0.0060274132373266
						g	HCC1143						TAB3	0.0060275444241772
						g	HCC1143						PARK7	0.0061480042391653
						g	HCC1143						BMPR1A	0.0070281282052424
						g	HCC1143						ARID1A	0.0073327186787757
						g	HCC1143						NPM1	0.0074812035133293
						g	HCC1143						GON4L	0.0076879048971422
						g	HCC1143						YBX1	0.0077493948528648
						g	HCC1143						RPS3	0.007860948328555
						g	HCC1143						MYBL1	0.0084130142568229
						g	HCC1143						LAMTOR5	0.0093777769035242
						g	HCC1143						PFDN5	0.0102329499993855
						g	HCC1143						TADA3	0.0103750807743799
						g	HCC1143						ENY2	0.0105137437444661
						g	HCC1143						ZNF131	0.0105522037854389
						g	HCC1143						ZBTB17	0.010587215682323
						g	HCC1143						RUVBL2	0.0119327730703482
						g	HCC1143						PMF1	0.0127756932567781
						g	HCC1143						PRPF6	0.0154111896961658
						h	K562 7d						ELF1	0.0025693610675312
						h	K562 7d						ELK1	0.0027296134558565
						h	K562 7d						CREB1	0.0029219742025585
						h	K562 7d						ETS1	0.0031060212605777
						h	K562 7d						EGR1	0.0031478823332077
						h	K562 7d						NR2C2	0.0032807276475336
						h	K562 7d						E2F4	0.0035038506625994
						h	K562 7d						GABPA	0.0035819525068244
						h	K562 7d						IRF1	0.0035903303398797
						h	K562 7d						YY1	0.005897909879478
						i	K562 13d						ELF1	0.0034688620558862
						i	K562 13d						ELK1	0.0041416996391321
						i	K562 13d						CREB1	0.0041530845580193
						i	K562 13d						EGR1	0.0042909491441568
						i	K562 13d						GABPA	0.0045600661493705
						i	K562 13d						ETS1	0.004646284746498
						i	K562 13d						NR2C2	0.0048016077726506
						i	K562 13d						E2F4	0.0048362120626148
						i	K562 13d						IRF1	0.0051200114217901
						i	K562 13d						YY1	0.005640836781107
