pathway	ES	NES	pval	padj	log2err	size	n_genes_in_set	direction	leading_edge	context	contrast_id	positive_category	negative_category	collection	ranking_method	claim_boundary	padj_within_context_contrast
Complement	-0.407596100217643	-0.924063672239836	0.653537651143302	0.706854161669465	0.0131598393726227	200	200	down	USP14;CTSD;HSPA1A;CALM1;F3;CTSH;CDA;PFN1;CTSB;CTSV;HSPA5;DGKH;ADAM9;CTSC;PLSCR1;PSMB9;KIF2A;GNB2;LYN;ME1;USP15;GPD2;DOCK9;CBLB;PREP;GNAI2;CD46;IRF2;DOCK10;STX4;COL4A2;CALM3;LAP3;PDGFB;L3MBTL4;ZEB1;USP16;AKAP10;SERPINE1;CA2;RBSN;SPOCK2;LTA4H;SH2B3;GRB2;KCNIP3;RNF4	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.7068541616694656
DNA Repair	0.434076580420972	1.10795504689294	0.18971542685971	0.327095563551225	0.0726386507219513	150	150	up	POLR2K;EIF1B;ARL6IP1;UPF3B;ZNRD1;NUDT21;POLR1D;RALA;SDCBP;POLR2C;GTF2A2;DAD1;DGUOK;SUPT4H1;TSG101;POLR2F;ITPA;SURF1;GUK1;STX3;AK1;POLR1C;POLD4;TAF9;NELFE;COX17;TAF13;MPC2;POLR2A;GTF2B;SUPT5H;ZNF707;PNP;VPS28;TAF10;RPA2;RRM2B;ELOA;TAF12;CSTF3;BRF2;GTF2H5;POLB;RFC4	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.3270955635512241
E2F Targets	-0.79225248047855	-1.79465049736359	1e-10	2.5e-09		198	200	down	NASP;PRKDC;DNMT1;STMN1;TK1;SMC4;HMMR;ANP32E;PAICS;HNRNPD;XRCC6;CDKN3;LMNB1;MCM4;TUBB;SMC1A;BIRC5;PCNA;TMPO;CCNB2;RANBP1;STAG1;MYBL2;CDC20;DLGAP5;MCM5;HMGB3;SSRP1;MKI67;UBE2T;HMGA1;HMGB2;RFC3;CENPE;XPO1;ILF3;RAN;MCM7;NAP1L1;GSPT1;RRM2;GINS1;SRSF2;SRSF1;MELK;NOP56;LIG1;MMS22L;SPC25;CIT;PSIP1;DEPDC1;DDX39A;RPA3;MCM6;EZH2;RPA1;POLD2;NBN;MCM3;ATAD2;PLK1;AURKA;ASF1B;NUP107;HELLS;MSH2;IPO7;TFRC;UNG;SHMT1;CDC25B;CCP110;CBX5;UBR7;KPNA2;TCF19;KIF4A;BRCA1;CSE1L;TACC3;CDCA3;KIF22;JPT1;PNN;KIF18B;DSCC1;PRIM2;TUBG1;KIF2C;BRCA2;TIPIN;POLE;GINS4;POLA2;E2F8;CENPM;NOLC1;NCAPD2;DEK;CTPS1;CDK4;RACGAP1;LUC7L3;LBR;POLD1;SMC6;CHEK2;TIMELESS;TRIP13;BARD1;DIAPH3;TOP2A;MCM2;BUB1B;SNRPB;CTCF;PDS5B;NUP205;AURKB	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	2.5e-09
Epithelial Mesenchymal Transition	-0.4665118017732	-1.05763182832117	0.342032802585897	0.488618289408425	0.0228148326533999	200	200	down	IGFBP3;ITGB1;PPIB;MGP;VIM;TPM4;LGALS1;PMEPA1;SPOCK1;FLNA;THBS1;BASP1;DST;TPM1;MCM7;PLOD2;CALU;TGFBI;COL6A2;PFN2;NT5E;COL12A1;CD44;GPC1;SFRP1;PLOD1;ADAM12;ITGAV;SERPINH1;LAMA3;CAP2;FZD8;OXTR;ITGB5;PCOLCE2;LOXL2;COL5A1;FBLN1;CALD1;COLGALT1;MYLK;LAMC1;COL4A1;FGF2;QSOX1;VCAN;COL4A2;COPA;SLIT2;SDC1;CDH2;NOTCH2;MATN2;TGFBR3;PCOLCE;PLOD3	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.4886182894084243
Estrogen Response Early	-0.573912825841845	-1.30112136281426	0.0299293666946007	0.136042575884549	0.0901888162992841	200	200	down	KRT19;SFN;NRIP1;WWC1;CCND1;IGF1R;THSD4;MYOF;MED13L;KRT18;RAB31;SLC16A1;NAV2;CELSR1;SLC7A5;CD44;PTGES;DHRS3;KAZN;FHL2;ITPK1;AKAP1;FASN;B4GALT1;FLNB;SLC9A3R1;TIAM1;MYBBP1A;LAD1;ARL3;FARP1;KRT8;MYBL1;IL6ST;RPS6KA2;FKBP4;PRSS23;TPBG;PPIF;CALB2;MREG;SVIL;TSKU;CELSR2;KRT15;ADD3;KLK10;TBC1D30;SLC37A1;ABCA3;SEC14L2;SCARB1;KLF10;RBBP8;FOS;DLC1;ASB13;TOB1;DHCR7;TJP3;FKBP5;GAB2;ALDH3B1;NBL1;PLAAT3;HES1;AFF1;ADCY1;ABHD2;INPP5F;ENDOD1;ADCY9;IL17RB	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.1360425758845486
Estrogen Response Late	-0.509542566471891	-1.15518714454115	0.157667903747157	0.315335807494313	0.0370521271336964	200	200	down	CAV1;IDH2;KRT19;IMPA2;SFN;NRIP1;CCND1;CDC20;MYOF;LLGL2;CKB;ETFB;RAB31;PKP3;SLC16A1;GINS2;SLC7A5;HPRT1;CD44;EMP2;PTGES;SERPINA3;TST;ITPK1;FLNB;SLC9A3R1;TIAM1;ARL3;FARP1;TSTA3;IL6ST;RPS6KA2;FKBP4;KIF20A;PRSS23;TOP2A;TPBG;PPIF;GAL;GALE;CELSR2;ADD3;KLK10;ABCA3;JAK1;SCARB1;PLK4;RBBP8;FOS;ALDH3A2;XRCC3;TOB1;DHCR7;TJP3;FKBP5;GJB3;ALDH3B1;NBL1;PLAAT3;HOMER2;CDC6;AFF1;HSPA4L;TSPAN13;ABHD2;CA2;DLG5	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.315335807494314
Fatty Acid Metabolism	-0.565927390813746	-1.25773268138604	0.0655146693187469	0.233980961852668	0.0611971384770468	157	158	down	HSP90AA1;LDHA;ERP29;SMS;ACADVL;LGALS1;PSME1;ACAT2;FH;SUCLG2;NBN;CBR1;SDHA;PTPRG;IDH1;FASN;ACADM;DHCR24;ME1;NTHL1;CBR3;HIBCH;METAP1;DECR1;KMT5A;GPD2;APEX1;YWHAH;HMGCS1;BCKDHB;IDI1;MIF;GSTZ1;HSPH1;EHHADH;ACO2;RDH11;HSDL2;BMPR1B;DLD;ALDOA;PCBD1;ECI2;ALDH3A2;UBE2L6;IDH3G;CA2;ECHS1;HSD17B10;ACSL4;ACADS;RAP1GDS1;DLST;CYP1A1	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.2339809618526675
G2-M Checkpoint	-0.801357519872186	-1.81470532267488	1e-10	2.5e-09		195	200	down	NCL;MT2A;NASP;HNRNPU;SFPQ;CENPF;PRC1;HSPA8;STMN1;SMC4;HMMR;HMGN2;CBX1;RASAL2;HNRNPD;EFNA5;CDKN3;LMNB1;NSD2;SMAD3;TPX2;SMC1A;CCND1;BIRC5;TMPO;CCNB2;DKC1;STAG1;MYBL2;CDC20;RAD23B;CASP8AP2;MCM5;HMGB3;SMC2;G3BP1;MKI67;NDC80;HMGA1;NUSAP1;RBL1;CENPE;XPO1;ATRX;ILF3;GSPT1;SRSF2;DTYMK;SRSF1;KIF23;SMARCC1;DDX39A;GINS2;MCM6;EZH2;MCM3;SLC7A5;MNAT1;CDC45;PLK1;CUL3;AURKA;CCNA2;FBXO5;KNL1;CHAF1A;UCK2;KIF20B;DBF4;KPNB1;BUB1;CDC25B;KPNA2;HIF1A;TFDP1;KIF4A;E2F1;TACC3;KIF22;JPT1;CUL5;PRIM2;MEIS2;FANCC;KIF2C;BRCA2;KIF11;POLE;POLA2;TENT4A;MAPK14;MARCKS;NOLC1;TOP1;CDK4;RACGAP1;LBR;TROAP;BARD1;WRN;KMT5A;TOP2A;MCM2;PBK;EWSR1;POLQ;CUL4A;CTCF;PDS5B;AURKB;SLC12A2;RPS6KA5;CDC7;HIRA;CCNF;UPF1;NUP98;RAD54L;NEK2;MTF2;KIF15;TTK;CUL1	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	2.5e-09
Glycolysis	-0.639411451490256	-1.44833255482441	0.003129739409701	0.0223552814978649	0.431707695803346	199	200	down	EXT1;ENO1;NASP;IGFBP3;EGFR;LDHA;PKM;STMN1;HMMR;FUT8;HDLBP;PAM;TALDO1;PPIA;COPB2;PFKP;PLOD2;HS6ST2;TGFBI;HSPA5;IER3;ADORA2B;DEPDC1;NT5E;PGLS;PMM2;PGK1;AURKA;CD44;GPC1;GOT2;PLOD1;G6PD;KIF2A;POLR3K;PYGL;GALK2;HS2ST1;TXN;IDH1;B4GALT1;MPI;SLC25A10;SLC25A13;MET;SLC16A3;GUSB;ME1;TSTA3;CLDN3;FKBP4;KIF20A;PGM2;TPBG;COL5A1;GALE;GYS1;KDELR3;MIF;AGRN;CASP6;CLN6;LHPP;AKR1A1;QSOX1;PGAM1;TPI1;VCAN;ALDH7A1;HOMER1;GPC4;PC;GLCE;ARTN;B4GALT7;SLC35A3;DLD;ALDOA;SDC1	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.0223552814978642
Hedgehog Signaling	-0.690900072633561	-1.28464250262431	0.114650638617581	0.260569633221775	0.0502149116750946	36	36	down	MYH9;NRP1;CELSR1;RASA1;CDK6;UNC5C;OPHN1;NF1;DPYSL2	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.260569633221775
Hypoxia	-0.459844874392983	-1.04251719549169	0.376511433018077	0.511824545625148	0.0213021424335557	200	200	down	EXT1;ENO1;MT2A;S100A4;IGFBP3;ANXA2;CAV1;EGFR;LDHA;CAVIN3;MYH9;HDLBP;PAM;F3;GCNT2;ILVBL;PRKCA;PFKP;GAPDH;TGFBI;HSPA5;IER3;ADORA2B;PGK1;GPC1;CAVIN1;HK1;SLC25A1;GPI;SRPX;PFKL;PGM2;PFKFB3;TPBG;FOXO3;COL5A1;GYS1;AKAP12;NEDD4L;KDELR3;NR3C1;MIF;CASP6;TPI1;GPC4;HEXA;KLF7;PLAC8;ALDOA;SCARB1;PKP1;ETS1;NDST1;FOS;NAGK;PDGFB	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.5118245456251487
IL-2/STAT5 Signaling	-0.472194722058776	-1.06956950267321	0.317696460707858	0.467200677511557	0.0240424087834484	199	199	down	MYO1E;NRP1;HIPK2;IGF1R;GPX4;ALCAM;MYO1C;ITGA6;PLEC;PHLDA1;CKAP4;GSTO1;NT5E;NCOA3;TWSG1;UCK2;CD44;PLSCR1;COL6A1;DHRS3;RABGAP1L;ITGAV;PUS1;POU2F1;CTSZ;CDCP1;TIAM1;UMPS;ADAM19;AHCY;LCLAT1;SWAP70;IFITM3;AHNAK;IGF2R;ST3GAL4;CYFIP1;DENND5A;PRKCH;PHTF2;EEF1AKMT1;CCNE1;FAH;TNFSF10;GUCY1B1;ITGAE;SNX9;TNFRSF21;HUWE1;RNH1;CDC6;IKZF2;MAP3K8;CA2	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.4672006775115558
IL-6/JAK/STAT3 Signaling	-0.350286283360739	-0.734500602157292	0.954716474066111	0.954716474066111	0.0092107755728481	87	87	down	PTPN2;CD44;PTPN11;STAT1;STAT3;IFNGR2;ITGA4;IL6ST;PDGFC;TYK2;STAT2;TNFRSF21;STAM2;MAP3K8;IL13RA1;TNFRSF1A;IL15RA;IL17RB;GRB2	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.9547164740661108
Inflammatory Response	0.415481917838864	1.09551876464158	0.169193450576107	0.325372020338667	0.0852370970743609	200	200	up	EMP3;EDN1;TIMP1;CD55;PLAUR;CXCL8;HBEGF;SELENOS;KLF6;CDKN1A;RHOG;TNFSF15;IRF1;IL6;ICOSLG;MXD1;ATP2C1;SPHK1;RELA;TNFRSF9;CX3CL1;ABI1;IFITM1;MARCO;IRF7;RNF144B;EBI3;ADM;SGMS2;CD70;RIPK2;NAMPT;RGS16;ITGA5;LCK;CXCL10	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.3253720203386673
Interferon Alpha Response	-0.432171510578159	-0.915211470546816	0.633696229421136	0.704106921579041	0.015099358668797	96	97	down	PSME1;LGALS3BP;EIF2AK2;LY6E;MX1;PNPT1;TRIM25;PLSCR1;PSMB9;NMI;IFI30;IFI27;PSMA3;PSME2;HERC6;USP18;IFITM3;PARP14;DDX60;IRF2;CMTR1;TRIM14;IFITM2;STAT2;ISG15;LAP3;UBE2L6;PARP9;PSMB8;IFI44L;MOV10;RNF31;IFI35;BST2	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.70410692157904
Interferon Gamma Response	-0.404330659255327	-0.91591031471888	0.674178853991849	0.706854161669465	0.0127276611452295	198	200	down	MT2A;RNF213;PSME1;PTPN2;SRI;LGALS3BP;EIF2AK2;LY6E;MX1;PFKP;PNPT1;NCOA3;TRIM25;PLSCR1;STAT1;PSMB9;HIF1A;RAPGEF6;STAT3;NMI;SAMHD1;IFI30;IFI27;MVP;PSMA3;PSMA2;PSME2;HERC6;USP18;IFITM3;TNFAIP2;PARP14;DDX60;OAS3;DDX58;ST3GAL5;IRF2;CMTR1;TRIM14;IFITM2;STAT2;TNFSF10;ISG15;LAP3;UBE2L6;TOR1B;PSMB8;IFI44L;PSMB2;NFKBIA;RNF31;IFI35;BST2;NFKB1;NUP93;ISOC1;IL15RA	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.7068541616694656
KRAS Signaling Dn	-0.456727988654584	-1.03453576429728	0.394121175764847	0.51858049442743	0.0206292951778269	199	200	down	CAMK1D;THRB;MX1;PTPRJ;GAMT;CDKAL1;SLC16A7;BARD1;FGGY;TGFB2;TCF7L1;CELSR2;KRT15;GTF3C5;MSH5;BMPR1B;KLK8;PKP1;MAST3;LYPD3;DTNB;IFI44L;CLSTN3;RIBC2;MFSD6;C5;PDK2;PTGFR;SKIL;PDE6B;TFCP2L1;ENTPD7;MTHFR;DLK2;KMT2D;EGF;VPS50;LFNG;SNN;COQ8A;MYO15A;NR6A1;UPK3B;EPHA5;TAS2R4;PRKN;ALOX12B	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.5185804944274303
KRAS Signaling Up	-0.353657335509792	-0.80107015768562	0.922615476904619	0.941444364188387	0.0079088730275405	199	200	down	ALDH1A3;IGFBP3;NRP1;SDCCAG8;NIN;PLAU;HDAC9;CBR4;MAP7;SERPINA3;RABGAP1L;PTBP2;EPHB2;ATG10;ZNF277;WDR33;AVL9;AKAP12;STRN;KCNN4;EVI5;TSPAN1;DCBLD2;ANKH;GFPT2;MALL	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.9414443641883868
Mitotic Spindle	-0.770971206082154	-1.74632889980082	8.756321101390031e-09	1.45938685023167e-07	0.747739663149885	199	199	down	ARHGAP29;TRIO;CENPF;PRC1;SMC4;SEPTIN9;MYH9;RASAL2;LMNB1;MYO1E;TPX2;VCL;SMC1A;BIRC5;SPTBN1;CCNB2;ANLN;AKAP13;FLNA;ARHGDIA;DLGAP5;ACTN4;PDLIM5;NDC80;NIN;NUSAP1;DST;CENPE;TBCD;TLK1;SAC3D1;ECT2;CCDC88A;FSCN1;EPB41L2;YWHAE;KIF23;CTTN;DYNC1H1;CLASP1;ALMS1;ITSN1;RASA1;KIF1B;LRPPRC;PLK1;AURKA;FBXO5;KIF20B;FGD6;BUB1;RABGAP1;SORBS2;ARHGEF3;KIF4A;TUBGCP5;CDC42BPA;RAPGEF6;KIF22;ARFGEF1;ABR;PXN;KIF2C;BRCA2;KIF11;FLNB;MARCKS;CEP192;HOOK3;TIAM1;KNTC1;SSH2;EPB41;RACGAP1;MYO9B;FARP1;KIF3B;CKAP5;CEP57;CEP250;DLG1;TOP2A;CDC42;CLIP2;RALBP1;CD2AP;OPHN1;PCNT;GEMIN4;CNTROB;STAU1;NCK2;CDK5RAP2;SOS1;SMC3;NF1;NEK2;ARHGAP10;KATNB1;KIF15;TTK;PCM1;BCAR1;RFC1;RAPGEF5;ARF6;ARHGAP27;TUBA4A;NOTCH2;PALLD;CEP131;ROCK1;EZR;KIF3C;FGD4;ESPL1;MYH10;TUBGCP6;ATG4B	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	1.459386850231672e-07
Myc Targets V1	-0.718803278188062	-1.62801320827276	7.33805202332483e-06	9.17256502915603e-05	0.610526878385931	196	200	down	HNRNPA2B1;HNRNPU;RPS3;TYMS;HSP90AB1;EIF4G2;HNRNPA3;LDHA;HNRNPR;HSPD1;SRSF7;HNRNPA1;SERBP1;PTGES3;PSMA1;HNRNPD;XRCC6;RPS2;HSPE1;SRSF3;SNRPA1;MCM4;PPM1G;PCNA;CCT3;PSMD1;RANBP1;EEF1B2;CDC20;HNRNPC;SET;RAD23B;MCM5;CCT5;RUVBL2;G3BP1;PPIA;RPL6;XPO1;RAN;MCM7;NAP1L1;C1QBP;RRM1;GSPT1;RPL34;RPLP0;SRSF2;CYC1;YWHAE;SRSF1;NOP56;PSMA4;ILF2;SMARCC1;SNRPD3;MCM6;POLD2;TRIM28;SF3B3;CDC45;EIF4H;PGK1;EIF4A1;CCNA2;HPRT1;SLC25A3;SRPK1;KPNB1;EIF4E;GOT2;PSMB3;VBP1;SNRPD2;CLNS1A;KPNA2;TFDP1;FBL;HDGF;FAM120A;CCT2;IMPDH2;SNRPA;PABPC4;HDAC2;VDAC3;NOP16;TARDBP;PSMA2;NOLC1;NPM1;DEK;CTPS1;CDK4;TOMM70;PSMD3;PSMD14;ABCE1;VDAC1;MCM2;APEX1;PHB;PRDX3;DHX15;CANX;CDK2	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	9.172565029156037e-05
Myc Targets V2	-0.640058819743859	-1.27714108838599	0.10086292261989	0.260569633221775	0.052087355964136	58	58	down	HSPD1;HSPE1;MCM4;MCM5;NOP56;PLK1;LAS1L;UNG;PUS1;TCOF1;NOP16;PRMT3;IPO4;NOLC1;NPM1;MYBBP1A;CDK4;GRWD1;SLC19A1;MPHOSPH10;PHB;MRTO4;TMEM97;WDR43;NOC4L;FARSA;PLK4;PA2G4;DDX18;CBX3;IMP4;SORD;MAP3K6;SRM;UTP20;SLC29A2;AIMP2;DUSP2;NOP2	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.260569633221775
