context	endpoint_category	collection	pathway	n_category_targets	n_universe_targets	n_pathway_targets_in_universe	n_overlap	overlap_targets	pvalue	claim_boundary	padj
HCC38	Q4_low_information	hallmark	Adipogenesis	6	47	1	1	PEX14	0.1276595744680851	descriptive target-membership annotation only	0.2340425531914894
HCC38	Q4_low_information	hallmark	Estrogen Response Early	6	47	2	1	XBP1	0.2414431082331175	descriptive target-membership annotation only	0.2655874190564293
HCC38	Q4_low_information	hallmark	Estrogen Response Late	6	47	1	1	XBP1	0.1276595744680851	descriptive target-membership annotation only	0.2340425531914894
HCC38	Q4_low_information	hallmark	Unfolded Protein Response	6	47	3	1	XBP1	0.3425840271353685	descriptive target-membership annotation only	0.3425840271353685
HCC38	Q4_low_information	hallmark	mTORC1 Signaling	6	47	1	1	XBP1	0.1276595744680851	descriptive target-membership annotation only	0.2340425531914894
HCC38	Q4_low_information	hallmark	E2F Targets	6	47	2	1	CDKN2A	0.2414431082331175	descriptive target-membership annotation only	0.2655874190564293
HCC38	Q4_low_information	hallmark	p53 Pathway	6	47	1	1	CDKN2A	0.1276595744680851	descriptive target-membership annotation only	0.2340425531914894
HCC38	Q4_low_information	hallmark	UV Response Dn	6	47	2	1	PEX14	0.2414431082331175	descriptive target-membership annotation only	0.2655874190564293
HCC38	Q4_low_information	hallmark	IL-2/STAT5 Signaling	6	47	1	1	XBP1	0.1276595744680851	descriptive target-membership annotation only	0.2340425531914894
HCC38	Q4_low_information	hallmark	Pperoxisome	6	47	1	1	PEX14	0.1276595744680851	descriptive target-membership annotation only	0.2340425531914894
HCC38	Q4_low_information	hallmark	Allograft Rejection	6	47	2	1	CDKN2A	0.2414431082331175	descriptive target-membership annotation only	0.2655874190564293
HCC38	middle	hallmark	TGF-beta Signaling	32	47	2	2	BMPR1A;SMAD1	0.4588344125809436	descriptive target-membership annotation only	0.9695665864157572
HCC38	middle	hallmark	IL-6/JAK/STAT3 Signaling	32	47	1	1	STAT3	0.6808510638297872	descriptive target-membership annotation only	0.9695665864157572
HCC38	middle	hallmark	Estrogen Response Early	32	47	2	1	MYBL1	0.9028677150786308	descriptive target-membership annotation only	0.9695665864157572
HCC38	middle	hallmark	Androgen Response	32	47	1	1	PA2G4	0.6808510638297872	descriptive target-membership annotation only	0.9695665864157572
HCC38	middle	hallmark	Interferon Gamma Response	32	47	1	1	STAT3	0.6808510638297872	descriptive target-membership annotation only	0.9695665864157572
HCC38	middle	hallmark	E2F Targets	32	47	2	1	PA2G4	0.9028677150786308	descriptive target-membership annotation only	0.9695665864157572
HCC38	middle	hallmark	Myc Targets V1	32	47	5	2	HDGF;PA2G4	0.9695665864157572	descriptive target-membership annotation only	0.9695665864157572
HCC38	middle	hallmark	Myc Targets V2	32	47	2	1	PA2G4	0.9028677150786308	descriptive target-membership annotation only	0.9695665864157572
HCC38	middle	hallmark	Fatty Acid Metabolism	32	47	1	1	PCBD1	0.6808510638297872	descriptive target-membership annotation only	0.9695665864157572
HCC38	middle	hallmark	Reactive Oxygen Species Pathway	32	47	2	2	LAMTOR5;PRDX2	0.4588344125809436	descriptive target-membership annotation only	0.9695665864157572
HCC38	middle	hallmark	UV Response Dn	32	47	2	1	BMPR1A	0.9028677150786308	descriptive target-membership annotation only	0.9695665864157572
HCC38	middle	hallmark	heme Metabolism	32	47	4	4	HDGF;KLF3;PRDX2;VEZF1	0.2016090600734448	descriptive target-membership annotation only	0.9695665864157572
HCC1143	Q1_anchor	reactome	mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Axon Guidance R-HSA-422475	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Cap-dependent Translation Initiation R-HSA-72737	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Cell Cycle R-HSA-1640170	10	48	3	1	RUVBL2	0.5122571692876965	descriptive target-membership annotation only	0.6053948364309141
HCC1143	Q1_anchor	reactome	Cellular Response To Starvation R-HSA-9711097	10	48	2	1	RPS3	0.3767730496453901	descriptive target-membership annotation only	0.4740048043925875
HCC1143	Q1_anchor	reactome	Cellular Responses To Stimuli R-HSA-8953897	10	48	8	2	RPS3;ZBTB17	0.5359572841474171	descriptive target-membership annotation only	0.6147745318161549
HCC1143	Q1_anchor	reactome	Cellular Responses To Stress R-HSA-2262752	10	48	8	2	RPS3;ZBTB17	0.5359572841474171	descriptive target-membership annotation only	0.6147745318161549
HCC1143	Q1_anchor	reactome	Chaperonin-mediated Protein Folding R-HSA-390466	10	48	2	1	PFDN5	0.3767730496453901	descriptive target-membership annotation only	0.4740048043925875
HCC1143	Q1_anchor	reactome	Chromatin Modifying Enzymes R-HSA-3247509	10	48	5	2	RUVBL2;TADA3	0.2757757968211252	descriptive target-membership annotation only	0.4576704713201652
HCC1143	Q1_anchor	reactome	Chromosome Maintenance R-HSA-73886	10	48	2	1	RUVBL2	0.3767730496453901	descriptive target-membership annotation only	0.4740048043925875
HCC1143	Q1_anchor	reactome	Cooperation Of Prefoldin And TriC/CCT In Actin And Tubulin Folding R-HSA-389958	10	48	1	1	PFDN5	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Deubiquitination R-HSA-5688426	10	48	2	1	TADA3	0.3767730496453901	descriptive target-membership annotation only	0.4740048043925875
HCC1143	Q1_anchor	reactome	Developmental Biology R-HSA-1266738	10	48	4	1	RPS3	0.6206444650015417	descriptive target-membership annotation only	0.691575261001718
HCC1143	Q1_anchor	reactome	Disease R-HSA-1643685	10	48	7	1	RPS3	0.828596834685082	descriptive target-membership annotation only	0.8733858527761676
HCC1143	Q1_anchor	reactome	Eukaryotic Translation Elongation R-HSA-156842	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Eukaryotic Translation Termination R-HSA-72764	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Extension Of Telomeres R-HSA-180786	10	48	1	1	RUVBL2	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Formation Of A Pool Of Free 40S Subunits R-HSA-72689	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Formation Of Ternary Complex, And Subsequently, 43S Complex R-HSA-72695	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Gene Expression (Transcription) R-HSA-74160	10	48	12	1	YBX1	0.9611377622814272	descriptive target-membership annotation only	0.9611377622814272
HCC1143	Q1_anchor	reactome	Generic Transcription Pathway R-HSA-212436	10	48	11	1	YBX1	0.946744340904178	descriptive target-membership annotation only	0.9590397219548816
HCC1143	Q1_anchor	reactome	HATs Acetylate Histones R-HSA-3214847	10	48	4	2	RUVBL2;TADA3	0.1870952821461609	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	IRE1alpha Activates Chaperones R-HSA-381070	10	48	2	1	ZBTB17	0.3767730496453901	descriptive target-membership annotation only	0.4740048043925875
HCC1143	Q1_anchor	reactome	Infectious Disease R-HSA-5663205	10	48	3	1	RPS3	0.5122571692876965	descriptive target-membership annotation only	0.6053948364309141
HCC1143	Q1_anchor	reactome	Influenza Infection R-HSA-168255	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Influenza Viral RNA Transcription And Replication R-HSA-168273	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Metabolism R-HSA-1430728	10	48	3	1	RPS3	0.5122571692876965	descriptive target-membership annotation only	0.6053948364309141
HCC1143	Q1_anchor	reactome	Metabolism Of RNA R-HSA-8953854	10	48	3	3	PRPF6;RPS3;YBX1	0.0069380203515263	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Metabolism Of Amino Acids And Derivatives R-HSA-71291	10	48	2	1	RPS3	0.3767730496453901	descriptive target-membership annotation only	0.4740048043925875
HCC1143	Q1_anchor	reactome	Metabolism Of Proteins R-HSA-392499	10	48	13	4	PFDN5;RPS3;TADA3;ZNF131	0.2568882163231631	descriptive target-membership annotation only	0.4355930624610157
HCC1143	Q1_anchor	reactome	NOTCH3 Activation And Transmission Of Signal To Nucleus R-HSA-9013507	10	48	1	1	YBX1	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Nervous System Development R-HSA-9675108	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Noncanonical Activation Of NOTCH3 R-HSA-9017802	10	48	1	1	YBX1	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Peptide Chain Elongation R-HSA-156902	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Post-translational Protein Modification R-HSA-597592	10	48	10	2	TADA3;ZNF131	0.6784984718131533	descriptive target-membership annotation only	0.7453926873440275
HCC1143	Q1_anchor	reactome	Prefoldin Mediated Transfer Of Substrate To CCT/TriC R-HSA-389957	10	48	1	1	PFDN5	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203	10	48	2	2	PRPF6;YBX1	0.0398936170212766	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Protein Folding R-HSA-391251	10	48	2	1	PFDN5	0.3767730496453901	descriptive target-membership annotation only	0.4740048043925875
HCC1143	Q1_anchor	reactome	RNA Polymerase II Transcription R-HSA-73857	10	48	11	1	YBX1	0.946744340904178	descriptive target-membership annotation only	0.9590397219548816
HCC1143	Q1_anchor	reactome	Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Ribosomal Scanning And Start Codon Recognition R-HSA-72702	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	SARS-CoV Infections R-HSA-9679506	10	48	2	1	RPS3	0.3767730496453901	descriptive target-membership annotation only	0.4740048043925875
HCC1143	Q1_anchor	reactome	SARS-CoV-2 Infection R-HSA-9694516	10	48	2	1	RPS3	0.3767730496453901	descriptive target-membership annotation only	0.4740048043925875
HCC1143	Q1_anchor	reactome	SARS-CoV-2 Modulates Host Translation Machinery R-HSA-9754678	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	SARS-CoV-2-host Interactions R-HSA-9705683	10	48	2	1	RPS3	0.3767730496453901	descriptive target-membership annotation only	0.4740048043925875
HCC1143	Q1_anchor	reactome	SMAD2/SMAD3:SMAD4 Heterotrimer Regulates Transcription R-HSA-2173796	10	48	1	1	YBX1	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232	10	48	6	1	ZNF131	0.77503334552417	descriptive target-membership annotation only	0.8281178212450035
HCC1143	Q1_anchor	reactome	SUMOylation R-HSA-2990846	10	48	6	1	ZNF131	0.77503334552417	descriptive target-membership annotation only	0.8281178212450035
HCC1143	Q1_anchor	reactome	SUMOylation Of Transcription Cofactors R-HSA-3899300	10	48	4	1	ZNF131	0.6206444650015417	descriptive target-membership annotation only	0.691575261001718
HCC1143	Q1_anchor	reactome	Selenoamino Acid Metabolism R-HSA-2408522	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Selenocysteine Synthesis R-HSA-2408557	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Signal Transduction R-HSA-162582	10	48	8	1	YBX1	0.8704024847618913	descriptive target-membership annotation only	0.9052185841523668
HCC1143	Q1_anchor	reactome	Signaling By NOTCH R-HSA-157118	10	48	2	1	YBX1	0.3767730496453901	descriptive target-membership annotation only	0.4740048043925875
HCC1143	Q1_anchor	reactome	Signaling By NOTCH3 R-HSA-9012852	10	48	2	1	YBX1	0.3767730496453901	descriptive target-membership annotation only	0.4740048043925875
HCC1143	Q1_anchor	reactome	Signaling By ROBO Receptors R-HSA-376176	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Signaling By TGF-beta Receptor Complex R-HSA-170834	10	48	1	1	YBX1	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Signaling By TGFB Family Members R-HSA-9006936	10	48	3	1	YBX1	0.5122571692876965	descriptive target-membership annotation only	0.6053948364309141
HCC1143	Q1_anchor	reactome	Telomere Extension By Telomerase R-HSA-171319	10	48	1	1	RUVBL2	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Telomere Maintenance R-HSA-157579	10	48	1	1	RUVBL2	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Transcriptional Activity Of SMAD2/SMAD3:SMAD4 Heterotrimer R-HSA-2173793	10	48	1	1	YBX1	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Translation R-HSA-72766	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Translation Initiation Complex Formation R-HSA-72649	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	Ub-specific Processing Proteases R-HSA-5689880	10	48	2	1	TADA3	0.3767730496453901	descriptive target-membership annotation only	0.4740048043925875
HCC1143	Q1_anchor	reactome	Unfolded Protein Response (UPR) R-HSA-381119	10	48	2	1	ZBTB17	0.3767730496453901	descriptive target-membership annotation only	0.4740048043925875
HCC1143	Q1_anchor	reactome	Viral mRNA Translation R-HSA-192823	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	XBP1(S) Activates Chaperone Genes R-HSA-381038	10	48	2	1	ZBTB17	0.3767730496453901	descriptive target-membership annotation only	0.4740048043925875
HCC1143	Q1_anchor	reactome	mRNA Splicing - Major Pathway R-HSA-72163	10	48	2	2	PRPF6;YBX1	0.0398936170212766	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	mRNA Splicing - Minor Pathway R-HSA-72165	10	48	2	2	PRPF6;YBX1	0.0398936170212766	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	mRNA Splicing R-HSA-72172	10	48	2	2	PRPF6;YBX1	0.0398936170212766	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	rRNA Processing R-HSA-72312	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q1_anchor	reactome	rRNA Processing In Nucleus And Cytosol R-HSA-8868773	10	48	1	1	RPS3	0.2083333333333333	descriptive target-membership annotation only	0.3611111111111111
HCC1143	Q4_low_information	reactome	Apoptosis R-HSA-109581	6	48	2	1	STAT3	0.2367021276595745	descriptive target-membership annotation only	0.2745744680851064
HCC1143	Q4_low_information	reactome	Association Of TriC/CCT With Target Proteins During Biosynthesis R-HSA-390471	6	48	1	1	STAT3	0.125	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	BH3-only Proteins Associate With And Inactivate Anti-Apoptotic BCL-2 Members R-HSA-111453	6	48	1	1	STAT3	0.125	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	Cellular Senescence R-HSA-2559583	6	48	2	1	STAT3	0.2367021276595745	descriptive target-membership annotation only	0.2745744680851064
HCC1143	Q4_low_information	reactome	Cellular Response To Chemical Stress R-HSA-9711123	6	48	4	1	STAT3	0.4247610237434474	descriptive target-membership annotation only	0.445231434526264
HCC1143	Q4_low_information	reactome	Cellular Responses To Stimuli R-HSA-8953897	6	48	8	1	STAT3	0.6872121381619478	descriptive target-membership annotation only	0.6952029769777844
HCC1143	Q4_low_information	reactome	Cellular Responses To Stress R-HSA-2262752	6	48	8	1	STAT3	0.6872121381619478	descriptive target-membership annotation only	0.6952029769777844
HCC1143	Q4_low_information	reactome	Chaperonin-mediated Protein Folding R-HSA-390466	6	48	2	1	STAT3	0.2367021276595745	descriptive target-membership annotation only	0.2745744680851064
HCC1143	Q4_low_information	reactome	Constitutive Signaling By NOTCH1 HD+PEST Domain Mutants R-HSA-2894862	6	48	1	1	MAML3	0.125	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	Cytokine Signaling In Immune System R-HSA-1280215	6	48	3	1	STAT3	0.3362627197039777	descriptive target-membership annotation only	0.370314640686659
HCC1143	Q4_low_information	reactome	Cytoprotection By HMOX1 R-HSA-9707564	6	48	2	1	STAT3	0.2367021276595745	descriptive target-membership annotation only	0.2745744680851064
HCC1143	Q4_low_information	reactome	Developmental Biology R-HSA-1266738	6	48	4	2	MAML3;STAT3	0.0707678075855689	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	Disease R-HSA-1643685	6	48	7	2	MAML3;STAT3	0.2061146173348483	descriptive target-membership annotation only	0.2745744680851064
HCC1143	Q4_low_information	reactome	Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202	6	48	3	2	MAML3;STAT3	0.0375809435707678	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	Downstream Signal Transduction R-HSA-186763	6	48	1	1	STAT3	0.125	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	FGFR1 Mutant Receptor Activation R-HSA-1839124	6	48	1	1	STAT3	0.125	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	Gene Expression (Transcription) R-HSA-74160	6	48	12	2	MAML3;ZNF566	0.472624400318396	descriptive target-membership annotation only	0.4895038431869101
HCC1143	Q4_low_information	reactome	Generic Transcription Pathway R-HSA-212436	6	48	11	2	MAML3;ZNF566	0.4198228384570704	descriptive target-membership annotation only	0.445231434526264
HCC1143	Q4_low_information	reactome	Growth Hormone Receptor Signaling R-HSA-982772	6	48	1	1	STAT3	0.125	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	Hemostasis R-HSA-109582	6	48	1	1	TMSB4X	0.125	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	Immune System R-HSA-168256	6	48	4	1	STAT3	0.4247610237434474	descriptive target-membership annotation only	0.445231434526264
HCC1143	Q4_low_information	reactome	Inactivation Of CSF3 (G-CSF) Signaling R-HSA-9705462	6	48	1	1	STAT3	0.125	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	Interleukin-1 Family Signaling R-HSA-446652	6	48	2	1	STAT3	0.2367021276595745	descriptive target-membership annotation only	0.2745744680851064
HCC1143	Q4_low_information	reactome	Interleukin-10 Signaling R-HSA-6783783	6	48	1	1	STAT3	0.125	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	Interleukin-12 Family Signaling R-HSA-447115	6	48	1	1	STAT3	0.125	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	Interleukin-15 Signaling R-HSA-8983432	6	48	1	1	STAT3	0.125	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	Interleukin-2 Family Signaling R-HSA-451927	6	48	1	1	STAT3	0.125	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	Interleukin-20 Family Signaling R-HSA-8854691	6	48	1	1	STAT3	0.125	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	Interleukin-21 Signaling R-HSA-9020958	6	48	1	1	STAT3	0.125	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	Interleukin-23 Signaling R-HSA-9020933	6	48	1	1	STAT3	0.125	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	Interleukin-27 Signaling R-HSA-9020956	6	48	1	1	STAT3	0.125	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	Interleukin-35 Signaling R-HSA-8984722	6	48	1	1	STAT3	0.125	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	Interleukin-37 Signaling R-HSA-9008059	6	48	1	1	STAT3	0.125	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807	6	48	2	1	STAT3	0.2367021276595745	descriptive target-membership annotation only	0.2745744680851064
HCC1143	Q4_low_information	reactome	Interleukin-6 Family Signaling R-HSA-6783589	6	48	1	1	STAT3	0.125	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	Interleukin-6 Signaling R-HSA-1059683	6	48	1	1	STAT3	0.125	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	Interleukin-7 Signaling R-HSA-1266695	6	48	1	1	STAT3	0.125	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	Interleukin-9 Signaling R-HSA-8985947	6	48	1	1	STAT3	0.125	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	Intrinsic Pathway For Apoptosis R-HSA-109606	6	48	2	1	STAT3	0.2367021276595745	descriptive target-membership annotation only	0.2745744680851064
HCC1143	Q4_low_information	reactome	Metabolism Of Proteins R-HSA-392499	6	48	13	1	STAT3	0.8677294207918307	descriptive target-membership annotation only	0.8677294207918306
HCC1143	Q4_low_information	reactome	NOTCH1 Intracellular Domain Regulates Transcription R-HSA-2122947	6	48	1	1	MAML3	0.125	descriptive target-membership annotation only	0.18125
HCC1143	Q4_low_information	reactome	NOTCH2 Intracellular Domain Regulates Transcription R-HSA-2197563	6	48	1	1	MAML3	0.125	descriptive target-membership annotation only	0.18125
