target_gene	n_cell_lines	q1_anchor_count	q2_count	q3_count	q4_count	shift_quantile_mean	depmap_quantile_mean	shift_value_mean	depmap_strength_mean	shared_anchor_call
MTDH	2	0	0	0	0	0.4645390070921985	0.3481826241134751	0.0051824426239719	0.0232799337433307	not_shared_canonical_anchor
PRDX2	2	0	0	0	0	0.4412677304964539	0.7047872340425532	0.0051928977364622	0.1616261990603448	not_shared_canonical_anchor
HLX	2	0	0	0	0	0.4321808510638297	0.2406914893617021	0.0051601689056537	0.0149696962954751	not_shared_canonical_anchor
THAP8	2	0	0	0	0	0.4317375886524822	0.3266843971631206	0.0050639864208834	0.0212624408041871	not_shared_canonical_anchor
ZBTB5	2	0	0	0	0	0.3676861702127659	0.387854609929078	0.0049876159443688	0.0458639918315629	not_shared_canonical_anchor
STAT3	2	0	0	0	1	0.3164893617021276	0.1910460992907801	0.0047606692392822	0.0136475430144257	not_shared_canonical_anchor
HDGF	2	0	0	0	0	0.2972074468085106	0.3583776595744681	0.0046920846075555	0.0241624166186555	not_shared_canonical_anchor
RORC	2	0	0	0	0	0.2741578014184397	0.6223404255319149	0.0046618807989441	0.1541710179818216	not_shared_canonical_anchor
UBP1	2	0	0	0	0	0.2522163120567376	0.2528812056737589	0.0045266059919483	0.0155284850071185	not_shared_canonical_anchor
SMAD1	2	0	0	0	0	0.2424645390070922	0.3251329787234042	0.0045560429078357	0.021094424698076	not_shared_canonical_anchor
ERC1	2	0	0	0	1	0.2409131205673759	0.2717198581560283	0.0045251029704998	0.0179067916758659	not_shared_canonical_anchor
CDKN2A	2	0	0	0	1	0.2404698581560283	0.0316932624113475	0.0045537135345356	0.0017368860477839	not_shared_canonical_anchor
ZBTB20	2	0	0	0	1	0.2327127659574468	0.052304964539007	0.0045938553444756	0.0048566974256094	not_shared_canonical_anchor
ZNF566	2	0	0	0	1	0.2109929078014184	0.3499556737588652	0.0044980228672354	0.0473100491872364	not_shared_canonical_anchor
PCBD1	2	0	0	0	0	0.2094414893617021	0.2739361702127659	0.0044221033737832	0.0161404478404961	not_shared_canonical_anchor
PEX14	2	0	0	0	1	0.1686613475177305	0.2089982269503546	0.0044205276888588	0.0138724058628767	not_shared_canonical_anchor
COMMD6	2	0	0	0	1	0.1682180851063829	0.386968085106383	0.0043772600214811	0.0719857586649965	not_shared_canonical_anchor
XBP1	2	0	0	0	1	0.1673315602836879	0.1686613475177305	0.0043084359272625	0.009948190324341	not_shared_canonical_anchor
TMSB4X	2	0	0	0	1	0.137854609929078	0.4343971631205673	0.0042415240666061	0.1132271022024285	not_shared_canonical_anchor
NCOA1	2	0	0	0	0	0.09552304964539	0.4425975177304964	0.0041280308638726	0.0354239036373806	not_shared_canonical_anchor
ZNF24	2	0	0	0	1	0.0733599290780141	0.3277925531914893	0.0041663264656091	0.0247788636321067	not_shared_canonical_anchor
MAML3	2	0	0	0	2	0.052304964539007	0.1163563829787234	0.0040970628441765	0.007284437013887	not_shared_canonical_anchor
PRPF6	2	2	0	0	0	0.9895833333333331	0.9524601063829788	0.0149455319000838	0.9986398078273973	shared_canonical_anchor
PMF1	2	2	0	0	0	0.9153368794326242	0.9162234042553192	0.0109882755714093	0.9744461229672754	shared_canonical_anchor
ZNF131	2	2	0	0	0	0.905363475177305	0.8526152482269503	0.0101988361608718	0.8043337303914575	shared_canonical_anchor
RUVBL2	2	2	0	0	0	0.8623670212765957	0.9418218085106382	0.0100914438818979	0.9890147241437666	shared_canonical_anchor
ZBTB17	2	2	0	0	0	0.8413120567375887	0.799645390070922	0.0092668674039283	0.5106421521353213	shared_canonical_anchor
RPS3	2	2	0	0	0	0.8322251773049645	0.97905585106383	0.0087760674653863	1.0	shared_canonical_anchor
PFDN5	2	2	0	0	0	0.8315602836879432	0.8840868794326242	0.0096754645617479	0.8948474981425748	shared_canonical_anchor
