object_type	object_id	primary_call	stability_fraction	evidence_tier
axis	growth / proliferation	preliminary_mixed_or_low_signal_axis	1.0	preliminary_only
axis	growth factor / proliferation	preliminary_mixed_or_low_signal_axis	1.0	preliminary_only
axis	mTOR / lysosome / signaling	preliminary_transcriptomic_heavy_axis	0.8769230769230769	preliminary_only
axis	metabolism / transcription	preliminary_mixed_or_low_signal_axis	1.0	preliminary_only
axis	nuclear receptor / co-activator	preliminary_mixed_or_low_signal_axis	1.0	preliminary_only
axis	oxidative stress / antioxidant	preliminary_mixed_or_low_signal_axis	1.0	preliminary_only
axis	oxidative stress / mitochondrial	preliminary_mixed_or_low_signal_axis	1.0	preliminary_only
axis	peroxisome / metabolism	preliminary_mixed_or_low_signal_axis	1.0	preliminary_only
axis	proteostasis / chaperone	preliminary_dependency_heavy_axis	0.5275590551181102	preliminary_only
axis	ribosomal / translation	preliminary_dependency_heavy_axis	0.6746031746031746	preliminary_only
axis	ribosome biogenesis / nucleolar	preliminary_mixed_or_low_signal_axis	0.5255474452554745	preliminary_only
axis	signaling / oncogene	preliminary_mixed_or_low_signal_axis	1.0	preliminary_only
axis	synaptic / signaling	preliminary_mixed_or_low_signal_axis	1.0	preliminary_only
axis	transcription / chromatin	transcriptomic_heavy_axis	0.9733333333333334	primary_evidence
target_anchor	PFDN5	stable_shared_anchor	1.0	primary_evidence
target_anchor	PMF1	stable_shared_anchor	1.0	primary_evidence
target_anchor	PRPF6	stable_shared_anchor	1.0	primary_evidence
target_anchor	ZNF131	stable_shared_anchor	1.0	primary_evidence
axis	TGF-beta / BMP signaling	mixed_or_low_signal_axis	1.0	stable_but_nonpositive_formal
axis	chromatin remodeling	mixed_or_low_signal_axis	0.4496644295302013	stable_but_nonpositive_formal
axis	nuclear receptor / metabolism	mixed_or_low_signal_axis	1.0	stable_but_nonpositive_formal
axis	transcription regulation	mixed_or_low_signal_axis	0.9933333333333332	stable_but_nonpositive_formal
target_anchor	ENY2	cutoff_sensitive_shared_anchor	0.3333333333333333	supporting_but_sensitive
target_anchor	NPM1	cutoff_sensitive_shared_anchor	0.3333333333333333	supporting_but_sensitive
target_anchor	RPS3	cutoff_sensitive_shared_anchor	0.6666666666666666	supporting_but_sensitive
target_anchor	RUVBL2	cutoff_sensitive_shared_anchor	0.6666666666666666	supporting_but_sensitive
target_anchor	ZBTB17	cutoff_sensitive_shared_anchor	0.6666666666666666	supporting_but_sensitive
